cart_item_id,cart_id,product_id,quantity,unit_price,total_price,added_at,updated_at,item_status
282,99,435,1,120.67,120.67,2025-12-14 10:16:07,2025-12-14 15:57:45,Abandoned
359,130,540,1,102.14,102.14,2022-09-03 04:49:48,2022-09-03 04:49:48,Converted
513,186,4582,1,936.48,936.48,2025-12-18 18:56:06,2025-12-18 19:18:42,Converted
797,280,4319,2,204.38,408.76,2025-07-22 22:52:01,2025-07-22 23:16:26,Converted
920,320,1178,1,153.61,153.61,2023-08-02 03:21:51,2023-08-02 03:55:15,Converted
1082,373,3052,1,321.54,321.54,2024-09-03 22:12:00,2024-09-03 22:13:16,Converted
1145,399,3036,1,474.95,474.95,2019-05-28 12:28:24,2019-05-28 13:25:23,Converted
1155,402,1769,9,136.95,1232.55,2023-05-16 11:30:35,2023-05-16 11:52:03,Active
1160,405,1318,2,412.62,825.24,2024-01-25 17:39:37,2024-01-25 17:39:37,Converted
1229,434,4336,3,33.53,100.59,2023-02-08 18:53:00,2023-02-08 19:40:52,Converted
1536,541,625,2,165.25,330.5,2022-07-18 18:16:08,2022-07-18 18:16:08,Converted
1567,553,1061,3,55.11,165.33,2019-12-06 12:26:39,2019-12-06 12:26:39,Abandoned
2045,717,4138,1,489.97,489.97,2025-10-22 06:53:22,2025-10-22 08:13:19,Converted
2334,816,4846,2,100.04,200.08,2024-11-25 13:24:22,2024-11-25 13:40:03,Converted
2728,950,753,2,136.12,272.24,2020-09-17 10:05:24,2020-09-17 10:05:24,Active
2913,1019,3799,1,536.75,536.75,2016-09-02 21:24:00,2016-09-02 22:50:49,Converted
3008,1055,706,3,279.75,839.25,2024-02-08 09:00:58,2024-02-08 09:00:58,Abandoned
3104,1088,1418,3,743.6,2230.8,2025-05-03 06:11:50,2025-05-03 06:11:50,Active
3341,1158,3744,3,240.84,722.52,2025-11-10 13:41:01,2025-11-10 14:22:15,Active
3422,1188,945,4,46.82,187.28,2025-08-22 00:57:56,2025-08-22 01:02:05,Converted
3701,1283,3220,6,283.38,1700.28,2025-04-06 05:55:45,2025-04-06 06:37:59,Abandoned
3760,1305,4074,1,345.49,345.49,2023-10-05 20:15:19,2023-10-05 20:31:51,Converted
3897,1346,2453,3,75.32,225.96,2025-03-17 16:39:00,2025-03-17 16:45:14,Abandoned
4013,1388,3763,1,1168.17,1168.17,2021-12-13 20:26:23,2021-12-13 20:26:23,Abandoned
4093,1419,1800,1,1064.88,1064.88,2018-09-29 16:17:09,2018-09-29 16:26:45,Converted
4362,1504,3527,1,32.26,32.26,2024-09-09 21:48:30,2024-09-09 21:52:20,Converted
4477,1550,390,1,255.92,255.92,2022-04-24 00:52:48,2022-04-25 02:09:41,Converted
5203,1812,2806,2,45.99,91.98,2025-12-17 04:50:04,2025-12-17 04:50:04,Converted
5819,2030,2073,1,790.78,790.78,2020-08-18 04:28:19,2020-08-18 04:48:19,Converted
6061,2113,1146,3,349.3,1047.9,2025-02-27 11:06:52,2025-02-27 11:24:10,Abandoned
6124,2131,4630,1,705.64,705.64,2024-05-28 21:07:05,2024-05-28 21:07:05,Converted
6824,2384,2626,1,1501.13,1501.13,2017-11-21 12:42:29,2017-11-21 13:59:04,Converted
7326,2560,1251,3,32.0,96.0,2025-09-29 13:58:24,2025-09-29 14:23:22,Converted
7579,2653,1449,1,532.98,532.98,2025-11-29 20:17:33,2025-11-29 20:26:50,Abandoned
7646,2673,1180,1,23.68,23.68,2023-02-13 10:59:58,2023-02-13 11:39:34,Converted
7694,2685,520,5,41.1,205.5,2016-01-02 04:47:11,2016-01-02 05:34:44,Converted
7954,2773,990,1,179.41,179.41,2020-02-01 03:16:31,2020-02-03 17:05:45,Abandoned
8128,2831,867,2,179.41,358.82,2024-10-10 20:20:09,2024-10-10 21:55:59,Abandoned
8311,2895,4437,2,85.96,171.92,2024-12-24 05:11:32,2024-12-24 05:26:40,Abandoned
8322,2898,1371,2,104.77,209.54,2024-10-05 01:12:21,2024-10-05 03:21:17,Converted
8457,2947,1778,1,286.39,286.39,2025-05-17 18:26:44,2025-05-17 18:36:37,Active
8474,2951,2166,5,18.7,93.5,2023-10-27 02:15:20,2023-10-27 09:16:44,Converted
8511,2968,1850,6,388.97,2333.82,2024-09-22 22:16:12,2024-09-22 22:45:13,Abandoned
8641,3007,1666,2,703.77,1407.54,2020-01-17 17:29:39,2020-01-17 18:57:49,Converted
8673,3017,1163,2,361.89,723.78,2024-12-26 22:46:42,2024-12-26 23:23:42,Converted
8795,3062,3169,2,272.34,544.68,2024-12-01 21:03:33,2024-12-01 21:04:29,Converted
8940,3108,2808,3,660.58,1981.74,2025-01-21 03:14:36,2025-01-21 03:26:46,Converted
9105,3171,695,5,190.19,950.95,2022-11-09 04:09:32,2022-11-09 04:55:43,Converted
9125,3179,2538,1,56.57,56.57,2025-02-08 15:07:53,2025-02-08 15:27:07,Abandoned
9155,3190,4728,3,181.38,544.14,2025-04-30 13:28:27,2025-04-30 13:34:18,Converted
9779,3401,3354,2,22.49,44.98,2019-03-23 04:21:00,2019-03-23 05:30:42,Converted
9902,3448,4400,3,1361.4,4084.2,2018-09-29 09:39:03,2018-09-29 09:39:03,Converted
9915,3452,3851,3,175.06,525.18,2024-11-15 02:19:05,2024-11-15 02:28:24,Abandoned
10266,3574,1577,3,11.43,34.29,2021-05-14 07:27:30,2021-05-14 08:04:58,Converted
10750,3764,4554,3,259.24,777.72,2021-11-10 03:53:28,2021-11-10 04:17:22,Converted
10822,3789,2955,2,74.21,148.42,2024-06-03 16:57:30,2024-06-03 16:57:30,Converted
11028,3857,4524,2,1063.6,2127.2,2025-10-21 11:34:23,2025-10-21 11:47:26,Converted
11266,3941,324,1,1031.85,1031.85,2025-01-20 18:00:41,2025-01-20 18:37:34,Converted
11368,3973,996,2,384.8,769.6,2025-10-04 11:04:28,2025-10-04 11:04:28,Abandoned
11472,4014,3885,2,1331.66,2663.32,2024-03-11 21:22:19,2024-03-11 22:34:20,Abandoned
11709,4103,4947,3,15.4,46.2,2025-10-11 11:26:20,2025-10-11 11:56:24,Converted
11893,4167,3825,1,90.41,90.41,2022-11-21 16:57:16,2022-11-21 18:00:42,Converted
11987,4204,2744,4,2090.47,8361.88,2024-08-15 22:45:43,2024-08-15 23:33:00,Converted
12038,4222,4517,3,137.11,411.33,2025-08-29 03:36:23,2025-08-29 03:36:23,Abandoned
12681,4450,618,2,57.4,114.8,2017-07-15 07:12:18,2017-07-15 07:15:15,Converted
13115,4598,4086,1,80.13,80.13,2023-04-09 11:07:29,2023-04-09 11:09:03,Abandoned
13375,4694,2737,1,122.44,122.44,2022-12-13 14:57:20,2022-12-13 15:23:41,Abandoned
13416,4705,2646,3,536.58,1609.74,2021-11-12 13:06:34,2021-11-12 14:05:02,Converted
13611,4772,2073,3,790.78,2372.34,2024-07-22 17:59:21,2024-07-22 18:09:42,Converted
13777,4833,332,10,755.84,7558.4,2022-05-08 23:45:20,2022-05-09 00:08:46,Converted
13868,4867,1535,3,748.13,2244.39,2025-04-09 21:32:21,2025-04-09 22:28:32,Converted
14078,4938,873,3,1828.22,5484.66,2024-04-22 12:20:11,2024-04-22 12:20:11,Abandoned
14432,5061,319,1,180.63,180.63,2019-08-19 22:54:44,2019-08-20 00:30:02,Converted
14497,5085,1059,3,354.34,1063.02,2025-06-26 07:00:51,2025-06-26 07:06:16,Converted
14514,5093,4118,2,436.85,873.7,2025-09-28 03:03:13,2025-09-28 03:04:53,Abandoned
14601,5122,4723,4,128.63,514.52,2025-06-23 10:56:16,2025-06-23 10:56:38,Abandoned
14930,5245,3171,3,402.05,1206.15,2025-07-14 15:23:24,2025-07-14 20:03:20,Abandoned
15107,5303,2171,4,246.75,987.0,2021-02-14 18:07:10,2021-02-14 18:07:10,Converted
15395,5402,1657,3,142.18,426.54,2022-01-18 08:00:58,2022-01-18 08:33:04,Converted
15524,5441,3171,3,402.05,1206.15,2023-11-27 17:54:00,2023-11-27 17:54:00,Converted
15599,5468,3272,1,326.54,326.54,2022-08-25 13:20:26,2022-08-25 13:29:03,Converted
15626,5474,4922,1,154.13,154.13,2016-06-05 00:13:12,2016-06-05 00:13:12,Abandoned
