session_id,customer_id,session_start,session_end,device_type,referrer_source,pages_viewed,products_viewed,conversion_flag,cart_abandonment_flag
ccff3b50-3dcf-4ae2-92af-7e3c2af7f469,1064,2024-05-11 05:20:11,2024-05-11 05:30:17,Mobile,Paid Search,24,20,True,False
46458161-e89c-4f78-ab68-10914e64fd1d,3449,2024-04-20 23:01:21,2024-04-20 23:01:35,Desktop,Paid Search,2,0,False,False
14ee275f-32da-4784-98da-fc7dc95dcdc8,6519,2023-10-19 09:29:45,2023-10-19 09:30:13,Mobile,Direct,1,0,False,False
0c952873-7949-47bc-b44d-b82d3bb3b2b3,6489,2020-11-30 05:41:59,2020-11-30 05:47:22,Mobile,Email,8,4,False,True
b0437aa2-d5f5-4068-a109-0c2873b73cf2,9643,2021-03-13 23:53:37,2021-03-14 00:49:25,Desktop,Social Media,96,25,True,False
e415a7d0-a64a-413b-99e4-9c6cb3be798f,4356,2024-07-05 22:28:38,2024-07-05 22:39:23,Mobile,Organic Search,24,4,False,True
ca4865ee-07d4-4932-bee0-12493d746abe,4217,2017-11-22 06:56:53,2017-11-22 07:15:24,Tablet,Email,27,24,False,True
11d25f91-3fcf-4b32-8972-ff1856c931c9,4565,2022-03-05 07:15:00,2022-03-05 07:15:50,Desktop,Paid Search,2,1,True,False
0bf84e6a-9e64-44f8-9bda-9af63f7a8e16,4,2025-09-05 09:40:30,2025-09-05 09:41:07,Mobile,Direct,5,4,False,True
726ac798-f82c-4b2c-b851-1930e9c8eb4c,8255,2025-11-18 00:14:56,2025-11-18 00:27:39,Mobile,Social Media,25,14,False,False
4c1df41b-b6e5-460d-9656-1e84bf05f7ad,9962,2022-12-15 05:22:49,2022-12-15 05:34:13,Tablet,Social Media,15,1,False,False
6a7926b6-6dc2-4e9d-9c28-691458c404e5,1209,2024-03-06 21:04:29,2024-03-06 21:17:50,Mobile,Organic Search,29,5,False,False
0e19a426-caa9-45e4-87cb-63fc1e7b7047,2211,2024-12-04 00:35:18,2024-12-04 00:35:57,Tablet,Direct,2,0,False,False
6e3df043-aeac-4603-a1fc-3b2e5ac5798b,5010,2025-02-04 13:08:17,2025-02-04 13:08:24,Mobile,Social Media,1,0,False,False
fb8624a5-4f02-41fa-ac56-6da7871b1705,1866,2020-12-28 09:06:00,2020-12-28 09:07:00,Tablet,Organic Search,2,0,True,False
2c0ad01f-0be4-4e4d-8c7c-6e6e00a59855,4910,2023-03-21 06:06:50,2023-03-21 06:18:36,Desktop,Social Media,21,9,True,False
35e85cb1-86de-4a0f-9609-88c44bd56e4f,6352,2025-02-08 14:25:45,2025-02-08 14:59:32,Mobile,Organic Search,55,24,True,False
88c20da9-6b32-4d7e-b1ea-7b1099cf81fa,9300,2017-08-23 13:13:46,2017-08-23 13:14:44,Smart TV,Organic Search,2,1,False,False
c6de4782-aa97-4dcc-abd5-4dbb824de7f5,8704,2025-09-23 06:42:33,2025-09-23 06:59:12,Desktop,Direct,18,6,False,True
c59f3672-4a04-4da9-9eaa-62c8ae6f5ff7,7451,2025-11-16 20:06:54,2025-11-16 20:07:51,Mobile,Organic Search,3,2,False,True
a4aaaf07-511a-4444-8738-2124012e558c,7938,2017-10-21 09:50:41,2017-10-21 10:01:00,Tablet,Organic Search,19,16,True,False
8f29ff9c-5753-41f6-b0f7-f1e6aefd341d,9295,2025-09-22 14:44:56,2025-09-22 14:48:38,Tablet,Organic Search,6,0,True,False
6c6ed464-80fe-4281-9896-97bbf5cd5029,1982,2024-01-24 12:04:48,2024-01-24 12:05:38,Desktop,Display Ads,5,0,False,False
967188d9-9490-4265-b216-72f8885a5dc0,4291,2025-03-30 08:11:18,2025-03-30 08:13:14,Wearable,Organic Search,5,1,False,True
780031bb-ffb0-40a4-ba8a-410cd981598e,7696,2020-12-28 06:10:00,2020-12-28 06:37:44,Mobile,Organic Search,20,0,False,False
fdf4a266-f002-4296-be70-e316eb8918e7,5039,2023-05-26 20:10:35,2023-05-26 20:14:53,Mobile,Direct,11,10,False,False
2d08e39a-8d01-429e-9ed7-676c1113c9af,8952,2023-02-09 16:48:54,2023-02-09 16:54:56,Mobile,Direct,11,3,True,False
d5a76475-f33d-4a34-af90-b2d816991fc9,4661,2022-05-27 17:47:14,2022-05-27 17:50:36,Mobile,Email,15,6,False,True
711f9995-c180-4749-8488-db14104b1882,3609,2019-11-23 09:52:59,2019-11-23 10:11:41,Mobile,Organic Search,21,18,False,True
e82a49c3-1bc3-4902-9eee-076f300a8b36,9976,2025-11-19 16:07:21,2025-11-19 16:07:51,Desktop,Organic Search,4,0,False,False
71573bca-fa02-400b-9024-a5b63e6a63ff,9832,2024-07-05 00:28:08,2024-07-05 01:11:44,Mobile,Display Ads,39,14,False,True
ebad8d64-5710-4ce6-83b9-b20d03090186,4741,2024-12-11 06:04:11,2024-12-11 07:16:51,Desktop,Social Media,64,45,False,False
54a1a4ea-6381-4991-a626-6c6321d47fb2,7610,2020-12-07 20:45:33,2020-12-07 20:47:01,Desktop,Organic Search,5,3,False,True
9ec9ed7b-166d-46b4-b84b-d726ff918869,5650,2025-04-02 23:58:50,2025-04-03 00:21:02,Mobile,Display Ads,19,12,False,False
504b8d62-39ec-444e-9f3b-1540c784307b,5796,2023-07-06 19:13:02,2023-07-06 19:27:06,Mobile,Social Media,28,25,False,False
0f8498d1-90ca-4af4-af98-690200451fff,4275,2025-07-07 03:10:14,2025-07-07 03:49:03,Mobile,Direct,17,3,True,False
45fdc6fe-d862-4890-8d26-15bebbc36083,3550,2024-05-22 07:38:56,2024-05-22 07:39:08,Mobile,Paid Search,4,0,True,False
2638fb47-7e4a-4cfd-8b93-1fb9cdad0701,1031,2024-03-04 08:50:08,2024-03-04 09:35:27,Desktop,Email,50,49,True,False
425260a4-2951-4b39-8072-9cc332f1f0fc,5146,2025-04-29 04:25:53,2025-04-29 04:31:42,Desktop,Direct,6,5,False,False
fec16a58-1ab0-42b6-a4f0-e68840f5fc03,3017,2021-11-25 01:18:29,2021-11-25 01:57:06,Tablet,Paid Search,45,28,False,True
22cb16e4-da90-4918-96d4-17d132aeae07,5382,2025-10-27 17:19:07,2025-10-27 17:27:15,Mobile,Organic Search,8,4,True,False
13ac0ec3-a391-4b86-8631-df75aa53ca62,3939,2024-04-02 21:51:12,2024-04-02 21:51:55,Mobile,Organic Search,4,1,True,False
80d7e730-2389-48b9-be15-7943f934d043,9392,2016-02-15 23:39:19,2016-02-15 23:40:03,Mobile,Organic Search,5,0,False,True
303712cd-1672-46bb-8674-869718da4144,7210,2025-11-05 22:14:03,2025-11-05 22:26:10,Mobile,Referral,26,15,False,False
ffbaa6aa-205d-4419-9aff-03500fc807dc,2315,2023-04-18 10:16:21,2023-04-18 11:00:59,Desktop,Organic Search,82,39,True,False
e9d56f57-ba3c-490a-9667-ecf7d793fd35,1212,2021-10-08 20:17:46,2021-10-08 20:25:19,Desktop,Referral,3,0,True,False
716710b7-3261-4a0c-a1a9-8f5a68c14a23,676,2025-06-25 06:55:41,2025-06-25 07:06:09,Mobile,Organic Search,23,11,False,True
1d5e015e-7501-4a91-bef1-37394aa9c2db,6647,2024-12-12 09:09:13,2024-12-12 11:52:11,Desktop,Social Media,11,8,True,False
5c638811-f9b2-48f4-b179-2ca6e2877fff,2955,2025-11-23 17:38:59,2025-11-23 17:40:29,Desktop,Direct,4,0,False,False
45472336-46a2-4ae4-ab51-a09df0a6ada0,9782,2023-09-10 01:23:56,2023-09-10 02:12:06,Mobile,Referral,14,12,False,True
0c43bc48-9389-46d4-b3dc-50b47e902301,779,2024-10-26 14:09:09,2024-10-26 14:11:42,Desktop,Organic Search,14,2,True,False
3e9834e6-9062-4019-851c-b46b718f1097,1892,2023-10-24 02:04:59,2023-10-24 02:14:48,Tablet,Direct,15,3,False,False
cfccb9b0-ef20-4784-b349-b892ef7c675d,3173,2025-04-10 13:20:12,2025-04-10 13:57:47,Desktop,Social Media,55,28,False,False
c04bcebe-f0e3-45cf-8b9f-cdbaf72668b1,8367,2020-08-02 08:00:04,2020-08-02 08:06:30,Mobile,Social Media,4,3,False,False
c6d21e9f-25a8-4050-be76-79864df3293d,7682,2023-09-17 15:57:17,2023-09-17 16:42:18,Mobile,Display Ads,51,30,False,False
8bf9006c-34c1-4033-852c-fbe530982c38,3121,2025-12-02 01:48:51,2025-12-02 01:56:51,Mobile,Paid Search,4,0,True,False
d5b1f6df-c358-454f-9bcd-86f77ca90c28,5232,2024-01-13 02:33:14,2024-01-13 02:33:29,Desktop,Social Media,1,0,False,False
f3769b67-3a3f-4075-97db-1cce8e7b282e,4520,2025-10-01 06:30:37,2025-10-01 06:32:11,Desktop,Email,4,1,False,False
