inventory_id,product_id,supplier_id,stock_quantity,reserved_quantity,minimum_stock_level,last_restocked_date,storage_cost
291,178,167,9,2,19,2025-07-12,4.44
603,362,9,86,27,27,2025-07-08,1.66
859,524,139,2,1,0,2025-08-12,1.52
1059,643,128,55,18,14,2025-08-17,10.32
1188,725,346,11,3,19,2025-10-23,0.49
1239,756,116,0,0,5,2025-06-17,1.87
1548,959,9,20,0,0,2025-08-17,2.85
1626,1007,401,7,1,27,2025-09-08,4.08
1640,1015,467,33,14,25,2025-10-25,0.28
1678,1035,200,0,0,8,2025-01-19,5.86
1715,1060,424,15,3,5,2025-09-11,0.97
1770,1095,277,10,4,22,2025-11-30,29.04
1786,1106,428,14,5,19,2025-12-15,4.05
1827,1132,483,0,0,21,2025-10-16,6.37
1929,1189,178,21,0,17,2025-08-22,3.83
1941,1194,433,211,34,22,2025-10-12,2.87
2417,1480,25,10,3,0,2025-11-15,2.59
2532,1557,366,263,24,23,2025-07-15,9.47
2722,1670,63,133,22,14,2025-11-04,27.97
2725,1672,54,212,37,20,2025-10-14,0.18
2794,1714,270,324,29,23,2025-09-25,2.43
3696,2262,149,0,0,16,2025-10-22,0.21
3786,2316,469,141,33,17,2025-07-31,0.91
3918,2384,480,487,2,21,2025-09-07,0.51
4039,2457,207,451,17,6,2025-07-07,10.54
4111,2506,271,468,22,17,2025-11-23,3.74
4210,2570,275,250,30,9,2025-09-14,55.99
4305,2627,50,0,0,11,2025-06-29,1.27
4388,2680,321,5,3,21,2025-10-06,13.33
4726,2885,217,489,13,28,2025-12-05,2.04
4795,2928,437,2,1,18,2025-09-10,4.29
5013,3060,338,243,20,16,2025-09-02,9.67
5286,3228,237,63,5,6,2025-08-16,0.82
5313,3248,337,15,0,11,2025-08-16,19.03
5667,3461,152,349,35,7,2025-08-19,0.19
5681,3471,472,3,1,0,2025-10-30,3.99
5786,3532,290,13,5,9,2025-11-14,1.0
5919,3613,140,249,43,24,2025-07-26,8.41
6280,3831,108,373,45,15,2025-06-30,0.4
6335,3864,284,1,1,5,2025-12-24,9.27
6353,3874,91,142,47,12,2025-09-21,2.86
6383,3889,82,1,1,6,2025-06-28,2.05
7175,4363,158,0,0,7,2025-04-18,3.81
7691,4674,445,486,27,7,2025-08-20,0.99
7866,4775,81,17,1,0,2025-11-29,8.33
7925,4815,128,49,19,22,2025-11-04,14.33
8216,4981,55,195,29,17,2025-07-02,5.44
8646,3345,466,0,0,9,2025-06-17,15.74
8693,2312,454,18,9,0,2025-07-13,4.1
9194,1813,370,52,23,21,2025-12-23,1.31
9743,1036,263,10,3,26,2025-09-30,1.12
9786,2646,282,431,3,27,2025-10-13,10.98
10442,2209,374,0,0,16,2025-01-03,8.49
10525,1733,47,0,0,29,2025-11-07,39.32
10790,1176,375,0,0,28,2025-01-23,1.33
10883,3589,202,166,12,10,2025-07-23,1.95
11065,1724,47,0,0,28,2025-10-09,1.56
11073,1816,391,353,25,30,2025-11-13,1.88
11108,432,439,0,0,6,2025-06-03,2.35
11333,1670,70,424,47,11,2025-09-13,42.19
11463,1884,481,25,8,19,2025-07-13,3.95
11512,744,201,488,23,28,2025-10-01,14.76
11711,2137,34,251,4,22,2025-07-12,5.71
11924,2256,282,453,46,29,2025-10-24,2.66
277,171,64,27,0,21,2025-10-22,17.94
434,260,273,489,15,8,2025-11-30,21.34
1004,611,25,0,0,13,2025-04-16,15.84
1363,836,360,18,0,0,2025-08-05,1.0
1497,922,227,137,48,14,2025-12-03,12.37
1636,1011,85,0,0,14,2025-09-02,0.82
