order_item_id,order_id,product_id,quantity,discount_amount,product_price
278,70,4954,2,0.0,82.6
560,142,185,5,0.0,61.43
1162,298,4451,3,748.19,997.59
1549,389,1906,3,0.0,267.63
1564,394,1171,4,0.0,100.99
1569,394,990,2,0.0,179.41
1595,399,1940,7,0.0,230.79
2126,532,3460,1,0.0,1637.78
2238,560,1800,2,0.0,1064.88
2257,565,1975,4,0.0,523.62
2261,566,1684,1,0.0,480.95
2785,691,3906,2,0.0,307.43
2849,709,455,1,0.0,40.94
3008,747,4116,8,0.0,135.92
3185,789,868,3,0.0,58.01
3402,845,4796,1,79.64,318.54
3489,870,3739,8,0.0,1848.84
3600,897,409,9,609.86,338.81
3794,947,2842,1,0.0,43.45
4132,1034,1731,1,0.0,186.26
4370,1098,2686,4,0.0,393.45
4407,1107,1462,2,0.0,28.63
4460,1120,2002,3,0.0,1095.34
5065,1276,1369,1,0.0,106.1
5103,1287,4248,2,0.0,91.93
5390,1360,1921,6,0.0,662.46
6042,1515,2494,4,0.0,176.36
6051,1517,4915,1,237.17,1185.85
6083,1524,4511,4,0.0,168.9
6241,1565,1978,4,0.0,1266.19
6341,1594,1656,2,0.0,1308.83
6513,1639,3080,4,0.0,177.62
6725,1696,375,4,288.13,180.08
7712,1957,3469,2,184.53,461.33
8039,2043,4636,5,0.0,106.98
8102,2060,3927,1,0.0,81.64
8189,2080,2771,2,0.0,150.84
8448,2147,2116,1,75.63,378.16
8680,2206,2685,5,0.0,53.91
8938,2269,2034,3,229.04,381.73
8988,2280,4541,1,28.75,191.7
9071,2301,1983,6,35.18,29.32
9267,2351,4041,2,0.0,726.78
9275,2352,1407,1,113.2,754.68
9624,2437,1808,1,0.0,199.29
9684,2453,1338,6,473.81,197.42
9824,2488,1633,2,0.0,859.7
9985,2532,3975,5,466.95,466.95
10015,2541,2476,1,0.0,913.8
11398,2891,4709,1,8.79,58.61
11439,2901,3809,1,257.7,1288.52
11565,2933,1342,1,0.0,1934.13
11615,2947,624,2,0.0,475.6
11838,3002,1798,3,0.0,43.84
11896,3015,3219,1,89.0,890.03
12018,3043,4308,5,148.59,198.12
12243,3103,4519,1,84.58,422.91
12519,3174,4181,3,63.09,84.12
12746,3228,1332,4,4380.88,1095.22
13138,3323,3650,2,298.6,597.2
13321,3371,2714,4,76.44,191.09
13533,3427,4635,4,0.0,111.41
13549,3432,1475,3,0.0,318.11
13732,3479,3305,2,0.0,1713.18
13792,3493,293,3,0.0,805.24
13851,3508,63,5,498.2,249.1
13878,3515,3343,5,0.0,1273.84
13887,3518,2455,3,0.0,494.85
14177,3595,3659,1,0.0,27.77
14450,3668,2799,1,0.0,1385.67
14551,3694,1681,2,0.0,237.52
14587,3702,332,5,0.0,755.84
14802,3758,4105,2,0.0,977.26
14864,3774,1765,1,71.27,285.07
14944,3794,897,1,26.04,173.59
15382,3906,1672,2,0.0,22.71
16118,4086,4165,1,0.0,742.25
16171,4098,2205,4,0.0,19.21
16304,4137,4410,5,0.0,267.63
16949,4294,3754,2,0.0,1021.27
17005,4306,1818,3,0.0,100.57
17129,4335,4547,3,0.0,1781.72
17270,4372,4705,2,0.0,970.71
17623,4463,4987,1,0.0,187.21
17714,4489,4211,2,201.66,252.07
17923,4540,2643,1,0.0,843.91
17987,4557,4671,3,182.02,242.7
18348,4646,1689,1,126.14,1261.36
18463,4674,2303,1,74.35,185.88
18673,4725,4462,1,0.0,1266.2
18813,4764,4785,2,0.0,106.26
19129,4841,3772,1,0.0,215.83
19153,4845,538,3,0.0,1003.65
19745,4986,2715,4,0.0,1527.9
20052,5066,940,3,0.0,295.08
20265,5116,2759,2,0.0,451.62
20489,5173,3049,1,0.0,207.56
20600,5201,1948,2,268.37,894.55
20836,5261,89,3,35.94,119.8
20952,5287,1496,7,0.0,108.92
21055,5313,461,3,69.36,92.48
21392,5397,1774,7,0.0,39.13
22029,5554,341,1,8.14,81.36
22238,5606,3363,1,17.31,115.42
22507,5671,2149,4,746.56,186.64
22645,5707,3897,1,0.0,437.8
22747,5731,3862,2,0.0,71.54
22931,5779,3127,2,0.0,89.92
23042,5810,3684,1,23.24,92.97
23090,5820,1965,1,0.0,1259.58
23159,5836,3570,3,0.0,186.94
23356,5888,4507,2,0.0,4.83
24128,6078,1580,8,0.0,157.55
24261,6115,1337,1,0.0,583.21
24416,6154,2163,1,133.89,535.56
24681,6220,2925,1,0.0,752.93
24879,6263,314,1,38.16,190.82
25647,6444,2668,7,98.59,70.42
25809,6477,3139,2,0.0,545.95
25973,6520,2618,1,0.0,47.48
26102,6552,466,1,0.0,22.58
26288,6594,892,1,0.0,211.27
26457,6637,1394,2,21.73,54.32
26534,6654,4735,1,0.0,226.8
26560,6661,4713,2,0.0,75.81
26766,6712,2371,8,0.0,295.75
27090,6788,3249,1,0.0,41.8
27319,6839,4746,1,47.06,188.26
27326,6840,4584,1,0.0,35.47
27768,6956,1623,1,0.0,47.38
27877,6980,770,3,166.54,370.09
28016,7010,3576,5,350.6,280.48
28078,7025,1921,1,0.0,662.46
28266,7071,2167,2,376.64,1255.47
28516,7132,3407,1,0.0,368.02
28739,7186,832,2,0.0,440.53
28761,7191,1569,4,0.0,305.46
28961,7237,2930,4,0.0,107.62
29127,7278,4672,1,0.0,97.68
29246,7307,1172,2,0.0,451.94
29329,7324,41,1,0.0,399.92
29442,7347,2068,3,751.05,1669.01
29557,7377,3191,2,0.0,282.79
29562,7378,4528,4,0.0,811.17
29854,7449,3766,3,43.43,144.77
29871,7453,346,5,0.0,407.72
29982,7482,815,6,0.0,160.92
30005,7488,2056,3,0.0,277.81
30244,7546,3247,7,888.02,1268.6
30252,7548,1681,1,0.0,237.52
30596,7632,145,2,0.0,673.74
30604,7635,3455,2,0.0,68.17
30672,7653,2039,3,354.85,591.42
30714,7662,1497,8,0.0,476.89
30787,7682,3094,1,27.59,275.95
30936,7717,4824,2,24.18,30.22
30994,7733,2175,1,407.6,407.6
31170,7778,1866,2,927.74,1159.67
32192,8033,4564,6,615.19,512.66
32510,8104,4443,1,0.0,747.25
32588,8124,2167,6,1506.56,1255.47
32898,8191,225,3,215.48,287.31
33025,8223,929,1,6.8,16.99
33314,8299,2301,3,20.45,34.09
33332,8303,4081,2,147.29,294.58
33333,8303,389,4,208.69,260.86
33909,8441,2545,2,53.74,134.35
33924,8445,4499,4,0.0,1158.23
35792,8893,939,1,10.0,24.99
35884,8916,2124,2,0.0,106.79
35995,8945,1417,1,0.0,41.0
36250,9010,2578,2,73.67,368.36
36493,9064,4530,6,252.62,210.52
36635,9096,1522,2,0.0,47.21
37153,9229,3393,3,40.25,67.09
37193,9238,1929,1,0.0,25.07
37218,9246,1464,2,0.0,1318.43
37450,9304,881,3,0.0,713.23
37571,9330,2957,2,0.0,259.78
37612,9341,916,3,0.0,114.49
37803,9387,2060,2,0.0,2045.82
37821,9393,2155,1,9.22,23.06
37839,9396,1217,3,0.0,47.8
37900,9409,1425,3,0.0,59.89
38018,9433,2098,7,1010.99,1444.27
38100,9454,1308,3,0.0,69.64
38311,9503,1369,1,0.0,106.1
38540,9561,3746,1,141.85,709.27
38573,9567,462,1,16.68,166.8
38896,9646,4409,5,0.0,350.14
38935,9655,4803,2,0.0,70.92
39392,9776,4251,3,146.31,243.85
39858,9878,1293,6,0.0,54.63
39877,9882,1631,1,0.0,762.38
40100,9935,486,3,0.0,403.97
40139,9945,1474,5,1676.63,1676.63
40464,10022,1630,1,0.0,122.96
40651,10067,1888,2,32.32,80.81
41267,10209,2323,2,0.0,759.62
41358,10237,3126,4,0.0,688.42
41483,10263,228,2,0.0,111.41
42210,10443,3792,3,981.0,1308.0
42323,10471,3483,8,0.0,505.73
42493,10512,991,6,657.79,548.16
42622,10543,966,5,0.0,147.83
42846,10597,2300,3,270.37,901.23
43032,10643,3532,2,0.0,67.61
43365,10723,1816,6,0.0,97.73
43469,10745,2799,3,831.4,1385.67
43710,10803,2393,2,349.98,874.94
43715,10804,3947,3,0.0,372.73
43938,10859,2415,1,0.0,276.51
44206,10919,1428,1,0.0,12.18
44226,10925,3601,3,289.92,96.64
44634,11027,25,3,28.73,38.31
44744,11055,3017,4,0.0,1758.87
46239,11416,736,2,0.0,183.14
46404,11452,3186,3,0.0,288.39
47027,11599,1444,5,179.43,358.86
47288,11668,4622,4,45.77,76.29
47374,11690,640,4,0.0,237.38
47574,11741,3013,1,0.0,1371.57
47978,11837,1780,4,253.35,633.38
48316,11927,1712,1,24.15,161.03
48571,11993,1149,1,0.0,596.96
48675,12019,83,3,0.0,1594.77
49025,12111,3506,5,1878.94,939.47
49298,12178,4595,4,0.0,72.18
49510,12235,162,5,0.0,614.46
49526,12239,2762,5,0.0,263.09
49663,12276,4810,10,0.0,418.16
49933,12345,107,2,0.0,137.83
50176,12403,4709,3,43.96,58.61
50289,12430,3226,2,16.06,80.3
50805,12567,2524,1,0.0,378.68
51072,12633,3908,1,126.58,126.58
51572,12760,3727,3,0.0,82.66
52729,13044,4697,3,0.0,46.65
52780,13058,3981,1,0.0,132.63
53017,13120,4053,4,1515.62,947.26
53100,13141,3312,2,133.55,445.17
53158,13154,3596,2,0.0,137.18
53200,13163,2333,1,0.0,517.76
53319,13201,2950,1,8.0,80.04
53501,13241,1083,3,0.0,59.5
53931,13345,1624,4,0.0,941.44
54162,13401,2087,2,159.14,530.48
55379,13716,1974,1,0.0,115.95
55534,13754,1486,2,103.18,257.95
55688,13796,1929,4,0.0,25.07
55767,13816,4822,4,0.0,113.3
55826,13830,2981,3,399.95,533.27
55974,13871,519,1,0.0,839.43
56074,13899,4017,1,0.0,1166.79
56091,13904,2160,1,13.66,34.15
56191,13927,515,3,31.03,68.95
25935,6511,4103,2,0.0,71.5
26818,6725,3480,1,0.0,243.25
29320,7321,555,6,111.92,186.53
31299,7809,229,5,0.0,67.32
31946,7973,1030,3,0.0,288.47
38921,9651,1359,3,0.0,63.31
39485,9794,1698,2,0.0,123.69
39536,9802,3986,7,0.0,226.03
41255,10206,1624,1,0.0,941.44
44039,10885,1337,4,0.0,583.21
45202,11169,226,1,0.0,368.57
47500,11725,1184,2,0.0,224.75
47868,11810,586,2,0.0,59.5
47883,11814,4362,3,74.56,99.41
48375,11940,2877,2,0.0,45.13
49177,12149,1503,2,457.25,914.49
49241,12166,4457,1,342.87,1371.47
52001,12867,753,1,0.0,136.12
52408,12966,248,1,0.0,1115.63
54338,13448,1249,3,0.0,106.2
85,21,707,4,0.0,34.1
231,57,436,2,0.0,163.03
437,109,3012,5,830.84,830.84
744,185,2542,2,51.84,103.69
1079,276,1728,2,21.75,72.51
1121,288,3069,4,0.0,860.15
1241,317,1885,2,0.0,705.19
1624,407,1404,2,0.0,175.56
2009,498,1208,7,727.79,1039.7
2263,566,1865,3,46.32,77.2
2286,570,2555,1,0.0,1211.28
2425,605,4134,6,0.0,174.79
2984,740,2889,3,0.0,624.21
3086,763,4498,1,334.72,1338.87
3191,789,1754,1,190.68,476.7
3222,795,1917,8,519.92,324.95
3347,828,3258,8,0.0,36.17
3484,868,300,1,0.0,932.49
3515,875,3797,3,0.0,76.83
3825,957,1477,3,0.0,691.63
4121,1030,1862,1,0.0,104.61
4253,1068,4316,4,140.64,175.8
4443,1116,3123,3,468.96,625.28
5100,1286,786,4,0.0,91.07
5279,1330,4311,2,0.0,72.04
7378,1867,3788,2,0.0,573.38
7402,1876,104,1,0.0,562.88
7681,1948,701,3,46.63,103.62
7947,2013,2399,4,0.0,549.78
8132,2069,1782,1,139.22,1392.22
8164,2073,4927,2,0.0,215.79
8186,2079,4704,1,208.48,1389.87
8338,2118,3909,6,0.0,262.9
8406,2137,1376,1,0.0,389.66
8569,2180,4741,3,0.0,46.68
8606,2187,2375,5,0.0,216.27
8880,2256,3334,3,0.0,148.99
9094,2307,3827,2,0.0,218.05
9248,2348,2560,3,0.0,72.38
9254,2348,4914,2,0.0,214.24
9428,2389,1577,3,0.0,11.43
9463,2397,287,1,454.51,454.51
9857,2498,351,5,0.0,285.75
9903,2507,687,1,20.14,201.45
10416,2647,2897,8,0.0,91.36
10544,2681,395,4,1054.03,1054.03
10652,2702,4810,7,0.0,418.16
11021,2795,4094,4,0.0,101.93
11318,2868,1244,1,0.0,384.58
11854,3006,4058,1,81.97,327.9
11945,3028,4677,2,84.54,169.08
11968,3032,1541,4,0.0,891.48
12053,3048,557,1,0.0,133.71
12091,3059,1107,3,0.0,240.44
12160,3078,3608,4,0.0,267.18
