order_id,customer_id,order_status,subtotal,tax_amount,shipping_cost,total_discount,total_amount,currency,order_placed_at,order_shipped_at,order_delivered_at
958,611,Delivered,2868.58,193.95,8.66,0.0,3071.19,USD,2025-01-01 10:18:00,2025-01-04,2025-01-09
1680,1073,Delivered,1636.56,132.63,6.75,0.0,1775.94,USD,2024-07-28 09:54:17,2024-07-30,2024-08-02
2807,1814,Delivered,2332.28,177.73,23.61,135.53,2533.62,USD,2018-08-04 04:15:35,2018-08-06,2018-08-09
2980,1923,Delivered,4855.22,474.47,0.0,769.33,5329.69,USD,2024-03-26 01:39:51,2024-03-27,2024-03-30
4690,3007,Delivered,914.58,84.08,25.32,344.4,1023.98,USD,2025-04-17 03:10:16,2025-04-19,2025-04-26
5039,3265,Delivered,703.93,68.01,19.17,0.0,791.11,USD,2023-08-01 21:20:44,2023-08-01,2023-08-07
5188,3375,Delivered,4753.88,466.77,7.86,317.4,5228.51,USD,2025-03-05 09:12:55,2025-03-07,2025-03-14
5816,3843,Delivered,2947.04,306.07,15.45,34.31,3268.56,USD,2025-04-19 19:11:22,2025-04-21,2025-04-24
5817,3844,Delivered,1696.5,168.44,0.0,918.07,1864.94,USD,2025-12-24 21:23:23,2025-12-25,2025-12-25
6379,4241,Delivered,4604.83,404.16,0.0,37.18,5008.99,USD,2024-01-25 00:09:17,2024-01-27,2024-02-03
7304,4916,Delivered,4926.68,442.1,9.63,187.25,5378.41,USD,2023-07-05 16:36:21,2023-07-06,2023-07-12
7489,5047,Returned,6154.11,529.54,0.0,893.26,6683.65,USD,2024-07-12 01:43:20,2024-07-13,2024-07-19
9330,6472,Delivered,3191.51,278.49,13.91,0.0,3483.91,USD,2024-06-24 10:59:30,2024-06-26,2024-07-01
9928,6918,Delivered,2774.21,246.16,20.48,139.41,3040.85,USD,2020-08-07 05:59:18,2020-08-10,2020-08-16
10388,7273,Returned,8074.01,463.33,20.92,354.98,8558.26,USD,2022-08-21 16:17:59,2022-08-21,2022-08-28
10424,7299,Delivered,8929.95,553.02,74.95,2166.68,9557.92,USD,2024-01-19 21:08:18,2024-01-20,2024-01-26
