supplier_id,supplier_rating,supplier_status,is_preferred,is_verified,contract_start_date,contract_end_date,city,state,zip_code,country
90,3.02,Active,False,True,2023-08-31,2026-09-02,San Antonio,NC,99221,US
130,3.26,Inactive,False,False,2023-12-15,2025-03-30,Detroit,OR,48682,US
391,3.32,Inactive,False,True,2018-08-01,2020-09-23,San Jose,FL,67709,US
426,3.49,Active,False,True,2023-11-16,2028-01-11,San Antonio,OH,18826,US
94,4.6,Under Review,False,False,2023-10-09,2025-07-17,Vancouver,NB,,CA
104,3.11,Inactive,False,True,2021-03-07,2025-01-11,Seattle,TN,62215,US
177,4.81,Active,True,True,2021-10-25,2026-10-05,Fort Worth,IL,25746,US
371,4.63,Active,False,False,2024-03-24,2026-01-25,El Paso,MI,30338,US
443,4.47,Under Review,False,False,2018-06-15,2022-08-14,Edinburgh,Scotland,,GB
33,4.88,Inactive,False,False,2019-02-12,2023-11-24,Memphis,MA,92908,US
408,4.45,Inactive,False,False,2021-02-16,2024-04-18,New York,NJ,80505,US
49,1.93,Inactive,False,True,2020-02-03,2022-11-22,Paris,Unknown,32171,FR
325,4.71,Active,True,True,2024-01-14,2028-06-27,Austin,NJ,16669,US
84,3.07,Inactive,False,False,2018-11-10,2022-01-09,Leeds,Northern Ireland,,GB
116,4.73,Under Review,False,False,2018-03-10,2019-12-10,Portland,VA,36903,US
354,2.04,Inactive,False,True,2022-07-11,2025-01-13,Toronto,ON,,CA
28,4.27,Inactive,False,True,2018-07-08,2020-05-27,Leipzig,North Rhine-Westphalia,43124,DE
74,3.07,Inactive,False,True,2023-09-27,2025-08-15,New York,NJ,10579,US
389,4.39,Inactive,False,False,2022-01-23,2025-04-19,Indianapolis,OH,75183,US
92,4.34,Inactive,False,True,2022-03-16,2025-01-30,Montreal,BC,,CA
178,4.27,Inactive,False,True,2022-07-01,2025-11-22,Bordeaux,Unknown,82931,FR
347,2.09,Inactive,False,True,2021-11-18,2025-12-06,Houston,OR,85055,US
488,3.95,Inactive,False,True,2023-11-03,2025-08-04,El Paso,NY,65097,US
144,3.32,Inactive,False,True,2018-07-19,2019-10-21,Austin,OH,37631,US
425,3.19,Inactive,False,True,2018-05-14,2022-09-18,Edmonton,ON,,CA
289,4.74,Inactive,False,True,2022-04-05,2023-12-28,Denver,NC,28671,US
327,3.38,Inactive,False,False,2022-03-03,2025-06-07,Edmonton,ON,,CA
34,3.47,Inactive,False,False,2023-10-21,2025-09-06,Dallas,NY,19169,US
53,3.23,Under Review,False,True,2021-09-16,2024-01-25,Winnipeg,SK,,CA
346,3.89,Active,True,True,2022-07-13,2026-05-02,Charlotte,NJ,35149,US
372,3.62,Inactive,False,True,2018-07-10,2021-04-03,Fort Worth,CO,93924,US
181,3.33,Inactive,False,True,2023-11-02,2025-09-19,Columbus,NC,25755,US
50,4.56,Inactive,False,True,2019-03-29,2023-08-15,Winnipeg,QC,,CA
291,4.73,Inactive,False,True,2022-07-02,2024-05-04,Austin,OR,46821,US
351,2.36,Inactive,False,False,2018-05-11,2022-11-23,Cologne,Berlin,35690,DE
47,3.52,Inactive,False,True,2020-09-02,2023-04-29,Stuttgart,Unknown,78339,DE
487,2.38,Inactive,False,True,2024-09-17,2025-11-01,Detroit,TN,68624,US
87,4.15,Active,False,True,2023-09-05,2027-05-24,Liverpool,England,,GB
145,1.81,Inactive,False,True,2018-09-05,2022-06-20,Strasbourg,Unknown,61919,FR
159,4.02,Active,False,True,2021-05-09,2026-01-02,Seattle,VA,67239,US
466,4.5,Inactive,False,True,2019-09-25,2022-06-10,Austin,OR,98556,US
17,4.8,Inactive,False,True,2019-02-15,2021-03-04,Vancouver,NS,,CA
164,4.68,Inactive,False,True,2019-01-12,2023-07-15,New York,CO,79760,US
277,4.71,Inactive,False,False,2019-10-28,2021-10-11,New York,NJ,90436,US
410,3.86,Active,False,True,2023-12-29,2028-09-10,Denver,AZ,56831,US
416,4.84,Inactive,False,False,2019-10-31,2023-08-29,Columbus,NY,86684,US
220,4.43,Inactive,False,True,2022-07-13,2025-02-08,San Jose,GA,13938,US
259,4.03,Inactive,False,False,2018-05-06,2021-12-15,Cologne,Berlin,27961,DE
79,3.85,Active,False,True,2023-07-18,2028-07-11,Berlin,Hesse,95238,DE
186,4.84,Inactive,False,False,2023-04-04,2024-09-27,Marseille,Unknown,98032,FR
249,4.99,Inactive,False,True,2019-07-14,2022-08-31,Austin,TX,88132,US
483,4.11,Inactive,False,True,2020-01-01,2021-05-07,Phoenix,OR,73839,US
179,3.5,Inactive,False,True,2018-09-20,2022-09-13,Austin,NY,24247,US
192,4.21,Inactive,False,True,2018-07-09,2021-03-30,Philadelphia,OR,15536,US
206,4.6,Inactive,False,True,2019-07-21,2023-02-26,Montreal,QC,,CA
41,4.66,Active,False,True,2024-11-07,2028-03-16,Quebec City,AB,,CA
474,3.55,Inactive,False,False,2023-01-03,2025-03-20,Edmonton,MB,,CA
187,3.84,Inactive,False,False,2019-12-19,2023-02-07,Leipzig,North Rhine-Westphalia,18001,DE
125,3.15,Inactive,False,True,2018-05-04,2021-12-05,Phoenix,AZ,42863,US
143,3.33,Inactive,False,True,2022-06-04,2025-06-01,Cologne,Bavaria,76574,DE
203,1.57,Inactive,False,True,2021-12-21,2024-02-03,Los Angeles,NJ,57785,US
228,4.92,Inactive,False,True,2020-04-05,2023-01-04,Berlin,Berlin,68221,DE
247,4.89,Active,True,True,2023-09-28,2027-10-31,Quebec City,ON,,CA
365,4.72,Inactive,False,False,2017-12-27,2020-12-30,Nashville,TX,87983,US
