wishlist_id,customer_id,product_id,added_date,purchased_date,removed_date
209,6410,4724,2025-12-11,,
263,8269,4777,2025-10-09,,2025-11-26
318,2012,3801,2024-12-29,,
600,3552,1258,2024-10-20,2025-03-22,
683,4672,1298,2025-10-07,,
825,6272,890,2025-06-09,2025-06-21,
898,1224,1293,2025-12-18,2025-12-25,
1021,1470,4332,2024-10-17,,
1098,5794,4284,2024-06-07,,2024-11-24
1468,8621,1948,2025-12-12,,
1543,315,3804,2025-10-17,,
1594,9466,208,2025-11-27,,
2033,1354,1584,2024-01-26,,
2300,5156,3940,2025-11-16,,2025-11-21
2525,2211,1540,2024-09-01,2024-11-01,
2570,6252,3680,2024-04-22,,
2575,5855,4976,2024-10-13,,
2620,8263,3833,2024-09-25,,
2812,1213,2832,2025-09-28,,
3001,4382,4854,2025-02-09,,
3089,5032,171,2025-04-24,,2025-07-31
3234,1662,1545,2024-08-29,,
3348,6302,3421,2024-06-29,,2025-06-13
3449,1232,4834,2025-02-02,,
3627,1152,3838,2024-09-12,,2025-08-28
4016,3348,3567,2025-10-13,,2025-11-18
4220,9532,3108,2024-09-07,,
4445,7771,3489,2024-12-08,,
4609,7287,4,2024-11-21,,2025-03-10
4756,5341,3810,2025-11-30,2025-12-12,
4778,5133,4568,2024-01-05,2024-03-15,
4803,9678,1043,2024-12-06,,
4820,3200,2858,2025-05-09,,
5103,2958,2265,2025-09-09,2025-12-11,
5434,1734,2340,2024-04-13,,
5454,5491,3394,2024-01-24,,
5477,4757,4220,2025-11-10,,
5578,9413,791,2025-07-23,2025-10-25,
5628,4822,4747,2024-04-19,,
6068,3282,633,2024-07-13,,
6113,388,1739,2025-09-17,,
6273,5059,699,2025-11-20,,
6350,2287,4144,2023-12-29,,
6598,7094,243,2024-11-29,,
6621,6670,3596,2025-04-27,,
6802,7082,2792,2024-04-18,2024-09-19,
6946,6238,2639,2025-07-04,,
7126,2234,2467,2025-06-10,,
7373,7661,2934,2024-01-05,,
7761,4226,2938,2025-02-05,2025-08-04,
7984,4906,1327,2025-01-11,2025-03-04,
8209,324,4912,2025-08-14,,
8309,6115,467,2024-04-03,,
8454,2116,3556,2025-07-30,,
8532,9699,4888,2025-07-14,,
8855,4482,428,2025-07-25,2025-11-08,
9063,2619,3796,2024-04-09,,
9137,9915,2472,2025-11-06,,2025-11-08
9187,7611,846,2025-07-16,,
9257,7790,785,2024-02-11,2024-04-21,
9465,4234,2530,2025-10-09,,
9500,4494,4211,2024-11-02,,
10081,531,4273,2024-03-26,2024-04-16,
10140,8566,4089,2024-11-15,,
10168,1292,460,2024-11-14,,
10546,900,3579,2024-06-17,,2024-08-15
10649,5402,4712,2025-09-29,2025-10-31,
10770,924,4019,2025-04-26,,
11183,3292,2611,2024-08-08,,
11524,5908,1204,2025-05-24,,2025-09-28
11718,9873,4545,2025-10-12,,
11782,4604,3520,2025-03-12,,2025-11-16
11820,740,1815,2024-10-16,,
11831,1972,1188,2024-09-18,,
11835,1268,392,2024-07-16,2024-10-01,
11836,2684,2071,2024-10-09,,
12012,7833,4202,2024-11-21,,2025-06-20
12129,7809,1008,2025-01-23,2025-02-11,
12173,7936,2975,2025-09-13,,
12228,8118,2856,2025-10-26,,2025-12-17
12273,6149,1209,2024-02-02,,
12369,6215,2980,2025-04-19,,
12565,5341,4708,2025-12-10,,2025-12-17
12817,9216,2085,2024-12-25,,2025-01-23
12909,2632,1661,2025-12-05,2025-12-24,
13158,9668,3405,2024-02-03,,
13279,5803,4707,2025-12-19,,2025-12-20
13476,4123,2515,2025-04-27,2025-05-26,
13781,3981,950,2025-12-07,,
13822,3550,68,2025-04-05,2025-05-17,
13950,173,3551,2025-05-03,,
14053,7616,1345,2025-10-29,,
14401,2297,1358,2025-12-08,2025-12-15,
14533,4504,3602,2025-07-12,,
14837,9404,609,2024-03-16,,
15011,7170,4279,2025-06-28,,
15859,2538,2384,2024-10-18,,
16015,3291,2877,2025-12-05,,
16044,6985,4046,2024-05-11,,
16353,5458,2108,2024-06-07,,
16443,7290,153,2024-10-27,,
16511,5744,3923,2025-03-19,,
16908,1126,2168,2024-03-29,2024-08-30,
17311,1227,2415,2024-05-07,,
17474,1012,3778,2025-04-04,,
17588,8778,1891,2025-10-07,,
17620,8546,996,2025-04-01,2025-06-26,
17721,5583,1154,2025-12-02,,
17878,4119,3897,2025-03-14,2025-08-26,
18091,9765,6,2025-06-02,2025-08-08,
18250,380,3676,2024-10-29,2025-03-08,
18377,1230,501,2025-06-15,2025-10-25,
18403,9370,3133,2024-11-22,,
18429,3888,2747,2024-10-18,,2025-08-11
18432,4904,1690,2025-09-04,,
19260,6469,3801,2024-07-04,,
19296,7442,146,2024-11-21,2025-01-08,
226,6490,3097,2025-05-11,,2025-09-08
526,5255,1976,2024-12-06,,
562,8349,1712,2025-11-11,,
615,3342,1171,2024-12-22,2025-06-05,
729,3741,4597,2025-09-09,,
941,2545,1106,2024-04-11,,
947,3265,3754,2024-10-19,,2024-12-31
1122,8854,2233,2025-09-16,,
1250,7550,3188,2024-06-29,,2025-05-12
1290,5864,1968,2025-09-05,,
1721,3492,4438,2025-04-12,2025-08-13,
1994,8253,2225,2025-12-23,,2025-12-24
2158,977,4803,2025-01-12,,
2176,6142,84,2025-10-14,,
2269,4231,1357,2024-07-28,,
2301,8506,3111,2025-03-20,,
2330,8357,4387,2025-12-14,2025-12-24,
2581,5142,839,2025-03-12,,
2744,2272,4265,2025-03-16,,
2917,4716,614,2024-06-09,,
3160,8572,4767,2025-09-08,2025-12-21,
3855,4123,4954,2024-05-11,2024-06-03,
3862,4303,1929,2025-12-18,2025-12-25,
4127,9074,2958,2024-05-04,,
4232,18,2976,2025-12-17,,
4637,3356,1198,2024-01-21,2024-05-26,
4936,9994,3495,2024-09-19,,2025-04-26
5009,8049,1359,2025-10-13,,2025-11-18
5251,9029,769,2024-12-25,,2025-07-09
5381,3,1890,2024-02-16,,
5870,976,2085,2025-12-19,,
5971,3441,2536,2024-10-25,,
6556,6020,4736,2024-01-30,,
