cart_item_id,cart_id,product_ref,item_quantity,price_per_unit,discount_amount,promo_code,tax_amount,status,date_added_to_cart,last_updated,saved_for_later,line_total
1,1,3015,1,16.05,0.0,,1.62,Abandoned,2025-01-20T21:20:35Z,2025-01-20T21:20:37Z,False,16.05
2,2,2348,6,45.4,0.0,,21.71,Converted,2025-05-21T15:08:35Z,2025-05-21T15:13:32Z,False,272.4
3,2,1368,4,197.18,0.0,,44.41,Converted,2025-05-21T14:29:21Z,2025-05-21T15:12:07Z,False,788.72
4,2,3127,2,89.92,44.96,NEWUSER25,16.04,Converted,2025-05-21T13:21:03Z,2025-05-21T14:49:43Z,False,179.84
5,3,3472,1,8.77,0.0,FREESHIP,0.56,Abandoned,2024-02-09T21:09:47Z,2024-02-09T21:11:39Z,False,8.77
6,4,4793,2,197.98,158.38,CLEARANCE40,19.99,Abandoned,2024-08-17T11:58:54Z,2024-08-17T11:58:54Z,False,395.96
7,5,3967,3,52.31,0.0,,9.04,Abandoned,2025-06-21T22:10:05Z,2025-06-21T22:29:45Z,False,156.93
8,5,146,3,71.75,32.29,WELCOME15,20.69,Active,2025-06-21T21:32:35Z,2025-06-21T21:54:41Z,False,215.25
9,6,1,4,960.33,576.2,WELCOME15,203.52,Abandoned,2024-05-13T05:18:58Z,2024-05-13T05:18:58Z,False,3841.32
10,6,419,3,157.47,94.48,SAVE20,25.16,Abandoned,2024-05-13T05:18:58Z,2024-05-13T05:18:58Z,False,472.40999999999997
11,6,281,3,33.29,0.0,,9.56,Abandoned,2024-05-13T05:18:58Z,2024-05-13T05:18:58Z,False,99.87
12,7,3567,5,946.22,0.0,,274.72,Converted,2024-08-17T12:03:41Z,2024-08-17T12:15:36Z,False,4731.1
13,7,3605,1,212.62,0.0,,14.53,Converted,2024-08-17T12:17:17Z,2024-08-17T12:20:46Z,False,212.62
14,7,510,7,333.17,0.0,,249.97,Converted,2024-08-17T12:17:57Z,2024-08-17T12:22:11Z,False,2332.19
15,7,1006,1,82.45,32.98,CLEARANCE40,2.89,Converted,2024-08-17T12:18:26Z,2024-08-17T12:48:17Z,False,82.45
16,7,4102,1,766.39,0.0,,40.96,Converted,2024-08-17T12:10:04Z,2024-08-17T12:30:20Z,False,766.39
17,8,2085,3,111.66,33.5,SAVE10,18.18,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,False,334.98
18,8,4443,5,747.25,0.0,,259.66,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,False,3736.25
19,8,134,6,409.84,0.0,,198.79,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,False,2459.04
20,8,3727,3,82.66,99.19,CLEARANCE40,14.73,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,False,247.98
21,8,151,7,723.3,0.0,,594.3,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,False,5063.099999999999
22,8,1403,1,165.73,0.0,,12.11,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,False,165.73
23,8,3598,7,395.83,554.16,SAVE20,197.79,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,False,2770.81
24,9,3015,2,16.05,0.0,FREESHIP,2.97,Abandoned,2025-04-29T12:00:16Z,2025-04-29T12:00:16Z,False,32.1
25,9,2603,2,237.35,0.0,,43.16,Abandoned,2025-04-29T12:00:16Z,2025-04-29T12:00:16Z,False,474.7
26,10,1945,3,220.49,264.59,CLEARANCE40,32.55,Converted,2022-06-11T06:43:41Z,2022-06-11T07:52:06Z,False,661.47
27,11,2970,1,1144.18,171.63,WELCOME15,97.17,Abandoned,2025-05-13T00:59:13Z,2025-05-13T01:47:17Z,False,1144.18
28,11,1510,3,187.56,0.0,,51.06,Abandoned,2025-05-12T08:54:23Z,2025-05-12T13:25:00Z,False,562.6800000000001
29,12,4194,4,28.22,0.0,,6.5,Abandoned,2025-09-05T10:50:25Z,2025-09-05T11:26:29Z,False,112.88
30,12,1979,4,65.48,0.0,,13.25,Abandoned,2025-09-05T09:46:26Z,2025-09-05T11:02:31Z,False,261.92
31,12,768,2,291.76,0.0,,61.72,Abandoned,2025-09-05T09:51:56Z,2025-09-05T11:28:57Z,False,583.52
32,12,2494,5,176.36,0.0,,80.28,Abandoned,2025-09-05T10:58:24Z,2025-09-05T11:25:09Z,False,881.8000000000001
33,12,1642,1,221.46,0.0,,22.45,Active,2025-09-05T10:16:36Z,2025-09-05T10:24:20Z,False,221.46
34,12,77,4,371.46,0.0,,111.46,Abandoned,2025-09-05T11:23:41Z,2025-09-05T11:35:27Z,False,1485.84
35,12,4924,3,130.38,39.11,SAVE10,24.07,Abandoned,2025-09-05T11:19:32Z,2025-09-05T11:34:21Z,True,391.14
36,13,3606,1,26.09,0.0,,2.2,Active,2025-05-08T00:40:08Z,2025-05-08T00:40:08Z,False,26.09
37,13,3427,1,761.35,0.0,,76.97,Abandoned,2025-05-08T00:40:08Z,2025-05-08T00:40:08Z,False,761.35
38,14,1633,4,859.7,0.0,,190.28,Converted,2025-11-27T00:42:21Z,2025-11-27T00:42:21Z,False,3438.8
39,14,2994,1,518.45,51.84,SAVE10,35.65,Converted,2025-11-27T00:42:21Z,2025-11-27T00:42:21Z,False,518.45
40,15,4778,3,670.15,0.0,,187.24,Converted,2023-07-28T15:45:18Z,2023-07-28T15:45:18Z,False,2010.4499999999998
41,15,1205,3,123.75,148.5,CLEARANCE40,13.37,Converted,2023-07-28T15:45:18Z,2023-07-28T15:45:18Z,False,371.25
42,15,1231,1,98.49,0.0,,4.98,Converted,2023-07-28T15:45:18Z,2023-07-28T15:45:18Z,False,98.49
43,16,4925,2,626.87,0.0,FREESHIP,140.74,Converted,2025-12-03T03:45:23Z,2025-12-03T04:31:32Z,False,1253.74
44,16,3023,1,66.71,0.0,,5.43,Converted,2025-12-03T03:46:46Z,2025-12-03T04:20:47Z,False,66.71
45,16,3728,3,527.81,0.0,,179.03,Converted,2025-12-03T03:44:46Z,2025-12-03T04:23:09Z,False,1583.4299999999998
46,17,2828,4,1083.03,1083.03,NEWUSER25,171.82,Converted,2022-03-22T05:50:02Z,2022-03-22T07:17:28Z,False,4332.12
47,17,3351,1,67.02,6.7,SAVE10,6.72,Converted,2022-03-22T05:36:34Z,2022-03-22T07:29:17Z,False,67.02
48,17,946,2,144.18,0.0,,24.65,Converted,2022-03-22T07:28:21Z,2022-03-22T07:32:41Z,False,288.36
49,17,2686,5,393.45,786.9,CLEARANCE40,91.11,Converted,2022-03-22T06:59:16Z,2022-03-22T07:26:56Z,False,1967.25
50,17,868,3,58.01,0.0,,13.08,Converted,2022-03-22T05:48:01Z,2022-03-22T06:24:06Z,False,174.03
51,18,2279,3,145.68,65.56,WELCOME15,34.21,Abandoned,2022-01-05T03:27:01Z,2022-01-05T03:28:30Z,False,437.04
52,18,3744,3,240.84,0.0,,37.68,Abandoned,2022-01-05T03:20:24Z,2022-01-05T03:21:08Z,True,722.52
