order_ref,customer_ref,order_status,order_subtotal,tax_total,shipping_fee,discount_total,grand_total,currency_code,purchase_date,shipment_date,delivery_date,device_category,coupon_code,record_created,shipping_method,customer_ip,marketing_channel,payment_method,item_count,refund_amount
1,1,Delivered,1196.0,82.16,22.08,44.96,1300.24,USD,2025-05-21T15:15:22Z,2025-05-24T15:15:22Z,2025-05-27T15:15:22Z,Desktop,NEWUSER25,2025-05-21T15:15:22Z,2-Day,189.219.185.143,Display Ads,PayPal,12,0.0
2,2,Returned,8207.04,592.68,9.62,32.98,8809.34,USD,2024-08-17T12:57:44Z,2024-08-18T12:57:44Z,2024-08-25T12:57:44Z,Desktop,CLEARANCE40,2024-08-17T12:57:44Z,Standard,76.57.196.23,Social Media,Apple Pay,16,7851.92
3,3,Cancelled,14091.04,1295.56,6.13,686.85,15392.73,USD,2025-04-29T12:00:17Z,,,Desktop,SAVE10,2025-04-29T12:00:17Z,Standard,109.77.76.147,Email,Cash on Delivery,32,15392.73
4,3,Delivered,396.88,32.55,6.5,264.59,435.93,USD,2022-06-11T08:14:04Z,2022-06-13T08:14:04Z,2022-06-16T08:14:04Z,Desktop,CLEARANCE40,2022-06-11T08:14:04Z,Standard,200.205.188.115,Organic Search,Cash on Delivery,3,0.0
5,4,Shipped,4187.25,249.51,8.87,51.84,4445.63,USD,2025-11-27T00:42:21Z,2025-11-30T00:42:21Z,,Mobile,SAVE10,2025-11-27T00:42:21Z,Standard,29.111.138.215,Paid Search,Credit Card,7,0.0
6,5,Pending,4995.89,384.09,27.68,458.98,5407.66,USD,2023-07-28T15:45:18Z,,,Mobile,CLEARANCE40,2023-07-28T15:45:18Z,Express,15.106.83.114,Email,PayPal,10,0.0
7,5,Cancelled,3656.81,404.18,0.0,0.0,4060.99,USD,2025-12-03T04:41:45Z,,,Mobile,FREESHIP,2025-12-03T04:41:45Z,Free Shipping,66.15.67.29,Direct,Cash on Delivery,7,4060.99
8,5,Delivered,4952.15,307.38,18.53,1876.63,5278.06,USD,2022-03-22T07:36:14Z,2022-03-23T07:36:14Z,2022-03-25T07:36:14Z,Desktop,NEWUSER25,2022-03-22T07:36:14Z,Priority,114.16.243.140,Email,Cash on Delivery,15,0.0
9,6,Delivered,5875.67,489.3,20.74,237.87,6385.71,USD,2021-05-19T14:15:55Z,2021-05-22T14:15:55Z,2021-05-27T14:15:55Z,Desktop,SAVE20,2021-05-19T14:15:55Z,Express,182.143.213.159,Paid Search,Credit Card,9,0.0
10,7,Delivered,3484.97,229.76,15.58,345.47,3730.31,USD,2025-08-05T13:37:49Z,2025-08-05T13:37:49Z,2025-08-08T13:37:49Z,Mobile,WELCOME15,2025-08-05T13:37:49Z,Priority,115.53.176.27,Paid Search,Credit Card,8,0.0
11,8,Cancelled,3455.57,284.78,23.35,62.14,3763.7,USD,2025-07-25T13:28:44Z,,,Mobile,WELCOME15,2025-07-25T13:28:44Z,Express,91.251.181.129,Organic Search,Apple Pay,6,3763.7
12,8,Delivered,4746.91,365.75,24.68,553.26,5137.34,USD,2023-04-05T11:04:58Z,2023-04-08T11:04:58Z,2023-04-12T11:04:58Z,Mobile,WELCOME15,2023-04-05T11:04:58Z,2-Day,37.154.240.202,Direct,PayPal,16,0.0
13,9,Delivered,2880.31,216.2,23.09,73.51,3119.6,USD,2025-06-18T19:27:08Z,2025-06-21T19:27:08Z,2025-06-23T19:27:08Z,Mobile,SAVE10,2025-06-18T19:27:08Z,Express,106.237.104.170,Direct,Credit Card,8,0.0
14,9,Shipped,7550.06,408.89,9.06,0.0,7968.01,USD,2025-06-18T20:27:14Z,2025-06-19T20:27:14Z,,Mobile,,2025-06-18T20:27:14Z,Standard,165.251.196.190,Direct,Credit Card,12,0.0
15,10,Delivered,7193.73,574.13,24.28,145.74,7792.14,USD,2023-09-18T22:33:44Z,2023-09-20T22:33:44Z,2023-09-26T22:33:44Z,Desktop,WELCOME15,2023-09-18T22:33:44Z,Express,15.23.157.27,Direct,PayPal,17,0.0
16,11,Pending,1675.28,113.55,6.99,356.34,1795.82,USD,2025-11-15T08:25:07Z,,,Mobile,SAVE20,2025-11-15T08:25:07Z,Standard,36.165.184.99,Social Media,Credit Card,3,0.0
17,12,Delivered,6310.34,350.09,0.0,172.24,6660.43,USD,2020-02-23T11:29:24Z,2020-02-25T11:29:24Z,2020-02-28T11:29:24Z,Mobile,FREESHIP,2020-02-23T11:29:24Z,Free Shipping,46.48.143.242,Organic Search,Credit Card,16,0.0
18,13,Delivered,198.94,22.33,6.71,0.0,227.98,USD,2025-04-30T10:43:54Z,2025-05-03T10:43:54Z,2025-05-05T10:43:54Z,Tablet,,2025-04-30T10:43:54Z,Standard,45.39.50.107,Direct,Credit Card,5,0.0
19,13,Delivered,5372.07,548.55,7.98,0.0,5928.6,USD,2025-04-30T13:42:17Z,2025-05-01T13:42:17Z,2025-05-08T13:42:17Z,Tablet,,2025-04-30T13:42:17Z,Standard,18.170.104.118,Direct,Apple Pay,14,0.0
20,13,Pending,4323.14,490.44,8.76,1602.14,4822.34,USD,2025-04-30T10:41:01Z,,,Tablet,WELCOME15,2025-04-30T10:41:01Z,Standard,11.204.58.111,Direct,PayPal,24,0.0
21,14,Cancelled,634.53,53.31,25.48,0.0,713.32,USD,2024-07-01T22:05:17Z,,,Mobile,,2024-07-01T22:05:17Z,Express,116.117.2.34,Email,Gift Card,12,713.32
22,15,Processing,417.23,37.1,6.12,8.36,460.45,USD,2022-09-16T21:44:12Z,,,Mobile,SAVE10,2022-09-16T21:44:12Z,Standard,98.156.145.199,Social Media,PayPal,3,0.0
23,16,Pending,1401.57,136.94,8.18,0.0,1546.69,USD,2017-11-16T08:12:22Z,,,Mobile,,2017-11-16T08:12:22Z,Standard,107.127.80.27,Display Ads,PayPal,8,0.0
24,16,Delivered,1913.67,172.05,15.41,0.0,2101.13,USD,2020-08-15T11:25:32Z,2020-08-16T11:25:32Z,2020-08-22T11:25:32Z,Desktop,,2020-08-15T11:25:32Z,Priority,62.243.121.77,Organic Search,Apple Pay,4,0.0
25,17,Delivered,2613.24,208.04,0.0,27.56,2821.28,USD,2016-10-13T00:57:52Z,2016-10-16T00:57:52Z,2016-10-20T00:57:52Z,Tablet,WELCOME15,2016-10-13T00:57:52Z,Free Shipping,14.152.197.109,Referral,PayPal,7,0.0
26,18,Processing,2938.48,288.14,9.43,0.0,3236.05,USD,2025-08-07T11:04:47Z,,,Desktop,,2025-08-07T11:04:47Z,Standard,34.142.115.16,Organic Search,Cash on Delivery,4,0.0
