payment_ref,order_ref,payment_type,gateway_provider,payment_status,gateway_transaction_id,transaction_fee,refund_total,transaction_date,refund_processed_date,payment_amount,currency_code,record_created,customer_ip,billing_country,card_last_four,card_brand,authorization_code,risk_score,retry_attempt
1,1,PayPal,Braintree,Completed,bt_51318216257,26.82,0.0,2025-05-21T15:08:22Z,,1300.24,USD,2025-05-21T15:08:24Z,189.219.185.143,US,,,,45,1
2,2,Apple Pay,Adyen,Partially Refunded,ADY3498630152323,301.07,7851.92,2024-08-17T12:50:44Z,2024-08-19T12:50:44Z,8809.34,USD,2024-08-17T12:50:47Z,76.57.196.23,US,,,,49,0
3,3,Cash on Delivery,COD,Refunded,COD000003,0.0,15392.73,2025-04-29T11:49:17Z,2025-05-12T11:49:17Z,15392.73,USD,2025-04-29T11:49:21Z,109.77.76.147,US,,,,15,0
4,4,Cash on Delivery,COD,Completed,COD000004,0.0,0.0,2022-06-11T08:04:04Z,,435.93,USD,2022-06-11T08:04:36Z,200.205.188.115,US,,,,5,0
5,5,Credit Card,Stripe,Completed,pi_13915387656293,103.19,0.0,2025-11-27T00:12:21Z,,4445.63,USD,2025-11-27T00:12:37Z,29.111.138.215,US,4876,MasterCard,AUTH-427600,19,0
6,6,PayPal,Braintree,Pending,,0.0,0.0,2023-07-28T15:31:18Z,,5407.66,USD,2023-07-28T15:31:57Z,15.106.83.114,US,,,,35,0
7,7,Cash on Delivery,COD,Refunded,COD000007,0.0,4060.99,2025-12-03T04:22:45Z,2025-12-07T04:22:45Z,4060.99,USD,2025-12-03T04:23:03Z,66.15.67.29,US,,,,16,0
8,8,Cash on Delivery,COD,Completed,COD000008,0.0,0.0,2022-03-22T07:34:14Z,,5278.06,USD,2022-03-22T07:34:27Z,114.16.243.140,US,,,,14,0
9,9,Credit Card,Authorize.net,Completed,AUTH965359659,174.55,0.0,2021-05-19T14:11:55Z,,6385.71,USD,2021-05-19T14:12:27Z,182.143.213.159,US,5601,Visa,AUTH-743660,15,0
10,10,Credit Card,Adyen,Completed,ADY2602268140313,64.09,0.0,2025-08-05T13:21:49Z,,3730.31,USD,2025-08-05T13:21:59Z,115.53.176.27,US,1386,American Express,AUTH-459627,3,0
11,11,Apple Pay,Adyen,Refunded,ADY8391369722950,71.02,3763.7,2025-07-25T13:16:44Z,2025-08-03T13:16:44Z,3763.7,USD,2025-07-25T13:16:48Z,91.251.181.129,US,,,,3,0
12,12,PayPal,PayPal,Completed,PAY-16633780884,153.76,0.0,2023-04-05T10:53:58Z,,5137.34,USD,2023-04-05T10:54:20Z,37.154.240.202,US,,,,1,0
13,13,Credit Card,Braintree,Completed,bt_73644500216,95.52,0.0,2025-06-18T19:08:08Z,,3119.6,USD,2025-06-18T19:08:48Z,106.237.104.170,CA,4048,Visa,AUTH-595693,6,0
14,14,Credit Card,Stripe,Completed,pi_52498950312620,155.52,0.0,2025-06-18T20:11:14Z,,7968.01,USD,2025-06-18T20:11:42Z,165.251.196.190,CA,6570,MasterCard,AUTH-420523,45,0
15,15,PayPal,PayPal,Completed,PAY-77735044457,122.65,0.0,2023-09-18T22:13:44Z,,7792.14,USD,2023-09-18T22:14:19Z,15.23.157.27,US,,,,24,0
16,16,Credit Card,Stripe,Pending,,0.0,0.0,2025-11-15T08:24:07Z,,1795.82,USD,2025-11-15T08:24:25Z,36.165.184.99,US,5950,American Express,,38,0
17,17,Credit Card,Adyen,Completed,ADY1502740995289,147.73,0.0,2020-02-23T11:24:24Z,,6660.43,USD,2020-02-23T11:25:17Z,46.48.143.242,US,8933,MasterCard,AUTH-338665,35,0
18,18,Credit Card,Adyen,Completed,ADY7650163649194,6.78,0.0,2025-04-30T10:41:54Z,,227.98,USD,2025-04-30T10:42:23Z,45.39.50.107,US,7889,Discover,AUTH-834332,16,0
19,19,Apple Pay,Square,Completed,sq_65646827953516,196.15,0.0,2025-04-30T13:24:17Z,,5928.6,USD,2025-04-30T13:24:38Z,18.170.104.118,US,,,,11,0
20,20,PayPal,PayPal,Pending,,0.0,0.0,2025-04-30T10:24:01Z,,4822.34,USD,2025-04-30T10:24:28Z,11.204.58.111,US,,,,26,0
