prod_id,product_name,stock_code,category_ref,cat_name,sub_cat,brand,unit_cost,retail_price,release_date,weight,dimensions,color,size,material,availability_status,inventory_qty,digital_product,avg_customer_rating,review_count,discount_pct
1,Weber Modern Pants,WEB-FURN-00001,22,Furniture,,Weber,483.58,960.33,2016-12-24,47.13,67.2x45.4x31.1,,,Leather,Out of Stock,0,False,3.9,1819,0
2,Columbia Barbell Set,COL-STRE-00002,74,Strength Training,Seasonal,Columbia,135.27,370.1,2025-02-04,8.35,81.7x22.0x25.4,,,,Active,140,False,3.2,258,0
3,Asus Wireless Headphones Yellow,ASU-HEAD-00003,62,Headphones,Seasonal,Asus,313.55,559.65,2025-02-24,2.11,12.1x28.1x33.4,Blue,,Glass,Discontinued,12,False,4.7,608,32
4,Coca-Cola Spicy Chips,COC-SNAC-00004,45,Snacks,,Coca-Cola,49.33,96.19,2021-12-01,6.96,55.7x78.5x23.4,Brown,,,Active,24,False,3.5,46,0
5,Bose Latitude T480,BOS-BUSI-00005,60,Business Laptops,,Bose,473.65,1039.61,2025-05-10,2.18,91.2x71.2x21.7,Space Gray,256GB,Stainless Steel,Active,30,False,4.2,396,0
6,Under Armour Bike Helmet Pink,UND-CYCL-00006,31,Cycling,,Under Armour,161.17,284.38,2022-09-28,3.45,53.0x22.4x2.9,,,,Discontinued,20,False,4.8,1977,32
7,Michelin Socket Set,MIC-TOOL-00007,51,Tools,,Michelin,31.7,51.52,2019-06-20,5.82,15.2x16.6x24.2,Yellow,,,Active,492,False,4.3,300,0
8,Dell Plus Ultra 256GB Blue,DEL-SMAR-00008,11,Smartphones,,Dell,612.07,1408.62,2024-12-17,1.56,47.8x50.0x13.8,White,,Stainless Steel,Active,48,False,3.7,30,20
9,Under Armour Cycling Jersey Gold,UND-CYCL-00009,31,Cycling,,Under Armour,168.0,494.57,2023-08-20,8.35,26.1x42.3x14.7,Space Gray,,,Active,154,False,3.9,1575,30
10,Puma Designer Cabinet Gray,PUM-WOME-00010,18,Womens Clothing,Clearance,Puma,149.07,274.41,2017-01-16,0.18,9.8x78.9x13.7,Green,XXL,Linen,Active,27,False,3.5,1347,0
11,Logitech iPhone 3 512GB Red,LOG-IPHO-00011,57,iPhone,,Logitech,92.65,240.77,2022-06-14,3.79,46.2x56.2x22.1,Silver,,Carbon Fiber,Discontinued,15,False,4.5,1176,30
12,Gap Kids Hoodie Space Gray,GAP-KIDS-00012,19,Kids Clothing,Bestseller,Gap,11.33,32.82,2018-01-04,1.33,26.7x5.9x35.3,Rose Gold,M,Nylon,Active,378,False,4.6,80,0
13,Schwinn Treadmill Home Gym,SCH-EXER-00013,27,Exercise Equipment,Featured,Schwinn,178.03,498.22,2022-10-15,9.25,16.5x19.2x48.2,Rose Gold,,,Active,376,False,4.3,1480,0
14,LOreal Lipstick Black,LOR-MAKE-00014,33,Makeup,Featured,LOreal,49.46,63.83,2024-04-18,8.02,45.2x43.5x49.0,,,,Discontinued,4,False,3.3,451,23
15,JBL Gaming Headset,JBL-GAMI-00015,16,Gaming,Bestseller,JBL,418.7,1201.75,2021-01-22,1.79,38.2x22.6x57.5,White,1TB,Glass,Active,150,False,4.4,862,0
16,Sony Soundbar System,SON-SPEA-00016,63,Speakers,,Sony,243.94,713.4,2016-11-13,3.52,67.7x45.6x38.4,Silver,,Plastic,Archive,11,False,0.0,0,40
17,Nestle Organic Shelf,NES-ORGA-00017,48,Organic Foods,Seasonal,Nestle,48.23,144.47,2017-01-09,4.93,38.4x19.9x49.4,Blue,,,Active,123,False,4.4,740,50
18,Calvin Klein Womens Leggings Rose Gold,CAL-WOME-00018,69,Womens Pants,Featured,Calvin Klein,87.32,213.22,2019-01-13,1.92,74.4x7.2x48.8,Space Gray,M,Polyester,Active,127,False,4.2,1247,20
19,PepsiCo Natural Cabinet,PEP-ORGA-00019,48,Organic Foods,Seasonal,PepsiCo,25.19,33.72,2020-06-07,1.41,28.6x36.1x54.9,,,,Archive,5,False,0.0,0,0
20,REI Dumbbell Set,REI-STRE-00020,74,Strength Training,Seasonal,REI,105.36,134.58,2022-12-19,0.72,86.0x69.9x35.4,Green,,,Active,185,False,5.0,1606,50
21,Fitbit iPhone 4 Pro Max 256GB,FIT-IPHO-00021,57,iPhone,,Fitbit,175.1,224.38,2017-05-09,0.48,53.5x37.4x46.0,Blue,128GB,Carbon Fiber,Archive,8,False,4.9,1,25
22,Funko Fashion Doll,FUN-DOLL-00022,43,Dolls,Bestseller,Funko,21.76,47.76,2021-08-08,7.58,69.2x7.2x42.0,,,,Active,496,False,4.7,1401,15
23,Bose OnePlus 6 64GB,BOS-ANDR-00023,58,Android Phones,,Bose,479.88,917.7,2017-02-12,4.68,14.6x66.4x48.3,Silver,32GB,Stainless Steel,Active,405,False,3.1,1967,30
24,"Sony ROG Gaming Laptop 17"" 64GB",SON-GAMI-00024,59,Gaming Laptops,,Sony,410.15,861.39,2023-11-14,1.75,64.2x48.6x49.8,Space Gray,,Carbon Fiber,Active,430,False,3.8,1,0
