wish_id,user_id,item_id,date_added,purchase_date,removal_date,current_price,price_at_addition,priority,user_notes,list_name,notification_sent,price_alert_enabled,add_source,desired_quantity
1,2774,936,2025-06-14T00:00:00Z,,2025-10-03T00:00:00Z,70.96,61.89,Medium,,Gift Ideas,False,False,Mobile App,2
2,2624,3637,2025-03-08T00:00:00Z,,,22.54,22.2,Medium,,Wishlist,False,True,Social Media,3
3,5306,2450,2024-03-08T00:00:00Z,,,1207.28,1177.3,Low,For the kids,Wishlist,False,False,Email Link,5
4,9147,2861,2024-06-25T00:00:00Z,,,48.39,50.04,Medium,,Wishlist,False,False,Android,4
5,7464,1691,2024-05-28T00:00:00Z,,,53.45,54.03,Medium,,Future Purchases,False,False,iOS,1
6,8740,630,2025-01-19T00:00:00Z,2025-07-09T00:00:00Z,,162.52,155.2,Medium,Housewarming gift,Wishlist,False,True,QR Code,2
7,9676,4437,2024-07-12T00:00:00Z,,,85.96,93.21,Low,Birthday present,Wishlist,False,False,Email Link,1
8,3199,3941,2025-07-25T00:00:00Z,,,63.23,65.8,Low,Birthday present,Wishlist,False,False,Android,1
9,9237,2073,2024-08-18T00:00:00Z,,,790.78,750.44,Low,,Wishlist,False,True,QR Code,1
10,7117,1312,2025-02-22T00:00:00Z,,,176.63,181.52,High,Back to school,Future Purchases,False,False,Android,1
11,173,2201,2024-11-01T00:00:00Z,,,546.59,625.42,High,Home upgrade,Wishlist,False,False,Web,2
12,5807,4597,2025-12-13T00:00:00Z,,2025-12-17T00:00:00Z,143.29,156.89,Low,Need to save up,Wishlist,False,False,Web,1
13,8766,1460,2025-10-09T00:00:00Z,,,412.94,417.55,Low,,Future Purchases,True,True,QR Code,1
14,2475,3080,2024-03-02T00:00:00Z,2024-04-19T00:00:00Z,,177.62,181.93,Medium,Home upgrade,Future Purchases,False,False,Web,1
15,3491,955,2024-04-25T00:00:00Z,,,1409.88,1474.47,High,Treat myself,Wishlist,False,True,iOS,1
16,8747,688,2025-10-31T00:00:00Z,,2025-12-08T00:00:00Z,528.85,578.57,Medium,Housewarming gift,Future Purchases,False,False,Mobile App,1
17,5664,86,2025-02-28T00:00:00Z,,,83.94,95.46,Low,,Wishlist,False,False,Web,5
18,5958,4909,2025-10-21T00:00:00Z,,,305.62,271.83,Medium,,Future Purchases,False,False,iOS,1
19,7497,170,2025-08-27T00:00:00Z,2025-09-19T00:00:00Z,,82.8,78.71,Low,For the kids,Future Purchases,False,True,Mobile App,2
20,6840,3848,2023-12-28T00:00:00Z,,,218.95,188.54,High,Treat myself,Future Purchases,False,False,Mobile App,1
21,5231,880,2024-07-09T00:00:00Z,,,45.37,49.02,Medium,Gift for dad,Gift Ideas,False,False,Web,1
22,4759,1400,2025-05-22T00:00:00Z,,,213.19,234.19,High,,Wishlist,False,True,Web,1
23,8365,4757,2025-04-11T00:00:00Z,2025-08-21T00:00:00Z,,319.66,284.67,High,,Wishlist,False,False,Android,3
24,5429,1341,2025-08-04T00:00:00Z,2025-10-05T00:00:00Z,,118.45,135.68,Medium,,Wishlist,True,True,Mobile App,1
25,521,1265,2024-12-19T00:00:00Z,,,2142.99,2007.41,Low,Back to school,Wishlist,False,True,Web,1
26,2592,4787,2024-09-28T00:00:00Z,,,52.45,46.43,High,Wedding registry,Wishlist,False,False,Android,1
27,5311,3160,2024-11-24T00:00:00Z,,,216.76,225.98,High,,Gift Ideas,False,False,QR Code,1
28,5188,1691,2024-11-28T00:00:00Z,2025-03-01T00:00:00Z,,53.45,47.28,Medium,,Wishlist,False,False,Android,2
29,4367,2406,2024-07-21T00:00:00Z,,,37.03,40.65,High,Office supplies,Wishlist,False,False,Email Link,1
30,473,516,2025-12-22T00:00:00Z,,,1120.6,999.28,High,,Wishlist,True,True,iOS,1
31,9092,3852,2025-07-10T00:00:00Z,2025-12-10T00:00:00Z,,653.59,566.18,Medium,,Future Purchases,False,False,Android,1
32,6871,639,2024-09-18T00:00:00Z,,,136.44,126.29,Medium,,Gift Ideas,False,False,Email Link,4
33,4314,1160,2025-09-10T00:00:00Z,,,77.82,74.36,Medium,Office supplies,Wishlist,True,True,Email Link,1
34,6858,3338,2025-06-16T00:00:00Z,,,229.68,224.94,Medium,Birthday present,Future Purchases,True,True,Mobile App,1
35,3662,194,2025-06-12T00:00:00Z,,,218.72,191.62,High,Need to save up,Future Purchases,True,True,Web,1
36,2618,2352,2025-06-09T00:00:00Z,2025-07-03T00:00:00Z,,121.16,129.54,Low,Wait for sale,Future Purchases,False,False,QR Code,2
37,9631,4553,2025-08-04T00:00:00Z,2025-10-14T00:00:00Z,,188.5,202.34,High,,Wishlist,True,True,Web,1
38,6149,3045,2025-02-05T00:00:00Z,2025-05-25T00:00:00Z,,163.44,142.11,Low,Housewarming gift,Gift Ideas,True,True,Web,1
39,5116,1046,2025-07-11T00:00:00Z,,,529.85,529.62,High,Wedding registry,Wishlist,False,True,iOS,1
40,1655,3124,2024-12-05T00:00:00Z,2025-05-21T00:00:00Z,,298.01,279.7,Low,Office supplies,Future Purchases,False,False,Web,4
41,2414,2820,2025-04-07T00:00:00Z,,,285.19,299.39,High,Gift for mom,Wishlist,False,False,Social Media,1
42,2804,4238,2024-05-23T00:00:00Z,,,20.13,19.12,Low,,Wishlist,False,True,Social Media,1
43,5839,429,2025-04-13T00:00:00Z,,,1164.31,1131.87,Low,Birthday present,Future Purchases,True,True,Web,1
44,6815,3008,2025-01-23T00:00:00Z,2025-06-16T00:00:00Z,,101.18,107.1,High,Birthday present,Wishlist,False,False,Email Link,1
45,3740,3332,2025-02-12T00:00:00Z,,,89.85,86.33,Medium,,Wishlist,False,True,Email Link,1
46,753,4814,2025-03-03T00:00:00Z,,,112.68,112.12,Medium,,Wishlist,False,False,Web,1
47,3210,870,2025-07-06T00:00:00Z,2025-12-22T00:00:00Z,,838.57,735.93,Medium,,Gift Ideas,False,True,Web,1
48,1333,2458,2024-11-20T00:00:00Z,,,177.63,202.7,Medium,Treat myself,Gift Ideas,False,False,Android,1
49,3876,3988,2024-11-26T00:00:00Z,2025-01-07T00:00:00Z,,32.66,29.6,Medium,,Wishlist,False,False,iOS,1
50,9773,4385,2025-08-02T00:00:00Z,,,95.7,84.79,High,,Wishlist,False,False,Social Media,1
51,9852,1723,2024-10-25T00:00:00Z,,2024-11-11T00:00:00Z,26.74,27.41,High,Christmas gift,Future Purchases,False,False,Android,1
52,9651,1393,2024-09-27T00:00:00Z,2025-02-15T00:00:00Z,,174.9,153.27,Low,,Wishlist,False,False,Social Media,1
53,1718,4487,2025-12-08T00:00:00Z,,2025-12-25T00:00:00Z,1227.62,1125.42,High,,Wishlist,False,False,Android,1
54,3073,3735,2025-11-11T00:00:00Z,,2025-12-07T00:00:00Z,122.84,113.65,High,Home upgrade,Wishlist,False,True,Web,2
55,4064,2331,2025-11-17T00:00:00Z,,,57.91,64.5,Medium,Gift for mom,Gift Ideas,False,False,QR Code,1
56,7016,600,2025-02-21T00:00:00Z,2025-04-26T00:00:00Z,,1594.89,1613.81,Low,Back to school,Gift Ideas,False,True,Social Media,1
57,5147,3986,2025-05-20T00:00:00Z,,,376.71,395.48,Medium,Home upgrade,Wishlist,False,False,Mobile App,1
58,9766,4105,2024-12-16T00:00:00Z,,2025-11-14T00:00:00Z,977.26,1068.5,High,,Wishlist,True,True,Email Link,1
59,3017,2093,2025-05-07T00:00:00Z,,,97.52,104.62,Medium,Anniversary gift,Wishlist,False,False,QR Code,1
60,2504,3971,2024-03-07T00:00:00Z,2024-04-10T00:00:00Z,,1336.44,1229.34,Medium,,Future Purchases,False,False,Android,1
61,5945,4391,2025-11-10T00:00:00Z,,2025-12-07T00:00:00Z,131.17,131.81,Medium,,Gift Ideas,False,False,Web,1
62,4339,2117,2024-08-27T00:00:00Z,2024-09-14T00:00:00Z,,928.72,998.05,Medium,,Dream Items,False,False,Email Link,2
63,5006,703,2024-08-25T00:00:00Z,,,487.56,530.91,Medium,,Gift Ideas,True,True,Android,1
64,2814,4310,2024-02-09T00:00:00Z,,,1085.74,1194.85,Medium,,Gift Ideas,False,False,Web,1
65,5693,2787,2025-03-26T00:00:00Z,2025-08-21T00:00:00Z,,42.13,35.95,Medium,Office supplies,Wishlist,True,True,Social Media,1
66,8499,1819,2025-10-28T00:00:00Z,,,139.83,127.82,Medium,,Future Purchases,False,True,Email Link,1
67,4770,1607,2024-02-24T00:00:00Z,2024-04-06T00:00:00Z,,54.27,51.29,Medium,Wedding registry,Future Purchases,False,False,Mobile App,2
68,7980,4274,2024-01-07T00:00:00Z,,,43.75,38.31,Medium,Wait for sale,Dream Items,False,True,iOS,2
69,1677,4208,2024-05-09T00:00:00Z,2024-07-17T00:00:00Z,,37.83,35.94,Low,Housewarming gift,Wishlist,False,False,Web,1
70,3236,3956,2024-10-26T00:00:00Z,,,34.87,34.08,High,,Future Purchases,False,False,iOS,1
71,4818,3648,2024-02-24T00:00:00Z,,,90.6,81.7,High,,Wishlist,False,False,QR Code,2
72,8919,2476,2025-10-01T00:00:00Z,2025-11-19T00:00:00Z,,913.8,886.46,High,,Future Purchases,False,False,Web,1
73,1489,2429,2024-03-18T00:00:00Z,,,49.34,50.02,Low,Office supplies,Gift Ideas,False,False,Mobile App,1
74,5529,3318,2024-12-07T00:00:00Z,,2025-06-28T00:00:00Z,238.0,227.96,High,,Future Purchases,True,True,Web,1
75,6849,18,2024-05-05T00:00:00Z,,,213.22,204.07,Medium,,Gift Ideas,False,False,Social Media,1
76,3838,690,2025-07-30T00:00:00Z,,,685.49,690.45,Medium,Treat myself,Wishlist,False,False,Email Link,1
77,9952,2939,2024-10-17T00:00:00Z,,,340.25,320.87,Low,Wait for sale,Gift Ideas,False,False,Web,1
78,9791,2104,2025-10-19T00:00:00Z,,,190.64,196.49,High,Gift for mom,Gift Ideas,False,True,Email Link,1
79,5031,4834,2025-06-09T00:00:00Z,,,141.28,142.94,Medium,Maybe later,Wishlist,False,False,iOS,1
80,3592,3225,2025-01-01T00:00:00Z,2025-02-14T00:00:00Z,,861.15,934.42,Medium,Office supplies,Wishlist,False,False,Web,1
81,2411,3578,2025-10-11T00:00:00Z,2025-10-20T00:00:00Z,,77.77,69.78,Medium,Housewarming gift,Future Purchases,False,False,QR Code,1
82,4127,3377,2025-09-06T00:00:00Z,2025-12-05T00:00:00Z,,67.07,65.52,Medium,Maybe later,Wishlist,False,False,Web,1
83,4638,1420,2025-01-27T00:00:00Z,,,153.49,176.14,Medium,Wedding registry,Wishlist,False,True,Web,1
84,230,4025,2024-01-13T00:00:00Z,2024-04-10T00:00:00Z,,341.15,349.99,Low,,Gift Ideas,False,True,Android,1
85,2132,2206,2025-11-14T00:00:00Z,,2025-12-18T00:00:00Z,84.1,90.69,High,Wedding registry,Gift Ideas,False,False,Email Link,1
86,825,760,2025-09-13T00:00:00Z,,,131.08,113.65,Low,,Gift Ideas,False,False,Social Media,1
87,4535,725,2025-04-25T00:00:00Z,,,14.05,13.81,High,Back to school,Wishlist,False,False,Android,1
88,1052,1403,2025-10-24T00:00:00Z,,,220.97,216.44,High,Back to school,Wishlist,False,False,Email Link,1
89,5200,4951,2025-11-08T00:00:00Z,2025-12-20T00:00:00Z,,97.85,84.92,Medium,,Future Purchases,False,False,Android,1
90,4524,2946,2025-01-12T00:00:00Z,,,1017.22,867.16,Low,Back to school,Dream Items,False,False,QR Code,2
91,4291,4361,2025-02-02T00:00:00Z,,,28.54,29.79,Medium,,Gift Ideas,False,False,Android,1
92,8220,1111,2024-11-22T00:00:00Z,,,148.95,144.97,Medium,,Wishlist,False,False,Android,1
93,6465,548,2025-05-08T00:00:00Z,,,201.72,197.45,Medium,,Wishlist,True,True,Mobile App,2
94,2769,2051,2025-07-06T00:00:00Z,2025-08-19T00:00:00Z,,61.03,65.95,Medium,Gift for mom,Wishlist,False,False,Social Media,1
95,6526,2836,2024-06-25T00:00:00Z,2024-11-19T00:00:00Z,,86.22,83.77,Low,Housewarming gift,Wishlist,False,False,Web,1
96,9804,3491,2025-07-03T00:00:00Z,,,1711.97,1627.44,Medium,For the kids,Wishlist,False,False,Web,1
97,7604,4324,2024-04-21T00:00:00Z,2024-09-15T00:00:00Z,,32.21,33.08,High,Gift for mom,Wishlist,False,False,Social Media,1
98,1715,1661,2025-12-09T00:00:00Z,,,30.3,33.58,Medium,Christmas gift,Future Purchases,False,False,Mobile App,1
99,4357,3182,2025-11-02T00:00:00Z,,2025-12-02T00:00:00Z,181.48,165.95,Medium,Gift for dad,Future Purchases,True,True,Social Media,1
100,9137,1378,2025-08-15T00:00:00Z,,,245.02,260.24,High,Gift for mom,Future Purchases,False,True,Android,1
101,7136,1390,2024-09-01T00:00:00Z,,2025-07-09T00:00:00Z,22.79,23.36,Medium,,Wishlist,False,False,Email Link,3
102,4644,2757,2025-02-08T00:00:00Z,,,118.58,119.19,Medium,Need to save up,Future Purchases,False,False,Web,2
103,4807,1921,2025-11-10T00:00:00Z,,,946.37,916.32,Low,,Gift Ideas,True,True,Email Link,2
104,5213,1636,2025-11-09T00:00:00Z,2025-11-30T00:00:00Z,,139.06,142.36,Medium,Back to school,Wishlist,False,False,Web,3
105,8576,2888,2025-03-02T00:00:00Z,,,600.75,542.3,Low,Anniversary gift,Wishlist,False,False,Web,1
106,8751,4787,2024-03-27T00:00:00Z,2024-09-03T00:00:00Z,,52.45,54.86,Medium,Anniversary gift,Future Purchases,False,True,QR Code,2
107,62,2087,2024-06-06T00:00:00Z,,2024-06-07T00:00:00Z,707.31,738.7,Medium,Birthday present,Dream Items,False,False,Social Media,1
108,5397,1352,2024-11-02T00:00:00Z,,,1717.86,1821.48,High,Compare prices first,Wishlist,False,False,Email Link,1
109,7402,800,2024-02-01T00:00:00Z,,,195.0,173.28,Medium,Need to save up,Dream Items,False,False,Web,1
110,2678,128,2025-07-28T00:00:00Z,2025-11-03T00:00:00Z,,58.64,64.15,Medium,,Gift Ideas,False,False,Mobile App,1
111,1071,3311,2024-05-13T00:00:00Z,,,162.35,142.19,Low,,Wishlist,False,True,Web,3
112,7793,2849,2025-04-29T00:00:00Z,,2025-10-16T00:00:00Z,1469.1,1660.01,High,,Gift Ideas,False,False,Email Link,1
113,8217,4891,2025-09-30T00:00:00Z,,,83.47,94.69,High,Back to school,Wishlist,True,True,Web,5
114,3005,1555,2025-04-05T00:00:00Z,,,513.03,484.85,High,,Future Purchases,False,False,iOS,1
115,5333,2960,2025-11-24T00:00:00Z,,,29.58,25.5,Low,,Wishlist,False,False,Web,1
116,5384,56,2024-02-23T00:00:00Z,,,245.83,282.42,Medium,Gift for mom,Future Purchases,False,False,Android,2
117,3252,3619,2024-01-26T00:00:00Z,,,131.89,150.12,High,,Wishlist,False,False,Social Media,3
118,3470,3094,2024-05-22T00:00:00Z,,,275.95,296.24,Low,Birthday present,Gift Ideas,False,True,Web,1
119,3901,2093,2025-03-18T00:00:00Z,,,97.52,84.85,High,,Gift Ideas,False,False,QR Code,1
120,7520,3501,2025-01-12T00:00:00Z,2025-07-02T00:00:00Z,,124.93,112.46,High,Gift for dad,Future Purchases,False,False,Social Media,3
121,1715,989,2025-06-08T00:00:00Z,,,246.08,210.68,Medium,,Wishlist,False,False,Web,1
122,5959,187,2024-01-20T00:00:00Z,,,165.02,166.48,Medium,Maybe later,Future Purchases,False,False,Mobile App,4
123,3554,1291,2025-08-12T00:00:00Z,2025-12-16T00:00:00Z,,364.42,336.33,Medium,Wedding registry,Dream Items,False,False,QR Code,1
124,8406,3443,2024-12-25T00:00:00Z,,,655.94,610.56,Medium,,Wishlist,False,False,Android,1
125,116,1038,2025-09-01T00:00:00Z,,,131.15,123.08,Medium,Gift for mom,Dream Items,False,False,Social Media,1
126,7712,1688,2025-08-23T00:00:00Z,2025-12-11T00:00:00Z,,374.95,352.47,High,Gift for mom,Dream Items,False,False,Web,1
127,1365,1417,2025-06-18T00:00:00Z,2025-12-03T00:00:00Z,,41.0,40.71,Low,Christmas gift,Wishlist,False,True,Social Media,1
128,7409,3882,2024-05-18T00:00:00Z,,,67.67,63.54,Medium,Treat myself,Wishlist,False,True,Web,1
