cart_item_id,cart_id,product_id,quantity,unit_price,item_status,added_at,updated_at,total_price
1,1,3015,1,16.05,Abandoned,2025-01-20T21:20:35Z,2025-01-20T21:20:37Z,16.05
2,2,2348,6,45.4,Converted,2025-05-21T15:08:35Z,2025-05-21T15:13:32Z,272.4
3,2,1368,4,197.18,Converted,2025-05-21T14:29:21Z,2025-05-21T15:12:07Z,788.72
4,2,3127,2,89.92,Converted,2025-05-21T13:21:03Z,2025-05-21T14:49:43Z,179.84
5,3,3472,1,8.77,Abandoned,2024-02-09T21:09:47Z,2024-02-09T21:11:39Z,8.77
6,4,4793,2,197.98,Abandoned,2024-08-17T11:58:54Z,2024-08-17T11:58:54Z,395.96
7,5,3967,3,52.31,Abandoned,2025-06-21T22:10:05Z,2025-06-21T22:29:45Z,156.93
8,5,146,3,71.75,Active,2025-06-21T21:32:35Z,2025-06-21T21:54:41Z,215.25
9,6,1,4,960.33,Abandoned,2024-05-13T05:18:58Z,2024-05-13T05:18:58Z,3841.32
10,6,419,3,157.47,Abandoned,2024-05-13T05:18:58Z,2024-05-13T05:18:58Z,472.40999999999997
11,6,281,3,33.29,Abandoned,2024-05-13T05:18:58Z,2024-05-13T05:18:58Z,99.87
12,7,3567,5,946.22,Converted,2024-08-17T12:03:41Z,2024-08-17T12:15:36Z,4731.1
13,7,3605,1,212.62,Converted,2024-08-17T12:17:17Z,2024-08-17T12:20:46Z,212.62
14,7,510,7,333.17,Converted,2024-08-17T12:17:57Z,2024-08-17T12:22:11Z,2332.19
15,7,1006,1,82.45,Converted,2024-08-17T12:18:26Z,2024-08-17T12:48:17Z,82.45
16,7,4102,1,766.39,Converted,2024-08-17T12:10:04Z,2024-08-17T12:30:20Z,766.39
17,8,2085,3,111.66,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,334.98
18,8,4443,5,747.25,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,3736.25
19,8,134,6,409.84,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,2459.04
20,8,3727,3,82.66,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,247.98
21,8,151,7,723.3,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,5063.099999999999
22,8,1403,1,165.73,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,165.73
23,8,3598,7,395.83,Converted,2025-04-29T12:00:17Z,2025-04-29T12:00:17Z,2770.81
24,9,3015,2,16.05,Abandoned,2025-04-29T12:00:16Z,2025-04-29T12:00:16Z,32.1
25,9,2603,2,237.35,Abandoned,2025-04-29T12:00:16Z,2025-04-29T12:00:16Z,474.7
26,10,1945,3,220.49,Converted,2022-06-11T06:43:41Z,2022-06-11T07:52:06Z,661.47
27,11,2970,1,1144.18,Abandoned,2025-05-13T00:59:13Z,2025-05-13T01:47:17Z,1144.18
28,11,1510,3,187.56,Abandoned,2025-05-12T08:54:23Z,2025-05-12T13:25:00Z,562.6800000000001
29,12,4194,4,28.22,Abandoned,2025-09-05T10:50:25Z,2025-09-05T11:26:29Z,112.88
30,12,1979,4,65.48,Abandoned,2025-09-05T09:46:26Z,2025-09-05T11:02:31Z,261.92
31,12,768,2,291.76,Abandoned,2025-09-05T09:51:56Z,2025-09-05T11:28:57Z,583.52
32,12,2494,5,176.36,Abandoned,2025-09-05T10:58:24Z,2025-09-05T11:25:09Z,881.8000000000001
33,12,1642,1,221.46,Active,2025-09-05T10:16:36Z,2025-09-05T10:24:20Z,221.46
34,12,77,4,371.46,Abandoned,2025-09-05T11:23:41Z,2025-09-05T11:35:27Z,1485.84
35,12,4924,3,130.38,Abandoned,2025-09-05T11:19:32Z,2025-09-05T11:34:21Z,391.14
36,13,3606,1,26.09,Active,2025-05-08T00:40:08Z,2025-05-08T00:40:08Z,26.09
37,13,3427,1,761.35,Abandoned,2025-05-08T00:40:08Z,2025-05-08T00:40:08Z,761.35
38,14,1633,4,859.7,Converted,2025-11-27T00:42:21Z,2025-11-27T00:42:21Z,3438.8
39,14,2994,1,518.45,Converted,2025-11-27T00:42:21Z,2025-11-27T00:42:21Z,518.45
40,15,4778,3,670.15,Converted,2023-07-28T15:45:18Z,2023-07-28T15:45:18Z,2010.4499999999998
41,15,1205,3,123.75,Converted,2023-07-28T15:45:18Z,2023-07-28T15:45:18Z,371.25
42,15,1231,1,98.49,Converted,2023-07-28T15:45:18Z,2023-07-28T15:45:18Z,98.49
43,16,4925,2,626.87,Converted,2025-12-03T03:45:23Z,2025-12-03T04:31:32Z,1253.74
44,16,3023,1,66.71,Converted,2025-12-03T03:46:46Z,2025-12-03T04:20:47Z,66.71
45,16,3728,3,527.81,Converted,2025-12-03T03:44:46Z,2025-12-03T04:23:09Z,1583.4299999999998
46,17,2828,4,1083.03,Converted,2022-03-22T05:50:02Z,2022-03-22T07:17:28Z,4332.12
47,17,3351,1,67.02,Converted,2022-03-22T05:36:34Z,2022-03-22T07:29:17Z,67.02
48,17,946,2,144.18,Converted,2022-03-22T07:28:21Z,2022-03-22T07:32:41Z,288.36
