inventory_id,product_id,supplier_id,stock_quantity,reserved_quantity,minimum_stock_level,storage_cost,last_restocked_date
1,1,SUPP_275,0,0,17,17.83,2025-03-27
2,2,SUPP_303,115,26,10,2.68,2025-12-03
3,2,SUPP_483,0,0,22,5.75,2025-08-09
4,3,SUPP_480,8,3,0,20.97,2025-10-16
5,3,SUPP_458,20,0,0,13.22,2025-12-01
6,3,SUPP_456,0,0,0,16.31,2025-02-06
7,4,SUPP_13,14,5,11,2.04,2025-08-02
8,5,SUPP_392,325,4,12,4.98,2025-09-12
9,5,SUPP_192,282,10,20,21.32,2025-08-31
10,5,SUPP_300,0,0,19,9.51,2025-06-07
11,6,SUPP_246,6,0,0,5.84,2025-07-02
12,7,SUPP_56,101,26,24,1.27,2025-07-12
13,8,SUPP_27,379,43,24,11.89,2025-06-29
14,8,SUPP_385,57,5,18,43.18,2025-11-05
15,9,SUPP_131,38,16,13,4.59,2025-10-30
16,9,SUPP_339,3,3,25,10.26,2025-10-20
17,9,SUPP_5,311,7,20,8.34,2025-12-22
18,10,SUPP_433,0,0,28,2.72,2025-03-26
19,10,SUPP_118,211,15,12,11.49,2025-09-23
20,11,SUPP_229,9,4,0,2.63,2025-08-03
21,12,SUPP_486,11,5,10,0.58,2025-11-19
22,13,SUPP_15,399,12,9,14.09,2025-12-11
23,13,SUPP_352,6,1,12,5.77,2025-09-03
24,14,SUPP_441,6,1,0,1.63,2025-12-15
25,14,SUPP_435,6,6,0,0.86,2025-12-21
26,14,SUPP_175,4,0,0,3.4,2025-11-04
27,15,SUPP_47,279,24,13,31.63,2025-08-25
28,16,SUPP_342,12,2,0,11.81,2025-08-29
29,16,SUPP_49,18,0,0,3.02,2025-08-09
30,16,SUPP_246,4,2,0,16.97,2025-10-09
31,17,SUPP_10,493,43,5,1.79,2025-12-17
32,17,SUPP_6,9,3,23,0.93,2025-08-31
33,18,SUPP_189,0,0,7,4.01,2025-05-02
34,19,SUPP_300,1,0,0,0.55,2025-09-28
35,19,SUPP_442,7,0,0,0.85,2025-11-08
36,20,SUPP_165,6,3,22,1.2,2025-09-28
37,21,SUPP_283,4,0,0,8.74,2025-09-21
38,22,SUPP_243,45,4,11,1.23,2025-12-16
39,23,SUPP_122,374,41,6,29.4,2025-09-30
40,24,SUPP_431,11,1,25,12.0,2025-09-14
41,24,SUPP_204,214,22,24,22.63,2025-12-16
42,25,SUPP_255,8,4,25,0.38,2025-08-05
43,25,SUPP_172,372,14,11,0.73,2025-08-30
44,26,SUPP_39,300,3,18,2.2,2025-11-25
45,26,SUPP_334,222,22,23,1.55,2025-08-08
46,27,SUPP_82,87,36,11,3.32,2025-09-20
47,28,SUPP_258,0,0,17,0.67,2025-05-08
48,28,SUPP_327,0,0,22,1.93,2025-04-30
49,29,SUPP_177,163,19,10,4.89,2025-09-09
50,30,SUPP_140,285,6,6,1.45,2025-10-02
51,31,SUPP_154,8,3,6,4.05,2025-08-04
52,32,SUPP_282,17,2,0,34.36,2025-12-03
53,32,SUPP_323,1,0,0,13.5,2025-10-17
54,33,SUPP_132,4,4,30,1.19,2025-12-21
55,33,SUPP_464,1,1,9,4.21,2025-10-21
56,33,SUPP_290,318,25,18,1.38,2025-12-01
57,34,SUPP_124,0,0,6,3.78,2025-10-11
58,34,SUPP_258,170,11,15,13.22,2025-08-06
59,35,SUPP_170,0,0,25,2.37,2025-08-31
60,35,SUPP_125,0,0,16,2.27,2025-06-24
61,36,SUPP_178,306,38,25,23.19,2025-09-27
62,37,SUPP_60,0,0,23,9.83,2025-04-14
63,38,SUPP_152,234,16,10,0.6,2025-07-17
64,38,SUPP_198,483,23,25,1.31,2025-08-28
65,39,SUPP_474,433,15,26,5.38,2025-11-24
66,39,SUPP_390,6,1,9,5.35,2025-09-24
67,40,SUPP_300,61,20,9,3.01,2025-10-17
68,41,SUPP_153,155,3,14,2.16,2025-07-17
