product_id,product_name,sku,category_id,category,sub_category,brand,cost_price,sell_price,launch_date,weight,dimensions,color,size,material,supplier_id
1,Weber Modern Pants,WEB-FURN-00001,22,Furniture,NaN,Weber,483.58,960.33,2016-12-24,47.13,67.2x45.4x31.1,NaN,NaN,Leather,
2,Columbia Barbell Set,COL-STRE-00002,74,Strength Training,Seasonal,Columbia,135.27,370.1,2025-02-04,8.35,81.7x22.0x25.4,NaN,NaN,NaN,
3,Asus Wireless Headphones Yellow,ASU-HEAD-00003,62,Headphones,Seasonal,Asus,313.55,559.65,2025-02-24,2.11,12.1x28.1x33.4,Blue,NaN,Glass,
4,Coca-Cola Spicy Chips,COC-SNAC-00004,45,Snacks,NaN,Coca-Cola,49.33,96.19,2021-12-01,6.96,55.7x78.5x23.4,Brown,NaN,NaN,
5,Bose Latitude T480,BOS-BUSI-00005,60,Business Laptops,NaN,Bose,473.65,1039.61,2025-05-10,2.18,91.2x71.2x21.7,Space Gray,256GB,Stainless Steel,
6,Under Armour Bike Helmet Pink,UND-CYCL-00006,31,Cycling,NaN,Under Armour,161.17,284.38,2022-09-28,3.45,53.0x22.4x2.9,NaN,NaN,NaN,
7,Michelin Socket Set,MIC-TOOL-00007,51,Tools,NaN,Michelin,31.7,51.52,2019-06-20,5.82,15.2x16.6x24.2,Yellow,NaN,NaN,
8,Dell Plus Ultra 256GB Blue,DEL-SMAR-00008,11,Smartphones,NaN,Dell,612.07,1408.62,2024-12-17,1.56,47.8x50.0x13.8,White,NaN,Stainless Steel,
9,Under Armour Cycling Jersey Gold,UND-CYCL-00009,31,Cycling,NaN,Under Armour,168.0,494.57,2023-08-20,8.35,26.1x42.3x14.7,Space Gray,NaN,NaN,
10,Puma Designer Cabinet Gray,PUM-WOME-00010,18,Womens Clothing,Clearance,Puma,149.07,274.41,2017-01-16,0.18,9.8x78.9x13.7,Green,XXL,Linen,
11,Logitech iPhone 3 512GB Red,LOG-IPHO-00011,57,iPhone,NaN,Logitech,92.65,240.77,2022-06-14,3.79,46.2x56.2x22.1,Silver,NaN,Carbon Fiber,
12,Gap Kids Hoodie Space Gray,GAP-KIDS-00012,19,Kids Clothing,Bestseller,Gap,11.33,32.82,2018-01-04,1.33,26.7x5.9x35.3,Rose Gold,M,Nylon,
13,Schwinn Treadmill Home Gym,SCH-EXER-00013,27,Exercise Equipment,Featured,Schwinn,178.03,498.22,2022-10-15,9.25,16.5x19.2x48.2,Rose Gold,NaN,NaN,
14,LOreal Lipstick Black,LOR-MAKE-00014,33,Makeup,Featured,LOreal,49.46,63.83,2024-04-18,8.02,45.2x43.5x49.0,NaN,NaN,NaN,
15,JBL Gaming Headset,JBL-GAMI-00015,16,Gaming,Bestseller,JBL,418.7,1201.75,2021-01-22,1.79,38.2x22.6x57.5,White,1TB,Glass,
16,Sony Soundbar System,SON-SPEA-00016,63,Speakers,NaN,Sony,243.94,713.4,2016-11-13,3.52,67.7x45.6x38.4,Silver,NaN,Plastic,
17,Nestle Organic Shelf,NES-ORGA-00017,48,Organic Foods,Seasonal,Nestle,48.23,144.47,2017-01-09,4.93,38.4x19.9x49.4,Blue,NaN,NaN,
18,Calvin Klein Womens Leggings Rose Gold,CAL-WOME-00018,69,Womens Pants,Featured,Calvin Klein,87.32,213.22,2019-01-13,1.92,74.4x7.2x48.8,Space Gray,M,Polyester,
19,PepsiCo Natural Cabinet,PEP-ORGA-00019,48,Organic Foods,Seasonal,PepsiCo,25.19,33.72,2020-06-07,1.41,28.6x36.1x54.9,NaN,NaN,NaN,
