wishlist_id,customer_id,product_id,added_date,purchased_date,removed_date
1,2774,936,2025-06-14T00:00:00Z,NaN,2025-10-03T00:00:00Z
2,2624,3637,2025-03-08T00:00:00Z,NaN,NaN
3,5306,2450,2024-03-08T00:00:00Z,NaN,NaN
4,9147,2861,2024-06-25T00:00:00Z,NaN,NaN
5,7464,1691,2024-05-28T00:00:00Z,NaN,NaN
6,8740,630,2025-01-19T00:00:00Z,2025-07-09T00:00:00Z,NaN
7,9676,4437,2024-07-12T00:00:00Z,NaN,NaN
8,3199,3941,2025-07-25T00:00:00Z,NaN,NaN
9,9237,2073,2024-08-18T00:00:00Z,NaN,NaN
10,7117,1312,2025-02-22T00:00:00Z,NaN,NaN
11,173,2201,2024-11-01T00:00:00Z,NaN,NaN
12,5807,4597,2025-12-13T00:00:00Z,NaN,2025-12-17T00:00:00Z
13,8766,1460,2025-10-09T00:00:00Z,NaN,NaN
14,2475,3080,2024-03-02T00:00:00Z,2024-04-19T00:00:00Z,NaN
15,3491,955,2024-04-25T00:00:00Z,NaN,NaN
16,8747,688,2025-10-31T00:00:00Z,NaN,2025-12-08T00:00:00Z
17,5664,86,2025-02-28T00:00:00Z,NaN,NaN
18,5958,4909,2025-10-21T00:00:00Z,NaN,NaN
19,7497,170,2025-08-27T00:00:00Z,2025-09-19T00:00:00Z,NaN
20,6840,3848,2023-12-28T00:00:00Z,NaN,NaN
21,5231,880,2024-07-09T00:00:00Z,NaN,NaN
22,4759,1400,2025-05-22T00:00:00Z,NaN,NaN
23,8365,4757,2025-04-11T00:00:00Z,2025-08-21T00:00:00Z,NaN
24,5429,1341,2025-08-04T00:00:00Z,2025-10-05T00:00:00Z,NaN
25,521,1265,2024-12-19T00:00:00Z,NaN,NaN
26,2592,4787,2024-09-28T00:00:00Z,NaN,NaN
27,5311,3160,2024-11-24T00:00:00Z,NaN,NaN
28,5188,1691,2024-11-28T00:00:00Z,2025-03-01T00:00:00Z,NaN
29,4367,2406,2024-07-21T00:00:00Z,NaN,NaN
30,473,516,2025-12-22T00:00:00Z,NaN,NaN
31,9092,3852,2025-07-10T00:00:00Z,2025-12-10T00:00:00Z,NaN
32,6871,639,2024-09-18T00:00:00Z,NaN,NaN
33,4314,1160,2025-09-10T00:00:00Z,NaN,NaN
34,6858,3338,2025-06-16T00:00:00Z,NaN,NaN
35,3662,194,2025-06-12T00:00:00Z,NaN,NaN
36,2618,2352,2025-06-09T00:00:00Z,2025-07-03T00:00:00Z,NaN
37,9631,4553,2025-08-04T00:00:00Z,2025-10-14T00:00:00Z,NaN
38,6149,3045,2025-02-05T00:00:00Z,2025-05-25T00:00:00Z,NaN
39,5116,1046,2025-07-11T00:00:00Z,NaN,NaN
40,1655,3124,2024-12-05T00:00:00Z,2025-05-21T00:00:00Z,NaN
41,2414,2820,2025-04-07T00:00:00Z,NaN,NaN
42,2804,4238,2024-05-23T00:00:00Z,NaN,NaN
43,5839,429,2025-04-13T00:00:00Z,NaN,NaN
44,6815,3008,2025-01-23T00:00:00Z,2025-06-16T00:00:00Z,NaN
45,3740,3332,2025-02-12T00:00:00Z,NaN,NaN
46,753,4814,2025-03-03T00:00:00Z,NaN,NaN
47,3210,870,2025-07-06T00:00:00Z,2025-12-22T00:00:00Z,NaN
48,1333,2458,2024-11-20T00:00:00Z,NaN,NaN
49,3876,3988,2024-11-26T00:00:00Z,2025-01-07T00:00:00Z,NaN
50,9773,4385,2025-08-02T00:00:00Z,NaN,NaN
51,9852,1723,2024-10-25T00:00:00Z,NaN,2024-11-11T00:00:00Z
52,9651,1393,2024-09-27T00:00:00Z,2025-02-15T00:00:00Z,NaN
