cart_item_id,cart_id,product_id,quantity,unit_price,total_price,added_at,updated_at,item_status
69,26,47,2,85.17,170.34,2018-10-02 00:36:55,2018-10-02 12:41:24,Converted
225,84,436,1,80.51,80.51,2022-05-11 07:40:19,2022-05-11 07:44:34,Abandoned
304,117,88,1,299.08,299.08,2023-08-20 16:22:18,2023-08-21 06:52:39,Converted
1014,379,434,1,521.01,521.01,2022-08-21 20:08:42,2022-08-22 21:42:17,Active
1207,453,477,5,75.86,379.3,2022-11-10 17:33:28,2022-11-10 19:21:21,Abandoned
1446,541,16,2,692.72,1385.44,2024-03-22 18:56:36,2024-03-26 22:13:03,Deleted
55,19,147,5,64.35,321.75,2021-04-20 14:43:02,2021-04-21 18:51:49,Active
529,203,284,1,304.44,304.44,2021-08-30 05:43:05,2021-08-31 11:16:52,Active
804,304,193,2,58.16,116.32,2025-06-16 01:57:47,2025-06-19 06:48:28,Deleted
1100,412,225,1,11.07,11.07,2025-11-27 10:36:58,2025-11-28 01:21:37,Converted
1241,467,119,1,200.43,200.43,2024-05-02 21:22:01,2024-05-03 05:04:55,Converted
1249,470,324,3,69.69,209.07,2025-06-29 03:26:05,2025-06-29 03:37:59,Abandoned
1303,486,414,2,340.19,680.38,2025-03-23 13:00:19,2025-03-28 13:44:44,Deleted
1434,537,224,1,376.73,376.73,2024-12-06 02:09:20,2024-12-06 02:50:05,Active
243,91,268,1,254.98,254.98,2025-09-03 03:24:12,2025-09-03 04:46:08,Active
922,344,243,2,555.05,1110.1,2021-05-08 20:04:23,2021-05-09 10:14:34,Converted
994,372,233,5,45.4,227.0,2024-08-04 20:19:21,2024-08-04 23:18:52,Active
1126,422,5,2,893.87,1787.74,2021-04-06 19:40:22,2021-04-06 19:42:49,Abandoned
1232,463,420,3,348.82,1046.46,2025-03-26 23:56:52,2025-03-27 17:24:31,Deleted
1378,513,486,3,415.81,1247.43,2020-09-19 16:45:34,2020-09-19 16:45:43,Converted
309,119,187,2,69.09,138.18,2022-08-09 16:09:00,2022-08-09 23:03:59,Active
462,178,295,2,238.26,476.52,2025-09-30 21:17:53,2025-09-30 21:17:53,Abandoned
765,290,61,2,57.63,115.26,2025-10-03 13:11:15,2025-10-03 13:11:15,Abandoned
1221,458,52,1,105.12,105.12,2024-07-15 00:26:40,2024-07-15 00:30:17,Abandoned
1450,543,351,2,83.48,166.96,2021-11-08 14:03:18,2021-11-09 17:33:01,Deleted
429,166,176,1,318.15,318.15,2022-11-08 23:15:37,2022-11-09 00:10:34,Abandoned
523,200,417,6,33.26,199.56,2022-03-12 10:32:07,2022-03-12 12:48:34,Deleted
571,219,219,2,183.66,367.32,2019-10-02 11:23:19,2019-10-02 11:33:34,Deleted
671,255,258,1,477.87,477.87,2025-10-16 16:58:04,2025-10-16 18:47:56,Abandoned
914,340,385,1,485.58,485.58,2022-08-03 05:20:55,2022-08-03 06:47:19,Converted
956,360,291,2,44.4,88.8,2024-11-04 09:10:08,2024-11-04 09:19:50,Abandoned
1037,388,416,2,287.28,574.56,2021-12-03 08:37:36,2021-12-03 14:11:54,Converted
1095,408,130,1,745.47,745.47,2024-05-02 16:16:27,2024-05-02 19:11:20,Converted
1289,481,334,1,256.03,256.03,2021-11-23 00:08:46,2021-11-24 01:40:08,Converted
104,35,75,1,254.98,254.98,2021-07-20 05:46:23,2021-07-20 05:52:46,Abandoned
238,89,342,1,64.55,64.55,2017-04-27 23:23:31,2017-04-28 00:21:53,Abandoned
821,310,251,1,393.53,393.53,2025-02-03 00:33:45,2025-02-03 01:20:04,Converted
834,313,251,1,393.53,393.53,2024-10-25 06:28:12,2024-10-26 10:04:52,Deleted
1415,529,475,2,1839.85,3679.7,2020-11-24 22:15:13,2020-11-25 01:03:27,Converted
803,304,90,3,64.18,192.54,2025-06-20 11:15:03,2025-06-20 14:59:37,Deleted
842,316,483,3,1017.36,3052.08,2019-09-22 02:53:02,2019-09-22 03:23:14,Active
