session_id,customer_id,session_start,session_end,device_type,referrer_source,pages_viewed,products_viewed,conversion_flag,cart_abandonment_flag
0f0e628d-e555-465d-9b9b-19a4475abd66,15,2021-03-01 12:58:06,2021-03-01 13:28:29,Mobile,Referral,40,26,False,False
a8898a2b-224a-4163-b82f-af8d3f072994,414,2024-12-13 02:10:52,2024-12-13 02:19:28,Mobile,Paid Search,15,2,False,False
4adde947-76ce-4cbe-aeb0-3d4ccdcac51b,110,2020-05-03 15:23:14,2020-05-03 15:23:28,Tablet,Paid Search,5,3,False,False
ab296eb2-25be-4f6b-aa5b-e065a6952683,494,2024-06-03 18:03:39,2024-06-03 18:10:05,Tablet,Paid Search,10,5,False,False
aa796de4-70ce-4d2a-a9e9-4f7004062ba6,86,2025-12-11 17:09:30,2025-12-11 17:09:52,Desktop,Paid Search,2,0,False,False
1dc188f9-8d08-45b2-a166-4ac6575cc827,99,2025-02-05 16:43:10,2025-02-05 16:59:19,Mobile,Direct,12,1,False,False
01adb77a-50ad-43fd-9462-0380ab057d7b,185,2024-10-28 17:02:05,2024-10-28 17:31:39,Mobile,Email,8,5,False,False
342c2282-bc87-491c-a53a-7aa682e0947f,410,2025-05-23 02:40:15,2025-05-23 02:46:19,Mobile,Email,12,9,True,False
72cb5bee-2fee-4efc-a64f-c962f9b7411d,347,2023-06-25 12:40:57,2023-06-25 13:21:20,Tablet,Social Media,10,0,False,False
1fc5bafc-76f0-4e71-adde-f7a1ed41e619,22,2025-12-08 15:44:54,2025-12-08 16:09:27,Mobile,Social Media,30,29,False,False
64951564-b284-4f79-bff0-1ab66c1b05f2,114,2025-10-13 07:19:07,2025-10-13 07:19:58,Desktop,Direct,5,3,False,False
ed2d1a51-31fc-42bd-b4d6-50f27abc743f,66,2024-06-06 23:49:28,2024-06-07 00:34:12,Desktop,Social Media,79,25,False,False
c2d2f115-bea8-4c19-b8d1-998eb27adbd5,178,2018-07-29 19:44:54,2018-07-29 20:04:03,Tablet,Organic Search,13,1,False,False
1ef7e982-eaf1-449b-8125-7b1e1d50fe2a,469,2025-02-15 02:37:34,2025-02-15 02:37:39,Mobile,Paid Search,5,1,False,False
05febda7-e608-48ba-8da1-8cc8247c6056,45,2025-09-03 21:20:57,2025-09-03 22:16:05,Mobile,Display Ads,48,7,False,False
c70b1a8c-adc1-4591-b6d0-22ea6a9a5d36,167,2023-03-15 10:02:38,2023-03-15 10:19:57,Desktop,Referral,6,5,False,False
53690983-c824-42b4-8ab6-a1c4b86f44c5,64,2018-03-04 21:02:01,2018-03-04 21:14:38,Desktop,Social Media,13,0,False,False
dd0e32cf-4fb6-4946-8cf9-ab4ad0bce531,140,2023-07-11 03:33:05,2023-07-11 03:33:29,Mobile,Direct,1,0,False,False
169b334d-3025-4a09-a66a-f206e63e2c66,60,2021-11-22 14:20:24,2021-11-22 14:26:21,Mobile,Organic Search,3,0,False,False
be028a24-2ef2-4376-bf6c-7abc0ee35d29,10,2022-06-16 05:10:07,2022-06-16 05:31:03,Mobile,Organic Search,26,4,False,False
375b1cad-5f6e-474e-8f4e-84831ef2ece3,345,2023-10-26 12:28:45,2023-10-26 12:29:38,Tablet,Direct,2,0,False,False
48224e22-5a64-409d-8925-c572298e7c1b,494,2024-06-16 07:29:01,2024-06-16 07:29:40,Mobile,Referral,4,3,False,False
c807e3d9-4083-4373-b3c0-3dd0986828f9,458,2024-05-12 23:49:11,2024-05-13 00:03:09,Mobile,Social Media,16,5,False,True
152343e7-1393-4bc5-a253-c4ed1d65bdcf,186,2023-04-23 03:01:43,2023-04-23 03:02:26,Mobile,Social Media,3,0,False,False
821a997c-90c6-442e-8718-253c2b32a61a,4,2025-10-13 08:45:06,2025-10-13 08:45:51,Desktop,Organic Search,5,1,False,False
4b9cc813-1d50-41bd-91cc-c1d152e01efe,239,2025-04-02 11:02:30,2025-04-02 11:07:46,Mobile,Organic Search,13,0,False,False
fc1d25b1-616a-4234-a14a-cffc7d73241e,186,2024-10-20 20:01:50,2024-10-20 20:11:31,Wearable,Social Media,13,3,False,False
b1f8bedb-1c02-4233-9715-11b067bc2b57,328,2025-10-11 11:52:41,2025-10-11 12:04:33,Desktop,Social Media,17,2,False,True
c2b1ce41-b0d3-45fa-b631-32c362d6a697,431,2023-03-17 15:16:12,2023-03-17 15:17:05,Tablet,Paid Search,2,1,False,True
063b987d-3ead-4574-bc90-0a120f20c1b3,309,2021-01-11 15:55:19,2021-01-11 15:55:57,Tablet,Paid Search,3,0,False,False
1c545948-b708-4ce2-a324-dcc408286688,341,2023-09-24 03:57:28,2023-09-24 03:57:48,Smart TV,Paid Search,2,0,False,False
4b078022-1255-41cd-9eda-6b4c07138668,257,2022-02-18 00:45:06,2022-02-18 00:59:02,Desktop,Paid Search,14,5,False,False
b25d783f-371b-4525-93f3-b38caf568120,169,2024-06-07 03:19:16,2024-06-07 03:29:52,Desktop,Organic Search,14,1,False,False
96c68a31-5b2a-4059-bfe9-49ccf5319d87,144,2021-11-18 14:04:01,2021-11-18 14:18:05,Desktop,Social Media,18,7,False,False
82398e7c-7b98-4a85-a976-5606ee4540a8,292,2022-01-22 03:42:19,2022-01-22 06:05:41,Desktop,Paid Search,51,12,False,True
b3a0ca27-127f-4141-a181-f151684247e5,251,2020-03-24 04:34:05,2020-03-24 04:34:38,Desktop,Organic Search,5,3,False,False
8568fa72-c485-487c-b7ef-b5600f0e921f,328,2021-10-28 20:52:20,2021-10-28 21:27:52,Desktop,Social Media,12,9,False,False
01868e99-8d26-437f-975b-54f1450b243a,437,2022-01-16 10:41:40,2022-01-16 10:41:56,Desktop,Display Ads,4,2,False,False
51b48188-7f1b-40c7-9ad0-9518518fafa7,181,2020-09-22 14:38:18,2020-09-22 14:49:13,Mobile,Social Media,29,6,False,False
9f36bd2b-d4f6-4ac5-96de-6a797dcd058d,434,2025-04-30 13:44:33,2025-04-30 13:55:36,Desktop,Direct,27,9,True,False
b73e9d4a-77a9-4ae1-9e21-f12ce70e33f6,430,2025-10-03 11:07:54,2025-10-03 13:47:15,Desktop,Social Media,96,31,False,False
cbe79e44-389e-4857-aff8-0c435da95917,469,2023-04-15 11:00:10,2023-04-15 11:00:57,Mobile,Organic Search,5,0,False,False
9c53ecde-717f-4b01-bac4-2c090c62d0ff,418,2022-09-10 14:19:04,2022-09-10 14:38:44,Mobile,Direct,22,2,False,False
aa5e2422-def1-4a5a-8f8f-226ae17390e2,44,2024-11-14 03:20:49,2024-11-14 06:55:36,Mobile,Organic Search,69,33,False,False
098dcce7-2c63-4a88-b325-5eed4862cfba,460,2025-10-18 19:50:55,2025-10-18 20:02:47,Mobile,Social Media,21,20,False,False
6521d694-ba2e-4731-ac64-b9bd5dd7af29,307,2021-06-08 17:16:43,2021-06-08 19:53:10,Desktop,Social Media,31,3,False,False
328546f8-5b05-419d-bcd5-2f744d7733fe,34,2023-01-26 05:23:59,2023-01-26 05:24:34,Desktop,Organic Search,4,0,False,False
3b91a292-48e2-4af1-b562-08c8d148bd9b,78,2024-08-18 13:07:19,2024-08-18 13:08:08,Mobile,Paid Search,2,0,False,False
904f3d8b-6e1a-4188-a77a-3c9799074f11,19,2025-11-06 12:32:53,2025-11-06 12:41:55,Desktop,Organic Search,6,3,False,False
1665c8cd-a6f2-49f8-9389-29dbcded888e,356,2022-01-04 06:24:35,2022-01-04 06:35:20,Desktop,Direct,13,12,False,False
27bc3061-bc93-49ee-9eae-29200ef69255,430,2024-07-14 22:26:24,2024-07-14 22:39:43,Tablet,Direct,16,3,False,False
9e96b632-e994-4c2c-8d24-c5739a4363c9,236,2024-03-11 18:40:39,2024-03-11 18:53:03,Desktop,Direct,20,1,False,False
1a8a1578-9646-4e0a-8e0d-c4c3236329af,300,2025-09-01 08:30:14,2025-09-01 08:33:00,Tablet,Social Media,7,1,False,False
56402d4f-ac04-401a-84f0-638e6db152d0,131,2025-12-06 02:39:23,2025-12-06 03:21:12,Desktop,Direct,80,46,False,False
26c16783-9f56-4fdc-aff3-16f8a7042cd7,70,2025-10-03 13:07:25,2025-10-03 13:16:44,Mobile,Direct,5,2,False,False
4b27e262-bfa1-4238-8703-099900e3204d,84,2025-12-18 06:07:09,2025-12-18 06:08:02,Mobile,Organic Search,3,1,False,False
627fc974-56af-4cab-b613-0473337c6239,264,2022-10-01 17:42:04,2022-10-01 17:42:20,Mobile,Direct,1,0,False,False
ad7c8447-04b9-47c9-b57b-f7b80b1d20a6,9,2025-09-30 21:14:40,2025-09-30 21:20:55,Desktop,Organic Search,3,2,False,False
76f43c9c-e790-4df0-964f-a760cec28248,196,2025-12-23 16:38:03,2025-12-23 16:58:33,Desktop,Organic Search,18,13,False,False
48bf6d20-146c-4269-9128-d162118fe5f0,351,2022-05-01 12:55:11,2022-05-01 12:56:09,Mobile,Paid Search,4,2,False,False
0754d051-3d3c-4c23-b3fe-194b870d0ee6,291,2022-12-13 00:40:21,2022-12-13 01:29:59,Mobile,Organic Search,38,3,False,False
5fe4c458-b949-4807-a14c-aaca9a7f641e,77,2024-02-14 00:39:44,2024-02-14 00:46:13,Mobile,Social Media,11,1,False,False
0fb62303-7f69-462d-bf7b-334c9736345c,406,2023-03-08 04:10:25,2023-03-08 04:54:18,Mobile,Email,22,1,False,True
b2f975dd-0e49-4345-b18d-1067b87ebfd1,353,2024-09-22 10:54:45,2024-09-22 11:15:50,Mobile,Paid Search,8,6,False,True
c75ff561-cc81-450c-97ed-d82a2897de4b,408,2025-11-14 13:53:52,2025-11-14 14:07:39,Mobile,Direct,10,1,False,True
29ceb061-4124-46bc-87a0-004cb00d1d66,341,2024-09-22 15:44:16,2024-09-22 16:17:43,Desktop,Organic Search,23,16,False,False
066649b4-20bb-4e86-9f8f-47028fe9c253,407,2022-08-27 04:29:58,2022-08-27 04:30:58,Tablet,Direct,3,1,False,False
5baf1b5f-0eb7-40cb-81ac-7a85db792664,308,2019-11-06 12:34:13,2019-11-06 12:34:51,Desktop,Social Media,4,1,False,False
e5d3885b-fd79-49b4-b4bd-ee0cb2e9da1c,396,2021-04-05 02:38:43,2021-04-05 02:41:26,Desktop,Social Media,10,7,False,True
8c9fbd4c-67d7-40ac-ba2e-b53107038fc9,157,2021-11-15 02:46:53,2021-11-15 02:48:47,Desktop,Social Media,5,0,False,False
f78a0f51-fa5c-4cfb-a39a-7991d238a710,149,2024-05-30 10:05:12,2024-05-30 10:05:33,Mobile,Social Media,4,1,False,True
d5734020-2fd5-4d48-bef3-789ff5c00fb4,269,2018-07-22 17:07:17,2018-07-22 17:17:09,Mobile,Paid Search,14,4,False,False
652bac16-03bd-457e-a130-00de470d593d,229,2024-05-18 16:13:16,2024-05-18 17:02:49,Smart TV,Direct,81,13,False,False
34bc388a-abb8-469a-bf05-d089150ffbc1,224,2025-05-17 02:10:40,2025-05-17 02:11:05,Mobile,Organic Search,1,0,False,False
635bd699-4b3f-4d38-a549-55d5d3779065,280,2017-08-16 06:26:23,2017-08-16 06:31:52,Mobile,Organic Search,4,3,False,True
3f7016e4-3dca-4014-82dd-a6140f5bb93c,299,2025-12-08 05:37:01,2025-12-08 05:51:14,Desktop,Paid Search,17,16,False,False
4a1f5e37-08e4-43b5-80d3-90d68f7b3bc5,254,2023-01-05 11:23:01,2023-01-05 11:26:22,Desktop,Paid Search,14,13,False,False
a1f57d25-773c-4c54-af2c-db9e1627c37b,485,2025-10-18 15:51:04,2025-10-18 15:56:07,Desktop,Organic Search,11,8,False,True
c1bed802-7a09-4691-9794-3bc05cd5ddae,238,2021-10-22 01:58:57,2021-10-22 02:24:30,Mobile,Direct,11,8,False,False
bf51232a-762a-4ac7-9cfc-701ddb0059e5,349,2024-07-09 06:15:22,2024-07-09 06:25:17,Mobile,Organic Search,11,1,False,True
5f0b6231-baa3-48bf-916b-3e748b4b45b9,44,2024-05-29 22:22:34,2024-05-29 22:33:40,Smart TV,Direct,19,16,False,True
10c23a3b-60f3-4399-b670-ba5988ca1464,299,2025-09-22 00:42:09,2025-09-22 00:45:46,Tablet,Organic Search,13,1,True,False
