inventory_id,product_id,supplier_id,stock_quantity,reserved_quantity,minimum_stock_level,last_restocked_date,storage_cost
581,348,1,15,3,14,2025-12-09,13.79
16,11,38,287,3,23,2025-08-25,18.8
17,12,32,475,1,13,2025-12-16,11.24
85,53,12,14,0,18,2025-09-03,20.87
403,247,5,15,5,0,2025-09-29,3.08
761,458,17,8,2,9,2025-07-11,0.52
220,130,48,0,0,23,2025-05-14,22.49
286,174,35,0,0,11,2025-06-24,1.33
309,187,5,214,22,21,2025-12-19,1.98
522,317,25,67,5,17,2025-11-03,1.63
541,325,49,0,0,9,2025-02-24,8.1
571,343,47,26,10,20,2025-12-07,2.43
635,381,35,343,3,5,2025-12-15,18.32
604,361,27,327,50,27,2025-09-14,6.88
704,424,1,0,0,29,2025-04-17,0.35
258,156,24,0,0,18,2025-02-21,0.3
311,187,26,54,11,10,2025-12-17,1.54
312,188,46,180,1,14,2025-12-16,21.41
332,204,50,34,14,18,2025-08-30,19.85
394,241,25,46,22,30,2025-11-04,4.36
402,246,35,0,0,9,2025-11-04,6.31
459,282,26,66,29,16,2025-07-18,0.22
716,431,44,437,22,14,2025-10-02,12.4
736,444,5,6,1,0,2025-08-04,1.99
369,226,19,133,32,18,2025-10-11,16.81
395,242,15,0,0,24,2025-03-03,6.52
443,272,1,9,1,13,2025-12-12,6.05
777,468,50,175,21,19,2025-08-04,0.79
141,85,14,418,34,12,2025-10-13,2.3
149,89,13,10,2,28,2025-07-10,5.23
347,213,47,75,22,17,2025-10-31,0.87
449,275,10,30,6,27,2025-07-02,1.65
543,326,35,9,4,0,2025-12-13,5.37
553,334,39,0,0,26,2025-03-27,0.95
199,118,13,151,38,10,2025-11-10,12.55
375,230,31,0,0,5,2025-10-14,8.81
630,377,47,412,50,16,2025-10-26,10.6
181,107,37,29,8,7,2025-08-19,1.76
226,135,4,348,5,17,2025-06-28,1.11
620,371,19,219,3,10,2025-10-26,4.77
94,59,6,0,0,16,2025-09-06,9.49
376,230,31,456,11,15,2025-09-12,12.56
178,105,19,447,31,8,2025-07-15,0.55
391,239,42,149,40,22,2025-11-20,13.02
421,261,32,0,0,16,2025-09-28,3.71
668,402,25,354,24,9,2025-08-18,4.39
738,445,23,7,1,27,2025-09-11,8.33
34,23,37,222,48,19,2025-07-01,4.95
213,126,15,10,1,30,2025-11-10,18.21
38,26,6,329,42,8,2025-09-20,11.55
272,166,7,0,0,0,2025-01-06,4.91
321,195,13,0,0,25,2025-08-05,56.53
487,298,11,424,46,24,2025-08-09,11.1
690,416,33,396,43,5,2025-11-03,4.12
280,171,40,463,49,30,2025-08-22,8.28
775,466,13,1,1,30,2025-07-18,47.74
19,13,16,324,14,26,2025-10-28,3.9
43,30,25,269,14,18,2025-07-04,9.14
510,310,47,0,0,20,2024-12-25,5.64
616,367,24,43,5,29,2025-09-15,6.91
688,414,45,167,41,26,2025-11-25,5.22
715,430,46,379,30,17,2025-12-13,5.76
333,204,7,426,23,24,2025-07-28,6.77
413,255,4,5,0,8,2025-11-13,7.7
498,303,28,461,13,23,2025-11-23,1.99
586,352,5,0,0,15,2025-08-31,3.29
652,393,43,0,0,5,2025-06-27,6.96
9,6,34,293,38,28,2025-11-08,2.28
148,88,9,0,0,28,2025-10-10,7.36
304,183,19,425,5,8,2025-08-07,4.12
615,367,42,0,0,19,2025-05-18,9.41
657,397,23,319,37,15,2025-10-15,7.95
757,456,16,0,0,18,2025-10-01,2.02
58,37,6,14,6,0,2025-07-11,6.47
398,244,31,6,2,5,2025-09-09,9.62
516,313,7,0,0,23,2025-05-05,21.27
741,447,23,213,31,11,2025-12-13,6.61
637,382,13,35,8,22,2025-10-22,3.3
216,128,32,33,5,5,2025-11-15,3.91
303,183,4,0,0,25,2025-03-23,1.99
670,403,2,374,29,14,2025-09-30,5.16
