order_id,customer_id,order_status,subtotal,tax_amount,shipping_cost,total_discount,total_amount,currency,order_placed_at,order_shipped_at,order_delivered_at
33,180,Delivered,378.88,23.29,29.49,37.73,431.66,USD,2023-09-06 14:41:57,2023-09-08,2023-09-10
72,162,Delivered,7177.14,636.67,0.0,325.41,7813.81,USD,2025-02-03 01:46:13,2025-02-05,2025-02-12
93,349,Delivered,978.07,59.13,8.09,9.08,1045.29,USD,2024-07-18 18:30:28,2024-07-19,2024-07-21
70,260,Delivered,6579.54,533.06,24.11,1136.74,7136.71,USD,2025-04-30 19:52:47,2025-04-30,2025-05-03
2,243,Delivered,5623.06,424.43,0.0,409.94,6047.49,USD,2018-10-02 12:59:40,2018-10-02,2018-10-09
50,206,Delivered,1258.34,76.52,18.51,0.0,1353.37,USD,2022-07-06 09:10:46,2022-07-08,2022-07-11
11,159,Delivered,8133.58,786.47,26.11,0.0,8946.16,USD,2025-05-12 00:12:00,2025-05-12,2025-05-17
141,26,Delivered,821.97,82.02,23.15,213.29,927.14,USD,2024-12-05 20:56:10,2024-12-07,2024-12-13
92,280,Delivered,7746.61,610.59,8.98,2157.76,8366.18,USD,2017-08-18 10:27:55,2017-08-18,2017-08-22
78,125,Delivered,3251.68,231.21,20.16,0.0,3503.05,USD,2025-01-27 08:00:23,2025-01-29,2025-02-03
116,317,Delivered,1630.58,121.82,9.73,0.0,1762.13,USD,2025-05-24 06:12:07,2025-05-25,2025-05-30
135,342,Delivered,978.66,85.03,7.55,0.0,1071.24,USD,2018-04-09 09:41:23,2018-04-09,2018-04-11
136,110,Delivered,3841.53,302.19,17.11,17.98,4160.83,USD,2020-11-25 01:21:26,2020-11-28,2020-12-05
96,60,Delivered,145.84,10.89,0.0,0.0,156.73,USD,2021-11-25 03:22:42,2021-11-27,2021-11-30
105,13,Delivered,8.86,1.06,21.36,2.21,31.28,USD,2025-11-29 00:40:11,2025-12-02,2025-12-06
120,452,Delivered,630.51,66.79,6.55,67.14,703.85,USD,2024-10-03 17:44:16,2024-10-06,2024-10-09
123,60,Delivered,3347.09,222.78,8.53,407.27,3578.4,USD,2021-11-24 08:25:00,2021-11-27,2021-12-02
108,77,Delivered,3009.16,213.17,13.34,4.89,3235.67,USD,2024-06-19 02:32:24,2024-06-20,2024-06-24
16,187,Delivered,1146.1,78.44,24.29,18.89,1248.83,USD,2024-03-28 14:33:36,2024-03-30,2024-04-02
23,307,Delivered,45.53,2.32,23.77,8.04,71.62,USD,2025-07-12 01:59:48,2025-07-12,2025-07-14
61,113,Delivered,3124.12,319.17,16.47,535.96,3459.76,USD,2024-10-06 23:00:36,2024-10-06,2024-10-08
37,223,Delivered,1090.01,87.12,7.17,0.0,1184.3,USD,2021-08-21 03:10:34,2021-08-24,2021-08-29
76,204,Delivered,1837.01,161.57,0.0,44.6,1998.58,USD,2018-06-13 16:16:51,2018-06-14,2018-06-20
109,54,Delivered,128.28,11.74,13.66,22.64,153.68,USD,2022-01-23 06:37:21,2022-01-24,2022-01-29
115,91,Delivered,1035.74,82.35,7.96,101.54,1126.05,USD,2024-10-25 18:27:07,2024-10-28,2024-11-02
104,457,Delivered,1824.97,164.12,0.0,344.31,1989.09,USD,2024-05-02 20:41:30,2024-05-03,2024-05-08
53,206,Delivered,3071.36,318.81,0.0,0.0,3390.17,USD,2024-10-05 08:48:26,2024-10-06,2024-10-10
134,200,Delivered,7128.59,694.6,23.56,14.74,7846.75,USD,2024-06-28 14:59:22,2024-06-28,2024-07-01
79,452,Delivered,637.88,51.58,131.02,0.0,820.48,USD,2022-08-03 13:11:16,2022-08-03,2022-08-07
106,299,Delivered,261.46,16.28,20.58,0.0,298.32,USD,2025-09-16 02:47:05,2025-09-16,2025-09-21
12,150,Delivered,853.04,72.39,15.69,0.0,941.12,USD,2023-11-14 21:29:49,2023-11-16,2023-11-18
19,251,Delivered,543.25,45.78,0.0,150.57,589.03,USD,2021-06-24 21:17:34,2021-06-26,2021-07-01
102,204,Delivered,1083.56,76.85,9.19,400.82,1169.6,USD,2019-08-19 20:41:08,2019-08-20,2019-08-25
65,303,Delivered,2704.15,174.85,25.73,218.98,2904.73,USD,2025-07-10 21:21:18,2025-07-11,2025-07-17
143,204,Delivered,709.66,58.68,20.6,0.0,788.94,USD,2024-11-13 11:36:43,2024-11-16,2024-11-23
59,2,Delivered,2504.51,151.94,24.73,8.59,2681.18,USD,2025-08-07 00:49:29,2025-08-10,2025-08-16
20,185,Delivered,2365.29,211.43,29.06,91.69,2605.78,USD,2024-10-29 07:10:52,2024-10-29,2024-11-04
