wishlist_id,customer_id,product_id,added_date,purchased_date,removed_date
245,87,239,2024-09-12,,
291,98,160,2024-07-18,,2024-12-12
568,393,54,2025-11-03,2025-11-27,
63,334,329,2025-08-27,,2025-12-11
65,219,216,2025-08-15,,
82,454,41,2025-05-08,,
631,366,176,2024-11-01,2025-02-08,
42,401,92,2025-09-08,,
562,54,191,2024-11-06,,2025-02-19
1,324,68,2025-08-15,2025-11-05,
485,47,402,2025-04-26,2025-06-13,
743,70,103,2025-08-29,,2025-10-11
18,347,200,2025-12-22,,2025-12-25
52,187,265,2025-03-22,2025-06-13,
546,461,182,2024-06-10,2024-10-30,
702,425,26,2024-06-21,2024-08-16,
159,476,213,2024-09-01,,2024-12-02
263,82,118,2024-12-03,,2025-05-09
603,473,53,2025-11-17,,
658,482,386,2025-05-21,2025-09-29,
174,266,419,2025-02-26,2025-06-26,
705,13,4,2025-10-10,,
740,150,222,2024-03-11,,2024-03-21
132,437,375,2025-06-05,2025-08-03,
616,187,287,2024-12-25,,
732,48,127,2025-11-17,,2025-12-17
146,203,134,2024-02-03,,
278,405,323,2024-07-29,2024-11-02,
455,21,373,2024-05-06,2024-09-08,
534,472,317,2024-02-11,,2024-05-03
604,136,321,2025-09-23,2025-11-15,
783,423,317,2025-01-22,,
448,380,118,2025-11-02,,
186,224,493,2025-07-25,,
308,49,145,2025-11-30,,
394,102,165,2025-10-14,2025-11-04,
433,55,381,2024-07-04,,
50,174,393,2025-11-10,,
165,372,230,2024-08-10,,
767,67,338,2025-04-17,,
795,493,232,2025-03-19,,2025-04-18
103,369,496,2025-03-11,,
125,168,244,2025-09-18,,
127,96,159,2025-06-01,,
138,457,11,2024-12-11,,
187,178,377,2024-12-07,,
501,272,293,2025-06-09,,
532,174,321,2025-06-30,,
613,308,190,2024-06-09,,
659,376,188,2025-07-09,,
721,25,447,2024-10-12,2024-11-08,
309,188,188,2025-11-08,,
429,428,224,2025-08-26,,
56,432,408,2024-04-09,,
259,410,54,2024-10-06,,
87,296,219,2024-02-22,,
203,457,396,2024-10-10,,2025-03-22
374,251,145,2024-09-10,2025-01-04,
375,348,342,2025-03-05,,
488,53,414,2024-07-09,,
788,27,134,2024-01-23,2024-02-01,
791,180,99,2025-12-21,,
190,386,394,2024-06-23,,
769,157,106,2025-05-07,2025-06-22,
69,249,71,2025-11-01,,
476,496,238,2025-09-16,,
773,171,488,2025-08-25,,
790,331,343,2025-04-06,,2025-08-31
343,70,170,2025-06-28,,
462,203,137,2025-10-29,,
515,137,354,2025-09-09,,
641,148,466,2024-08-06,2024-11-13,
53,423,43,2025-08-15,,
81,261,346,2025-03-07,2025-04-23,
88,154,249,2025-12-16,,2025-12-21
93,371,456,2025-06-22,,
133,19,81,2025-08-28,2025-12-05,
469,77,336,2024-09-23,2024-09-30,
615,488,27,2025-09-01,2025-11-18,
661,470,452,2025-09-13,,2025-11-29
89,32,483,2025-06-14,,
458,90,179,2024-12-23,,
483,279,77,2025-03-14,,
716,151,425,2025-08-24,,
370,163,12,2024-11-05,,2025-04-07
376,166,419,2025-09-28,,
378,242,415,2025-04-20,,
741,369,33,2024-09-11,,
39,498,499,2024-12-21,,2025-10-30
194,322,171,2025-09-26,2025-12-14,
230,407,161,2024-05-04,2024-08-10,
354,302,295,2025-06-16,,
3,18,345,2025-08-19,,
575,388,444,2025-08-20,,2025-12-04
578,216,113,2025-01-19,,2025-08-20
792,7,468,2025-06-10,,
530,196,460,2025-02-04,,2025-11-10
619,328,155,2025-12-08,2025-12-16,
723,288,99,2025-07-26,2025-08-25,
786,393,441,2025-05-28,,
35,366,278,2024-03-15,2024-07-10,
304,229,270,2025-02-07,2025-07-25,
360,356,270,2025-04-11,2025-05-15,
553,176,130,2024-07-26,,
566,281,387,2025-08-08,,
784,119,420,2025-04-10,,
126,145,162,2025-08-22,,
704,476,458,2024-05-08,2024-08-30,
47,167,306,2024-10-11,2025-03-27,
161,28,420,2024-07-24,,2024-12-22
243,385,378,2025-03-13,2025-04-12,
682,308,207,2025-08-28,,
726,94,378,2024-04-13,,
267,144,415,2024-12-24,,
436,390,188,2025-12-24,,
766,48,333,2025-08-26,,
