cart_item_id,cart_id,product_id,quantity,unit_price,item_status,added_at,updated_at,total_price
1,1,445,1,1310.25,Active,2022-01-11T08:45:16Z,2022-01-11T16:00:00Z,1310.25
2,2,384,2,39.95,Deleted,2022-06-29T07:28:02Z,2022-06-29T16:57:11Z,79.9
3,3,450,5,152.76,Abandoned,2025-09-21T18:42:36Z,2025-09-21T20:13:31Z,763.8
4,3,411,3,84.88,Abandoned,2025-09-21T22:57:06Z,2025-09-21T23:16:09Z,254.64
5,4,153,2,432.84,Active,2022-11-03T06:57:26Z,2022-11-05T16:52:33Z,865.68
6,4,500,2,48.8,Active,2022-11-08T15:46:03Z,2022-11-08T16:08:30Z,97.6
7,4,47,2,85.17,Active,2022-11-02T23:43:00Z,2022-11-02T23:50:55Z,170.34
8,4,456,9,184.36,Active,2022-11-04T04:00:32Z,2022-11-05T23:35:20Z,1659.2400000000002
9,4,50,1,175.24,Active,2022-11-05T04:34:58Z,2022-11-07T01:41:24Z,175.24
10,5,499,4,114.7,Abandoned,2022-05-19T18:57:45Z,2022-05-19T21:28:29Z,458.8
11,5,397,1,214.11,Abandoned,2022-05-19T20:58:25Z,2022-05-20T00:47:55Z,214.11
12,5,297,4,173.45,Abandoned,2022-05-19T22:43:19Z,2022-05-20T02:51:09Z,693.8
13,6,96,1,623.82,Active,2025-01-22T14:49:14Z,2025-01-23T01:10:32Z,623.82
14,7,360,2,88.96,Active,2023-09-12T12:03:28Z,2023-09-13T12:09:34Z,177.92
15,7,437,1,335.9,Active,2023-09-13T02:50:01Z,2023-09-13T12:45:49Z,335.9
16,7,391,1,44.4,Abandoned,2023-09-11T13:11:30Z,2023-09-13T15:58:36Z,44.4
17,7,351,1,83.48,Active,2023-09-12T17:52:48Z,2023-09-12T21:48:33Z,83.48
18,8,427,4,137.59,Deleted,2025-12-05T13:56:33Z,2025-12-07T16:39:10Z,550.36
19,8,223,1,282.68,Deleted,2025-12-06T16:49:44Z,2025-12-08T11:12:32Z,282.68
20,9,390,2,98.86,Deleted,2025-11-25T09:39:26Z,2025-11-28T07:20:52Z,197.72
21,9,468,3,69.61,Deleted,2025-11-14T17:02:27Z,2025-11-16T23:58:21Z,208.82999999999998
22,9,452,1,192.56,Deleted,2025-11-12T22:23:17Z,2025-11-27T09:58:32Z,192.56
23,9,323,2,283.09,Deleted,2025-11-19T07:28:22Z,2025-11-29T20:10:42Z,566.18
24,10,251,2,393.53,Active,2025-07-13T17:37:20Z,2025-07-14T03:31:54Z,787.06
25,10,59,5,234.15,Active,2025-07-12T02:23:49Z,2025-07-14T13:37:44Z,1170.75
26,10,184,1,466.38,Active,2025-07-12T14:37:29Z,2025-07-14T11:31:06Z,466.38
27,11,310,1,673.43,Deleted,2023-07-14T22:47:47Z,2023-07-18T02:03:15Z,673.43
28,11,64,4,25.71,Deleted,2023-07-08T23:41:00Z,2023-07-26T12:10:05Z,102.84
29,11,475,1,1839.85,Deleted,2023-07-02T17:55:31Z,2023-07-05T17:49:27Z,1839.85
30,12,490,2,1264.96,Deleted,2025-12-19T20:04:18Z,2025-12-19T23:48:26Z,2529.92
31,12,27,1,266.52,Deleted,2025-12-13T22:08:55Z,2025-12-18T19:28:20Z,266.52
32,13,185,3,1113.03,Abandoned,2024-09-16T03:22:14Z,2024-09-16T04:55:20Z,3339.09
33,13,18,1,397.05,Abandoned,2024-09-15T21:46:49Z,2024-09-16T01:38:16Z,397.05
34,13,25,2,1421.95,Abandoned,2024-09-16T06:26:41Z,2024-09-16T06:30:35Z,2843.9
35,13,203,1,94.19,Abandoned,2024-09-15T21:09:32Z,2024-09-15T22:01:07Z,94.19
36,14,229,1,1479.14,Active,2023-08-02T06:12:18Z,2023-08-02T06:24:58Z,1479.14
37,14,111,1,1148.98,Active,2023-07-31T09:29:23Z,2023-08-01T04:28:38Z,1148.98
38,15,489,2,150.92,Abandoned,2025-03-12T07:52:45Z,2025-03-12T15:44:20Z,301.84
39,15,499,1,114.7,Abandoned,2025-03-12T05:16:06Z,2025-03-12T07:48:15Z,114.7
40,15,105,8,24.47,Active,2025-03-12T09:42:06Z,2025-03-12T13:35:14Z,195.76
41,15,495,1,76.86,Active,2025-03-12T06:44:03Z,2025-03-12T09:16:59Z,76.86
42,15,6,2,119.78,Active,2025-03-11T20:02:52Z,2025-03-12T03:43:50Z,239.56
43,16,463,2,43.99,Active,2019-04-17T00:31:54Z,2019-04-17T00:31:54Z,87.98
44,16,275,3,28.51,Abandoned,2019-04-17T00:31:54Z,2019-04-17T00:31:54Z,85.53
45,16,313,3,1217.0,Abandoned,2019-04-17T00:31:54Z,2019-04-17T00:31:54Z,3651.0
46,17,45,8,217.29,Abandoned,2023-11-12T14:13:31Z,2023-11-12T15:28:40Z,1738.32
47,17,201,3,368.57,Active,2023-11-12T14:24:52Z,2023-11-12T18:29:50Z,1105.71
48,17,215,2,12.25,Abandoned,2023-11-12T20:19:23Z,2023-11-12T21:26:26Z,24.5
49,17,259,4,146.12,Abandoned,2023-11-12T16:37:34Z,2023-11-12T22:10:43Z,584.48
50,18,71,2,110.38,Abandoned,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z,220.76
51,18,331,1,45.91,Abandoned,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z,45.91
52,18,131,6,15.41,Abandoned,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z,92.46000000000001
53,18,372,1,221.0,Active,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z,221.0
54,19,54,1,1494.0,Active,2021-04-20T03:19:32Z,2021-04-22T06:22:54Z,1494.0
