customer_id,gender,date_of_birth,account_status,address_id,city,state_province,postal_code,country,account_created_at,last_login_date,is_active
1,Male,1953-07-23,Active,1.0,Clinton,NE,68878,US,2023-04-05T03:43:47Z,2025-03-20T06:21:14Z,True
2,Female,1998-01-26,Active,3.0,Chester,LA,38785,US,2024-05-09T11:10:23Z,2025-06-26T17:52:40Z,True
3,Male,1978-11-30,Active,5.0,Seattle,WA,99353,US,2021-09-08T02:24:24Z,2025-02-22T16:57:40Z,True
4,Male,1988-08-14,Inactive,6.0,Chester,WI,26483,US,2025-04-20T00:38:20Z,2025-08-23T00:46:19Z,False
5,Male,1992-04-08,Active,8.0,Salem,AR,54473,US,2021-06-18T15:15:50Z,2025-04-27T04:27:56Z,True
6,Female,1946-04-20,Pending,NaN,NaN,NaN,NaN,NaN,2016-11-05T12:00:24Z,NaN,False
7,Prefer not to say,1946-07-05,Active,9.0,Riverside,ID,87992,US,2023-05-22T10:03:03Z,2025-03-01T01:36:01Z,True
8,Female,1947-07-20,Closed,10.0,Fairview,MD,95717,US,2015-02-08T14:39:36Z,2016-03-23T17:13:49Z,False
9,Female,1991-04-09,Inactive,13.0,Edmonton,AB,N7K 5H1,CA,2024-11-30T13:39:47Z,2025-02-17T21:34:57Z,False
10,Other,1964-06-22,Active,14.0,Salem,VA,10221,US,2017-01-01T18:16:02Z,2025-10-31T13:43:24Z,True
11,Male,2001-10-21,Inactive,15.0,Chester,IN,72021,US,2023-05-23T05:39:36Z,2024-03-26T18:15:29Z,False
12,Female,1962-12-05,Active,16.0,Fairview,OK,51588,US,2016-08-27T20:44:00Z,2025-11-01T09:58:11Z,True
13,Female,1969-09-21,Active,17.0,Fairview,WY,12560,US,2025-01-05T17:05:08Z,2025-10-09T00:29:52Z,True
14,Male,1964-05-18,Active,19.0,Clinton,MN,95215,US,2019-04-02T10:13:29Z,2025-07-10T21:02:25Z,True
15,Female,1985-01-06,Active,22.0,Bellevue,WA,45179,US,2016-03-08T13:23:40Z,2025-05-04T11:33:07Z,True
16,Male,1963-08-05,Active,25.0,Bristol,WV,46241,US,2017-08-02T03:46:12Z,2025-07-16T07:33:46Z,True
17,Male,1968-04-19,Blocked,27.0,Madison,NH,87139,US,2015-12-15T07:07:35Z,2024-07-11T20:46:13Z,False
18,Male,1977-02-24,Inactive,30.0,Fairview,OR,12719,US,2025-07-28T08:32:34Z,2025-12-01T22:38:12Z,False
19,Male,2000-06-25,Inactive,31.0,Springfield,NE,34586,US,2025-08-07T12:52:48Z,2025-08-17T02:58:08Z,False
20,Male,1953-04-15,Closed,33.0,Chester,NU,V6N 9Y6,CA,2024-09-09T02:17:49Z,2025-04-09T13:17:39Z,False
