inventory_id,product_id,supplier_id,stock_quantity,reserved_quantity,minimum_stock_level,storage_cost,last_restocked_date
1,1,SUPP_36,276,21,5,8.33,2025-11-13
2,2,SUPP_36,286,41,14,15.98,2025-09-11
3,3,SUPP_36,15,3,0,1.32,2025-10-29
4,4,SUPP_33,6,1,12,5.23,2025-10-13
5,4,SUPP_42,202,20,30,4.75,2025-10-25
6,4,SUPP_24,0,0,16,6.74,2025-10-20
7,5,SUPP_41,466,16,12,14.88,2025-08-01
8,6,SUPP_50,11,5,19,3.83,2025-11-12
9,6,SUPP_34,293,38,28,2.28,2025-11-08
10,6,SUPP_2,0,0,16,1.04,2025-09-28
11,7,SUPP_25,485,42,27,33.15,2025-07-13
12,8,SUPP_13,0,0,26,34.06,2025-08-12
13,9,SUPP_29,384,42,20,4.77,2025-08-15
14,10,SUPP_39,0,0,7,17.96,2025-06-28
15,10,SUPP_48,0,0,11,21.53,2025-08-20
16,11,SUPP_38,287,3,23,18.8,2025-08-25
17,12,SUPP_32,475,1,13,11.24,2025-12-16
18,12,SUPP_25,307,24,14,11.33,2025-09-15
19,13,SUPP_16,324,14,26,3.9,2025-10-28
20,14,SUPP_28,250,4,18,4.44,2025-08-21
21,14,SUPP_5,0,0,7,4.54,2025-05-29
22,15,SUPP_15,0,0,22,1.11,2025-03-16
23,16,SUPP_50,113,15,9,16.03,2025-10-25
24,17,SUPP_45,0,0,15,1.18,2025-09-09
25,18,SUPP_33,0,0,29,6.15,2024-12-27
26,18,SUPP_39,0,0,16,13.66,2025-02-01
27,18,SUPP_9,0,0,13,4.42,2025-01-30
28,19,SUPP_15,177,16,14,4.71,2025-12-08
29,19,SUPP_20,463,33,24,3.56,2025-07-25
30,20,SUPP_32,10,5,0,3.69,2025-08-09
31,20,SUPP_13,9,2,0,3.45,2025-08-29
32,21,SUPP_2,0,0,18,18.5,2025-11-06
33,22,SUPP_5,8,3,0,1.2,2025-11-15
34,23,SUPP_37,222,48,19,4.95,2025-07-01
35,24,SUPP_30,246,47,17,0.48,2025-09-14
36,25,SUPP_8,1,1,16,59.9,2025-08-19
37,26,SUPP_17,488,1,17,46.83,2025-07-13
38,26,SUPP_6,329,42,8,11.55,2025-09-20
39,27,SUPP_8,227,9,13,6.84,2025-11-05
40,28,SUPP_13,318,21,30,7.65,2025-07-17
41,29,SUPP_44,123,43,8,2.79,2025-10-27
42,30,SUPP_21,0,0,7,4.25,2025-10-22
43,30,SUPP_25,269,14,18,9.14,2025-07-04
44,31,SUPP_8,292,46,14,1.1,2025-08-24
45,31,SUPP_8,0,0,6,0.75,2025-10-10
46,31,SUPP_27,213,44,30,0.37,2025-09-16
47,32,SUPP_14,13,3,25,6.61,2025-09-13
48,32,SUPP_30,6,1,12,4.91,2025-12-04
49,33,SUPP_12,91,3,24,2.11,2025-11-04
50,33,SUPP_10,0,0,24,1.89,2025-05-26
51,34,SUPP_31,300,29,6,23.74,2025-11-21
52,34,SUPP_36,118,17,8,26.39,2025-11-24
53,34,SUPP_5,0,0,5,16.58,2025-11-12
54,35,SUPP_3,187,26,6,17.47,2025-11-05
55,35,SUPP_6,216,8,22,12.19,2025-07-24
56,35,SUPP_25,390,23,20,19.36,2025-11-11
57,36,SUPP_31,296,22,11,33.58,2025-11-06
58,37,SUPP_6,14,6,0,6.47,2025-07-11
59,38,SUPP_27,389,36,17,6.49,2025-06-28
60,38,SUPP_47,205,24,22,4.18,2025-09-22
61,39,SUPP_23,0,0,9,0.41,2025-08-06
62,39,SUPP_41,0,0,14,1.06,2025-05-16
63,40,SUPP_8,0,0,25,0.17,2025-09-15
64,41,SUPP_24,0,0,22,3.5,2025-06-13
65,42,SUPP_25,391,28,12,55.62,2025-08-09
66,43,SUPP_3,207,0,24,2.32,2025-08-26
67,44,SUPP_46,331,50,15,11.79,2025-12-09
68,45,SUPP_9,240,31,27,5.76,2025-06-29
69,45,SUPP_6,394,30,11,1.42,2025-11-11
70,46,SUPP_26,7,0,0,6.41,2025-07-04
71,46,SUPP_15,17,2,0,8.15,2025-10-28
72,46,SUPP_2,19,5,0,6.92,2025-10-04
73,47,SUPP_25,467,27,9,1.88,2025-07-26
74,48,SUPP_29,358,24,18,10.36,2025-07-17
75,48,SUPP_34,33,0,10,28.9,2025-08-26
76,48,SUPP_2,473,49,26,10.11,2025-12-08
77,49,SUPP_15,18,3,0,0.08,2025-08-06
78,50,SUPP_6,368,21,10,2.99,2025-07-03
79,50,SUPP_50,253,45,7,2.86,2025-07-03
80,51,SUPP_26,488,14,24,0.86,2025-10-01
81,51,SUPP_37,306,14,11,4.69,2025-07-07
82,51,SUPP_8,9,0,21,2.54,2025-08-10
83,52,SUPP_16,365,3,29,0.51,2025-07-30
84,53,SUPP_25,53,4,8,24.94,2025-10-06
85,53,SUPP_12,14,0,18,20.87,2025-09-03
86,54,SUPP_36,268,45,6,44.97,2025-10-09
87,54,SUPP_35,28,11,29,26.01,2025-11-02
88,54,SUPP_9,457,50,11,34.39,2025-07-26
89,55,SUPP_22,13,3,0,4.66,2025-08-30
90,56,SUPP_25,0,0,16,12.18,2025-02-22
91,57,SUPP_13,12,0,0,3.51,2025-10-28
92,58,SUPP_1,69,21,5,0.65,2025-08-04
93,58,SUPP_18,93,28,8,1.92,2025-09-26
94,59,SUPP_6,0,0,16,9.49,2025-09-06
95,59,SUPP_12,0,0,13,9.03,2025-09-10
96,60,SUPP_40,271,48,14,3.01,2025-12-02
97,61,SUPP_14,76,25,5,1.68,2025-07-13
98,61,SUPP_38,363,34,23,1.12,2025-07-21
99,62,SUPP_45,11,1,0,32.4,2025-08-18
100,62,SUPP_14,3,2,0,16.42,2025-12-15
101,62,SUPP_10,1,0,0,38.96,2025-07-30
102,63,SUPP_37,43,17,20,7.09,2025-10-05
103,64,SUPP_49,216,4,12,0.2,2025-11-23
104,64,SUPP_43,293,45,21,0.63,2025-12-02
105,64,SUPP_28,333,32,20,0.32,2025-11-19
106,65,SUPP_20,66,29,23,1.38,2025-10-04
107,65,SUPP_44,62,62,29,0.24,2025-10-20
108,65,SUPP_25,151,21,7,1.31,2025-08-08
109,66,SUPP_45,12,6,0,3.17,2025-11-16
110,66,SUPP_1,1,1,0,1.39,2025-08-27
111,67,SUPP_48,1,1,0,1.03,2025-12-11
112,68,SUPP_33,266,50,9,3.13,2025-11-14
113,68,SUPP_28,241,48,14,3.9,2025-08-25
114,68,SUPP_21,184,31,14,3.45,2025-07-18
115,69,SUPP_17,302,11,29,2.38,2025-08-10
116,69,SUPP_25,412,22,18,1.51,2025-07-21
117,70,SUPP_27,0,0,21,0.62,2025-06-10
118,71,SUPP_21,234,12,18,1.91,2025-11-16
119,72,SUPP_40,382,37,13,15.5,2025-07-17
120,72,SUPP_32,6,2,26,9.05,2025-07-27
121,73,SUPP_34,147,43,11,2.29,2025-11-01
122,74,SUPP_8,370,47,23,17.22,2025-08-20
123,74,SUPP_17,159,21,24,12.18,2025-07-20
124,74,SUPP_40,252,29,14,5.46,2025-10-13
125,75,SUPP_21,146,23,9,9.46,2025-11-10
126,76,SUPP_45,186,50,19,9.96,2025-09-05
127,76,SUPP_9,67,25,24,6.75,2025-10-20
128,77,SUPP_11,323,50,8,1.78,2025-12-02
129,78,SUPP_49,268,15,30,2.92,2025-11-19
130,79,SUPP_48,146,14,17,1.09,2025-08-31
131,80,SUPP_36,0,0,10,2.32,2025-04-29
132,81,SUPP_20,0,0,20,3.35,2025-02-23
133,81,SUPP_47,57,28,18,3.7,2025-12-22
134,82,SUPP_32,13,3,29,17.44,2025-11-11
135,82,SUPP_42,116,30,22,23.68,2025-11-14
136,83,SUPP_2,187,3,28,0.6,2025-11-18
137,83,SUPP_28,245,3,16,0.95,2025-10-18
138,84,SUPP_3,343,40,11,9.5,2025-10-10
139,84,SUPP_44,93,8,21,6.12,2025-08-24
140,84,SUPP_12,14,1,23,12.08,2025-11-03
141,85,SUPP_14,418,34,12,2.3,2025-10-13
142,86,SUPP_41,68,13,21,2.76,2025-11-18
143,86,SUPP_47,0,0,18,3.21,2025-05-06
