order_id,customer_id,order_status,subtotal,tax_amount,shipping_cost,total_discount,total_amount,currency,order_placed_at,order_shipped_at,order_delivered_at
1,476,Delivered,3549.7,418.89,17.59,0.0,3986.18,USD,2024-12-15T15:11:51Z,2024-12-16T15:11:51Z,2024-12-22T15:11:51Z
2,243,Delivered,5623.06,424.43,0.0,409.94,6047.49,USD,2018-10-02T12:59:40Z,2018-10-02T12:59:40Z,2018-10-09T12:59:40Z
3,41,Shipped,2753.85,223.66,9.41,0.0,2986.92,USD,2023-09-10T18:03:42Z,2023-09-11T18:03:42Z,NaN
4,93,Shipped,2649.44,178.12,7.9,0.0,2835.46,USD,2024-12-09T18:09:42Z,2024-12-10T18:09:42Z,NaN
5,18,Shipped,5925.5,429.9,18.84,1120.86,6374.24,USD,2025-12-22T03:08:03Z,2025-12-24T03:08:03Z,NaN
6,117,Shipped,863.09,49.34,14.7,215.77,927.13,USD,2025-11-15T19:56:17Z,2025-11-15T19:56:17Z,NaN
7,106,Delivered,94.98,10.45,23.33,23.74,128.76,USD,2024-12-09T01:49:17Z,2024-12-09T01:49:17Z,2024-12-16T01:49:17Z
8,7,Delivered,1889.9,183.88,24.61,0.0,2098.39,USD,2025-06-14T14:03:35Z,2025-06-14T14:03:35Z,2025-06-21T14:03:35Z
9,296,Delivered,1566.14,106.16,15.51,20.81,1687.81,USD,2025-04-25T23:07:26Z,2025-04-26T23:07:26Z,2025-05-03T23:07:26Z
10,12,Delivered,11145.71,1087.84,13.87,2032.25,12247.42,USD,2017-09-26T14:08:46Z,2017-09-28T14:08:46Z,2017-10-05T14:08:46Z
11,159,Delivered,8133.58,786.47,26.11,0.0,8946.16,USD,2025-05-12T00:12:00Z,2025-05-12T00:12:00Z,2025-05-17T00:12:00Z
12,150,Delivered,853.04,72.39,15.69,0.0,941.12,USD,2023-11-14T21:29:49Z,2023-11-16T21:29:49Z,2023-11-18T21:29:49Z
13,426,Cancelled,314.39,26.15,29.92,0.0,370.46,USD,2025-02-05T21:21:53Z,NaN,NaN
14,367,Cancelled,2156.75,161.84,6.73,0.0,2325.32,USD,2025-09-30T02:44:54Z,NaN,NaN
15,44,Processing,1140.19,119.03,27.61,174.48,1286.83,USD,2022-03-23T15:06:43Z,NaN,NaN
16,187,Delivered,1146.1,78.44,24.29,18.89,1248.83,USD,2024-03-28T14:33:36Z,2024-03-30T14:33:36Z,2024-04-02T14:33:36Z
17,492,Returned,2640.68,241.62,23.02,113.48,2905.32,USD,2022-04-22T19:40:16Z,2022-04-23T19:40:16Z,2022-04-30T19:40:16Z
18,491,Processing,1967.6,189.74,9.37,440.18,2166.71,USD,2021-01-23T12:41:13Z,NaN,NaN
19,251,Delivered,543.25,45.78,0.0,150.57,589.03,USD,2021-06-24T21:17:34Z,2021-06-26T21:17:34Z,2021-07-01T21:17:34Z
20,185,Delivered,2365.29,211.43,29.06,91.69,2605.78,USD,2024-10-29T07:10:52Z,2024-10-29T07:10:52Z,2024-11-04T07:10:52Z
21,209,Delivered,969.57,58.42,8.64,0.0,1036.63,USD,2019-04-18T15:31:56Z,2019-04-20T15:31:56Z,2019-04-25T15:31:56Z
22,105,Delivered,1747.5,169.74,29.82,0.0,1947.06,USD,2024-12-08T08:50:29Z,2024-12-10T08:50:29Z,2024-12-15T08:50:29Z
23,307,Delivered,45.53,2.32,23.77,8.04,71.62,USD,2025-07-12T01:59:48Z,2025-07-12T01:59:48Z,2025-07-14T01:59:48Z
24,194,Shipped,3167.34,167.62,22.85,12.7,3357.81,USD,2024-12-19T17:22:54Z,2024-12-21T17:22:54Z,NaN
25,257,Cancelled,201.15,11.78,15.43,0.0,228.36,USD,2022-02-18T08:48:29Z,NaN,NaN
26,89,Delivered,1233.92,121.84,104.0,107.4,1459.76,USD,2024-08-03T21:13:27Z,2024-08-03T21:13:27Z,2024-08-10T21:13:27Z
27,169,Cancelled,1213.6,72.12,0.0,0.0,1285.72,USD,2023-03-01T20:31:29Z,NaN,NaN
28,389,Cancelled,239.26,21.0,13.46,59.82,273.72,USD,2023-08-21T12:22:03Z,NaN,NaN
29,286,Pending,117.11,12.84,19.77,39.03,149.72,USD,2019-12-01T06:43:44Z,NaN,NaN
30,408,Returned,3676.07,315.39,7.59,9.81,3999.05,USD,2025-12-05T06:28:11Z,2025-12-07T06:28:11Z,2025-12-10T06:28:11Z
31,63,Cancelled,996.62,83.77,17.05,59.67,1097.44,USD,2021-08-31T07:09:52Z,NaN,NaN
32,2,Cancelled,359.57,21.98,6.3,39.95,387.85,USD,2025-07-05T18:24:53Z,NaN,NaN
