payment_id,order_id,payment_method,payment_provider,payment_status,transaction_id,processing_fee,refund_amount,payment_date,refund_date
1,1,Credit Card,Braintree,Completed,bt_51327359467,84.24,0.0,2024-12-15T14:59:51Z,NaN
2,2,Credit Card,Authorize.net,Completed,AUTH126538300,143.85,0.0,2018-10-02T12:49:40Z,NaN
3,3,Credit Card,Authorize.net,Completed,AUTH300400419,71.51,0.0,2023-09-10T17:37:42Z,NaN
4,4,PayPal,PayPal,Completed,PAY-27213805235,42.97,0.0,2024-12-09T17:44:42Z,NaN
5,5,Apple Pay,Adyen,Completed,ADY8911802192390,129.89,0.0,2025-12-22T02:59:03Z,NaN
6,6,Apple Pay,Braintree,Completed,bt_69412406192,27.6,0.0,2025-11-15T19:54:17Z,NaN
7,7,Credit Card,Adyen,Completed,ADY7761819554016,4.64,0.0,2024-12-09T01:45:17Z,NaN
8,8,Credit Card,Authorize.net,Completed,AUTH881675020,64.0,0.0,2025-06-14T13:55:35Z,NaN
9,9,Credit Card,Braintree,Completed,bt_88856132886,55.69,0.0,2025-04-25T23:00:26Z,NaN
10,10,PayPal,Braintree,Completed,bt_71991222305,427.45,0.0,2017-09-26T13:39:46Z,NaN
11,11,PayPal,Braintree,Completed,bt_76325038038,239.91,0.0,2025-05-11T23:47:00Z,NaN
12,12,Credit Card,Adyen,Completed,ADY8574063531154,23.01,0.0,2023-11-14T21:11:49Z,NaN
13,13,Cash on Delivery,COD,Refunded,COD000013,0.0,370.46,2025-02-05T21:08:53Z,2025-02-17T21:08:53Z
14,14,Gift Card,Square,Refunded,sq_42161547996736,0.0,2325.32,2025-09-30T02:36:54Z,2025-10-04T02:36:54Z
15,15,Credit Card,Stripe,Completed,pi_51415198915542,42.62,0.0,2022-03-23T14:56:43Z,NaN
16,16,Credit Card,Stripe,Completed,pi_72286156740259,39.75,0.0,2024-03-28T14:32:36Z,NaN
17,17,Credit Card,Adyen,Partially Refunded,ADY7343453661430,101.3,2672.52,2022-04-22T19:19:16Z,2022-05-01T19:19:16Z
18,18,PayPal,Braintree,Completed,bt_60039542607,63.54,0.0,2021-01-23T12:30:13Z,NaN
19,19,Credit Card,Stripe,Completed,pi_44892722858272,10.35,0.0,2021-06-24T20:59:34Z,NaN
20,20,Cash on Delivery,COD,Completed,COD000020,0.0,0.0,2024-10-29T06:44:52Z,NaN
21,21,PayPal,PayPal,Completed,PAY-22998747673,22.88,0.0,2019-04-18T15:19:56Z,NaN
22,22,PayPal,Braintree,Completed,bt_78056348740,59.8,0.0,2024-12-08T08:43:29Z,NaN
23,23,Gift Card,Stripe,Completed,pi_68508012785030,0.0,0.0,2025-07-12T01:54:48Z,NaN
24,24,PayPal,PayPal,Completed,PAY-51959591826,97.31,0.0,2024-12-19T17:01:54Z,NaN
25,25,Credit Card,Square,Refunded,sq_82894977455279,7.84,228.36,2022-02-18T08:29:29Z,2022-02-22T08:29:29Z
26,26,Credit Card,Square,Completed,sq_93235845268144,48.49,0.0,2024-08-03T20:54:27Z,NaN
27,27,PayPal,PayPal,Refunded,PAY-48351578450,41.16,1285.72,2023-03-01T20:05:29Z,2023-03-09T20:05:29Z
28,28,Apple Pay,Square,Refunded,sq_16909532487354,9.85,273.72,2023-08-21T12:04:03Z,2023-09-01T12:04:03Z
29,29,Credit Card,Adyen,Pending,NaN,0.0,0.0,2019-12-01T06:37:44Z,NaN
30,30,Apple Pay,Stripe,Partially Refunded,pi_45821650925753,101.38,3485.81,2025-12-05T06:24:11Z,2025-12-13T06:24:11Z
31,31,PayPal,PayPal,Refunded,PAY-77837074979,27.27,1097.44,2021-08-31T06:57:52Z,2021-09-13T06:57:52Z
32,32,Credit Card,Braintree,Refunded,bt_16278223955,7.8,387.85,2025-07-05T18:15:53Z,2025-07-07T18:15:53Z
33,33,Credit Card,Authorize.net,Completed,AUTH394010124,12.67,0.0,2023-09-06T14:38:57Z,NaN
34,34,PayPal,PayPal,Refunded,PAY-41643518072,5.29,229.82,2024-08-21T09:13:26Z,2024-08-22T09:13:26Z
35,35,Credit Card,Adyen,Pending,NaN,0.0,0.0,2025-09-05T19:00:52Z,NaN
36,36,Credit Card,Braintree,Completed,bt_63530686880,10.17,0.0,2023-03-25T16:08:55Z,NaN
37,37,Gift Card,Stripe,Completed,pi_29956440296578,0.0,0.0,2021-08-21T03:05:34Z,NaN
38,38,Credit Card,Braintree,Completed,bt_31487819830,2.8,0.0,2024-12-28T07:51:45Z,NaN
39,39,Credit Card,Stripe,Refunded,pi_91279429094799,96.64,3429.29,2023-06-29T13:34:29Z,2023-07-06T13:34:29Z
40,40,PayPal,PayPal,Completed,PAY-60260138675,22.18,0.0,2025-01-30T12:11:44Z,NaN
41,41,Credit Card,Stripe,Completed,pi_98535652508173,214.5,0.0,2025-05-27T19:15:51Z,NaN
42,42,Credit Card,Square,Completed,sq_51083072418820,14.13,0.0,2024-12-08T10:46:29Z,NaN
43,43,Credit Card,Authorize.net,Completed,AUTH183888028,51.87,0.0,2024-03-29T05:50:11Z,NaN
44,44,Gift Card,Square,Completed,sq_61721949307978,0.0,0.0,2025-11-05T01:24:09Z,NaN
45,45,Gift Card,Square,Completed,sq_70565032336838,0.0,0.0,2022-08-01T04:09:20Z,NaN
46,46,Credit Card,Adyen,Completed,ADY5602479140163,56.54,0.0,2025-01-30T18:46:38Z,NaN
47,47,PayPal,Braintree,Completed,bt_21836982352,15.73,0.0,2023-10-29T08:17:49Z,NaN
48,48,Credit Card,Adyen,Completed,ADY9226442702049,41.11,0.0,2022-12-03T23:54:49Z,NaN
49,49,Credit Card,Square,Completed,sq_83511931578466,5.78,0.0,2020-09-24T05:31:13Z,NaN
50,50,Credit Card,Authorize.net,Completed,AUTH319071723,32.89,0.0,2022-07-06T09:09:46Z,NaN
51,51,Credit Card,Stripe,Partially Refunded,pi_69596304299956,64.6,1801.99,2022-07-14T00:27:04Z,2022-07-21T00:27:04Z
52,52,Credit Card,Adyen,Completed,ADY1486108194308,3.56,0.0,2023-04-18T06:37:23Z,NaN
53,53,Credit Card,Authorize.net,Completed,AUTH288389814,75.29,0.0,2024-10-05T08:20:26Z,NaN
54,54,Apple Pay,Adyen,Completed,ADY7672412409570,67.63,0.0,2025-12-05T23:52:59Z,NaN
55,55,Gift Card,Square,Refunded,sq_72448092072426,0.0,1371.15,2019-06-30T05:05:07Z,2019-07-10T05:05:07Z
56,56,PayPal,Braintree,Refunded,bt_25970292180,30.17,865.75,2024-10-04T22:23:56Z,2024-10-05T22:23:56Z
57,57,Credit Card,Adyen,Completed,ADY6327367502708,66.87,0.0,2024-08-13T02:53:47Z,NaN
58,58,PayPal,Braintree,Completed,bt_52773908481,171.32,0.0,2018-11-21T07:38:43Z,NaN
59,59,Cash on Delivery,COD,Completed,COD000059,0.0,0.0,2025-08-07T00:37:29Z,NaN
60,60,Credit Card,Square,Refunded,sq_23361037905516,95.12,2795.37,2025-07-20T10:20:18Z,2025-07-30T10:20:18Z
61,61,Credit Card,Square,Completed,sq_90872450355564,88.45,0.0,2024-10-06T22:57:36Z,NaN
62,62,PayPal,PayPal,Completed,PAY-22405593744,16.05,0.0,2023-01-15T14:54:27Z,NaN
63,63,Credit Card,Square,Refunded,sq_98645073893330,26.76,1443.14,2023-06-27T11:12:42Z,2023-07-09T11:12:42Z
64,64,PayPal,PayPal,Completed,PAY-33833269755,6.08,0.0,2025-03-30T04:22:52Z,NaN
65,65,PayPal,Braintree,Completed,bt_25412771189,59.33,0.0,2025-07-10T21:11:18Z,NaN
66,66,PayPal,PayPal,Completed,PAY-41436803170,325.76,0.0,2025-08-07T03:58:24Z,NaN
67,67,Apple Pay,Stripe,Completed,pi_86476169374241,83.43,0.0,2021-06-25T05:31:05Z,NaN
68,68,Credit Card,Braintree,Completed,bt_23466372794,56.1,0.0,2025-04-28T22:42:48Z,NaN
69,69,PayPal,PayPal,Completed,PAY-38091686615,6.46,0.0,2023-12-29T10:04:14Z,NaN
70,70,Credit Card,Authorize.net,Completed,AUTH621220216,146.55,0.0,2025-04-30T19:35:47Z,NaN
71,71,PayPal,PayPal,Completed,PAY-49559217906,1.92,0.0,2023-10-23T20:59:39Z,NaN
72,72,PayPal,Braintree,Completed,bt_34564657796,134.23,0.0,2025-02-03T01:18:13Z,NaN
73,73,PayPal,Braintree,Pending,NaN,0.0,0.0,2020-10-15T00:02:44Z,NaN
74,74,Credit Card,Adyen,Completed,ADY4046191034869,181.55,0.0,2021-01-14T20:03:16Z,NaN
75,75,PayPal,Braintree,Completed,bt_40002353186,102.27,0.0,2021-01-26T01:58:02Z,NaN
76,76,Apple Pay,Stripe,Completed,pi_70336586707401,30.67,0.0,2018-06-13T16:02:51Z,NaN
77,77,PayPal,PayPal,Completed,PAY-66467104694,11.75,0.0,2025-11-21T19:52:09Z,NaN
78,78,Apple Pay,Square,Completed,sq_37869877505795,112.99,0.0,2025-01-27T07:31:23Z,NaN
79,79,PayPal,Braintree,Completed,bt_89729391881,16.99,0.0,2022-08-03T13:08:16Z,NaN
80,80,Cash on Delivery,COD,Refunded,COD000080,0.0,2540.72,2025-04-19T08:31:05Z,2025-04-27T08:31:05Z
81,81,Credit Card,Stripe,Refunded,pi_63453477317992,54.52,3321.87,2021-05-09T13:11:29Z,2021-05-20T13:11:29Z
82,82,Apple Pay,Square,Completed,sq_84317084355019,8.67,0.0,2025-10-07T13:44:14Z,NaN
83,83,PayPal,Braintree,Pending,NaN,0.0,0.0,2024-09-27T21:49:45Z,NaN
84,84,Credit Card,Adyen,Completed,ADY6729131390191,1.77,0.0,2016-10-30T00:41:18Z,NaN
85,85,Credit Card,Adyen,Completed,ADY8185619722284,93.79,0.0,2025-10-30T11:26:32Z,NaN
86,86,PayPal,Braintree,Completed,bt_29021126690,102.44,0.0,2024-12-12T20:07:35Z,NaN
87,87,PayPal,Braintree,Pending,NaN,0.0,0.0,2021-08-23T10:44:20Z,NaN
88,88,Credit Card,Square,Refunded,sq_88108403619384,20.52,891.73,2018-10-16T02:55:57Z,2018-10-20T02:55:57Z
89,89,Credit Card,Braintree,Completed,bt_57995739633,11.6,0.0,2025-02-26T09:54:03Z,NaN
90,90,Credit Card,Braintree,Completed,bt_62156391843,16.18,0.0,2018-09-29T02:24:12Z,NaN
91,91,Credit Card,Braintree,Completed,bt_82084137903,2.86,0.0,2025-12-11T09:27:45Z,NaN
92,92,Credit Card,Square,Completed,sq_41294939654025,169.97,0.0,2017-08-18T10:24:55Z,NaN
93,93,Credit Card,Authorize.net,Completed,AUTH773502151,21.82,0.0,2024-07-18T18:15:28Z,NaN
94,94,Credit Card,Braintree,Completed,bt_27525350143,15.97,0.0,2022-12-30T17:16:23Z,NaN
95,95,PayPal,PayPal,Completed,PAY-27780101136,34.87,0.0,2021-12-03T21:15:09Z,NaN
96,96,Gift Card,Square,Completed,sq_34385002941596,0.0,0.0,2021-11-25T03:14:42Z,NaN
97,97,Credit Card,Stripe,Completed,pi_81137400786502,2.22,0.0,2021-05-23T02:03:56Z,NaN
98,98,Apple Pay,Braintree,Completed,bt_50863783195,55.47,0.0,2022-02-18T23:32:17Z,NaN
99,99,Credit Card,Authorize.net,Completed,AUTH251604095,52.09,0.0,2025-11-19T16:24:55Z,NaN
100,100,Gift Card,Square,Completed,sq_92229847068738,0.0,0.0,2025-12-07T02:19:34Z,NaN
101,101,Credit Card,Adyen,Pending,NaN,0.0,0.0,2025-12-18T20:19:53Z,NaN
102,102,Credit Card,Authorize.net,Completed,AUTH262217773,19.71,0.0,2019-08-19T20:39:08Z,NaN
103,103,Credit Card,Adyen,Completed,ADY2529715269904,32.35,0.0,2023-11-14T07:03:49Z,NaN
104,104,Cash on Delivery,COD,Completed,COD000104,0.0,0.0,2024-05-02T20:23:30Z,NaN
105,105,Credit Card,Braintree,Completed,bt_32365508378,0.8,0.0,2025-11-29T00:12:11Z,NaN
106,106,PayPal,PayPal,Completed,PAY-43507188175,5.95,0.0,2025-09-16T02:46:05Z,NaN
107,107,PayPal,Braintree,Completed,bt_90934593567,67.29,0.0,2025-12-03T06:40:37Z,NaN
108,108,Credit Card,Adyen,Completed,ADY6857353679792,113.4,0.0,2024-06-19T02:14:24Z,NaN
109,109,Credit Card,Square,Completed,sq_81516070660474,2.75,0.0,2022-01-23T06:34:21Z,NaN
110,110,Credit Card,Braintree,Completed,bt_66116444658,100.92,0.0,2025-12-11T17:33:35Z,NaN
111,111,Apple Pay,Braintree,Completed,bt_27175231078,7.84,0.0,2025-02-03T20:36:39Z,NaN
112,112,Credit Card,Adyen,Pending,NaN,0.0,0.0,2019-12-25T05:56:21Z,NaN
113,113,Credit Card,Square,Completed,sq_37612256622962,27.14,0.0,2022-05-18T17:18:09Z,NaN
114,114,Credit Card,Braintree,Completed,bt_28438109678,55.11,0.0,2022-02-17T09:37:48Z,NaN
115,115,Credit Card,Adyen,Completed,ADY2863982979063,29.69,0.0,2024-10-25T18:09:07Z,NaN
116,116,Credit Card,Authorize.net,Completed,AUTH304672913,33.59,0.0,2025-05-24T06:08:07Z,NaN
117,117,Cash on Delivery,COD,Completed,COD000117,0.0,0.0,2025-07-20T15:43:13Z,NaN
118,118,Credit Card,Braintree,Partially Refunded,bt_21287280277,94.03,2690.25,2023-03-18T22:07:30Z,2023-03-27T22:07:30Z
119,119,Credit Card,Adyen,Completed,ADY8231495959955,12.07,0.0,2024-05-03T09:17:57Z,NaN
120,120,PayPal,Braintree,Completed,bt_95339160441,20.31,0.0,2024-10-03T17:34:16Z,NaN
121,121,Credit Card,Square,Completed,sq_47972055551809,14.3,0.0,2024-11-13T11:19:46Z,NaN
122,122,PayPal,PayPal,Completed,PAY-52207380684,160.2,0.0,2022-01-24T09:29:20Z,NaN
123,123,Credit Card,Adyen,Completed,ADY2187374128103,68.5,0.0,2021-11-24T08:21:00Z,NaN
124,124,Credit Card,Adyen,Completed,ADY6764466319313,14.91,0.0,2023-10-19T01:50:16Z,NaN
125,125,PayPal,Braintree,Completed,bt_57544434462,15.85,0.0,2023-03-28T21:07:56Z,NaN
126,126,Credit Card,Braintree,Completed,bt_22286301460,36.78,0.0,2024-12-08T21:36:17Z,NaN
127,127,Credit Card,Square,Completed,sq_92586834519378,42.26,0.0,2025-09-05T04:04:52Z,NaN
128,128,Credit Card,Adyen,Partially Refunded,ADY6517048567574,4.75,165.25,2025-10-18T08:27:45Z,2025-10-30T08:27:45Z
129,129,Apple Pay,Stripe,Partially Refunded,pi_76448245064314,34.42,1270.57,2024-01-17T23:50:28Z,2024-01-22T23:50:28Z
130,130,Credit Card,Square,Completed,sq_85888562930203,30.58,0.0,2020-09-19T16:27:47Z,NaN
131,131,Credit Card,Adyen,Completed,ADY2457700656955,11.21,0.0,2024-09-07T17:36:08Z,NaN
132,132,Credit Card,Adyen,Completed,ADY4562339269426,12.8,0.0,2021-09-28T11:29:02Z,NaN
133,133,PayPal,Braintree,Completed,bt_97063666051,14.43,0.0,2024-11-07T03:31:47Z,NaN
134,134,PayPal,Braintree,Completed,bt_59567743300,184.27,0.0,2024-06-28T14:52:22Z,NaN
135,135,Credit Card,Square,Completed,sq_78114848610836,27.03,0.0,2018-04-09T09:30:23Z,NaN
136,136,Gift Card,Stripe,Completed,pi_48693304966135,0.0,0.0,2020-11-25T00:55:26Z,NaN
137,137,Credit Card,Stripe,Completed,pi_48959480777635,46.93,0.0,2025-10-14T20:38:43Z,NaN
138,138,Gift Card,Square,Completed,sq_34335495787211,0.0,0.0,2025-09-30T03:50:23Z,NaN
139,139,Credit Card,Square,Completed,sq_44763630818921,19.76,0.0,2024-06-22T10:16:31Z,NaN
140,140,Credit Card,Braintree,Partially Refunded,bt_17838479988,30.71,1124.63,2025-06-07T12:12:57Z,2025-06-13T12:12:57Z
141,141,Gift Card,Stripe,Completed,pi_44754603710559,0.0,0.0,2024-12-05T20:34:10Z,NaN
142,142,Gift Card,Stripe,Completed,pi_80530298003844,0.0,0.0,2025-10-10T15:30:17Z,NaN
143,143,Credit Card,Stripe,Completed,pi_37025915353828,26.44,0.0,2024-11-13T11:24:43Z,NaN
144,144,Credit Card,Square,Completed,sq_42904858040359,42.15,0.0,2015-08-10T21:57:48Z,NaN
145,145,Credit Card,Braintree,Partially Refunded,bt_33677175877,121.11,3300.76,2024-11-15T14:56:08Z,2024-11-21T14:56:08Z
