product_id,product_name,sku,category_id,category,sub_category,brand,cost_price,sell_price,launch_date,weight,dimensions,color,size,material,supplier_id
1,Fitbit Pro Pro 128GB,FIT-SMAR-00001,11,Smartphones,NaN,Fitbit,349.91,509.16,2023-10-11,3.29,59.3x24.0x52.2,Blue,256GB,Stainless Steel,
2,Crate & Barrel TV Stand Leather,CRA-LIVI-00002,70,Living Room Furniture,Bestseller,Crate & Barrel,325.9,934.87,2021-04-28,35.75,5.5x64.1x42.1,Navy,NaN,Bamboo,
3,Nestle Coffee Beans,NES-BEVE-00003,46,Beverages,Bestseller,Nestle,19.02,55.38,2016-12-21,2.25,31.9x76.1x58.5,Black,NaN,NaN,
4,Yeti Yoga Block Set,YET-YOGA-00004,75,Yoga & Pilates,NaN,Yeti,115.01,147.53,2016-12-19,8.87,45.2x6.1x5.2,NaN,NaN,NaN,
5,Sony Bluetooth Speaker Rose Gold,SON-SPEA-00005,63,Speakers,NaN,Sony,786.16,993.19,2025-05-22,3.97,28.0x60.2x10.7,White,NaN,Stainless Steel,
6,The North Face Elliptical Trainer,THE-CARD-00006,73,Cardio Machines,Featured,The North Face,52.82,119.78,2017-05-27,8.51,43.8x12.8x16.8,Space Gray,NaN,NaN,
7,Apple Soundbar System,APP-SPEA-00007,63,Speakers,NaN,Apple,741.57,1181.48,2024-12-16,2.94,57.2x61.6x6.4,Blue,256GB,Plastic,
8,Microsoft Standard Pro 64GB,MIC-SMAR-00008,11,Smartphones,NaN,Microsoft,621.64,870.7,2024-12-06,3.4,61.2x78.4x57.8,White,32GB,Stainless Steel,
9,Dyson Executive Desk Leather,DYS-OFFI-00009,72,Office Furniture,NaN,Dyson,224.77,564.82,2017-11-04,16.99,39.2x70.8x33.0,Silver,NaN,NaN,
10,LG Noise Cancelling Headphones,LG-HEAD-00010,62,Headphones,NaN,LG,441.06,1211.32,2016-03-27,1.77,16.5x12.4x23.3,Black,NaN,Aluminum,
11,Cuisinart Blender Space Gray,CUI-KITC-00011,23,Kitchen,Bestseller,Cuisinart,262.73,496.19,2024-11-01,20.46,60.4x39.7x54.0,Brown,NaN,NaN,
12,Under Armour Mens Jeans Beige XL,UND-MENS-00012,65,Mens Pants,Bestseller,Under Armour,149.7,224.0,2018-01-02,0.25,33.3x43.3x20.0,Silver,XXL,Linen,
13,REI Pool Float,REI-WATE-00013,30,Water Sports,New Arrivals,REI,64.41,119.0,2018-12-19,3.77,68.3x19.9x4.5,Orange,NaN,NaN,
14,Estee Lauder Body Mist,EST-FRAG-00014,35,Fragrances,Featured,Estee Lauder,94.61,152.07,2023-01-12,0.75,40.1x15.7x55.6,Gold,NaN,NaN,
15,Gap Mens Dress Pants Silver,GAP-MENS-00015,65,Mens Pants,Bestseller,Gap,69.29,185.9,2026-03-04,1.65,17.7x57.3x48.0,Red,M,Linen,
16,Samsung iPhone 1 Pro Max 256GB,SAM-IPHO-00016,57,iPhone,NaN,Samsung,342.32,692.72,2017-01-05,4.73,97.3x66.7x10.1,Space Gray,512GB,Aluminum,
17,Unilever Olive Oil,UNI-PANT-00017,47,Pantry Staples,NaN,Unilever,18.67,50.12,2020-02-23,6.53,55.9x68.0x26.2,NaN,NaN,NaN,
18,GNC First Aid Kit,GNC-MEDI-00018,55,Medical Supplies,Clearance,GNC,182.18,397.05,2025-10-17,5.74,31.7x8.6x30.4,NaN,NaN,NaN,
19,Puma Womens Sweater Gray,PUM-TOPS-00019,68,Tops,NaN,Puma,95.5,219.56,2020-09-24,1.5,58.5x25.3x13.2,Silver,XL,Polyester,
20,Silent Waters by Emily White,HAC-NONF-00020,37,Non-Fiction,NaN,Hachette,58.69,142.38,2018-03-06,0.0,NaN,Gray,NaN,NaN,
21,Scotts TV Stand Metal,SCO-LIVI-00021,70,Living Room Furniture,Bestseller,Scotts,232.08,389.41,2019-11-29,4.94,75.6x64.9x45.3,NaN,NaN,Plastic,
22,The Great Adventure Blu-ray,SON-MOVI-00022,39,Movies,Featured,Sony Music,20.88,62.07,2018-06-17,0.0,NaN,NaN,NaN,NaN,
23,KitchenAid Modern Table,KIT-FURN-00023,22,Furniture,Bestseller,KitchenAid,143.69,254.81,2018-07-21,25.5,81.3x23.7x46.2,NaN,NaN,NaN,
24,Unilever Coffee Beans,UNI-BEVE-00024,46,Beverages,Bestseller,Unilever,7.67,19.59,2021-12-18,4.16,97.1x28.9x42.2,White,NaN,NaN,
25,Dell Wireless Audio System,DEL-AUDI-00025,13,Audio Equipment,Featured,Dell,758.83,1421.95,2020-04-30,1.93,19.7x71.3x52.5,Black,256GB,Glass,
26,"Canon X1 Laptop 27"" 64GB",CAN-LAPT-00026,12,Laptops,NaN,Canon,718.38,1484.84,2020-07-25,3.1,30.7x33.2x52.2,Silver,64GB,Glass,
27,Ralph Lauren Athletic Shoes Rose Gold,RAL-FOOT-00027,20,Footwear,NaN,Ralph Lauren,118.6,266.52,2019-07-15,0.56,41.7x56.1x51.2,Purple,XS,Leather,
28,Adidas Mountain Bike Space Gray,ADI-CYCL-00028,31,Cycling,Featured,Adidas,125.15,298.62,2023-09-26,0.86,56.0x68.9x59.9,NaN,NaN,NaN,
29,Dyson Executive Desk Fabric,DYS-OFFI-00029,72,Office Furniture,NaN,Dyson,97.79,129.61,2021-05-04,17.19,55.5x35.4x20.4,Green,NaN,Wood,
30,Craftsman Tool Box,CRA-TOOL-00030,51,Tools,New Arrivals,Craftsman,190.01,386.41,2016-10-06,6.94,40.1x70.0x12.7,Navy,NaN,NaN,
31,Pantene Shampoo,PAN-HAIR-00031,34,Hair Care,Bestseller,Pantene,21.56,51.19,2024-04-18,1.01,31.4x43.9x3.8,NaN,NaN,NaN,
32,Clinique Styling Gel,CLI-HAIR-00032,34,Hair Care,Bestseller,Clinique,97.32,160.4,2025-10-16,5.34,42.1x43.7x45.7,Gold,NaN,NaN,
