cart_id,customer_id,session_id,cart_status,created_at,updated_at
1,267,8ab1895c-06ac-43d4-a73d-e967006527ba,Active,2022-01-10T21:36:33Z,2022-01-11T21:36:33Z
2,27,2d95756b-ced7-4076-933c-9a2300cbb5e7,Deleted,2022-06-01T19:37:07Z,2022-06-30T01:37:07Z
3,293,0c469ccc-c52e-4e67-9ad4-3ca0ff1eb1e1,Abandoned,2025-09-21T17:56:05Z,2025-09-22T00:56:05Z
4,176,c1d23cd9-d8f6-4971-881a-8cde9ffc6b0f,Active,2022-11-02T18:13:45Z,2022-11-08T16:13:45Z
5,307,f2f84e21-710d-4503-a82f-e73ba5f248c9,Abandoned,2022-05-19T16:11:28Z,2022-05-20T03:11:28Z
6,194,bd8a6ed3-0b34-4108-b4f8-77d870c4ffa2,Active,2025-01-22T01:01:05Z,2025-01-24T08:01:05Z
7,41,991fc818-3bc6-4025-a39c-05d759c46c77,Active,2023-09-08T17:12:17Z,2023-09-14T02:12:17Z
8,201,fb413a5b-ccaa-4ca8-8a27-89cc79d9c5ba,Deleted,2025-12-05T07:06:34Z,2025-12-09T00:06:34Z
9,361,a6eea685-41c7-46b3-9759-d108c41ab10d,Deleted,2025-11-10T11:54:30Z,2025-11-30T13:54:30Z
10,475,24ee2d06-8fd2-4207-9459-1d9f8e493b2d,Active,2025-07-11T23:26:16Z,2025-07-15T04:26:16Z
11,114,a9eca30f-64a9-4efa-bae5-eadb91536c33,Deleted,2023-07-01T11:32:13Z,2023-07-26T18:32:13Z
12,417,24529875-581d-428e-88f0-7da8b0fac66a,Deleted,2025-11-27T05:02:18Z,2025-12-21T04:02:18Z
13,70,b73180f1-325f-4b56-a6ef-940314a48646,Abandoned,2024-09-15T20:33:39Z,2024-09-16T06:33:39Z
14,325,ea9504e0-fbef-4bcf-a12f-80bb6477e5aa,Active,2023-07-29T20:34:14Z,2023-08-02T07:34:14Z
15,68,8869a795-9799-4a4d-a3dc-5a29ddd2c72b,Active,2025-03-11T13:07:26Z,2025-03-12T18:07:26Z
16,209,5b2aa318-32df-4e96-a594-030e0fad3e20,Abandoned,2019-04-17T00:31:54Z,2019-04-17T00:31:54Z
17,150,53a8b030-0399-46c7-b8e2-e8f5403311d6,Abandoned,2023-11-12T12:29:57Z,2023-11-12T22:29:57Z
18,82,0bb40cec-39a1-46f0-9dd6-472483852df1,Abandoned,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z
19,261,47eb5a98-7731-4019-90af-3722ce4103a6,Active,2021-04-18T18:32:21Z,2021-04-22T08:32:21Z
20,257,4b078022-1255-41cd-9eda-6b4c07138668,Abandoned,2022-02-18T00:48:07Z,2022-02-18T12:48:07Z
21,162,680891b6-b2ed-4885-a5cf-4d88cc6d436b,Abandoned,2025-12-20T17:25:50Z,2025-12-21T05:25:50Z
22,383,c0ff8bd9-db43-4e26-a50a-8fdd3e2b9c3f,Abandoned,2021-10-19T11:08:20Z,2021-10-19T23:08:20Z
23,41,66cd3b81-fef2-4213-b6b5-8a4abb88df98,Active,2021-01-15T05:24:49Z,2021-01-18T22:24:49Z
24,476,3967a40b-fff5-4520-ad24-5f4b5b8dd265,Converted,2024-12-13T14:11:51Z,2024-12-15T15:11:51Z
25,307,1519027e-158d-4094-a0f2-1e2f4868f8a5,Deleted,2025-07-09T13:54:17Z,2025-08-04T19:54:17Z
26,243,8d94def3-ecc1-409b-81d5-2a43e123129b,Converted,2018-10-01T00:59:40Z,2018-10-02T12:59:40Z
27,41,991fc818-3bc6-4025-a39c-05d759c46c77,Converted,2023-09-08T17:03:42Z,2023-09-10T18:03:42Z
