wishlist_id,customer_id,product_id,added_date,purchased_date,removed_date
1,324,68,2025-08-15T00:00:00Z,2025-11-05T00:00:00Z,NaN
2,90,433,2024-03-21T00:00:00Z,NaN,NaN
3,18,345,2025-08-19T00:00:00Z,NaN,NaN
4,240,41,2025-11-23T00:00:00Z,NaN,NaN
5,135,333,2025-02-25T00:00:00Z,2025-07-13T00:00:00Z,NaN
6,272,322,2024-10-23T00:00:00Z,NaN,NaN
7,11,332,2025-06-09T00:00:00Z,NaN,NaN
8,34,51,2024-08-06T00:00:00Z,2024-08-18T00:00:00Z,NaN
9,106,354,2024-02-23T00:00:00Z,2024-05-17T00:00:00Z,NaN
10,340,76,2025-05-24T00:00:00Z,2025-09-21T00:00:00Z,NaN
11,113,83,2024-10-13T00:00:00Z,NaN,NaN
12,260,53,2025-07-26T00:00:00Z,NaN,2025-08-02T00:00:00Z
13,198,110,2024-07-11T00:00:00Z,2024-12-10T00:00:00Z,NaN
14,357,208,2025-07-23T00:00:00Z,NaN,2025-07-26T00:00:00Z
15,214,210,2025-10-04T00:00:00Z,2025-12-07T00:00:00Z,NaN
16,45,408,2025-11-24T00:00:00Z,2025-12-07T00:00:00Z,NaN
17,175,481,2025-05-05T00:00:00Z,2025-05-19T00:00:00Z,NaN
18,347,200,2025-12-22T00:00:00Z,NaN,2025-12-25T00:00:00Z
19,25,152,2025-02-04T00:00:00Z,2025-07-07T00:00:00Z,NaN
20,55,279,2025-01-31T00:00:00Z,NaN,2025-02-28T00:00:00Z
21,225,178,2024-10-17T00:00:00Z,NaN,NaN
22,194,185,2025-07-08T00:00:00Z,2025-12-07T00:00:00Z,NaN
23,235,268,2024-06-08T00:00:00Z,NaN,NaN
24,135,291,2025-03-27T00:00:00Z,NaN,NaN
25,49,6,2025-09-21T00:00:00Z,2025-10-08T00:00:00Z,NaN
26,58,335,2024-12-15T00:00:00Z,NaN,NaN
27,334,297,2024-03-12T00:00:00Z,NaN,NaN
28,80,272,2024-12-20T00:00:00Z,2025-04-02T00:00:00Z,NaN
29,227,218,2025-09-29T00:00:00Z,NaN,2025-10-04T00:00:00Z
30,491,448,2024-04-15T00:00:00Z,NaN,NaN
31,66,359,2025-03-15T00:00:00Z,2025-05-29T00:00:00Z,NaN
32,273,174,2024-10-03T00:00:00Z,2024-12-22T00:00:00Z,NaN
33,495,316,2024-08-18T00:00:00Z,NaN,NaN
34,101,103,2025-03-25T00:00:00Z,2025-05-18T00:00:00Z,NaN
35,366,278,2024-03-15T00:00:00Z,2024-07-10T00:00:00Z,NaN
36,435,60,2025-05-07T00:00:00Z,NaN,NaN
37,204,8,2024-11-10T00:00:00Z,NaN,2025-10-22T00:00:00Z
38,43,375,2024-03-14T00:00:00Z,2024-04-13T00:00:00Z,NaN
39,498,499,2024-12-21T00:00:00Z,NaN,2025-10-30T00:00:00Z
40,260,406,2025-05-19T00:00:00Z,NaN,NaN
41,269,116,2025-05-10T00:00:00Z,NaN,NaN
42,401,92,2025-09-08T00:00:00Z,NaN,NaN
43,498,24,2025-10-28T00:00:00Z,NaN,NaN
44,7,335,2025-06-14T00:00:00Z,NaN,NaN
45,277,156,2024-08-26T00:00:00Z,2025-02-02T00:00:00Z,NaN
46,293,376,2025-10-10T00:00:00Z,NaN,NaN
47,167,306,2024-10-11T00:00:00Z,2025-03-27T00:00:00Z,NaN
48,21,212,2024-07-22T00:00:00Z,NaN,2025-04-08T00:00:00Z
49,492,71,2025-01-07T00:00:00Z,NaN,NaN
50,174,393,2025-11-10T00:00:00Z,NaN,NaN
51,424,287,2025-02-19T00:00:00Z,NaN,2025-06-01T00:00:00Z
52,187,265,2025-03-22T00:00:00Z,2025-06-13T00:00:00Z,NaN
53,423,43,2025-08-15T00:00:00Z,NaN,NaN
54,42,32,2025-09-10T00:00:00Z,2025-12-06T00:00:00Z,NaN
55,136,188,2025-09-29T00:00:00Z,NaN,NaN
56,432,408,2024-04-09T00:00:00Z,NaN,NaN
57,412,307,2025-01-18T00:00:00Z,NaN,NaN
58,191,396,2024-08-06T00:00:00Z,NaN,NaN
59,27,359,2024-10-02T00:00:00Z,NaN,NaN
60,217,145,2024-02-22T00:00:00Z,NaN,NaN
61,48,7,2025-11-18T00:00:00Z,NaN,NaN
62,64,54,2024-08-29T00:00:00Z,NaN,NaN
63,334,329,2025-08-27T00:00:00Z,NaN,2025-12-11T00:00:00Z
64,321,115,2024-02-29T00:00:00Z,NaN,NaN
65,219,216,2025-08-15T00:00:00Z,NaN,NaN
66,135,36,2025-06-08T00:00:00Z,NaN,2025-10-05T00:00:00Z
67,288,43,2025-05-06T00:00:00Z,NaN,NaN
68,370,214,2025-04-20T00:00:00Z,NaN,NaN
69,249,71,2025-11-01T00:00:00Z,NaN,NaN
70,271,467,2025-01-23T00:00:00Z,NaN,2025-03-27T00:00:00Z
71,184,470,2024-09-21T00:00:00Z,NaN,NaN
72,439,221,2024-09-05T00:00:00Z,NaN,2025-07-02T00:00:00Z
73,213,371,2024-04-27T00:00:00Z,NaN,NaN
74,431,288,2024-07-30T00:00:00Z,NaN,NaN
75,18,275,2025-09-18T00:00:00Z,NaN,NaN
76,486,159,2025-06-30T00:00:00Z,NaN,NaN
77,287,268,2024-05-18T00:00:00Z,NaN,NaN
78,233,165,2025-04-30T00:00:00Z,NaN,NaN
79,320,242,2025-07-09T00:00:00Z,NaN,NaN
80,202,35,2025-07-11T00:00:00Z,NaN,NaN
81,261,346,2025-03-07T00:00:00Z,2025-04-23T00:00:00Z,NaN
82,454,41,2025-05-08T00:00:00Z,NaN,NaN
83,114,157,2024-06-15T00:00:00Z,NaN,NaN
84,99,271,2024-05-13T00:00:00Z,NaN,NaN
85,445,320,2024-08-12T00:00:00Z,NaN,NaN
86,52,64,2024-09-13T00:00:00Z,NaN,NaN
87,296,219,2024-02-22T00:00:00Z,NaN,NaN
88,154,249,2025-12-16T00:00:00Z,NaN,2025-12-21T00:00:00Z
89,32,483,2025-06-14T00:00:00Z,NaN,NaN
90,91,20,2023-12-27T00:00:00Z,NaN,NaN
91,446,35,2024-07-21T00:00:00Z,NaN,NaN
92,445,478,2025-09-16T00:00:00Z,NaN,NaN
93,371,456,2025-06-22T00:00:00Z,NaN,NaN
94,185,101,2024-08-05T00:00:00Z,2024-10-24T00:00:00Z,NaN
95,272,491,2025-07-18T00:00:00Z,NaN,2025-12-09T00:00:00Z
96,71,191,2024-07-01T00:00:00Z,NaN,NaN
97,359,276,2025-07-10T00:00:00Z,NaN,2025-07-30T00:00:00Z
98,62,185,2024-04-30T00:00:00Z,NaN,NaN
99,339,221,2025-03-22T00:00:00Z,NaN,NaN
100,140,124,2025-06-13T00:00:00Z,2025-07-08T00:00:00Z,NaN
101,386,56,2025-03-13T00:00:00Z,NaN,NaN
102,420,404,2025-07-24T00:00:00Z,NaN,NaN
103,369,496,2025-03-11T00:00:00Z,NaN,NaN
104,49,479,2025-06-24T00:00:00Z,NaN,NaN
105,224,308,2024-07-11T00:00:00Z,NaN,NaN
106,75,480,2025-06-05T00:00:00Z,NaN,2025-07-06T00:00:00Z
107,411,332,2025-04-04T00:00:00Z,NaN,NaN
108,177,434,2025-05-13T00:00:00Z,NaN,2025-06-25T00:00:00Z
109,206,154,2025-10-11T00:00:00Z,NaN,NaN
110,417,425,2024-02-12T00:00:00Z,2024-06-16T00:00:00Z,NaN
111,153,326,2025-07-23T00:00:00Z,2025-10-25T00:00:00Z,NaN
112,82,298,2024-11-04T00:00:00Z,NaN,NaN
113,241,383,2024-08-05T00:00:00Z,NaN,NaN
