address_id,city,state_province,postal_code,country
5555,North Derrickmouth,Sevilla*,2944,Slovénie
5938,Husum,Idaho,PH0 6RX,Rwanda
5060,,,  00000  ,United Kingdom
5693,Sarahport,TASMANIA,  J4P 6M9  ,Komoren
5407,Fürstenwalde,Texas,DA0P 5PX,Dschibuti
5592,Lake William,Nordrhein-Westfalen,N9L 5Y8,Saudi Arabia
"Hughes fall""",Suite 417,-40.968742,-121.635849,
5796,,Tokyo,,DM
6232,Bersenbrück,Arizona,K8A 4S8,Malte
6055,Burgos,North Carolina,30825,Gambia
5636,Colinboeuf,Indiana,60431,Uganda
"Martin route""",,-85.8143635,24.810201,True
  5072  ,Paulineborough,Schleswig-Holstein,2926,Mayotte
6176,Reginaland,Montana,37584,Polynésie française
5185%,  Annfort  ,Schleswig-Holstein,  13272  ,  Sudán del Sur  
6357,Santa Cruz de Tenerife,Valladolid,L3 4YS,Tansania
6442,Greeneland,Utah,PE83 4PT,Cambodia
5957,Thompsontown,Victoria,2976,Iran
5954,Lake Tabithafurt,Victoria,2536,Grèce
5206,Starnberg,Victoria,22641,Botsuana
5525,Unknown,Las Palmas,,Saint-Kitts et Nevis
5183,Saint Lucy,Western Australia,33495,Côte d'Ivoire
5254,Pontevedra,Toledo,Y9X2B8,  Sweden  
5789,Michelletown,Mecklenburg-Vorpommern,97167,Amerikanisch-Samoa
5053!,New Derek,Huesca,92617,Japon
6358,New Kevinmouth,New South Wales,12452,Angola
5740,Sömmerda,,2623,Bouvet Island (Bouvetoya)
5654,North Christopher,South Australia,L1T 3GP,Etiopía
"O'Sullivan heights""",Studio 4,52.418659,  171.565711  ,
5518,Pottsview,Connecticut,65590,Dominique
 ,,,,
5215,  Sullivanborough  ,West Virginia,18489,Guatemala
5445,Lake Glennchester,Nevada,2924,Belize
5762,Ávila,Alicante,26571,Yemen
5331,bethanyberg,Northern Territory,66513,Malasia
6054,Hohenmölsen,Baden-Württemberg,L2J 2G5,Papua New Guinea
,,,,
5037,West Jasmine,Asturias,49361,Dominique
5210,  LEJEUNE-LA-FORÊT  ,AL,,
6351,Lake Jenniferbury,Missouri,17395,República Democrática del Congo
,Unknown,,,
5585,Toledo?,Tasmania,2952,South Africa
5049,Schwäbisch Hall,maryland,29889,Mozambique
6449,North Wendy,Utah,31537,Iceland
6291,Palencia,Colorado,18095,Laos
5898,Pettyport,Queensland,53452,Gabon
5844,Port Jamesport,Baden-Württemberg,38173,Iran
6280,München,,75001,
5147,Zaragoza,Tarragona,49192,Ghana
5272,Giraud,West Virginia,19975,  Bermudes (Les)  
5032,Neustadt am Rübenberge,Western Australia,70143,Puerto Rico
