category_id,category,sub_category
695,Colthing,Wholesale
659,Mirrorless,Limited Edition
571,Suits,Wholesale
564,Surfing,Best Seller
670,Soccer,A1
621,Speakers,Featured
540,Football,
680,,
630,Graden,Budget
515,Garden,patio sets
634,Non-Fiction,Industrial
666,Storage,  Industrial  
652,Cables,Consumer
584,Hockey,Clearance
573,E-Books,Digital Comics
641,Camera Lenses,  Industrial  
528,Textbooks,Clearance
678,PC Gaming!,Industrial
602,Fishing,Regular
526,Outdoor Recreation,Cycling
557,Movies,4K Movies
531,Gym Equipment,New Arrival
694,Memory Cards,Standard
568,Baseball,Standard
595,Storage Containers,New Arrival
685,Cables,  Consumer  
613,Boots,Clearance
638,Computer Accessories,Limited Edition
689,Accessories,Adapters
581,Winter Sports,  Snowboarding  
649,Electronics,Audio
679,Speakers,Clearance
615,Vinyl,Wholesale
599@,Cycling,Consumer
529,Sunglasses,Consumer
534,Pants,Consumer
596,Furniture,Dining Room
651,Diving,Limited Edition
681,Climbing,Wholesale
665,Super Ultra Mega Premium Deluxe Category for Special Items and Products with Extended Features,Best Seller
Rerum maxime esse cum. Exercitationem velit tempora sapiente dolorum. Earum numquam nostrum atque odit nihil neque.,,
"Quam non sapiente natus repudiandae adipisci aliquid odit. Eaque distinctio nemo nulla adipisci suscipit molestias.  """,,
647,Electronics,Gaming
601,Office Furniture,Industrial
592&,Plants,Limited Edition
  688  ,Supplements,Regular
570,Clothing™ #70,Exclusive™!
548,POWER BANKS,Consumer
672,Consoles,Budget
559,Bedroom,Mattresses
501,  Bedroom  ,Dressers
576,Comics,Special Offer
553,  Phone Cases  ,Best Seller
522,Electronics,Mobile Devices
575,ElEcTrOnIcS,New/Items
509,Camera Accessories,New Arrival
549,Girls Clothing,Wholesale
587,Sandals,New Arrival
616,Mirrorless,Retail
617,Earbuds,  Wholesale  
542,Music,Sheet Music!
642,Kitchen,Cookware
623,Language Learning,Professional
510,Non-Fiction Audio,Standard
646,PC Gaming,Wholesale
536,Computers,Computer Accessories
  663  ,Cameras,Camera Lenses
624,Accessories,Memory Cards
662%,T-Shirts,Limited Edition
675,Sports™ #175,Featured
671,TV Series,Wholesale@
696,Smartphones,Regular
519,Sports & Outdoors,Winter Sports
518,  Winter Sports  ,Sledding
640,Electronics™ #140,
579,Kids' Clothing,School Uniforms
611,Hiking,Premium
, , 
644,Sheet Music#,Budget&
690,Snowboarding,Standard
586,Yoga,Budget
645,Patio Sets,Clearance
697,Laptops,Retail
590,Test,
588,Garden Tools,Retail
605,Electronics™ #105,Budget!
556%,Water Polo,Special Offer
655,Digital Movies,Limited Edition
505,electronics,Premum
595,Storage Containers,New Arrival
578,Jackets,Budget
633,Skiing,Regular
619,Sandals,Clearance
,,
583,Suits,Budget
565,Spoorts,Professional
627,T-Shirts,Industrial
  604  ,Cookware,  Featured  
603,Basketball,Standard
692,Dressers,New Arrival
539,Winter Sports,Sledding
530,,
