session_id,customer_id,session_start,session_end,device_type,referrer_source,pages_viewed,products_viewed,conversion_flag,cart_abandonment_flag
c633e14a,CUST_1007,2025-10-11 02:59:23.150000,2025-10-11 03:00:23.150000,Mobile,Display Ads,1,1,False,True
07FC3BEB,CUST_1347,2025-10-08 22:14:23.104000,2025-10-08 22:17:23.104000,Mobile,Facebook Ads,2,  1  ,  False  ,True
84c69820,CUST_1111,2025-10-05 04:13:23.101000,2025-10-05 04:23:23.101000,Desktop,Direct,4,1,False,False
E7CC7884,CUST_1134,2025-10-04 14:44:23.210000,2025-10-04 14:48:23.210000,Smart TV,Google Ads,1,0,False,FALSE
99F67C58,CUST_1534,2025-10-06 22:25:23.116000,2025-10-06 23:54:23.116000,Mobile,Facebook Ads,11,  2  ,False,True
3C5C3D01,cust_1989,2025-10-09 07:21:23.099000,2025-10-09 07:51:23.099000,Mobile,Email Campaign,9,5,False,False
4AC87816,,2025-09-27 08:08:23.138000,2025-09-27 09:20:23.138000,Mobile,Social Media,  16  ,2,False,False
C9ECC5C7,cust_1494,2025-10-09 09:45:23.046000,2025-10-09 09:53:23.046000,Mobile,Facebook Ads,4,2,FALSE,True
  4766012F  ,,2025-10-11 18:35:23.172000,2025-10-11 18:43:23.172000,Mobile,Display Ads,2,  0  ,False,False
  F2CB9110  ,,2025-10-11 00:38:23.087000,2025-10-11 00:41:23.087000,Desktop,Email Campaign,2,1,  True  ,False
20D8CAF8,,2025-10-07 09:05:23.055000,2025-10-07 09:17:23.055000,Desktop,Organic Search,2,0,False,False
AAB6BCEA,,2025-10-10 04:40:23.093000,2025-10-10 04:42:23.093000,Desktop,Organic Search,1,1,True,  False  
474656f5,,2025-10-11 22:08:23.176000,2025-10-11 22:12:23.176000,Desktop,Direct,2,1,False,False
B33EEFAE,CUST_1106,  2025-09-30 07:03:23.161598  ,2025-09-30 07:07:23.162000,Smart TV,Instagram,1,0,  False  ,False
66D8A49B,CUST_1287,  2025-10-10 22:42:23.109113  ,2025-10-10 23:10:23.109000,Desktop,Google Ads,4,0,FALSE,False
429F9151,,  2025-10-11 06:48:23.135104  ,2025-10-11 06:50:23.135000,Desktop,Organic Search,2,1,False,False
46FAD0AF,CUST_1450,2025-10-11 02:39:23.126000,2025-10-11 02:58:23.126000,Mobile,Instagram,10,  2  ,False,False
6195F5D5,CUST_1793,2025-10-09 21:50:23.212000,2025-10-09 22:41:23.212000,Mobile,Display Ads,23,  0  ,False,False
  35FF27DB  ,CUST_1890,2025-09-22 16:49:23.150000,2025-09-22 17:40:23.150000,Desktop,GOOGLE ADS,22,13,True,False
502B5A38,CUST_1600,2025-10-09 01:04:23.160000,2025-10-09 01:06:23.159744,Desktop,TikTok,2,1,False,True
  9C90DF33  ,CUST_1061,2025-09-26 12:51:23.123000,2025-09-26 13:08:23.123000,Mobile,Organic Search,7,2,False,False
8AFB3CB3,,2025-10-04 04:00:23.175000,2025-10-04 04:01:23.175000,Mobile,Email Campaign,2,0,False,False
A383C220,CUST_1258,2025-10-11 01:23:23.098000,2025-10-11 01:44:23.098000,Desktop,Affiliate,9,2,False,True
967B0EFF,CUST_1804,2025-10-09 06:06:23.203000,2025-10-09 06:32:23.203000,Tablet,Direct,10,3,False,False
B938814E,CUST_1087&,2025-09-20 22:27:23.105000,2025-09-20 22:53:23.105000,Mobile,Display Ads,5,1,False,False
24E034D6,,2025-09-25 03:23:23.213000,2025-09-25 03:49:23.213000,Desktop,Organic Search,7,3,False,False
  9C005D28  ,CUST_1883,2025-10-01 14:27:23.186000,2025-10-01 14:47:23.186000,Mobile,Display Ads,10,2,False,False
3696A861,CUST_1690,2025-10-11 23:39:23.050000,2025-10-12 00:07:23.050000,  Mobile  ,Facebook Ads,4,  2  ,FALSE,False
07A77DC4,CUST_1053,  2025-10-04 07:50:23.177051  ,2025-10-04 08:49:23.177000,Desktop,Direct,12,4,  True  ,False
6377D843,,2025-10-09 10:38:23.093000,2025-10-09 10:45:23.093000,Mobile,Facebook Ads,2,  0  ,False,False
863C54DA,,2025-10-10 00:15:23.108000,2025-10-10 00:39:23.107698,tablet,Affiliate,8,3,False,True
  98E0A7E8  ,,2025-09-29 09:26:23.086000,2025-09-29 09:28:23.086000,Desktop,Affiliate,1,0,FALSE,False
1C8F520C,CUST_1464,2025-10-07 19:19:23.103000,2025-10-07 19:21:23.103000,Mobile,Google Ads,2,0,False,False
60DA6F1B,  CUST_1857  ,2025-10-11 14:02:23.167000,2025-10-11 14:20:23.167000,Desktop,Instagram,7,4,True,False
D2692FA5,CUST_1675,2025-10-07 16:57:23.140000,2025-10-07 17:33:23.140000,Desktop,Facebook Ads,28,1,  False  ,False
AA630F2B,CUST_1806,2025-10-11 09:14:23.148000,2025-10-11 09:18:23.148000,Desktop,Google Ads,1,0,False,False
A34C50F6,  CUST_1179  ,2025-10-05 18:16:23.199000,2025-10-05 18:17:23.199000,Mobile,EMAIL CAMPAIGN,1,1,False,False
1F5AB9B2,CUST_1699,2025-10-04 18:20:23.095000,2025-10-04 18:22:23.095000,mobile,Affiliate,1,1,False,true
F976CB78,,2025-10-04 23:09:23.046000,2025-10-04 23:14:23.046000,Mobile,Instagram,5,1,False,True
B4406779,CUST_1408,  2025-10-08 08:39:23.138969  ,2025-10-08 10:12:23.139000,Tablet,Google Ads,  11  ,6,True,False
2099F18A,,2025-10-10 19:12:23.133000,2025-10-10 19:16:23.133000,Mobile,Facebook Ads,1,1,False,True
120FDD80,CUST_1733,2025-10-11 15:04:23.181000,2025-10-11 15:05:23.181000,Mobile,Instagram,1,1,False,False
8ABBFC04,,2025-10-11 16:39:23.137000,2025-10-11 16:54:23.137000,Mobile,Social Media,10,4,False,True
0CF69A04,CUST_1768,2025-09-19 00:41:23.072000,2025-09-19 01:16:23.072000,Tablet,Instagram,20,7,False,True
F5148790,  CUST_1583  ,2025-09-14 05:16:23.209000,2025-09-14 05:29:23.209000,Desktop,Organic Search,2,0,False,False
46B2671D,CUST_1529,,2025-10-02 01:21:17.201000,,Google Ads,,0,No,False
854D1BAC,,2025-10-11 19:57:23.169000,2025-10-11 20:01:23.169000,Desktop,Organic Search,2,1,False,True
56F11175,,2025-10-11 04:46:23.182000,2025-10-11 04:56:23.181738,Desktop,Facebook Ads,3,1,False,False
38FC7288,CUST_1481,2025-10-05 16:35:23.179000,2025-10-05 16:37:23.179000,Desktop,Direct,2,0,  False  ,False
C922BCB8,CUST_1324,2025-10-06 07:44:23.194000,2025-10-06 07:56:23.194000,Desktop,Facebook Ads,4,0,False,False
34550773,,2025-10-08 08:45:23.139000,2025-10-08 09:02:23.139000,Mobile,Social Media,  10  ,5,True,False
F752FDA8,CUST_1225,2025-10-06 00:12:23.142000,2025-10-06 00:40:23.142000,Smart TV,Email Campaign,4,2,False,False
7C6B4734,CUST_99999,1758068209,,Unknown,,-8,,  false  ,False
C2DB3E38,,2025-10-08 08:08:23.215000,2025-10-08 08:11:23.215000,Mobile,Facebook Ads,  1  ,1,False,False
83A2F5DE,CUST_1249,2025-10-11 15:11:23.151000,2025-10-11 16:26:23.151000,Mobile,Facebook Ads,20,11,True,False
2EB3F074,CUST_1026,2025-10-11 03:28:23.067000,2025-10-11 03:29:23.067000,Desktop,Social Media,2,1,False,False
0F8A6A43,,2025-09-26 13:23:23.078000,2025-09-26 13:59:23.078000,Mobile,Display Ads,13,2,False,  False  
ED92B715,CUST_1139,2025-09-29 02:03:23.095000,2025-09-29 02:04:23.095000,Mobile,DISPLAY ADS,1,1,True,False
045DF024,CUST_1250,2025-10-11 18:46:23.197000,2025-10-11 20:44:23.197000,Desktop,Display Ads,19,8,true,False
39ED529B,CUST_1017,2025-10-11 02:48:23.215000,2025-10-11 02:49:23.215000,MOBILE,Instagram,1,0,False,False
1CD0610E,CUST_1517,2025-10-11 11:05:23.134000,2025-10-11 11:10:23.134000,Smart TV,Email Campaign,3,0,False,False
9956B65C,,2025-10-06 09:44:23.098000,2025-10-06 09:58:23.098000,Smart TV,Instagram,4,1,True,False
7000B4C8,CUST_1018,2025-09-27 10:56:23.146000,2025-09-27 11:23:23.146000,Mobile,Google Ads,10,1,True,False
B1E2CAF0,CUST_1327,2025-09-14 12:40:23.169000,2025-09-14 13:21:23.169000,Mobile,SOCIAL MEDIA,27,  15  ,False,False
ADDCD35F,CUST_1879,2025-09-21 10:06:23.057000,2025-09-21 10:08:23.057000,  Mobile  ,,2,1,False,False
455A2B2F,CUST_1502,2025-10-09 01:26:23.138000,2025-10-09 01:42:23.138000,Mobile,Social Media,7,  3  ,False,True
0968854E,,2025-10-07 03:46:23.055000,2025-10-07 03:49:23.055000,Desktop,Organic Search,1,0,False,False
8E638368,CUST_1663,2025-10-11 10:44:23.115000,2025-10-11 10:50:23.115000,Mobile,Google Ads,3,1,False,False
FCA33CC7,,  2025-10-02 11:23:23.049419  ,2025-10-02 11:26:23.049000,Desktop,Email Campaign,2,0,False,False
3F1A9EA5,CUST_1668,2025-10-07 03:48:23.064000,2025-10-07 03:57:23.064000,Mobile,Email Campaign,5,0,False,False
55EF8099,,2025-10-06 11:37:23.186000,2025-10-06 11:49:23.185616,  Mobile  ,Affiliate,  3  ,1,False,True
EE1E02F7,CUST_1074,2025-10-11 06:11:23.111000,  2025-10-11 08:06:23.111486  ,Smart TV,,9,5,False,False
30D08F9D,CUST_1996,2025-10-11 21:32:23.182000,2025-10-11 21:35:23.182000,Desktop,Organic Search,2,0,False,False
65A5C946*,,2025-10-11 17:22:23.200000,2025-10-11 17:59:23.200371,Mobile,Instagram,10,6,FALSE,True
6E91A300,,2025-09-18 11:17:23.133000,2025-09-18 11:31:23.133000,Mobile,Facebook Ads,3,1,False,False
00E098CD,,  2025-10-08 05:50:23.170631  ,2025-10-08 06:04:23.171000,Game Console,GOOGLE ADS,4,2,True,False
34B198CB,  CUST_1062  ,2025-10-07 05:48:23.076000,2025-10-07 05:52:23.076000,Desktop,Referral,2,1,False,False
4225859E,CUST_1377,2025-10-09 11:11:23.143000,2025-10-09 11:54:23.143000,Desktop,Google Ads,10,6,True,False
CF5FC692,CUST_1459,2025-10-05 05:10:23.196000,  2025-10-05 05:13:23.195655  ,Desktop,Social Media,2,0,False,False
7EF194D3,CUST_1723,  2025-09-20 20:23:23.090893  ,2025-09-20 21:53:23.091000,Mobile,Instagram,13,6,True,False
D2AFC364,CUST_1857,2025-10-06 10:19:23.212000,2025-10-06 10:39:23.212000,Mobile,Direct,10,2,False,False
DA4E5DFE,CUST_1408,2025-10-11 15:11:23.214000,2025-10-11 15:26:23.214000,Desktop,Google Ads,9,3,False,True
1C7B429B,CUST_1487,2025-10-07 04:11:23.052000,2025-10-07 04:41:23.052000,Desktop,Affiliate,9,1,False,False
  CAA3BA65  ,,2025-10-08 04:09:23.126000,2025-10-08 05:09:23.126000,Mobile,YouTube,10,1,False,False
A9D20710,CUST_1914,2025-10-10 23:03:23.123000,2025-10-10 23:07:23.123000,Mobile,Google Ads,2,  1  ,False,False
31A6D5AC,CUST_1367,2025-10-10 16:45:23.050000,2025-10-10 16:48:23.050000,Tablet,Organic Search,2,1,False,True
F8629873,CUST_1123,2025-09-28 05:06:23.150000,2025-09-28 05:16:23.150000,Mobile,Display Ads,4,  0  ,False,False
46AA848D,,2025-10-11 11:36:23.128000,2025-10-11 12:01:23.128000,Mobile,Google Ads,5,1,False,True
21C60830,,2025-10-11 02:38:23.153000,2025-10-11 02:49:23.153000,  Tablet  ,Organic Search,2,0,False,False
CB49E680,,2025-10-04 12:02:23.080000,2025-10-04 12:05:23.080000,Mobile,  Facebook Ads  ,2,1,False,False
B52AA611,,  2025-10-04 14:48:43  ,  2025-10-07 22:28:51.279590  ,Cell,Direct,Single,9,,False
F6817EB8,CUST_1342,2025-09-15 01:56:23.101000,2025-09-15 02:02:23.101000,Desktop,Google Ads,5,2,False,True
7F39DC88,CUST_1850,2025-10-10 17:31:23.177000,2025-10-10 17:36:23.177000,Mobile,YouTube,5,1,False,False
5B719451,  CUST_1732  ,2025-09-25 20:28:23.111000,2025-09-25 20:32:23.111000,  Desktop  ,Direct,2,1,False,True
28239CC2,CUST_1208,2025-10-09 11:29:23.161418,2025-10-09 12:14:23.161000,Mobile,Instagram,20,12,FALSE,  False  
7C629041,CUST_1281,2025-10-10 03:53:23.139000,2025-10-10 04:28:23.139000,Desktop,  Direct  ,26,10,True,False
2A59590E,CUST_1540,2025-09-20 18:21:23.144000,2025-09-20 18:23:23.144000,Desktop,Google Ads,2,0,False,False
E026554D,,2025-10-11 16:12:23.181000,2025-10-11 17:03:23.181000,Desktop,TikTok,17,8,False,False
,CUST_1549,,,,,,22,True,1
F9BD456F,CUST_1594,2025-10-11 17:06:23.151000,2025-10-11 17:33:23.151000,Mobile,Google Ads,10,6,False,False
BD532893,,2025-10-07 15:07:23.213000,2025-10-07 15:14:23.213000,Desktop,Direct,4,0,False,False
25B843FB,CUST_1917,2025-10-04 16:48:23.131000,2025-10-04 16:50:23.131000,Desktop,Email Campaign,1,0,False,False
587048FF,,2025-09-16 17:20:23.200000,2025-09-16 17:33:23.200000,Desktop,LinkedIn,5,0,False,False
E22F00F1,,,2025-10-07 01:53:57.112000,,  Direct  ,,7,true,False
68D900C9,CUST_1722,  2025-10-06 09:41:23.195752  ,2025-10-06 09:51:23.196000,Desktop,Facebook Ads,5,1,False,False
574F5F48,CUST_1230,  2025-10-06 08:41:23.137618  !,2025-10-06 09:13:23.138000,Mobile,Instagram,14,3,False,False
5C376651,,  29-09-2025 06:43  ,  2025-09-26 15:17:29.862739  ,Cell,Email Campaign,Many,5,,False
D2ADFFC1,CUST_1018,2025-09-20 12:43:23.111000,2025-09-20 12:46:23.111000,Tablet,Organic Search,2,0,False,False
