customer_id,gender,date_of_birth,account_status,address_id,city,state_province,postal_code,country,account_created_at,last_login_date,is_active
1369,Male,1973-04-29 00:00:00,Active,ADDR_5369,Wilsonview,KS,Y6T9E5,Slovenia,2022-11-29 16:35:56.314000,2025-09-05 01:51:12.803000,False
1078#,Prefer not to say,1984-09-10 00:00:00,Blocked,ADDR_5078,Robertsonview,TAS,96540,Saint Martin,2023-12-15 03:16:43.488000,2025-07-04 00:48:16.683000,False
1299,Other,1948-12-04 00:00:00,Blocked,ADDR_5299,Jeremyfurt,Victoria,J6H5J5,Bhutan,2023-04-18 19:23:29.186000,2025-02-17 07:09:43.254000,false
1890,Female*,1989-05-06 00:00:00,BLOCKED,ADDR_5890,Davidtown,Michigan,2386,Grenada,2024-06-03 10:12:42.847806,2025-02-27 09:25:50.373000,  False  
1821,Male,1989-03-14 00:00:00,Active,ADDR_5821,East Andreastad,Illinois,2900,Falkland Islands (Malvinas),2021-05-15 00:53:29.301000,2025-06-08 18:38:49.828000,False
1931,prefer not to say,1997-09-24 00:00:00,Active,ADDR_5931,Woodchester,NM,2683,Bulgaria,2023-06-11 18:32:06.538817,2025-01-26 14:17:16.143000,True
1862,Other,2005-11-13 00:00:00,Inactive,ADDR_5862,Port Catherine,Western Australia,32145,Morocco,2024-09-25 08:54:51.160000,  2025-09-10 11:21:28.155060  ,False
1542,Male,1981-05-23 00:00:00,Inactive,ADDR_5542,Dianamouth,TX,K1S 5P7,  Korea  ,2021-06-05 05:44:49.657000,2023-02-07 20:02:05.479000,False
1053,Prefer not to say,1979-12-02 00:00:00,Inactive,ADDR_5053,East Carrie,Australian Capital Territory,HP7V 2ZW,Greece,2021-08-04 13:14:56.806000,2024-01-29 14:49:15.969000,  True  
1034,Prefer not to say,1971-08-30 00:00:00,Inactive,ADDR_5034,Stephaniefort,Colorado,2552,Namibia,2024-02-17 08:51:24.558000,2024-09-17 10:55:06.192000,True
1539,Other,1986-01-11 00:00:00,Inactive,ADDR_5539,North Emilystad,Vermont,RG0E 3BL,Cyprus,2021-06-07 06:20:29.919000,2023-08-06 23:52:45.196000,False
1252,Prefer not to say,1987-06-27 00:00:00,Active,ADDR_5252,  Matthewsland  ,Victoria,2929,Rwanda,2025-02-16 07:50:36.440000,  2025-03-18 17:09:22.789417  ,True
1554,Other,1967-12-24 00:00:00,Active,ADDR_5554,Charlesshire,Tasmania,75156,  Morocco  ,2023-09-28 16:15:33.762000,2024-12-11 12:25:53.872000,False
1581,Prefer not to say,2005-07-24 00:00:00,Active,ADDR_5581,East Raymondmouth,SA,02870,Faroe Islands,2022-07-28 14:38:23.510000,2025-01-15 18:36:18.615000,True
1773,Female,1962-05-13,Blocked,  ADDR_5773  ,Vanessastad,Oklahoma,57211,Lithuania,2023-12-09 15:52:50.231000,2024-09-07 21:13:26.403000,True
1480,,,,ADDR_5335,   ,,91632,,2021-03-28 04:34:39.083000,,
1734,Other,1998-11-16#,Blocked,ADDR_5734,Port Emilyberg,Victoria,HD0W 9HL,Tonga,2021-02-22 00:15:23.047000,2022-07-16 20:55:05.033000,False
1256,Female,1998-04-25 00:00:00,Blocked,ADDR_5256,Penashire,New Hampshire,L30 9EF,Zambia,2024-03-05 14:15:00.356000,2025-08-29 15:54:29.712000,True
1167,Male,1945-07-10 00:00:00,Blocked,ADDR_5167,Gregoryhaven,VIC,L5L7E8,Saint Martin,2023-05-19 07:51:56.802000,2024-02-17 23:02:08.729000,True
1168,Male,2004-08-27 00:00:00,Blocked,ADDR_5168,North Melissaberg,Northern Territory,GY7 7LS,EQUATORIAL GUINEA,2024-09-06 13:29:43.381000,2025-07-14 17:42:15.435000,true
1578,Other,1978-11-10 00:00:00,Blocked,ADDR_5578,Donnaburgh,Virginia,2985,Martinique,2024-08-06 11:52:58.098000,2025-04-11 11:53:40.094000,True
1836,Female,  2007-06-16  ,Active,ADDR_5836,West Anna,Queensland,2625,Maldives,2024-03-30 12:44:53.114000,  2024-09-14 21:09:27.328604  ,True
1982,PREFER NOT TO SAY,1980-01-02 00:00:00,ACTIVE,ADDR_5982,Lake Rosemarymouth,VIC,81249,  Trinidad and Tobago  ,2024-02-14 02:41:00.761000,2024-03-06 22:50:36.691000,True
1155,Prefer not to say,1977-12-24 00:00:00,Blocked,ADDR_5155,New Kevin,NJ,N6L3X8,Lithuania,2025-03-13 12:53:53.505000,2025-08-11 01:53:58.079000,True
1875,M,1950-10-26,Active,,West Lisachester,New South Wales,,Taiwan,,2025-06-27 11:13:49,false
1440,,"Nov 24, 1959",I,ADDR_5009,REBECCABURGH,,A9E4V4,LT,2025-03-24T08:28:57.239385,2026-03-20 09:54:00.352000,
1535,Male,1958-07-25 00:00:00,Active,  ADDR_5535  ,Mohamedville,OK,84800,Taiwan,2022-07-24 05:27:39.440000,  2024-08-11 10:21:47.494353  ,True
1325,F,1946-07-02 00:00:00,Active,,North Tracy,LA,,Saint Martin,,2025-04-20 00:03:01,False
1295,Female,1946-08-15#,Blocked,ADDR_5295,East Danielmouth,Queensland,ZE5V 0LB,Australia,2021-02-25 19:59:16.563000,2024-05-02 20:11:09.417000,False
  1035  ,Female,1954-07-11 00:00:00,Active,addr_5035,East Michael,QLD,99999,Tanzania,  2023-10-28 22:29:44  ,1729565337,False
1701,Male,1996-01-11 00:00:00,Active,ADDR_5701,Sanchezberg,Queensland,N3P8H8,Thailand,2024-11-02 11:16:01.039000,2025-05-30 06:44:34.628000,False
1171,Male,1970-04-28 00:00:00,Active,ADDR_5171,Singhside,CA,96899,liechtenstein,2023-02-19 07:58:14.226000,2023-10-11 16:20:05.972000,True
1086,Male,1990-12-02 00:00:00,  Active  ,ADDR_5086,North Michelle,ACT,R4M 9E4,  liechtenstein  ,2025-08-22 21:05:01.269000,2025-09-27 12:59:06.278000,True
1986,Female,1945-06-03 00:00:00,Blocked,ADDR_5986,Jamesshire,SA,2986,Ukraine,2024-02-01 10:26:52.006000,2025-07-04 21:17:34.332000,True
1820,,"Feb 11, 1980",Blocked,ADDR_5820,New Petershire,,L2 4PR,Nicaragua,2023-02-12 02:46:58.767000,2024-09-06 23:11:36.412000,
1101,  Prefer not to say  ,1986-02-10 00:00:00,Inactive,ADDR_5101,East Zachary,Arkansas,BB7M 6RR,  Myanmar  ,2022-06-30 11:34:45.946000,2024-09-30 17:26:32.634000,False
1892,Female,1971-07-13 00:00:00,Active,ADDR_5892,Harpermouth,  Tennessee  ,88278,Greece,2021-03-28 01:17:33.545000,2021-06-21 01:27:08.841000,False
1873,Male,1953-04-05 00:00:00,Inactive,ADDR_5873,Ianberg,Alabama,L6J 4T2,seychelles,2025-01-10 00:04:08.135000,2025-09-04 17:18:45.972000,FALSE
1020,,19-07-2006,Active,ADDR_5020,Julianstad,,AL8 4BB,Qatar,2023-12-20 16:02:27.543000,2024-02-26 12:17:06.532000,
1977,Male,1991-03-19 00:00:00,inactive,ADDR_5977,Gerardchester,PW,T6S 6P4,Tokelau,2023-04-28 01:18:43.500000,2025-06-07 04:54:56.205000,True
1119,Male,1961-05-12 00:00:00,Active,ADDR_5119,North Melissatown,OH,G4P5R3,Macao,2022-10-06 09:35:48.343000,2024-10-05 09:36:42.090000,False
1914,Female,1963-01-30 00:00:00,Blocked,  ADDR_5914  ,North Johnborough,KY,S2A5V9,Sierra Leone,2022-07-03 17:23:23.544000,2023-12-28 13:38:46.118000,True
1872,Female,1960-09-27 00:00:00,Inactive,ADDR_5872,Maldonadoburgh,Victoria,2941,Nigeria,2022-07-19 07:41:27.782000,  2024-10-04 09:47:41.368734  ,False
1218,Male,1971-01-31,Active,ADDR_5218,  Mcculloughfurt  ,northern territory,2617,Tonga,2021-03-23 21:32:52.350000,2022-12-27 21:44:24.481000,False
,,,, ,,na,,,  null  ,,
1555,Female,,Active,ADDR_5555,West Jessicaland,maryland,KY9P 8YT,Argentina,2021-11-09 13:19:14.399000,,False
1485,Male,1988-09-10 00:00:00,Active,ADDR_5485,Stephanieland,Wyoming,2989,Qatar,2023-08-03 04:13:09.675000,2025-04-01 00:07:31.842000,True
1444,Other,1994-09-18%,Blocked,ADDR_5444,  Port Jasonborough  ,New South Wales,9765,Congo,2020-12-17 05:26:54.585000,2020-12-23 18:38:00.813000,False
