inventory_id,product_id,supplier_id,stock_quantity,minimum_stock_level,last_restocked_date,storage_cost,reserved_quantity
10555,prod_1958,SUPP_10968,788,29,2025-09-04 18:31:35.380000,2.23,
10938,PROD_1384,SUPP_10847,49,51,2025-10-08 00:32:19.489000,0.39,
10060,PROD_9999,  SUPP_10849  ,  Unknown  ,,2025-09-28 13:01:55.652000,1.12,
10693,PROD_2034,SUPP_10009,  9  ,6,  2025-08-01 20:05:17.296174  ,0.4,
10407,PROD_1408,SUPP_10771,17,72,2025-09-23 05:26:02.706000,4.5,
10592,PROD_1316,SUPP_10547,69,81,2025-09-15 15:16:06.838000,0.36,
10723,PROD_1981,,99999,-19,,,
11232,PROD_1898,SUPP_10797,225,54,2025-09-17 20:44:15.026000,4.22,
11055,PROD_2432,SUPP_10617,10,0,2024-02-03 00:26:40.240000,3.56,
10636,PROD_2052,SUPP_10573,148,5,2025-08-18 08:29:27.621000,1.06,
  10072  ,PROD_1427,SUPP_10177,490,100,2025-10-10 04:04:22.668000,2.52,
11176,PROD_1420,SUPP_10909,138,61,2025-10-02 13:11:51.811000,  3.56  ,
10185,  PROD_2212  ,SUPP_10800,  27  ,23,2025-09-03 11:10:30.856000,3.82,
11357,PROD_1003,SUPP_10544,5,104,2025-10-05 14:47:04.255000,1.58,
11442,PROD_1329,SUPP_10783,193,96,2025-10-05 01:39:36.425000,0.66,
10957,PROD_2304,SUPP_10233*,40,20,2025-10-06 00:13:31.283000,0.84,
10954@,PROD_2427,SUPP_10657,0,0,2024-03-01 13:57:37.343000,3.4,
10206,PROD_1105,SUPP_10064,922,197,2025-10-05 09:59:40.694000,3.65,
10525,PROD_2065,,1,25,,,
10183,PROD_2322,SUPP_10902,16,27,2025-09-09 11:55:47.350000,0.27,
10254,PROD_2393,SUPP_10414,0,0,2025-07-04 19:46:37.807000,1.22,
10789,PROD_2437,SUPP_10432,0,0,2024-05-17 05:39:21.470000,4.4,
10053,PROD_1893,SUPP_10706,9,81,2025-10-08 08:53:48.469000,0.62,
11358,PROD_2085,SUPP_10346,489,5,2025-07-29 07:17:15.545000,  1.98  ,
10740,PROD_1881,SUPP_10372,62,46,2025-09-14 21:58:36.762000,1.31,
10654,PROD_2277,SUPP_10893,162,20,2025-08-17 11:11:46.045092,2.36,
10518,PROD_1522,SUPP_10671,49,34,2025-09-20 16:08:31.767000,2.51,
,,,, ,,,
10215,  PROD_1973  ,SUPP_10690,493,5,2025-08-29 04:24:58.358000,2.66,
10445,PROD_1621,SUPP_10100,4,45,2025-10-11 16:47:24.018000,3.41,
10762,PROD_2414,SUPP_10146,0,0,2025-09-17 00:43:47.781000,1.19,
10331,PROD_1437,SUPP_10343,3,67,2025-09-29 17:55:27.490000,2.81,
11054,PROD_2310,SUPP_10573,136,18,2025-10-04 10:44:03.901000,3.32,
,,,,,, ,
10037,PROD_2015,SUPP_10283,185,11,2025-07-22 11:33:57.394000,1.55,
10210,  PROD_1191  ,SUPP_999,Many,,11-10-2025,,
11351,PROD_2178,SUPP_10294,135,29,2025-07-14 06:27:57.450514,0.72,
,INVALID,,-58,Low,,,
10585,PROD_2256,,946,18,2025-10-24 18:45:17.850000,-0.48,
10049,PROD_2059,SUPP_10988,303,21,2025-10-06 02:47:15.860000,4.56,
11449,PROD_1789,SUPP_10925,97,  39  ,2025-10-09 01:37:48.853000,2.46,
11291,PROD_1090,SUPP_10754,147,167,2025-10-10 19:18:52.981000,2.16,
10898,PROD_1425,SUPP_10076,1,95,2025-10-10 04:56:13.578000,  2.73  ,
10844,PROD_1263,SUPP_10173*,155,197,2025-10-11 22:26:39.838000,3.99,
11280,,SUPP_10197,-14,Medium,2025-10-02 14:29:44.677000,4.86,
10147,PROD_1982,SUPP_10886,415,16,2025-07-22 05:05:17.870000,4.32,
10272,PROD_2054,SUPP_10845,133,17,2025-09-05 17:52:28.326000,3.85,
10032,PROD_1243,SUPP_10796,0,129,2025-10-05 10:34:42.862000,2.92,
10622,PROD_1601,SUPP_10339,384,24,2025-10-01 04:22:04.435000,4.24,
  10327  ,PROD_1999,SUPP_10917,7,28,2025-08-12 00:46:10.001000,1.03,
10022,PROD_1894,SUPP_10071,100,58,2025-10-02 09:37:34.599000,2.58,
10588,PROD_1214,SUPP_10820,39,70,2025-10-06 11:56:44.573000,0.72,
10737,PROD_1678,SUPP_10039,34,92,2025-10-08 16:42:07.450000,0.39,
10345,PROD_1053,SUPP_10298,56,135,2025-10-09 04:12:19.353000,2.12,
10262,PROD_1353,SUPP_10057,71,52,2025-09-23 14:45:43.722000,4.1,
10225,PROD_1876,,1,25,,,
11202,PROD_2418,SUPP_10956,7,0,2025-05-09 21:39:31.581000,2.29,
11192,PROD_1385,SUPP_10606,104,92,2025-09-29 09:02:18.542000,3.76,
11483,PROD_1249,SUPP_10221,0,174,2025-10-08 10:23:22.895000,1.61,
10219,PROD_1700,SUPP_10502,19,87,2025-09-21 15:44:33.837000,  1.18  ,
10461,PROD_1647,SUPP_10515,0,35,2025-09-22 19:31:34.991000,  1.61  ,
  10320  ,,SUPP_10979,-45,High,2025-09-22 19:40:03.791000,1.74,
11315,PROD_1523,SUPP_10480,50,68,2025-09-27 03:09:45.674000,3.68,
11161,PROD_1346,SUPP_10834,60,43,2025-09-12 10:09:54.611000,1.31,
11209,PROD_1652,SUPP_10901,29,85,2025-09-26 02:20:24.699000,2.8,
10019,PROD_1374,SUPP_10754,443,54,2025-10-08 22:15:16.914000,  0.88  ,
10471,PROD_1315,SUPP_10461,19,44,2025-10-06 02:45:26.189000,1.37,
11370,PROD_1486,SUPP_10820,73,63,2025-09-17 02:07:33.964339,4.49,
10727,PROD_1901,SUPP_10830,43,21,2025-07-24 03:46:01.840000,2.86,
10375,PROD_1618,,0,59,,,
11062,PROD_2401,SUPP_10144,0,0,  2024-08-09 20:01:24.389875  ,2.95,
10603,PROD_1723,SUPP_10115,17,73,2025-09-17 23:25:54.635000,0.45,
10797,PROD_2113,SUPP_10566,674,28,2025-07-22 23:55:10.365000,3.64,
10731,PROD_1006,SUPP_10926,96,152,2025-10-08 12:45:27.267000,0.32,
11066,PROD_2435,SUPP_10236,10,0,2025-05-01 00:30:02.292000,0.94,
10059,PROD_1770,  SUPP_10101  ,90,44,2025-09-12 02:22:30.426000,4.84,
  10228  ,PROD_1511,SUPP_10729,14,81,2025-10-11 01:04:09.236807,2.37,
11160,DISCONTINUED,SUPP_10825,-78,Low,2025-10-09 04:59:27.652000,2.69,
10530,PROD_1705,SUPP_10080,211,40,2025-09-12 11:32:41.265000,4.97,
10664,PROD_1163,SUPP_10392,37,107,2025-10-05 10:50:45.142000,0.78,
11452,PROD_2281,SUPP_10053,209,24,2025-09-09 22:36:05.811000,2.06,
10637,PROD_1455,SUPP_10657,123,55,2025-09-12 02:34:09.963000,3.16,
10379,PROD_1146,SUPP_10707,27,142,2025-10-11 23:20:49.507000,4.53,
10563,PROD_2378,SUPP_10591,0,0,2024-10-08 22:28:25.087000,0.63,
