campaign_id,campaign_type,start_date,budget,end_date,impressions,clicks,campaign_status,campaign_name,conversions,spent_amount,target_audience
  391  #,  Summer Sale 2025  ,,Variable,0,,100.5,1,,,,
19,Customer Retention 2025 - Test,2025-10-10 00:00:00,9789.06,768.62,58495,1790,Active,,,,
122,Flash Sale 2023 v2,2025-10-10 00:00:00,124691.73,3556.6,288059,4122,Paused,Olivia Allen,1.53,,
197,Summer Sale 2023 - Final,2025-10-10,13480.5,3005.46,511965,20749,Active,,,,
41,Spring Collection 2023 v2,12-10-2024,,8710.03,,826,,,,,
  154  ,Spring Collection 2023 - Test,2025-10-10 00:00:00,10235.2,952.33,87071,2230,Active,,8.83,,
486,Product Launch 2025 - Test,2025-10-10 00:00:00,14596.22,2379.76,1124968,30938,Paused,,,,
194,  Anniversary Sale 2024 - Phase 1  ,2025-10-10 00:00:00,6332.45,2582.61,84944,638,Paused,,3.29,,
70,VIP Exclusive 2024,2025-10-10 00:00:00,13126.71,2942.93,210526,5119,Active,,,,
415,Lead Generation 2025 - Test,2025-10-10 00:00:00,24739.55,13143.03,1523323,17204,Paused,Katelyn Rivera,,,
87,Referral Program 2023,2025-10-10 00:00:00,499155.29,20618.2,2196327,105535,Paused,,5.14,,
74,Christmas Special 2023 - Final,2025-10-10 00:00:00,7697.28,1618.43,374129,6847,Active,,,,
66,  Summer Sale 2025  ,2025-10-10 00:00:00,17474.72,0,82885,100.5,Active,,,,
422,Lead Generation 2025 - Final,2025-10-10 00:00:00,12329.11,1131.48,218224,8857,Active,,,,
306,Summer Sale 2025 - Final,  2025-10-10  ,4934.75,1327.87,  24215  ,662,Active,Dr Lee Martin,  8.16  ,,
418,Spring Collection 2024,2025-10-10 00:00:00,46525.82,940.71,  134023  ,1218,  Paused  ,,,,
354,Flash Sale 2023 - Final,  2025-10-10  ,4676.69,256.49,101448,3575,  Paused  ,,,,
178,Customer Retention 2023,2025-10-10 00:00:00,  474203.14  ,20562.39,3107728,140543,Active,,,,
348,New Year Deal 2024 - Phase 1,  2025-10-10  ,25922.44,3709.75,1779725,30465,Active,Mr Stanley Armstrong,,,
483,Customer Retention 2024 - Phase 1,2025-10-10 00:00:00,23098.21,241.15,48276,322,Paused,,,,
377,New Year Deal 2024 - Test,2025-10-10 00:00:00,19207.93,4114.16,664019,14020,Active,,2.95,,
485,Referral Program 2024 - Phase 1,2025-10-10 00:00:00,6222.94,276.92,4296,34,Active,,,,
466,Anniversary Sale 2024 - Phase 1,2025-10-10 00:00:00,11312.84,510.65,29296,650,Active,Dr Henry Flynn,,,
337,Clearance 2024 - Final,2025-10-10 00:00:00,17213.87,921.33,107230,4252,Active,,,,
324,VIP Exclusive 2025 v2,2025-10-10 00:00:00,16835.37,1538.03,93217,4459,Active,,,,
477,Product Launch 2023,2025-10-10 00:00:00,12295.96,2293.25,135599,  5196  ,Paused,,7.06,,
333,VIP Exclusive 2024 - Test,2025-10-10 00:00:00,352898.28,6772.14,1147172,47021,Paused,Miss Katie Payne,,,
367,Christmas Special 2024,2025-10-10 00:00:00,1508,378.85,38057,962,Active,,4.89,,
172,Black Friday 2024 - Phase 1,2025-10-10 00:00:00,4552.39,217.84,21369,425,Active,TRACY BRADLEY,3.29,,
330,Spring Collection 2023 - Phase 1,2025-10-10 00:00:00,5177.4,  170.18  ,20338,535,Paused,,,,
285,  Back to School 2025  ,2025-10-10 00:00:00,12660.05,909.94,280511,9320,Active,Trevor Tomlinson-Hopkins,3.64,,
479,VIP Exclusive 2023 v2,2025-10-10 00:00:00,3971.31,1089.97,213931,5993,Active,Kathy Morgan,7.29,,
  253  ,Spring Collection 2024 - Final,2025-10-10 00:00:00,19279.09,1120.7,536792,  6155  ,Active,,,,
472,VIP Exclusive 2023 - Test,2025-10-10 00:00:00,4104.71,71,9121,  164  ,Active,,,,
320,Product Launch 2024 v2,2025-10-10 00:00:00,17901.26,5807,517176,9876,Active,,9.8,,
78,  Clearance 2024 - Phase 1  ,2025-10-10 00:00:00,212403.44,14569.62,1749969,86160,Active,,,,
449,Christmas Special 2024,2025-10-10 00:00:00,12661.92,  516.18  ,97601,925,Active,,4.97,,
92,  VIP Exclusive 2025 - Phase 1  ,2025-10-10 00:00:00,341728.4,20644.94,1075862,  21700  ,Paused,,3.65,,
379,Flash Sale 2023 - Final,2025-10-10 00:00:00,8422.51,6788.52,1005372,5568,Paused,,,,
195,Referral Program 2025 - Phase 1,2025-10-10 00:00:00,29549.66,4673.05,  1632224  ,45679,Paused,Gavin Miles-Hodgson,,,
261,Summer Sale 2025,2025-10-10 00:00:00,,0,2413,250.75,,,,,
455,Summer Sale 2024 v2,2025-10-10 00:00:00,24846.62,649.65,92315,2731,Active,Jodie Pearson,,,
135,Black Friday 2025,2025-10-10 00:00:00,8518.87,108.75,5567,78,Active,Amy Gibbons-Morgan,,,
461,Brand Awareness 2025 - Test,2025-10-10 00:00:00,,7768.67,963880,6861,,Sara Davison-Owen,,,
248,Back to School 2023 v2,2025-10-10 00:00:00,18912.74,538.57,52335,336,ACTIVE,,,,
159,Summer Sale 2025 - Phase 1,2025-10-10 00:00:00,6683.57,3749.6,359282,17430,Active,,,,
347,  Customer Retention 2025 - Test  ,2025-10-10 00:00:00,4028.84,3634.91,493807,9286,Paused,,,,
61,Christmas Special 2024 - Final,,,4693.14,,4628,,,,,
,,,,,,,,,,,
  153  ,Referral Program 2023 - Phase 1,2025-10-10 00:00:00,18000.49,321.71,  59538  ,2442,Active,Tammy Little,,,
