order_item_id,order_id,product_id,discount_amount,product_cost,quantity
2877,ORD_214,PROD_1014,37.95,84.44,
1521,ORD_2571,PROD_1010,0,43.25,
1446!,ORD_2118,PROD_1500,0,255.12,
4841,ORD_2382,PROD_1015,2.84,14.03,
1893,ORD_530,PROD_1654,140.2,7.08,
1371,ORD_1389,PROD_1614,76.52,218.45,32.62
2487,ORD_837,PROD_1436,0,54.77,13.59
167,ORD_900,PROD_1983,0,89.02,110.71
  3564  ,ORD_2038#,PROD_1604,428.1,25.8,483.36
  972  ,ORD_556,PROD_1014,17.16,86.34,
391,ORD_2229,PROD_1018,0,212.71,16.38
1194,ORD_2402,PROD_1580,0,37.83,
3722,ORD_2492,PROD_1433&,0,93.18,
3268,ORD_667,  PROD_1393  ,23.39,128.21,29.34
1682,ORD_147,  PROD_1831  ,0,14.67,
2381,ORD_2204,  PROD_1501  ,0,264.77,99.46
2162,ORD_2351,PROD_1010,0,44.95,22.69
4903,ORD_2168,PROD_1257,0,243.02,27.59
  2873  ,ORD_965,PROD_1004,0,9.14,
3204,ORD_1805,prod_1706,0,2.89,
  2072  ,ORD_719,PROD_1961,49.79,119.36,22.23
3686,ORD_506,PROD_1531,0,69.68,14.34
1357,ORD_1518,PROD_1758,0,36.85,
4595,ORD_2544,PROD_1998&,30.8,243.07,
1534,ORD_811,PROD_1002,10.28,34.87,20.75
4926%,ORD_836,PROD_1485,0,196.18,
  4056  ,ORD_2199,PROD_1014,0,85.44,15.28
270,,PROD_1111,  0  ,17.43,8.69
3746,ORD_218,  PROD_1178  ,69.26,203.05,41.86
1191,ORD_1255,PROD_1398,0,107.06,16.16
1633,ORD_211,PROD_1008,0,115.33,
  963  ,ORD_193,PROD_1091,0,138.37,
1508,ORD_1199,PROD_1427,23.89,70.76,
3404,  ORD_2018  ,PROD_1983,36.57,92.69,20.02
2561,ORD_2086,PROD_1476,4236.4,247.26,
2808,ORD_1075,PROD_1011&,0,66.21,29.2
4435,,PROD_1763,85.94,237.81,
1256,ORD_970,PROD_1379,0,157.78,
158,ORD_2084,PROD_1947,37.47,231.27,  63.55  
2510,ORD_1287&,  PROD_1389  ,0,287.41,66.37
2319,ORD_1763,PROD_1985,0,63.23,
3877,ORD_329,PROD_1619#,0,219.1,
2429,ORD_712,PROD_1073,0,228.7,56.47
667,ORD_1418,PROD_1771,0,208.2,45.74
4778,  ORD_1582  ,PROD_1421,0,21.84,4.14
1225,ORD_970,DISCONTINUED,10%,,
3476,ORD_364,PROD_1072,0,323.66,
3903,ORD_1383,PROD_1816,0,239.69,
3818,ORD_383,PROD_1811,0,107.85,
4314,ORD_2277,prod_1001,16.03,56.17,26.22
2492,ORD_218,PROD_1183,0,14.22,8.3
2601,ORD_1274,PROD_1386,0,67.29,43.27
4960,ORD_999999,,Free shipping,-11.49,
5003,ORD_308,PROD_1331,0,75.64,34.42
2924,ORD_2268,PROD_1452,0,6.13,0.67
596,ORD_319,PROD_1932,115.03,269.54,
795,ORD_610,PROD_1261,0,28.06,
1265,ORD_725,PROD_1003,274.96,152.2,296.21
4394,ord_1247,PROD_1417,17.59,50.82,
4979,ORD_667,PROD_1450,0,136.89,
2348,ORD_623,PROD_1704,0,173.98,23.69
1329,ORD_401,PROD_1883,4710.4,312.05,
2733,ORD_2224,PROD_1391,0,88.13,
3481,ORD_1507,PROD_1019,20.46,86.62,16.36
440,,PROD_1751,  0  ,262.35,34.42
2466,ORD_1688,PROD_1520,0,94.39,
402,  ORD_941  ,PROD_1007,0,185.79,
1858,ORD_2017,PROD_1189,0,142.72,36.9
252,ORD_2286,  PROD_1091  ,0,134.02,39.97
564,ORD_467,PROD_1050,0,143.75,
4031,ORD_1329,PROD_1689,  0  ,56.53,
1760,ORD_440,PROD_1093,0,27.54,
3922,ORD_1378,PROD_1886,0,134.68,33.15
4502,ORD_1270,PROD_1987,35.61,196.32,
2314,ORD_1316,PROD_1908,23.75,62.68,
3532,ORD_2038,  PROD_1623  ,0,224.29,
756,  ORD_2103  ,PROD_1266,104.66,259.51,55.35
2667,ORD_2404,PROD_1105,0,292.62,57.71
4371,ORD_1690,PROD_1523,41.12,101.66,
1114,ORD_1946,  PROD_1016  ,0,44.97,
4887,ORD_114,PROD_1032,0,165.83,
4954,ORD_192,PROD_1082,17.09,90.88,65.66
305,ORD_882,PROD_1012,0,162.87,
  2136  ,ORD_145,PROD_1007,0,186.26,
2077,ORD_1895,PROD_1560,0,169.74,42.37
262,ORD_1974,PROD_1437,38.3,116.17,16.67
2892,ORD_835,prod_1000,120.22,38.37,  147.73  
2211,ORD_1967,PROD_1045,80.66,37.22,
3004,ORD_1260,PROD_1471,  0  ,103.52,
857,ORD_1010,PROD_1622,0,  88.64  ,52.6
4545,ORD_259,  PROD_1186  ,,Unknown,
1432,ORD_1633,PROD_1188,95.32,279.57,39.91
3731,ORD_647,PROD_1014,39.49,86.6,53.5
1731,  ORD_1570  ,PROD_1844,  0  ,271.69,
3261,ORD_734,PROD_1076,900.62,250.71,689.23
2498,ORD_653,PROD_1518,296.48,  114.1  ,
2695,ORD_343,PROD_1001@,0,57.29,
3869,ORD_855,PROD_1103,56.5,205.9,
,,PROD_1831,0,,
2926,ORD_1412,PROD_1273,0,132,
4911,ORD_2261,PROD_1006,565.64,182.25,656.19
2278,ORD_466,PROD_1009,103.1,260.06,107.41
4498,ORD_1622,PROD_1223,83.56,242.09,
2175,  ORD_2246  ,PROD_1000,3.84,,
4374,ORD_1203,  PROD_1376  ,23.25,271.17,
2464,ORD_1593,  PROD_1060  ,0,57.96,
3495,ORD_1843,  PROD_1015  ,,,
1746,ORD_1570,PROD_1005,0,69.31,35.75
531,ORD_447,PROD_1019,16.01,  87.65  ,20.22
4523,ORD_674,PROD_1014,0,80.84,42.34
2505,ORD_444,PROD_1565,0.001,  -999  ,
3823,ORD_383,PROD_1021,0,283.05,
695,,PROD_1006,,  N/A  ,
136,ORD_1510,PROD_1407,0,127.8,
  3718  ,ORD_986,PROD_1761,194.18,52.78,171.21
674,ORD_2464,PROD_1016,0,46.23,  19.68  
2787,ORD_1315,PROD_1010,13.94,45.76,
1483,ORD_2163,PROD_1404,38223.74,,
1497,ORD_503,PROD_1252,0,  24.06  ,2.5
3251,ORD_2387,PROD_1011,0,65.53,19.31
3567,ORD_1193,PROD_1485,0,193.55,99.76
861,ORD_167,PROD_1574,0,190.26,
3401,ORD_2306,PROD_1929,0,174.94,80.82
3904,ORD_1015,PROD_1012,0,172.48,26.08
2392,ORD_839,PROD_1528,85.96,227.72,
521,ORD_186,PROD_1019,184.01,86.81,199.5
4098,ORD_701,PROD_1636,41.76,119.42,27.32
213#,ORD_2476,PROD_1614,0,227.48,
4218,  ord_2167  ,PROD_1063,0,29.19,
4462,ORD_504,PROD_1857,168.96,75.98,
3849,ORD_855,PROD_1159,  0  ,216.74,
4930,ORD_1137,PROD_1849,,,
2591,ORD_2488,  PROD_1134  ,0,165.62,150.19
3838,ORD_860,PROD_1697,8.81,52.92,25.47
568,ORD_2366,PROD_1324,0,119.01,20.32
1981,ORD_103,PROD_1875,0,276.27,41.88
3333,ORD_574,PROD_1861,25.34,78.34,7.46
4546,ORD_2467,PROD_1490,  0  ,70.87,15.72
1821,ORD_111,PROD_1014,0,81.11,
4131,ORD_701,PROD_1636,0,  124.77  ,  19.6  
1672,ORD_565,PROD_1006,0,172.42,
394,ORD_1202,PROD_1103,0,208.78,
1386,ORD_1686,PROD_1002,0,35.56,8.23
3512,ORD_1034,PROD_1242,0,  284.02  ,
2595,ORD_2488,PROD_1016,0,45.86,
4195,ORD_629,INVALID,,,
3136,ORD_992,PROD_1167,0,13.12,
3867,ORD_2503@,PROD_1165,127.84,56.61,176.37
1306,ORD_2292,PROD_1757,0,93.95,
742,ORD_2455,  PROD_1015  ,3.84,14.23,10.2
4554,ORD_138,PROD_1111,351.7,16.89,440.42
3810,ORD_313,PROD_1449,,TBD,0
913,ORD_2161,PROD_1257,0,247.72,46.86
1235,ORD_1457,PROD_1943,0,232.05,
3344,ORD_1534,PROD_1534,0,109.73,125.68
1567,ORD_1199,PROD_1251,0,174.76,
1145,ORD_213,PROD_9999,-23.03,0,0
4517,ORD_1163,PROD_1767,0,19.09,29.46
2553,ORD_242,PROD_1066,  0  ,122.84,56.56
1214,ORD_120,PROD_1206,0,102.2,
2123,ord_1830,PROD_1150,0,31.67,4.6
3641,ORD_1735,PROD_1009,0,264.55,
4629,ORD_1451,PROD_1505,0,62.58,
644,,PROD_1300,0,61.83,
639,ORD_1697,PROD_1930,53.61,108.93,
1609,ORD_277,PROD_1229,123.43,62.69,137.92
3545,ORD_881,  PROD_1872  ,9999,9999.99,
4775,,PROD_9999,-18.84,,
4916,ORD_2269,PROD_1006,0,177.13,37.78
855,ORD_1710,PROD_1403,0,126.17,15.18
4393,ORD_1964,PROD_1003,  50.19  ,155.39,68.52
1694,ORD_1526,PROD_1328,0,175.16,  72.5  
2891,ORD_2134,PROD_1014,876.3,84.85,411.5
5049,  ORD_695  ,PROD_1987,  0  ,195.08,
2748,ORD_871,PROD_1010,0,43.15,
3636,ORD_1735,PROD_1011,0,64.81,41.11
  1098  ,ORD_466,PROD_1023,1931.6,102.56,2381.84
2794,ORD_1482,  PROD_1786  ,0,131.71,
1067,ORD_978,PROD_1779,23.69,159.86,  28.99  
553,ORD_343,PROD_1017,0,22.02,
4459,ORD_179,PROD_1145,0,74.8,
  2913  ,ORD_835,PROD_1689,24.51,56.8,
3873,ORD_1210,  PROD_1016  ,0,44.78,7.44
3056,ORD_2108,PROD_1593,0,21.97,8.47
1686,ORD_2346,PROD_1804,0,29.54,11.15
1420,ORD_999999,PROD_9999,-32.87,0,
,,,,,
5069,ORD_1640,PROD_1903,0,47.94,10.52
3503,ORD_1093,PROD_1484,0,95.6,70.74
910,ORD_2138,,Free shipping,-25.99,4.93
2556,ORD_1274,PROD_1006,0,172.62,19.9
3973,ORD_2029,PROD_1964,18.79,53.63,5.81
1462,ORD_1730,PROD_1799,0,184.31,
153,ORD_1194,PROD_1405,0,303,
  4496  ,ORD_1622,PROD_1316,60.38,320.87,88.31
3870,ORD_2241,PROD_1707,0.001,9999.99,0
3195,ORD_465,PROD_1012,29.57,162.34,110.55
1496,ORD_2453,PROD_1019,0,86.24,22.25
2288,ORD_347,PROD_1689,14.56,56.38,11.95
2727#,ORD_592,  PROD_1321  ,0,273.85,
472,ORD_761,PROD_1008,33.46,112.79,14.1
1308,ORD_345,  PROD_1049  ,  0  ,190.56,
3792,ORD_1083,PROD_1002,6.71,33.46,6.3
4740,MISSING,,0,198.07,
3590,ORD_1962,PROD_1826,4.39,59.71,8.64
1074,ord_648,PROD_1190,0,242.63,
1840,ORD_999999,PROD_1010%,0,46.01,
4441,ORD_2328,PROD_1019,0,81.62,88.74
2511,ORD_1745,PROD_1851,0,219.59,65.28
2365,ORD_1495,PROD_1730,0,171.87,
1072,ORD_230,PROD_1798%,0,136.32,
,,,0,,
4213,ORD_937,PROD_1006,282.82,171.67,232.24
  4801  ,  ORD_696  ,PROD_1003,0,164.67,152.12
  3876  ,ORD_1641,PROD_1637,0,128,
2562,ORD_1412,PROD_1273,0,132.23,
2361,  ORD_1021  ,PROD_1472,0,219.82,
1971,ORD_1124,PROD_1564,4.16,8.95,
4589,ORD_1885,PROD_1463,0,11.29,
1605,ORD_1355,PROD_1004,,Unknown,
  5041  ,  ORD_1156  ,PROD_1630!,0,251.19,
3157,ORD_1298,PROD_1012,71.67,162.46,24.75
4518,ORD_1398,PROD_1115,96.55,171.5,
2821,ORD_2247,PROD_1019,0,81.75,37.48
1095,ORD_935,PROD_1037,0,172.9,36.42
3413,ORD_1595,PROD_1994,0,248.58,
1825,ORD_345,PROD_1019,  0  ,,
1277,ORD_1197,PROD_1821,0,21.12,
1410,ORD_1633,PROD_1011,32.81,69.35,
597,ORD_2588,PROD_1502,0,17.13,
3302,ORD_574,PROD_1861,0,83.98,40.51
643,  ORD_360  ,PROD_1014,0,86.13,
4818,ORD_1650,PROD_1200,0,185.71,
976,ORD_1923,PROD_1000,0,37.97,7.55
912,ORD_631,PROD_1014,0,85.64,19.46
1721,ORD_1591,PROD_1000,  5.59  ,36.75,  5.52  
2427,ORD_623,PROD_1310,22.19,71.84,
512,ORD_2466,PROD_1961,0,115.98,
2781,ORD_127,PROD_1179,0,152.79,
3347,ORD_1644,PROD_1584,0,69.31,
2287,ORD_2210,PROD_1290,1645.4,79.75,1876.97
1396,ORD_1509,PROD_1226,0,135.67,
106,ORD_1510,PROD_1076,450.31,245.18,305.14
3809,ORD_1607,PROD_1482,0,183.8,
3068,ORD_991,PROD_1610,5.05,50.99,
1914,ORD_2379,PROD_1874,0,153.34,  33.14  
943,ORD_542,prod_1054,0,3.99,0.54
4770,ORD_966!,PROD_1826,15.31,59.48,
4116,ORD_358,PROD_1200,  63.14  ,195.97,
223,ORD_2547,PROD_1122,336.51,169.24,321.15
3444,ORD_639,PROD_1472,0,222.45,
  475  ,ORD_512,PROD_1258,418.28,,
1436,ORD_937,PROD_1357,0,133.92,14.35
3519,ORD_1623,PROD_1065!,0,57.88,6.74
4337,  ORD_1408  ,PROD_1533,0,186,17.11
4924,ORD_639,PROD_1196*,  0  ,139.79,10.75
2864,  ORD_2247  ,PROD_1878,0,159.44,36.56
493,,PROD_1015,2648.35,,
2131,ORD_2246,PROD_1731,0,162.93,78.49
383,ORD_408,PROD_1379,53.59,157,
1515,ORD_292,  PROD_1820  ,37.73,100.52,
1272,ORD_2010,PROD_1611,6.56,30.18,17.7
1833,ORD_2272,PROD_1132,36.08,138.65,
3210,ORD_2345,PROD_1087,206.49,90.57,194.84
3205,ORD_2299,,,-49.67,54.76
905,ORD_619,PROD_1608,,TBD,
530,ORD_708,PROD_1001,0,54.31,75.95
2922,ORD_1436,PROD_1804,0,31.85,
433%,ORD_1038,PROD_1339,19.13,157.13,22.46
2019,ORD_2385,PROD_1934,0,102.57,
, ,,,,
4569,ord_2214,PROD_1265,58.72,104.84,
2313,ORD_1495,PROD_1910,0,76.44,23.31
  1494  ,ORD_1781,  PROD_1006  ,0,175.18,
3061,  ORD_2406  ,PROD_1000,0,37.39,
1529,ORD_723,PROD_1200,0,193.89,
3419,ORD_1267,PROD_1237,0,  121.69  ,
2670,ORD_1241,PROD_1423,94.32,293.16,
4088,ORD_2177,PROD_1010,0,  43.73  ,8.84
3164,ORD_2154,PROD_1597,90.08,62.38,83.35
4457,ORD_2302,PROD_1691,13.32,75.06,68.14
4081,ORD_1877,PROD_1008,0,105.12,14.76
1602,ORD_263,prod_1151,10.02,110.13,11.66
2770,ORD_104,PROD_1013,28.33,93.81,17.99
4709,ORD_2382@,PROD_1621,23.12,  97.62  ,
2160,ORD_1091,PROD_1425,0,165.33,
5009,ORD_215,PROD_1943,0,252,117.82
2425,ORD_1240,PROD_1879,0,,31.9
363,ORD_1852,PROD_1217,0,133.62,
2963,ORD_770,PROD_1813,0,113.82,83.24
1481,ORD_2103,PROD_1278,59.73,219.18,27.22
2351,ORD_623,PROD_1455,0,271.16,
2229,ORD_1723,PROD_1009,0,267.52,62.97
3362,ORD_822,PROD_1515,71.46,171.57,24.44
4612,ORD_1854,PROD_1002,10.45,33.67,
4328,ORD_1986,PROD_1868,351.76,152.8,
  3874  ,ORD_1484,PROD_1015,0,13.88,2.89
1223,ORD_725,prod_1014,25.37,83.59,69.27
3546,ORD_1291,PROD_1229,19.41,68.11,
4694,ORD_1462,  PROD_1004  ,0,9.03,
4101,ORD_1055,PROD_1304,0,82.3,
4355,ORD_909,PROD_1459,47.55,233.97,
4975,ORD_816,PROD_1004,0.001,,
429,ORD_1965,PROD_1438,30.49,139.79,
5011,ORD_1640,PROD_1010,16.82,43.13,19.09
1774,ORD_1357,prod_1007%,0,186.86,
3948,ORD_1210,PROD_1004,0,9.24,
2623,ORD_840,PROD_1648,0,26.95,7.19
276,ORD_2244,PROD_1335,0,90.58,
2681,ord_984,PROD_1859,0,296.96,91.95
1699,ORD_541,  PROD_1046  ,683.68,192.17,
2326,ORD_2204,PROD_1327,2.67,20.74,7.16
3207,ORD_1850,PROD_1017,9.91,20.66,1.79
2071,ORD_2497,PROD_1020,0,22.78,  10.82  
3997,ORD_2029,PROD_1008,0,  110.93  ,
1742,ORD_380,PROD_1430,0,25.77,
2703,ORD_2249,PROD_1027,0,24.8,8.56
638,ORD_1387,PROD_1017,0,21.6,17.37
4793,ORD_1930,PROD_1849,56.03,118.7,
2052,ORD_394,PROD_1012,0,167.2,28.51
  4751  ,ORD_1045,PROD_1896,0,82.57,14.98
2178,ORD_2160,PROD_1492,0,277.16,284.92
2551,ORD_1876,PROD_1014,0,80.5,
3639,ORD_1438,PROD_1053,0,65.15,42.98
2237,ORD_1926,PROD_1792,0,67.77,21.03
4874,ORD_2139,  PROD_1009  ,0,286.56,112.7
4027,ORD_1672,PROD_1015,0,13.61,
164,ORD_312,PROD_1697,18.01,52.98,18.98
1982,ORD_1079,PROD_1000,7.84,35.65,
3369,ORD_1669,PROD_1377,0,3.59,2.23
4449,ORD_488,PROD_1790,253.92,166.1,
2790,ORD_1793,PROD_1316,0,305.33,54.83
893,ORD_2445,PROD_1015,0,13.92,1.76
3373,ORD_1853&,PROD_1826,0,57.49,9.52
1220,,,,TBD,
3525,ORD_1507,PROD_1926,0,,2.11
404,ORD_491,PROD_1592,0,123.79,27.99
3120,ORD_1059,PROD_1641*,0,92.45,10.86
1741,ORD_1303,PROD_1379,261.63,156.29,
449,ORD_1565,PROD_1011,0,65.44,10.07
2762&,ORD_2410,PROD_1344,295.22,72.1,389.14
4322,ORD_1762,PROD_1979,0,47.77,5.51
