order_id,customer_id,order_status,subtotal,tax_amount,shipping_cost,total_discount,total_amount,currency,order_placed_at,order_shipped_at,order_delivered_at
,,, ,,,,,,,  null  ,
1313,CUST_1226,Returned,70.94,4.3,49.57,0,124.81,USD,2024-07-10 20:17:34.984000,,
1979,CUST_1551,Processing,50.37,3.37,21.27,0,75.01,USD,2025-08-22 22:02:21.265000,,
1333,CUST_1717,Delivered,958.81,  53.21  ,20.94,0,1032.96,USD,2024-11-05 07:52:22.848000,2024-11-11 18:30:20.469000,2024-11-21 01:57:43.543000
2007,CUST_1486,Shipped,456.55,23.74,0,0,480.29,USD,2024-05-11 20:01:22.651000,2024-05-15 19:48:18.878000,
,,,,,,,,,,,
168,CUST_1396,Shipped,683.35,75.02,17.95,  19.37  ,756.95,EUR,  2025-05-04 08:55:27.588099  ,2025-05-11 04:31:43.631000,
824,CUST_1261,Shipped,  545.55  ,77.01,0,35.87,586.69,USD,2023-10-19 13:52:17.185000,  2023-10-24 05:18:54.120626  ,
1776,CUST_1152,Returned,674.76,47.41,14.34,0,736.51,GBP,2024-03-07 07:05:57.574000,,
627,CUST_1732,Cancelled,288.68,37.09,23.47,72.69,276.55,USD,2023-11-15 01:45:00.552000,,
992,CUST_1148,Shipped,1221.02,133.36,13.71,51.62,1316.47,CAD,2023-11-25 08:49:47.244000,2023-11-28 16:53:18.044000,
865,CUST_1260,In Transit,550.91,-17.74,19.93,10%,72.3380962869845,AUD,2025-09-17 00:49:30.481000,,
2178,CUST_1935,Pending,1232.74,63.9,21.02,0,1317.66,USD,2024-05-10 22:46:56.480000,,
985,CUST_1302,Processing,773.59,45.87,0,0,819.46,GBP,2024-04-26 07:26:11.751000,,
580,CUST_99999,Shipped,,0,,  0  ,1782.45,,20240414,2023-06-30 12:07:52.978000,
1023,CUST_1090,Shipped,302.25,21.65,7.75,0,331.65,USD,2025-05-08 11:15:37.167000,2025-05-15 10:55:05.292000,
1109,cust_1589,Processing,1173.14,  59.88  ,15.65,0,1248.67,AUD,2024-10-13 10:48:51.784966,,
1689,CUST_1970,Processing,1702.87,205.56,23.95,0,1932.38,CAD,2024-11-30 13:33:02.499000,,
831,CUST_1209,Delivered,837.44,46.17,22.94,0,906.55,USD,2025-05-03 16:14:06.890000,2025-05-09 17:08:51.828000,2025-05-14 13:05:11.823000
2167,CUST_1503,Shipped,523.13,31.7,14.97,0,569.8,EUR,2024-12-19 15:58:44.028455,2024-12-23 14:58:24.168000,
1667,CUST_1839,Shipped,1523.59,187.77,0,235.37,1475.99,USD,2024-06-03 14:20:58.286000,2024-06-07 06:37:45.686000,
1104,CUST_1529,Shipped,1504.65,210.79,19.48,  0  ,1734.92,USD,2024-05-31 10:29:31.213000,2024-06-01 17:25:35.979000,
738,CUST_1506,Processing,873.2,66.87,21.53,0,961.6,EUR,2024-02-04 06:34:07.852000,,
,CUST_99999,,,,,,,,,,2025-01-18 02:12:26.756000
1541,CUST_1685,Delivered,22.74,1.33,16.87,0,40.94,EUR,2025-05-09 13:23:21.639000,2025-05-15 04:05:10.697000,  2025-05-24 08:24:39.329894  
1329,CUST_1590,Processing,494.6,  43.21  ,0,0,537.81,USD,2025-06-16 15:03:39.287000,,
2491,CUST_1815,Processing,  1798.66  ,122.22,5.93,42.45,  1884.36  ,EUR,2024-04-08 09:07:45.746000,,
506,CUST_1486,Processing,1143.33,108.79,  6.86  ,189.65,1069.33,USD,2025-09-26 06:43:47.304000,,
2458,CUST_1636,Delivered,103.91,14.18,0,15.28,102.81,USD,2024-03-22 04:26:29.230000,2024-03-27 03:33:17.347000,2024-03-27 18:50:53.204000
  2368  ,CUST_1113,processing,430.02,58.36,0,80.07,408.31,AUD,2023-12-08 08:01:57.679000,,
2175,CUST_1773,,815.96,,0,0,,USD,2024-08-23 08:07:06.064000,,
2457,  CUST_1839  ,Cancelled,555.67,78.77,23.31,0,657.75,USD,2024-04-30 05:24:47.128000,,
1830,CUST_1811,Delivered,1072.54,144.9,9.19,  0  ,1226.63,AUD,2024-07-06 20:01:56.407000,2024-07-07 15:37:32.393000,2024-07-12 13:02:16.733000
2060,GUEST,pending,,,  free  ,,PAID,Dollar,1757634609,2024-12-27 13:27:53.498000,
1771,CUST_1951,Delivered,1481.04,159,0,30.58,1609.46,EUR,2024-04-26 00:39:13.673000,2024-05-02 12:53:47.201000,2024-05-09 12:39:30.773000
742,CUST_1415,Shipped,999.41,68.58,  10.29  ,0,1078.28,USD,2024-02-14 07:14:55.747000,2024-02-21 03:23:39.495000,
1610,CUST_1777,Pending,320.83,37.11,8.1,0,366.04,CAD,2024-09-14 12:00:15.146000,,
1113,CUST_1004,Shipped,506.25,34.28,0,  0  ,  540.53  ,USD,2025-02-25 23:34:46.517250,2025-03-04 04:41:38.567000,
2131,CUST_1551,Delivered,1759.45,245.65,0,0,2005.1,USD,2025-02-19 15:45:38.878000,2025-02-23 19:33:12.318000,2025-03-01 15:30:41.253000
2570,CUST_1535,  Shipped  ,1019.73,122.96,24.46,1223.676,0,EUR,2024-06-07 17:11:26.684000,2024-06-14 05:10:21.936000,
753,CUST_1357,Delivered,1184.31,79.04,0,55.16,1208.19,EUR,2025-08-07 20:05:16.408000,2025-08-08 10:42:30.196000,2025-08-13 23:12:04.822000
363,CUST_1081,Delivered,23.08,3.19,17.52,0,43.79,GBP,2024-01-14 17:01:09.874000,  2024-01-16 21:01:44.125509  ,  2024-01-23 07:28:02.179544  
1389,CUST_1735,Shipped,1185.04,147.95,8.88,302.48,1039.39,USD,2023-11-03 05:23:57.442000,2023-11-09 00:53:29.981000,
,,,,,,,  NA  ,,,, 
