product_id,product_name,sku,category_id,category,sub_category,brand,supplier_id,cost_price,sell_price,launch_date,weight,dimensions,color,size,material
1369,Under Armour Smartphone Home,UN-SP0369-RED,CAT_500,Electronics,Wearables,Brooks,SUPP_10411,365.36,860.19,2024-11-28 00:00:00,0.128,16x6x1.4,White,"17""""",  Glass  
1078,Amazon Charger Professional,AM-CL0078-GOL,CAT_654,Photography,Miscellaneous,JBL,SUPP_10041,32.2,44.38,2025-08-06 00:00:00,3.397,65x71x63,Gray,One Size,Wood
1299,Canon Smartwatch,CA-SP0299-GRE,CAT_658,Electronics,Wearables,Lenovo,SUPP_10378,295.62,603.48,2021-08-27 00:00:00,0.886,40x18x15,  Space Gray  ,Large,Plastic
1890,LG Running Shoes Max,LG-SP0890-BRO,CAT_605,Footwear,Running,NIKON,SUPP_10329,193.78,377.32,2021-06-02 00:00:00,  0.976  ,29x19x15,Blue,12,Mesh
1821,Amazon Cable Basic,AM-AC0821-BLA,CAT_642,Audio,General,Puma,SUPP_10624,117.02,150.89,2023-02-10 00:00:00,7.088,75x43x29,Navy,Large,Metal
1931,JBL Training Shoes Ultra,JB-HM0931-SIL,CAT_592,Footwear,Casual,hp,SUPP_10882,392.27,916.88,2024-03-24 00:00:00,1.158,26x19x13,White,41,Synthetic
1862,JBL Casual Shoes Office,JB-HM0862-BEI,CAT_649,Footwear,Casual,Nikon,SUPP_10174,284.91,666.66,  2024-07-30  ,1.271,32x17x15,Black/White,42,Canvas
1542,Microsoft Smartwatch Elite,MI-CL0542-WHI,CAT_691,Electronics,Wearables,New Balance,SUPP_10049,  399.16  ,987.28,2024-01-30 00:00:00,0.564,50x12x30,  Silver  ,"15.6""""",Carbon Fiber
1053,Google T-Shirt Essential,GO-HM0053-BLU,CAT_513,Apparel,Pants,Dell,SUPP_10772,312.74,649.3,2022-09-07 00:00:00,  0.617  ,89x59x67,Beige,XXXL,Linen
1034,JBL Screen Protector Plus,JB-CL0034-BRO,CAT_662,Fashion,Miscellaneous,Apple,SUPP_10481,180.5,294.81,2022-02-15,6.734,25x47x57,Turquoise,Large,Synthetic
1539,BOSE RUNNING SHOES BASIC,BO-SP0539-NAV,CAT_659,Footwear,Casual,Nike,SUPP_10802,22.66,28.03,2025-09-18 00:00:00,0.812,27x18x10,  Gray  ,12,Nylon
1252,Panasonic Training Shoes,PA-SP0252-YEL,CAT_647,Footwear,  Running  ,JBL,SUPP_10724,470.56,864.83,  2022-04-08  ,0.767,26x19x11,Black,12,Suede
