review_id,product_id,customer_id,rating,review_title,review_desc,review_date
  1438  ,PROD_1633,CUST_1959,3,Decent product,Girl have discover girl argue. We say pick then commercial. Average product.,2025-10-10 23:49:21.416000
519,PROD_1985,CUST_1971,  4  ,Eveniet reiciendis voluptate.,Security break drop run they gun. Night baby gun machine discover skill. Notice step by Mrs simply. Exceeded my expectations.,2025-09-17 23:49:21.326000
987,PROD_1211,CUST_1436,3,Decent product,Voluptates quis occaecati cumque repudiandae distinctio ea. Ipsam dignissimos ad culpa accusantium laboriosam aspernatur. Nisi perspiciatis debitis vel ratione.,2025-09-17 23:49:21.373000
2943,PROD_1004,CUST_1393,5,With traditional traditional big.,Numquam amet reiciendis vel tenetur iusto. Exceeded my expectations.,2025-10-06 23:49:21.621000
704,PROD_1719,CUST_1252,5,Highly recommend,Perferendis placeat corporis deleniti. Et excepturi unde blanditiis sapiente quod id. Very happy with this purchase.,  2025-10-05 23:49:21.345354  
2898,PROD_1462,CUST_1962,4,Vote drop task news.,Consider animal blue everything return own bring high. They off tough with style evidence. Cover minute political public true either hospital action. Highly recommend!,2025-07-15 23:49:21.613000
1552,prod_1652,CUST_1868,5,Love it!,Nihil voluptates quos repellat. Mollitia consequatur alias dolorem ullam minus voluptatem. Eum ipsa alias magnam quibusdam delectus. Distinctio accusamus ipsa.,2025-09-29 23:49:21.427000
162,PROD_1092,CUST_1629,5,Amazing value,Consectetur sunt aperiam id quaerat laboriosam illum. Reprehenderit asperiores voluptas odit ipsum perspiciatis. Consectetur repudiandae mollitia nesciunt quisquam consectetur. Tenetur animi commodi corrupti cum eum quae. Veniam maxime eligendi aspernatur deserunt vero. Very happy with this purchase.,2025-10-06 23:49:21.289000
1413,PROD_1129,CUST_1243,3,It's okay,Consumer get those join specific. Or debate concern your its rich send. Ok five continue new billion. College until office traditional possible wife phone. Meets basic needs.,2025-07-04 23:49:21.413000
3011,PROD_1013,CUST_1176,5,Great product!,Consequatur voluptas aliquam ipsum. Ipsa atque molestias nemo doloribus qui qui. Highly recommend!,2025-09-17 23:49:21.632000
1528,PROD_1002,  CUST_1624  ,5,Highly recommend,Perspiciatis ex neque quibusdam praesentium eius. Great value for money.,2025-05-08 23:49:21.425000
2831,PROD_1001,CUST_1476,5,Highly recommend,Accusamus animi laborum inventore. Velit maiores soluta architecto soluta enim quia. Odit incidunt alias soluta.,2025-09-13 23:49:21.601000
2535,PROD_1008,CUST_1732,2,Buyer beware,Voluptatum voluptatibus quo error accusantium. Would not recommend.,2025-07-26 23:49:21.552000
2118%,PROD_1735,CUST_1973,3,Earum cum nobis illo.,Authority consumer sound field career. Ready record science condition future. Up huge suggest call ago west law remain. Catch pull upon record state. Average product.,  2025-09-28 23:49:21.484785  
,PROD_1261,CUST_99999,,👍,,
256,PROD_1008,CUST_1412,1,Buyer beware,Facere esse mollitia cupiditate non sapiente similique. Would not recommend.,2025-07-12 23:49:21.299000
343,PROD_1462,  CUST_1092  ,5,Excellent quality,Run adult employee ok certainly leave really. Clear evening information treatment green face. Police baby create physical share out cold. Very happy with this purchase.,2025-09-16 23:49:21.309000
1987,PROD_1192,CUST_1381,5,Great product!,Animi architecto odio numquam. Eum non nobis ad deleniti. Quisquam consequuntur tempora nulla nostrum doloremque. Ad sed laboriosam dolore. Great value for money.,2025-07-01 23:49:21.471000
2571,PROD_1010,CUST_1753,1,Terrible experience,Future check poor hundred full model word. Returned immediately.,  2025-10-02 23:49:21.559115  
535,PROD_1005,,2,Night majority smile.,Present concern term talk side generation. Degree nice young vote him condition. Cultural guess crime. Not worth the money.,2025-10-05 23:49:21.328849
1038,PROD_1018,CUST_1541,3,Average quality,Perspiciatis ipsam harum repudiandae odio dignissimos doloribus. Dicta laborum molestiae nesciunt. Sit fugiat odio quam. Facilis dolore libero assumenda sapiente non deserunt. It's okay for the price.,2025-09-25 23:49:21.378000
2647,PROD_1982,CUST_1594,1,Terrible experience,Easy word moment drop. Very disappointed.,2025-09-12 23:49:21.571000
655,PROD_1019,,3,Mixed feelings,illo reiciendis itaque numquam eligendi amet maxime. sunt quis inventore maiores. meets basic needs.,2025-09-20 23:49:21.341000
2740,PROD_9999,,4.5,,,2016-02-04 21:02:28.751000
127,PROD_1384,CUST_1406,  5  ,Love it!,American series like prepare trouble consider one. Very happy with this purchase.,2025-09-13 23:49:21.282000
3096,PROD_1598,CUST_1163,1,Not worth it,  Dignissimos quo libero asperiores. Not worth the money.  ,2025-09-21 23:49:21.647000
1143,PROD_1637,CUST_1965,3,Could be better,That just drop some money hundred. Bit generation end indicate administration each child. Has pros and cons.,2025-09-16 23:49:21.388000
2498,PROD_1337,CUST_1496,4,Love it!,Agreement fast board dark. Hard decision really weight training. As kitchen book ahead about. Hit movement from foreign member draw. Next wife traditional speak because cup. Very happy with this purchase.,2025-01-05 23:49:21.547000
1259,PROD_1016,CUST_1170,5,Letter model today.,News guess work public. Bar human adult officer beat. News energy after key us budget ability method. Magazine together happen always level billion. Exceeded my expectations.,2025-10-05 23:49:21.399000
2883,PROD_1001,CUST_1594,4,Very satisfied,Inventore iste provident nesciunt placeat nam. Ipsum iusto odit minus ex. Unde tempora tenetur quo nulla laboriosam. Eligendi maxime beatae quasi. Highly recommend!,2024-02-09 23:49:21.611000
942,PROD_1721,CUST_1965,4,Amazing value,Week control modern.,2025-09-28 23:49:21.369000
1888,PROD_1008,CUST_1699,4,Exceeded expectations,Officiis ad ducimus architecto amet voluptas quam ipsa. Porro quasi rem totam cupiditate.,2025-10-04 23:49:21.462000
1627,PROD_1438,CUST_1504,5,Exceeded expectations,Ad libero necessitatibus libero repellat ut. Ratione quidem placeat. Eius facilis aliquid provident nobis. Veniam tempora quas voluptas. Great value for money.,  2024-05-25 23:49:21.435321  
1255,PROD_1236,,  Bad  ,Wonder cold.,Indeed industry me food scientist.,20241005
2476,PROD_1755,CUST_1611,1,Buyer beware,  Off themselves theory. Certain none civil glass we six.  ,2025-09-24 23:49:21.543000
1551,PROD_1002,CUST_1455,  1  ,NOT WORTH IT,Mollitia blanditiis dolore sint.,2025-09-14 23:49:21.427000
2578,  PROD_1192  ,CUST_1058,5,Very satisfied,Board suffer high never table heavy. Protect he later hospital investment student data. Very happy with this purchase.,  2025-04-17 23:49:21.560558  
2706,PROD_1663,CUST_1609,3,Mixed feelings,Local perform low sit maintain painting against. Has pros and cons.,  2025-10-09 23:49:21.579947  
2483,PROD_1012,CUST_1474,2,Poor quality,So human yes close.,2025-10-05 23:49:21.544000
2162,PROD_1015,CUST_1491,4,Very satisfied,Recusandae minus perspiciatis ipsa fuga reprehenderit. Assumenda possimus debitis consequuntur necessitatibus eaque. Placeat sed nulla nam facilis id corporis. Highly recommend!,2025-04-16 23:49:21.489000
1381,PROD_1000,CUST_1674,5,Excellent quality,Consider cause sit certainly professor practice window. Entire nice case tough. Life discover religious similar apply.,2025-09-21 23:49:21.410000
1855,PROD_1005,,100,Exceeded expectations,  Nesciunt tempore reprehenderit laborum omnis nulla expedita. Highly recommend!  ,2025-10-14 12:43:18.982000
1464,PROD_1000,CUST_1221,1,Terrible experience,Repellendus quaerat harum similique laboriosam hic. Explicabo ab perferendis unde sed consequuntur ipsa. Sunt unde architecto facilis enim numquam. Quality is poor.,2025-09-16 23:49:21.418000
2561,PROD_1168,CUST_1964,1,Not worth it,Porro eius voluptatum nemo doloremque veritatis facere facilis. Very disappointed.,2025-10-05 23:49:21.557000
1293#,PROD_1651,CUST_1004,3,Average quality,During friend rule subject. Cost modern threat tree stuff center health. Has pros and cons.,2025-10-06 23:49:21.402000
2029,PROD_1505,CUST_1809,5,Money full.,According artist again. Try seek car.,  2025-08-25 23:49:21.475542  
1186,PROD_1739,CUST_1561,4,Perfect!,Cum voluptate fugiat labore excepturi illo quae. Dolore maxime perspiciatis aliquam culpa. Aliquid rem earum modi accusantium error eos. Exceeded my expectations.,2025-10-07 23:49:21.392000
1105,PROD_1350,,5,Excellent quality,Impedit earum nostrum nemo aut libero. Numquam nulla aperiam deserunt aliquam. Would buy again.,2025-10-07 23:49:21.384000
190,PROD_1015,,-1,,.,2025-11-05 07:27:34.983000
362,PROD_1017,CUST_1991,1,Terrible experience,Fugit inventore dignissimos dolor reprehenderit quas deleniti. Quality is poor.,2025-07-12 23:49:21.311000
,,,,,,
978,PROD_1544,CUST_1056,3,Mixed feelings,Since everyone attorney especially official on item at. Average product.,2025-09-26 23:49:21.372000
165,PROD_1370,CUST_1018,4,Highly recommend,Ad veniam magnam vitae dolor explicabo amet. Nisi sapiente perferendis enim ab autem consequatur. Great value for money.,  2025-10-04 23:49:21.289416  
197,PROD_1002,,,,OK,
2178,PROD_1018,CUST_1877,5,Quia voluptatum dolores.,Neque ratione cupiditate suscipit similique. Iusto placeat vero aliquam sit debitis voluptates. Doloremque quibusdam aliquam nesciunt nemo facere. Exceeded my expectations.,2025-09-06 23:49:21.491000
3097,PROD_1000,CUST_1757,  4  ,Very satisfied,Less travel respond official black. Probably friend manager need lot nearly. Would buy again.,2025-05-07 23:49:21.648000
1426,PROD_1703,  CUST_1691  ,3,Average quality,Eius blanditiis ducimus. Qui illum magni repudiandae officia ratione. Average product.,2025-08-01 23:49:21.414000
969,PROD_1816@,CUST_1471,3,In fuga unde.,Sapiente doloribus illo. Optio explicabo sed repellat illo veritatis ea. Quas eligendi ipsum et laborum nesciunt. Meets basic needs.,2025-09-30 23:49:21.371595
2181,PROD_1123,CUST_1069,2,Waste of money,Quod delectus veniam deserunt incidunt dolores. Amet porro tempore excepturi hic voluptas. Would not recommend.,2025-09-14 23:49:21.491000
1411,PROD_1381,CUST_1519,5,Highly recommend,VELIT LABORE ASPERNATUR DOLORIBUS. AB CONSEQUUNTUR DOLORIBUS RERUM. CULPA MODI IPSAM ALIQUAM IPSUM.,2025-06-01 23:49:21.413000
1728,PROD_1813,CUST_1444,5,PERFECT!,Veniam atque occaecati ipsam quaerat eligendi cumque. Sapiente pariatur harum consequuntur. Exceeded my expectations.,2025-10-08 23:49:21.446000
  1526  ,PROD_1948,CUST_1390,4,Amazing value,Ipsam quaerat eum voluptatum quia error. Labore culpa ut temporibus in eligendi voluptates. Exceeded my expectations.,2024-04-17 23:49:21.424000
1373,PROD_1014,CUST_1574,5,  Great product!  ,Incidunt deserunt natus ratione omnis laborum. Ex nesciunt exercitationem adipisci. Quod inventore ea quasi. Great value for money.,2025-09-12 23:49:21.409000
1393&,PROD_1012,CUST_1746,1,  TERRIBLE EXPERIENCE  ,Again marriage wait him happy office hot. Would not recommend.,  2025-10-04 23:49:21.411492  
1758,PROD_1327,CUST_1684,4,Great product!,Think stop artist blood. Remember high oil age. Would buy again.,2025-10-06 23:49:21.449000
1488,PROD_1003,CUST_1481,3,  It's okay  ,Necessary able simply theory civil son baby Democrat. Share Congress accept check oil hair democratic. Drug step PM rate quickly. Should order concern collection animal. Average product.,2025-04-19 23:49:21.421000
172,PROD_1004,CUST_1064,5,Very satisfied,Including response beyond side. Great value for money.,2025-10-09 23:49:21.290234
151,PROD_1005,CUST_1112,5,Great product!,Court yourself choice fast small medical music. Also from short capital heavy class story. Speak close join improve put down know expect. Highly recommend!,2025-10-08 23:49:21.287000
1706,PROD_1684,CUST_1503,4,Great product!,Rerum repudiandae assumenda. Quae adipisci ratione vero excepturi assumenda et. Ullam provident nemo eveniet vitae. Illo rerum corrupti illo quos reiciendis praesentium earum. Voluptatum non impedit sed ducimus magnam tempora. Highly recommend!,2025-09-11 23:49:21.444000
2216,PROD_1013,CUST_1255,3,Not bad,Seem near rock team nice another. It's okay for the price.,2025-10-06 23:49:21.497000
1369,PROD_1017,CUST_1810,5,Perfect!,Travel argue whether father explain. Design might kitchen station outside those only. Wait character store forget quite door stop. Exceeded my expectations.,2025-09-20 23:49:21.409000
1331,PROD_1022,CUST_1591,5,Highly recommend,Unit crime consider ground themselves meet manager result. Arrive small determine so. Outside never reach red you spring. Thing region plan. Several team answer explain air clear assume. Very happy with this purchase.,2025-09-18 23:49:21.406000
1655,PROD_1001,CUST_1179,3,Not bad,Gun never our report accept stop sport. Side something do group sort young. Meets basic needs.,2025-09-23 23:49:21.438000
293,PROD_1143,CUST_1456,2,Poor quality,Read together travel involve training. Prevent north citizen attack.,2025-08-31 23:49:21.303000
1235,PROD_1606,CUST_1134,5,Great product!,Theory policy culture lead. Off wonder should center what. Ten born indeed. Determine instead tonight international history newspaper. Great value for money.,2025-09-13 23:49:21.396000
429,PROD_1184,CUST_1426,5,Love it!,Sit ut quisquam nobis officia fugiat. Omnis quos vitae ipsa doloremque ea. Assumenda at qui vel quia.,2025-09-23 23:49:21.317000
2183,PROD_1012,CUST_1897,4,Perfect!,Enjoy language even rule admit listen. Speech couple Congress foot rich production my. Highly recommend!,2025-10-06 23:49:21.491000
695,,CUST_1477,,Sunt perspiciatis.,Recusandae consequatur animi est architecto commodi minima quo. Autem eos doloremque minus exercitationem. Nesciunt quidem illum.,20250529
2366,PROD_1192,CUST_1710,5,Perfect!,Dolores amet illo porro. Eligendi eaque eos dicta hic dolorem veniam. Id maxime error cumque. Nihil rem quos nulla quisquam placeat dignissimos. Great value for money.,2025-10-07 23:49:21.523000
198,PROD_1006,CUST_1959,5,Excellent quality,GIVE STAGE KEEP YES SIMPLY. DECIDE SCENE READY TECHNOLOGY PARTICULAR.,2025-10-07 23:49:21.292785
624,PROD_1000,CUST_1773,5,Excellent quality,Dolor doloremque corrupti. Magnam eum quidem pariatur. Magni enim ad. Exceeded my expectations.,  2025-10-10 23:49:21.337862  
1786,PROD_1248,CUST_1589,4,Amazing value,Sint facilis fuga accusamus. Vero amet occaecati tempore voluptatem quaerat expedita.,2025-10-06 23:49:21.451000
2623,PROD_1746&,CUST_1734,5,Very satisfied,Reduce recently concern idea return memory above.,2025-10-04 23:49:21.567000
2319,PROD_1215,CUST_1782,5,Perfect!,Address decade everybody customer risk. Affect prove eight forward. Young continue director work front read. Would buy again.,2024-01-28 23:49:21.515000
3042,PROD_1239,CUST_1663,5,Love it!,Esse assumenda in suscipit corrupti enim eveniet. Maiores perspiciatis maxime praesentium voluptate eaque officia. Odit officia possimus in quas laudantium. Fugiat voluptates perferendis odio modi quisquam. Pariatur velit eveniet adipisci assumenda. Great value for money.,2025-09-11 23:49:21.638000
2632,PROD_1353,CUST_1372,4,Excellent quality,Day bring state would. Manage know song must probably size program modern. Would buy again.,2025-09-27 23:49:21.568000
2628,PROD_1002,CUST_1576,5,Perfect!,All have field eight. Maybe yourself skin fish important among glass. Soldier fast reveal fund other. Life then whether seat. Type list wonder sea government. Radio walk produce film front. Highly recommend!,2025-09-16 23:49:21.568000
, ,, ,,,
2869,PROD_1503,CUST_1655,4,Excellent quality,Question least father lay sit quickly. Service raise current score human base hot.,2025-10-06 23:49:21.608000
  481  ,PROD_1715,CUST_1582,1,Disappointed,Item land others even five blue him. Not worth the money.,2025-09-13 23:49:21.322000
2357,PROD_1003,CUST_1302,5,Ab dolorum explicabo quaerat.,Despite perhaps new gun note. Stop real might fall determine pull trade. Highly recommend!,2025-05-14 23:49:21.522000
161,PROD_1593,CUST_1459,5,Exceeded expectations,Ea ea ipsum voluptatum. Possimus voluptatum dicta consequatur asperiores. Tempore ipsum assumenda placeat. Pariatur quae mollitia enim error culpa. Recusandae magni commodi dicta. Would buy again.,2025-10-01 23:49:21.289000
718,PROD_1004,CUST_1452,5,Great product!,Hard agent position million what wear. Food particular series significant expert energy account. Physical build push mention officer. Would buy again.,2025-03-30 23:49:21.347000
1966,PROD_1001*,CUST_1925,4,  Highly recommend  ,  Maiores distinctio tempore omnis. Culpa qui blanditiis quae modi voluptate eveniet. Highly recommend!  ,2025-10-01 23:49:21.469000
2309,PROD_1038,CUST_1613@,4,Exceeded expectations,Minima iusto facilis ipsa quisquam eos. Neque laudantium exercitationem assumenda. Corporis facere provident repudiandae est.,  2025-10-07 23:49:21.513080  
3018,PROD_1412,CUST_1518,4,  Exceeded expectations  ,Each between walk less message as special design. Defense interest threat or author explain provide threat. Industry know happen improve soldier. Would buy again.,  2025-10-10 23:49:21.633566  
,PROD_1107,CUST_1110,,AMAZING!!!,,
1680,PROD_1087,CUST_1757,2,Poor quality,,2025-10-09 23:49:21.440000
1052,PROD_1476,CUST_1028,5,Civil assume thank.,Voluptas modi fugiat ducimus officia architecto. In ipsam corrupti fuga facilis dolores. Neque nihil quis cum culpa. Would buy again.,2025-10-05 23:49:21.379000
1581,PROD_1083,CUST_1513,4,Very satisfied,Veritatis laborum architecto animi praesentium. Voluptate quia corporis officia nihil. Exceeded my expectations.,2025-09-16 23:49:21.430000
1343,PROD_1819,CUST_1341,5,Amazing value,Wide federal religious still land reveal can. Line debate range start respond hope growth couple. Since remember how believe pressure lose. Republican wait either western detail. Address hold everyone experience. Would buy again.,2024-12-01 23:49:21.406000
  3037  ,PROD_1834,CUST_1212,5,Love it!,Inventore aliquam harum cumque. Labore ipsam in rerum. Great value for money.,2025-10-06 23:49:21.637000
2374,  PROD_1009  ,CUST_1503,5,Great product!,Neque blanditiis quo suscipit aspernatur illo ducimus nam. Ipsam sunt cumque distinctio et mollitia ea. Perspiciatis perspiciatis soluta ad. Great value for money.,2025-10-10 23:49:21.525000
1611,PROD_1006,CUST_1422,5,Very satisfied,Voluptas quis quia optio debitis porro officiis. Highly recommend!,  2025-10-08 23:49:21.433771  
1479,PROD_1795,CUST_1384,1,Waste of money,Ex iure libero et voluptates. Repellendus maiores autem quas. Would not recommend.,2025-09-12 23:49:21.420000
2771,PROD_1189,CUST_1830,3,It's okay,Artist however main wait ready well nation. Special special myself once region upon gas. Has pros and cons.,2025-10-05 23:49:21.591000
1082,PROD_1803,CUST_1360*,4,Car gun he.,Non aperiam quaerat eos. Quibusdam occaecati deserunt. Highly recommend!,2025-10-09 23:49:21.382000
2355@,PROD_1014,CUST_99999,2.7,Care off.,Assumenda dolorem alias aliquid corporis labore quia. Voluptate minus laudantium.,2020-09-10 04:27:42.330000
2582,PROD_1144,CUST_1232,5,Very satisfied,Hour individual low future station positive. Mouth foreign out. Exceeded my expectations.,2025-10-07 23:49:21.561000
