supplier_id,supplier_rating,supplier_status,is_preferred,is_verified,contract_start_date,contract_end_date,city,state,zip_code,country
SUP_10369,3.19,active,False,True,2024-05-08 00:00:00,2026-05-05 00:00:00,Marienberg,New Mexico,152-2093,中国
SUP_10078,1.49,suspended,False,True,2025-03-24 00:00:00,2028-03-02 00:00:00,狛江市,Kentucky,84541,Ukraine
SUP_10299,3.93,suspended,False,False,2024-11-11 00:00:00,2025-12-27 00:00:00,Mühldorf am Inn,Asturias,944-4528,ジャージー島
SUP_10890,4.75,inactive,False,True,2024-07-05 00:00:00,2027-04-12,Anklam,Schleswig-Holstein,94647,Swaziland
SUP_10821,3.91,suspended,True,True,2025-01-05 00:00:00,2027-06-30 00:00:00,JacobVille,Oregon,35044,Indonesia
SUP_10931,3.96,on hold,False,TRUE,2024-11-25 00:00:00,2027-07-10 00:00:00,青ヶ島村,Mecklenburg-Vorpommern,547-9893,キプロス共和国
SUP_10862,2.91,inactive,False,True,2023-07-13 00:00:00,2025-06-11 00:00:00,南房総市,Kentucky,444-0044,  Aruba  
SUP_10542,4.27,suspended,False,False,2023-02-17 00:00:00,2025-10-18 00:00:00,New Sheilamouth,  Iowa  ,944-4118,Réunion (La)
SUP_10053,3.67,active,False,True,2024-06-22 00:00:00,2026-02-15 00:00:00,汕尾县,Rhode Island,224-3115,Gabón
SUP_10034,4.08,on hold,False,False,2022-11-11 00:00:00,2025-08-06 00:00:00,新宿区,New York,47008,エストニア
SUP_10539,3.02,on hold,False,True,2025-04-19 00:00:00,2026-12-10 00:00:00,raymondmouth,Bremen,26154,Marokko
SUP_10252,4.76,active,False,True,  2024-08-20  ,2027-08-13 00:00:00,Staffelstein,Jaén,69191,  马提尼克  
SUP_10554,2.34,inactive,False,True,2024-03-01 00:00:00,2025-05-11 00:00:00,Sainte Auguste,  Thüringen  ,54058,Mozambique
SUP_10581,4.06,active,False,False,2023-08-18 00:00:00,2024-09-01 00:00:00,北区,Toledo,376-6607,Neuseeland
SUP_10773,2.7,on hold,False,  False  ,2023-12-29,2025-11-03 00:00:00,Erikside,Colorado,172-3033,荷属安的列斯群岛
10480,1.47,,False,,,2024-04-10 00:00:00,,Baden-Württemberg,,Sweden
SUP_10734,3.88,active,False,True,2024-03-16 00:00:00,2025-07-03 00:00:00,Mathieu,Idaho,47861,スリランカ
SUP_10256,3.53,active,False,True,2025-02-25 00:00:00,2025-11-25 00:00:00,Málaga,Hamburg,955-5772,Nauru
SUP_10167,4.8,active,False,True,2024-09-10 00:00:00,2027-06-18 00:00:00,Angermünde,Hessen,91356,Guernsey
SUP_10168,4.1,on hold,True,True,2024-05-31 00:00:00,2025-07-12 00:00:00,Kramershire,Valladolid,21820,Bahamas
SUP_10578,3.79,active,False,True,2023-01-03 00:00:00,2023-12-26 00:00:00,East Mariaville,Illinois,890-1862,Turks and Caicos Islands
SUP_10836,4.21,  pending  ,True,False,2023-05-20 00:00:00,2024-03-26 00:00:00,West Jasmine,Nebraska,745-8593,  Dominica  
SUP_10982,4.24,on hold,True,TRUE,2023-04-18 00:00:00,2025-09-24,Hardingview,  Iowa  ,186-2679,guyana
SUP_10155,0.95,on hold,False,True,2022-10-12 00:00:00,2025-09-04 00:00:00,秀珍市,North Dakota,55527,Australie
SUP_10875,,inactive,,False,2024-04-22,,Dupuy-sur-Gaillard,,573-8268,
SUP_10440,5.19,,False,Yes,,,,SACHSEN-ANHALT,,USA
SUP_10535,3.02,active,False,  True  ,2024-03-15 00:00:00,2025-06-22 00:00:00,Stendal,Pennsylvania,376-4508,  Iran  
SUP_10325,,active,,True,2025-08-01 00:00:00,,Aschaffenburg,,71071,
SUP_10295,4.62,active,True,True,2023-08-21 00:00:00,2026-05-01 00:00:00,New Chase,Niedersachsen,81214,Guam
  SUP_10035  ,Fair,on hold,Yes,False,2022-10-22 00:00:00,2022-08-17 00:00:00,East Janefort,Valladolid,  661-8041  ,AM
SUP_10701,4.81,inactive,False,True,2022-11-07 00:00:00,2024-09-23 00:00:00,Delaunay,Massachusetts,84861,Iran
SUP_10171,4.27,suspended,False,False,2023-07-26 00:00:00,2024-09-15 00:00:00,長生郡長南町,Almería,99097,东萨摩亚
SUP_10086,4.59,active,  False  ,True,2023-12-04 00:00:00,2024-12-20 00:00:00,Pontevedra,  Utah  ,971-6077,Libanon
SUP_10986,4.5,inactive,True,True,2022-11-26 00:00:00,2025-03-03 00:00:00,Guadalajara,Tarragona,238-7141,Kyrgyz Republic
SUP_10820,  2.41  ,,False,TRUE,,2027-05-28 00:00:00,,Bremen,,Chile
SUP_10101,  4.93  ,active,False,True,2023-08-04 00:00:00,2025-11-11 00:00:00,Barcelona,  South Carolina  ,32280,Paraguay
SUP_10892,4.04,active,False,False,2023-10-01 00:00:00,  2026-03-18  ,Wolfratshausen,Bayern,89082,ÉTATS-UNIS
SUP_10873,4.18,active,False,False,2024-07-12 00:00:00,2025-07-13 00:00:00,North Louisetown,Murcia,950-8326,Suriname
SUP_10020,2.42,,False,False,,2025-06-01 00:00:00,,Wyoming,,Japan
SUP_10977,4.21,active,False,False,2023-01-04 00:00:00,2025-04-09,Lake Kimberley,Vizcaya,835-7989,Dominica
SUP_10119,2.43,active,False,False,2025-01-20 00:00:00,2027-09-09 00:00:00,Grayside,Bayern,92624,Belize
SUP_10914,3.63,active,False,  True  ,2025-05-23 00:00:00,2027-02-10 00:00:00,Hillfurt,Sachsen-Anhalt,98193,Lettonie
SUP_10872,3.89,on hold,False,False,2025-03-27 00:00:00,2026-01-30 00:00:00,Badajoz,Nebraska,21257,  东萨摩亚  
SUP_10218,3.61,active,False,False,  2022-11-26  ,2025-11-24 00:00:00,Charlottefort,Bayern,85504,Bhutan
nil,, , ,,nil,,nil,,     ,
SUP_10555,4.63,pending,True,True,2022-11-25 00:00:00,2025-09-12 00:00:00,呼和浩特县,Baden-Württemberg,553-0732,Fiji
SUP_10485,2.22,pending,True,True,2025-01-29 00:00:00,2026-12-30 00:00:00,Niesky,Thüringen,616-5463,Spain
SUP_10444,4.4,suspended,True,True,  2025-06-19  ,2028-01-17 00:00:00,Batesbury,Indiana,99231,斯洛伐克
SUP_10848,3.4,pending,False,True,2024-07-13 00:00:00,2027-02-11 00:00:00,静市,Hawaii,668-5958,埃塞俄比亚
SUP_10159,3.78,on hold,True,True,2024-07-14 00:00:00,2027-04-07 00:00:00,八街市,California,85171,Taiwan
SUP_10008,3.43,active,False,  True  ,2023-07-01,2025-09-28 00:00:00,Ávila,Madrid,70323,ブルネイ
SUP_10597,4.59,on hold,False,True,2025-06-07 00:00:00,2026-04-01 00:00:00,West Linda,  Baden-Württemberg  ,936-1265,萨尔瓦多
SUP_10093,3.5,active,  False  ,True,2023-01-25 00:00:00,2025-08-18 00:00:00,Schwabmünchen,Mecklenburg-Vorpommern,  43418  ,Uganda
SUP_10191,4.68,on hold,False,True,2023-07-27 00:00:00,2025-11-08 00:00:00,Port Greggton,Saarland,436-1898,Thailand
SUP_10052,4.15,active,False,True,2024-10-22 00:00:00,2026-03-14 00:00:00,South Leighshire,Sachsen-Anhalt,467-4949,Hungary
SUP_10314,4.66,active,True,True,2025-06-29 00:00:00,  2026-03-22  ,Ávila,Thüringen,78040,TOGO
SUP_10194,  0.54  ,on hold,False,True,2024-09-12 00:00:00,2027-03-10 00:00:00,North Carlyburgh,Lugo,890-2709,Sao Tome and Principe
,     , ,,,,,,,nil,
,,,,,,,,,,
SUP_10537,2.89,pending,False,True,2024-09-28 00:00:00,2026-03-10 00:00:00,  Miltenberg  ,Zamora,36983,セイシェル
SUP_10041,2.37,under review,False,True,2025-07-19 00:00:00,2027-10-01 00:00:00,横浜市神奈川区,Palencia,56224,Mayotte
SUP_10635,4.01,inactive,False,True,2023-05-22 00:00:00,2024-03-27 00:00:00,Aubry,Guadalajara,03886,Andorra
SUP_10056,-0.11,blocked,,,04/16/2023,  04/16/2023  ,,,XXXXX,ind
SUP_10458,2.53,pending,False,False,2025-02-14 00:00:00,2025-10-19 00:00:00,New Jessica,Thüringen,69832,Schweden
SUP_10962,4,  on hold  ,False,True,2023-03-18 00:00:00,2024-10-18 00:00:00,New Brianstad,Wyoming,497-6195,Guernsey
SUP_10735,Excellent,under review,1,True,2024-12-07 00:00:00,2024-11-20 00:00:00,Gerolzhofen,RI,950-9054,GW
SUP_10454,4.24,  pending  ,False,True,2023-12-16 00:00:00,2025-03-07 00:00:00,調布市,  Madrid  ,68514,ミャンマー
SUP_10859,3.65,active,False,True,  2024-12-09  ,2025-08-16 00:00:00,Simmonsshire,Nebraska,17538,Tokelau
SUP_10505,3.66,  active  ,False,True,2024-08-30 00:00:00,2025-06-13 00:00:00,Albacete,Teruel,75447,Angola
SUP_10948,4.45,inactive,False,True,2023-10-20 00:00:00,2026-07-28 00:00:00,广州县,Schleswig-Holstein,76169,Italie
SUP_10672,3.58,on hold,False,False,2022-12-11 00:00:00,2023-11-24 00:00:00,Klein,Asturias,24613,古巴
SUP_10522,3.29,active,False,True,2023-05-22 00:00:00,2024-09-05 00:00:00,玉兰市,Idaho,756-5002,合衆国領有小離島
SUP_10550,,,,Pending,2006-05-17 00:00:00,,東大和市,,76665-7358,
SUP_10767,4.88,active,False,True,2025-02-01 00:00:00,2026-04-26 00:00:00,川崎市中原区,Hamburg,  59652  ,Brasilien
SUP_10513,4.68,active,False,True,2023-01-31 00:00:00,2024-04-08 00:00:00,Riesa,  La Rioja  ,325-5244,Congo
SUP_10094,3.75,on hold,False,  False  ,  2024-04-09  ,2026-01-03 00:00:00,Aschaffenburg,Montana,989-3944,Myanmar
SUP_10246,4.43,on hold,False,True,2025-02-18 00:00:00,2027-08-23 00:00:00,Barthelemy,Zamora,43787,Tajikistan
