wishlist_id,customer_id,product_id,added_date,purchased_date,removed_date
229,CUST_1932,PROD_1212,2023-12-09 04:00:38.387000,,
182,CUST_1842,PROD_1738,2024-06-26 19:24:43.498000,,
1376,CUST_1604,  PROD_1203  ,2024-02-17 21:08:19.044000,,
1692,CUST_1330,PROD_1887,2024-06-13 05:06:37.962000,,
1403,CUST_1631,PROD_1193,2025-08-30 11:48:06.159000,,
1594,CUST_1232,PROD_1115,2024-04-23 07:34:35.168000,,
1792,CUST_1179,PROD_1389,2025-02-02 01:17:27.140000,,
199,CUST_1721,PROD_1939,  2025-02-19 10:24:33.277401  ,2025-08-23 13:17:31.288000,
1140,CUST_1600,  PROD_1729  ,2025-03-26 05:06:42.980000,,
264,CUST_1524,PROD_1040#,2023-11-18 10:21:01.412000,,
29,CUST_1452,PROD_1564,2025-07-29 08:30:00.425000,,
1162,CUST_1667,PROD_1398,2025-04-12 18:43:59.518000,,2025-05-04 16:44:30.879000
,,,,,
1987,CUST_1319,PROD_1859,2025-09-17 16:32:23.664000,,
  1467  ,CUST_1833,PROD_1340,2025-04-07 08:34:55.516000,,2025-08-01 12:17:01.350000
123,  CUST_1692  ,PROD_1790,2025-07-05 07:29:50.929000,,
266,CUST_1535,  PROD_1880  ,2024-07-03 07:53:35.182000,,
1976,CUST_1270,PROD_1570,2024-11-10 21:24:07.073000,2025-01-01 09:20:00.782000,
1138,CUST_1346,PROD_1824,2023-10-29 14:55:09.472000,,
467,CUST_1169,PROD_1724,2024-03-06 05:05:55.696000,2025-03-10 01:33:39.234000,
240,CUST_1673@,PROD_1614,2024-07-03 01:21:01.651000,,
815,CUST_1400,PROD_1389,09/07/2024 23:01,,
1457,CUST_1296,PROD_1014,2024-07-14 05:45:42.573000,,
1139,CUST_1723,PROD_1854,2024-04-05 19:21:13.393000,,
78,CUST_1082,PROD_1329,2025-06-26 22:32:24.332000,,2025-08-23 13:22:46.162000
406,CUST_1417,PROD_1297,2024-06-07 14:10:43.819000,,
1325,CUST_1108,PROD_1064,  2025-09-23 22:52:50.640876  ,,
842,CUST_1018,PROD_1457,2025-06-04 01:38:18.334000,,
1045,CUST_1116,,1745893843,2025-02-09 00:30:06.561000,
354,CUST_1361,PROD_1983,2024-05-22 01:25:04.884000,,
148,CUST_1404,PROD_9999,,,
545,CUST_1185,PROD_1882,2024-03-25 19:04:55.634000,,
1087,CUST_1149,PROD_1124,2025-06-14 21:46:59.618000,2025-06-18 08:18:26.876000,
1299,CUST_1839,PROD_1827,2024-07-19 01:03:37.194000,,
1807,CUST_1630,PROD_1586,2024-06-03 23:58:21.154000,,
334,CUST_1206,PROD_1706,  2023-12-19 19:30:22.531260  ,,
1305,CUST_1744,PROD_1561,  20250815  ,,
614,CUST_1162,PROD_1534,  2024-01-14 04:06:24.064660  ,,
1265,CUST_1229,PROD_1587,2023-11-09 02:32:51.932000,,
1717,CUST_1797,PROD_1143,2025-08-17 20:28:07.375000,,2025-08-25 15:03:55.335000
  585  ,CUST_1488,PROD_1857,,,
1451,CUST_1921,PROD_1213,2024-07-18 10:07:11.083000,,
802,CUST_1071,PROD_1978,2024-10-26 20:04:13.841000,,
374,CUST_1163,PROD_1686,2025-01-27 20:11:52.231000,,2025-09-23 23:19:41.058000
554,CUST_1169,PROD_1589,2025-02-07 10:38:01.118000,2025-07-10 23:50:39.523000,
  1955  ,CUST_1839,PROD_1413,2024-05-05 17:26:41.167000,2024-09-13 16:15:19.378000,
1630,CUST_99999,,1719673779,,
1045,CUST_1116,,1745893843,2025-02-09 00:30:06.561000,
636,CUST_1718,PROD_1351,2025-07-21 13:46:22.616000,,
1216,CUST_1680,PROD_1864,2024-02-16 17:21:19.140000,,
1508,CUST_1716,PROD_1504,2025-07-04 20:49:00.964000,2025-09-21 09:01:39.932000,
1284,CUST_1239,PROD_1314,2024-10-26 23:59:36.640000,,
682,CUST_1378,PROD_1208,  2025-09-11 16:43:56.429868  ,,
1916,CUST_1860,PROD_1813,2024-11-23 04:05:01.686643,,2025-08-07 14:42:25.785000
102,CUST_1360,PROD_1559,2024-05-15 21:57:03.864000,,
1466,  CUST_1887  ,  PROD_1840  ,2024-07-28 01:37:54.724000,,
188,CUST_1717,PROD_1917,2024-06-17 12:43:30,,
564,CUST_1149,PROD_1436,2025-02-08 01:55:19.954000,2025-04-29 21:38:41.014000,
1933,CUST_1687,prod_1385,2024-06-04 00:11:15.027000,,
1051,CUST_1254,PROD_1238,2025-08-02 06:01:02.259000,,
818,CUST_1490,PROD_1941,2023-12-19 12:56:45.359000,,
1154,CUST_1412,PROD_1489,2023-11-30 20:48:34.618024,,
365,CUST_1798,PROD_1493,2024-11-26 22:24:29.142000,2025-10-01 09:40:46.007000,
1414,cust_1867,PROD_1525,2024-05-21 03:32:31.355000,,
1896,CUST_1353,PROD_1911,2024-09-02 18:27:11.962000,,
516,CUST_1756,PROD_1898,2025-06-14 21:46:25.107000,,
87,CUST_1864,PROD_1108,2025-09-16 05:19:18.497000,,
453,CUST_1106,PROD_1723,2025-07-28 23:06:48.736000,2025-09-19 13:07:59.630000,
1034,  CUST_1760  ,PROD_1947,2024-04-25 05:37:30.303000,,
1020,CUST_1204,PROD_1621,2024-08-27 12:07:45.433000,2024-10-15 10:37:35.662000,
1258,CUST_1250,PROD_1416,2025-02-10 11:48:36.151000,2025-07-30 11:11:11.259000,
1687,  CUST_1245  ,PROD_1376!,2024-01-13 10:42:14.435000,,
893,CUST_1599,PROD_1660,2024-05-02 01:34:17.703000,,
1519,CUST_1887,PROD_1431,2024-05-24 01:25:54.158000,,
1025,CUST_1170,PROD_1332,03-11-2023,,
