line_item_id,order_ref,product_ref,qty_ordered,unit_cost,unit_selling_price,item_discount,line_total,created_timestamp,profit_margin,tax_amount,product_sku,total_weight_kg,is_gift,return_status,fulfillment_location
1,1,2348,6,37.48,45.4,0.0,272.4,2025-05-21T15:15:22Z,47.52,21.71,PEN-MOVI-02348,0.0,False,None,
2,1,1368,4,85.4,197.18,0.0,788.72,2025-05-21T15:15:22Z,447.12,44.41,NEU-HAIR-01368,5.2,False,None,STORE-025
3,1,3127,2,35.77,89.92,44.96,134.88,2025-05-21T15:15:22Z,63.34,16.04,LEV-MENS-03127,2.16,False,None,DC-03
4,2,3567,5,490.19,946.22,0.0,4731.1,2024-08-17T12:57:44Z,2280.15,274.72,WEB-FURN-03567,169.35,False,Exchanged,WH-EAST-02
5,2,3605,1,315.45,212.62,0.0,212.62,2024-08-17T12:57:44Z,-102.83,14.53,SCO-FURN-03605,43.39,False,Return Pending,STORE-001
6,2,510,7,209.66,333.17,0.0,2332.19,2024-08-17T12:57:44Z,864.57,249.97,THU-TOOL-00510,7.84,False,Returned,STORE-020
7,2,1006,1,47.43,82.45,32.98,49.47,2024-08-17T12:57:44Z,2.04,2.89,CAL-MENS-01006,1.45,False,Returned,DC-02
8,2,4102,1,268.47,766.39,0.0,766.39,2024-08-17T12:57:44Z,497.92,40.96,CUI-FURN-04102,41.33,False,Return Requested,STORE-004
9,2,727,1,43.47,115.27,0.0,115.27,2024-08-17T12:57:44Z,71.8,9.61,MAC-MAKE-00727,0.34,False,Returned,STORE-002
10,3,2085,3,38.94,111.66,33.5,301.48,2025-04-29T12:00:17Z,184.66,18.18,HAC-MOVI-02085,0.0,False,None,
11,3,4443,5,389.35,747.25,0.0,3736.25,2025-04-29T12:00:17Z,1789.5,259.66,HP-SMAR-04443,1.55,False,None,WH-CENTRAL-01
12,3,134,6,330.39,409.84,0.0,2459.04,2025-04-29T12:00:17Z,476.7,198.79,SCO-BEDR-00134,190.08,False,None,DC-03
13,3,3727,3,28.03,82.66,99.19,148.79,2025-04-29T12:00:17Z,64.7,14.73,RAN-NONF-03727,0.0,False,None,
14,3,151,7,355.43,723.3,0.0,5063.1,2025-04-29T12:00:17Z,2575.09,594.3,IRO-BEDR-00151,227.15,False,None,WH-EAST-01
15,3,1403,1,79.29,165.73,0.0,165.73,2025-04-29T12:00:17Z,86.44,12.11,HAR-MUSI-01403,0.0,False,None,
16,3,3598,7,278.15,395.83,554.16,2216.65,2025-04-29T12:00:17Z,269.6,197.79,POT-KITC-03598,139.65,False,None,STORE-010
17,4,1945,3,90.89,220.49,264.59,396.88,2022-06-11T08:14:04Z,124.21,32.55,OLA-HAIR-01945,25.92,False,None,DC-03
18,5,1633,4,431.51,859.7,0.0,3438.8,2025-11-27T00:42:21Z,1712.76,190.28,DYS-BEDD-01633,138.96,False,None,DC-03
