cart_item_id,cart_id,product_ref,item_quantity,price_per_unit,discount_amount,promo_code,tax_amount,status,date_added_to_cart,last_updated,saved_for_later,line_total
1,1,445,1,1310.25,0.0,,87.77,Active,2022-01-11T08:45:16Z,2022-01-11T16:00:00Z,True,1310.25
2,2,384,2,39.95,0.0,,5.78,Deleted,2022-06-29T07:28:02Z,2022-06-29T16:57:11Z,False,79.9
3,3,450,5,152.76,0.0,FREESHIP,91.65,Abandoned,2025-09-21T18:42:36Z,2025-09-21T20:13:31Z,False,763.8
4,3,411,3,84.88,0.0,,28.23,Abandoned,2025-09-21T22:57:06Z,2025-09-21T23:16:09Z,False,254.64
5,4,153,2,432.84,0.0,,91.09,Active,2022-11-03T06:57:26Z,2022-11-05T16:52:33Z,False,865.68
6,4,500,2,48.8,24.4,NEWUSER25,3.9,Active,2022-11-08T15:46:03Z,2022-11-08T16:08:30Z,False,97.6
7,4,47,2,85.17,0.0,,13.89,Active,2022-11-02T23:43:00Z,2022-11-02T23:50:55Z,False,170.34
8,4,456,9,184.36,0.0,,115.33,Active,2022-11-04T04:00:32Z,2022-11-05T23:35:20Z,False,1659.2400000000002
9,4,50,1,175.24,43.81,NEWUSER25,9.98,Active,2022-11-05T04:34:58Z,2022-11-07T01:41:24Z,False,175.24
10,5,499,4,114.7,183.52,CLEARANCE40,21.62,Abandoned,2022-05-19T18:57:45Z,2022-05-19T21:28:29Z,False,458.8
11,5,397,1,214.11,0.0,,24.33,Abandoned,2022-05-19T20:58:25Z,2022-05-20T00:47:55Z,False,214.11
12,5,297,4,173.45,69.38,SAVE10,61.9,Abandoned,2022-05-19T22:43:19Z,2022-05-20T02:51:09Z,False,693.8
13,6,96,1,623.82,0.0,,43.99,Active,2025-01-22T14:49:14Z,2025-01-23T01:10:32Z,False,623.82
14,7,360,2,88.96,0.0,,12.8,Active,2023-09-12T12:03:28Z,2023-09-13T12:09:34Z,False,177.92
15,7,437,1,335.9,67.18,SAVE20,20.51,Active,2023-09-13T02:50:01Z,2023-09-13T12:45:49Z,True,335.9
16,7,391,1,44.4,0.0,,4.08,Abandoned,2023-09-11T13:11:30Z,2023-09-13T15:58:36Z,False,44.4
17,7,351,1,83.48,0.0,,4.38,Active,2023-09-12T17:52:48Z,2023-09-12T21:48:33Z,False,83.48
18,8,427,4,137.59,0.0,,61.06,Deleted,2025-12-05T13:56:33Z,2025-12-07T16:39:10Z,False,550.36
19,8,223,1,282.68,28.27,SAVE10,24.33,Deleted,2025-12-06T16:49:44Z,2025-12-08T11:12:32Z,False,282.68
20,9,390,2,98.86,19.77,SAVE10,18.12,Deleted,2025-11-25T09:39:26Z,2025-11-28T07:20:52Z,False,197.72
