line_item_id,order_ref,product_ref,qty_ordered,unit_cost,unit_selling_price,item_discount,line_total,created_timestamp,profit_margin,tax_amount,product_sku,total_weight_kg,is_gift,return_status,fulfillment_location
1,1,246,5,281.63,709.94,0.0,3549.7,2024-12-15T15:11:51Z,2141.55,418.89,CUI-FURN-00246,90.25,False,None,STORE-025
2,2,47,2,67.14,85.17,0.0,170.34,2018-10-02T12:59:40Z,36.06,12.3,WIL-HOME-00047,65.44,False,None,WH-EAST-02
3,2,241,6,131.88,280.56,252.5,1430.86,2018-10-02T12:59:40Z,639.58,160.97,WEB-LIVI-00241,261.3,False,None,DC-02
4,2,394,2,95.14,238.97,71.69,406.25,2018-10-02T12:59:40Z,215.97,27.88,UND-MENS-00394,0.48,False,None,DC-01
5,2,25,2,758.83,1421.95,0.0,2843.9,2018-10-02T12:59:40Z,1326.24,154.74,DEL-AUDI-00025,3.86,False,None,STORE-015
6,2,118,3,216.2,285.82,85.75,771.71,2018-10-02T12:59:40Z,123.11,68.54,DEL-LAPT-00118,3.75,False,None,WH-WEST-02
7,3,418,7,26.37,67.05,0.0,469.35,2023-09-10T18:03:42Z,284.76,45.02,FUN-DOLL-00418,62.65,False,None,STORE-005
8,3,236,2,474.36,1142.25,0.0,2284.5,2023-09-10T18:03:42Z,1335.78,178.64,WEB-HOME-00236,19.18,False,None,STORE-025
9,4,243,3,186.91,555.05,0.0,1665.15,2024-12-09T18:09:42Z,1104.42,107.34,NIK-ULTR-00243,13.86,False,None,STORE-005
10,4,380,1,577.91,729.31,0.0,729.31,2024-12-09T18:09:42Z,151.4,47.25,DEL-WEAR-00380,0.43,False,None,WH-WEST-02
11,4,268,1,117.08,254.98,0.0,254.98,2024-12-09T18:09:42Z,137.9,23.53,LEN-LAPT-00268,3.42,False,None,STORE-025
12,5,28,1,125.15,298.62,44.79,253.83,2025-12-22T03:08:03Z,128.68,14.83,ADI-CYCL-00028,0.86,False,None,STORE-010
13,5,229,1,683.75,1479.14,0.0,1479.14,2025-12-22T03:08:03Z,795.39,138.64,LEN-AUDI-00229,3.05,False,None,STORE-005
14,5,261,3,106.59,246.89,185.17,555.5,2025-12-22T03:08:03Z,235.73,37.77,HM-DRES-00261,2.07,False,None,DC-02
15,5,265,1,31.58,73.41,0.0,73.41,2025-12-22T03:08:03Z,41.83,7.09,CAL-MENS-00265,1.01,False,None,STORE-010
16,5,26,4,718.38,1113.63,890.9,3563.62,2025-12-22T03:08:03Z,690.1,231.57,CAN-LAPT-00026,12.4,False,None,STORE-004
17,6,276,6,102.07,179.81,215.77,863.09,2025-11-15T19:56:17Z,250.67,49.34,MIC-CAME-00276,4.44,False,None,STORE-025
18,7,281,2,45.34,59.36,23.74,94.98,2024-12-09T01:49:17Z,4.3,10.45,KEL-PANT-00281,1.14,False,None,STORE-005
19,8,44,2,159.69,326.93,0.0,653.86,2025-06-14T14:03:35Z,334.48,56.8,SCO-HOME-00044,99.92,False,None,WH-WEST-02
20,8,143,2,387.05,618.02,0.0,1236.04,2025-06-14T14:03:35Z,461.94,127.08,FIT-GAMI-00143,5.98,False,None,DC-02
