payment_ref,order_ref,payment_type,gateway_provider,payment_status,gateway_transaction_id,transaction_fee,refund_total,transaction_date,refund_processed_date,payment_amount,currency_code,record_created,customer_ip,billing_country,card_last_four,card_brand,authorization_code,risk_score,retry_attempt
1,1,Credit Card,Braintree,Completed,bt_51327359467,84.24,0.0,2024-12-15T14:59:51Z,,3986.18,USD,2024-12-15T15:00:27Z,137.81.103.81,US,1518,MasterCard,AUTH-738050,27,0
2,2,Credit Card,Authorize.net,Completed,AUTH126538300,143.85,0.0,2018-10-02T12:49:40Z,,6047.49,USD,2018-10-02T12:50:35Z,129.208.130.234,US,3439,MasterCard,AUTH-968518,74,0
3,3,Credit Card,Authorize.net,Completed,AUTH300400419,71.51,0.0,2023-09-10T17:37:42Z,,2986.92,USD,2023-09-10T17:38:23Z,40.57.34.124,CA,4289,MasterCard,AUTH-331562,8,0
4,4,PayPal,PayPal,Completed,PAY-27213805235,42.97,0.0,2024-12-09T17:44:42Z,,2835.46,USD,2024-12-09T17:45:06Z,181.72.163.107,CA,,,,0,0
5,5,Apple Pay,Adyen,Completed,ADY8911802192390,129.89,0.0,2025-12-22T02:59:03Z,,6374.24,USD,2025-12-22T02:59:47Z,208.203.101.6,US,,,,59,1
6,6,Apple Pay,Braintree,Completed,bt_69412406192,27.6,0.0,2025-11-15T19:54:17Z,,927.13,USD,2025-11-15T19:54:51Z,213.10.128.122,US,,,,16,0
7,7,Credit Card,Adyen,Completed,ADY7761819554016,4.64,0.0,2024-12-09T01:45:17Z,,128.76,USD,2024-12-09T01:45:21Z,105.214.72.95,US,5236,MasterCard,AUTH-366687,30,0
8,8,Credit Card,Authorize.net,Completed,AUTH881675020,64.0,0.0,2025-06-14T13:55:35Z,,2098.39,USD,2025-06-14T13:55:43Z,29.7.110.220,US,3607,MasterCard,AUTH-983801,3,0
9,9,Credit Card,Braintree,Completed,bt_88856132886,55.69,0.0,2025-04-25T23:00:26Z,,1687.81,USD,2025-04-25T23:01:18Z,32.141.90.87,US,8273,Visa,AUTH-468560,40,1
10,10,PayPal,Braintree,Completed,bt_71991222305,427.45,0.0,2017-09-26T13:39:46Z,,12247.42,USD,2017-09-26T13:39:48Z,111.186.28.91,US,,,,38,1
11,11,PayPal,Braintree,Completed,bt_76325038038,239.91,0.0,2025-05-11T23:47:00Z,,8946.16,USD,2025-05-11T23:47:27Z,167.239.153.217,US,,,,58,2
12,12,Credit Card,Adyen,Completed,ADY8574063531154,23.01,0.0,2023-11-14T21:11:49Z,,941.12,USD,2023-11-14T21:12:09Z,94.25.245.1,US,8399,MasterCard,AUTH-545121,39,0
13,13,Cash on Delivery,COD,Refunded,COD000013,0.0,370.46,2025-02-05T21:08:53Z,2025-02-17T21:08:53Z,370.46,USD,2025-02-05T21:09:09Z,43.48.181.32,CA,,,,14,0
14,14,Gift Card,Square,Refunded,sq_42161547996736,0.0,2325.32,2025-09-30T02:36:54Z,2025-10-04T02:36:54Z,2325.32,USD,2025-09-30T02:37:33Z,218.200.16.116,US,,,,9,0
15,15,Credit Card,Stripe,Completed,pi_51415198915542,42.62,0.0,2022-03-23T14:56:43Z,,1286.83,USD,2022-03-23T14:56:47Z,65.95.32.31,US,7332,MasterCard,AUTH-491569,18,0
16,16,Credit Card,Stripe,Completed,pi_72286156740259,39.75,0.0,2024-03-28T14:32:36Z,,1248.83,USD,2024-03-28T14:32:53Z,187.123.43.177,US,9888,Visa,AUTH-618857,6,0
17,17,Credit Card,Adyen,Partially Refunded,ADY7343453661430,101.3,2672.52,2022-04-22T19:19:16Z,2022-05-01T19:19:16Z,2905.32,USD,2022-04-22T19:19:53Z,212.89.197.109,US,2718,Visa,,37,0
18,18,PayPal,Braintree,Completed,bt_60039542607,63.54,0.0,2021-01-23T12:30:13Z,,2166.71,USD,2021-01-23T12:30:29Z,152.175.251.7,US,,,,24,0
