session_ref,user_id,start_timestamp,end_timestamp,session_duration_sec,device_category,browser_name,traffic_source,geo_country,entry_page,exit_page,page_views,products_browsed,visitor_type,bounce_session,purchase_made,cart_abandoned,cart_items_count,session_revenue
790669dc-4f96-4ee9-92a9-d92711e6c739,87,2025-01-29T06:26:13Z,2025-01-29T06:26:23Z,10,Smart TV,Chrome,Referral,CA,/new-arrivals,/new-arrivals,1,0,New,True,False,False,0,0.0
d538561a-38e5-4821-a994-9f055129c4d7,299,2025-11-07T15:04:26Z,2025-11-07T15:23:26Z,1140,Mobile,Firefox,Direct,US,/home,/products/category/clothing,9,4,New,False,False,False,0,0.0
7dc49ab6-e0e4-4edb-98e0-3972575a355d,185,2020-11-12T10:27:36Z,2020-11-12T10:37:09Z,573,Desktop,Safari,Direct,US,/new-arrivals,/contact,15,4,New,False,False,False,0,0.0
721733b1-cdc5-4120-970c-daafbbfd810a,447,2024-05-10T12:10:35Z,2024-05-10T12:23:49Z,794,Mobile,Samsung Browser,Social Media,US,/sale,/checkout,27,12,New,False,False,False,0,0.0
0305f50b-3c25-4a54-953b-bd6c4ea3b72a,225,2017-04-15T19:12:22Z,2017-04-15T19:26:36Z,854,Desktop,Chrome,Organic Search,US,/products/category/clothing,/checkout/confirmation,16,9,New,False,False,False,0,0.0
1f3dbfda-8e59-422e-9a1f-b7c5eca65c1f,395,2023-07-02T01:19:50Z,2023-07-02T01:23:58Z,248,Mobile,Firefox,Social Media,CA,/products/category/home-garden,/help,9,6,New,False,False,False,0,0.0
a955d5c2-bda9-4e81-befc-1d9878dceb2c,100,2025-11-02T00:13:11Z,2025-11-02T01:09:11Z,3360,Desktop,Chrome,Referral,US,/blog,/blog,80,15,New,False,False,False,0,0.0
72fa6ee0-8c0b-4387-9c1e-da4e7759983c,292,2024-12-03T09:42:28Z,2024-12-03T09:46:39Z,251,Mobile,Firefox,Organic Search,US,/sale,/products/category/electronics,7,4,New,False,False,False,0,0.0
30521631-797a-4870-a673-0bd9e16444d3,51,2024-09-23T22:59:17Z,2024-09-23T23:55:12Z,3355,Mobile,Safari,Paid Search,CA,/blog,/returns,18,9,New,False,False,False,0,0.0
3e815f77-835a-4fdd-be6c-757ac761da45,79,2025-09-01T07:45:02Z,2025-09-01T07:46:36Z,94,Tablet,Samsung Browser,Referral,CA,/account/login,/checkout/confirmation,4,0,New,False,True,False,3,252.9
b73180f1-325f-4b56-a6ef-940314a48646,70,2024-09-15T20:31:04Z,2024-09-15T20:37:39Z,395,Tablet,Firefox,Organic Search,US,/products/category/clothing,/account,13,11,New,False,False,False,0,0.0
444316ca-fa84-4152-8de4-7edf538ad80f,30,2025-12-04T08:29:48Z,2025-12-04T08:46:54Z,1026,Desktop,Chrome,Paid Search,US,/products/category/clothing,/contact,30,3,New,False,False,False,0,0.0
37579d89-d7ee-4dde-9a97-7233a95c0d74,485,2025-12-07T00:14:05Z,2025-12-07T00:15:04Z,59,Mobile,Opera,Organic Search,CA,/blog/post/summer-deals,/returns,5,2,New,False,False,False,0,0.0
eea35878-7143-4ebb-883b-a4bbc9f97395,215,2022-10-06T05:20:00Z,2022-10-06T05:29:11Z,551,Mobile,Samsung Browser,Referral,US,/account/login,/checkout,15,4,New,False,False,True,2,0.0
173ac05b-80c8-4c36-94e3-7c3cb5c01927,135,2025-03-30T08:25:09Z,2025-03-30T08:25:18Z,9,Desktop,Chrome,Social Media,US,/products/category/sports,/products/category/sports,1,0,New,True,False,False,0,0.0
489bd0c4-860d-4f73-94ad-85dd8e401133,336,2025-11-12T15:22:07Z,2025-11-12T15:22:38Z,31,Mobile,Opera,Direct,US,/products/category/sports,/products,2,0,New,False,False,False,0,0.0
a47611da-75ce-41f8-8c08-ae9c311e0c0d,271,2025-04-16T11:43:01Z,2025-04-16T11:43:25Z,24,Desktop,Edge,Email,CA,/blog/post/summer-deals,/blog,4,0,New,False,False,False,0,0.0
0f0e628d-e555-465d-9b9b-19a4475abd66,15,2021-03-01T12:58:06Z,2021-03-01T13:28:29Z,1823,Mobile,Chrome,Referral,DE,/account/login,/products,40,26,New,False,False,False,0,0.0
979bc3a1-3ab4-466e-b396-404c8ee2866c,330,2019-07-20T05:05:02Z,2019-07-20T05:44:25Z,2363,Mobile,Samsung Browser,Organic Search,US,/products/category/sports,/contact,78,37,New,False,False,False,0,0.0
322aaad0-94e0-497d-9d48-0b3949f90f42,134,2016-12-02T15:03:49Z,2016-12-02T15:10:51Z,422,Desktop,Chrome,Social Media,US,/blog,/order/thank-you,14,12,New,False,True,False,8,361.97
c589a012-4117-4657-bae1-a723cb60128e,351,2023-08-15T09:44:26Z,2023-08-15T09:44:56Z,30,Mobile,Firefox,Direct,US,/bestsellers,/,4,0,New,False,False,False,0,0.0
7dfe1697-2de0-412c-b765-987facb54d97,167,2022-03-03T20:11:29Z,2022-03-03T22:19:22Z,7673,Desktop,Edge,Social Media,US,/products/category/home-garden,/contact,79,1,New,False,False,False,0,0.0
f9be24e9-6c2c-4645-8111-624f166c9d20,406,2023-01-19T08:37:30Z,2023-01-19T09:29:38Z,3128,Desktop,Safari,Organic Search,FR,/products/category/home-garden,/checkout,94,28,New,False,False,True,7,0.0
e44c7b49-48e7-4bef-ab4e-42009ee731c6,319,2025-02-28T19:33:36Z,2025-02-28T19:46:24Z,768,Mobile,Opera,Organic Search,CA,/search,/cart,12,5,New,False,False,True,1,0.0
8c9fbd4c-67d7-40ac-ba2e-b53107038fc9,157,2021-11-15T02:46:53Z,2021-11-15T02:48:47Z,114,Desktop,Edge,Social Media,US,/products/category/electronics,/home,5,0,New,False,False,False,0,0.0
0ba04512-e5a1-4f01-a0dc-37b4ccc66fd7,314,2025-09-09T15:48:06Z,2025-09-09T16:46:03Z,3477,Tablet,Edge,Email,US,/about,/cart,35,9,New,False,False,False,0,0.0
5009bf8f-2c18-4a46-96f3-33a642fea06c,282,2025-10-20T13:40:49Z,2025-10-20T13:41:04Z,15,Tablet,Safari,Organic Search,US,/products/category/home-garden,/returns,5,0,New,False,False,False,0,0.0
370c4e5b-261f-4729-bdfb-60ff3d9b97fd,79,2025-08-19T08:11:59Z,2025-08-19T08:27:27Z,928,Desktop,Opera,Paid Search,CA,/products/category/sports,/checkout,20,1,Returning,False,False,False,0,0.0
ab5b830b-5a59-496e-a78c-a478c61cd453,43,2023-02-04T03:20:26Z,2023-02-04T04:17:35Z,3429,Desktop,Safari,Social Media,US,/sale,/cart,72,24,New,False,False,True,7,0.0
bd4132e2-946b-480f-a4a0-ab7dd2099e8f,172,2025-04-05T12:01:03Z,2025-04-05T12:01:22Z,19,Wearable,Chrome,Direct,CA,/,/returns,2,0,New,False,False,False,0,0.0
c6c7610e-4479-4d5e-af05-cf69090a2107,114,2023-08-02T23:00:42Z,2023-08-02T23:15:34Z,892,Mobile,Safari,Organic Search,US,/account/register,/checkout,18,0,New,False,False,False,0,0.0
c5d480a3-622a-4bc3-8d79-273249303f72,471,2025-01-16T16:09:28Z,2025-01-16T16:10:36Z,68,Desktop,Safari,Organic Search,US,/sale,/home,2,0,New,False,False,False,0,0.0
c18ce6c3-519a-4ae5-9793-5eb089cd3f3a,335,2022-08-19T14:36:23Z,2022-08-19T14:36:44Z,21,Mobile,Samsung Browser,Organic Search,FR,/blog,/checkout/confirmation,4,1,New,False,False,False,0,0.0
37d9c041-43c4-4a90-b466-e690b1bb6ccf,23,2023-12-17T13:41:57Z,2023-12-17T13:45:13Z,196,Tablet,Firefox,Paid Search,US,/products/category/clothing,/products/category/electronics,10,4,New,False,False,False,0,0.0
ccbb04f4-711e-4021-9e40-2966b49092ac,24,2025-02-18T00:46:19Z,2025-02-18T03:03:11Z,8212,Desktop,Firefox,Organic Search,US,/contact,/checkout,81,1,New,False,False,True,1,0.0
8e066adc-915e-41f1-9b16-d84c8ecf5958,278,2022-08-21T11:46:35Z,2022-08-21T12:24:07Z,2252,Mobile,Firefox,Organic Search,US,/about,/home,57,9,New,False,False,False,0,0.0
03e2319d-3f76-47ca-a6f5-c6542325306f,367,2025-03-19T12:24:03Z,2025-03-19T15:15:34Z,10291,Mobile,Firefox,Email,US,/blog/post/summer-deals,/checkout,64,1,New,False,False,False,0,0.0
215d0dea-b0d9-445f-a249-d94f58ef9746,478,2023-02-06T07:10:21Z,2023-02-06T07:12:25Z,124,Mobile,Edge,Organic Search,US,/blog/post/summer-deals,/checkout/confirmation,6,5,New,False,True,False,4,365.66
47eb5a98-7731-4019-90af-3722ce4103a6,261,2021-04-18T18:30:02Z,2021-04-18T18:38:32Z,510,Desktop,Chrome,Organic Search,US,/home,/products/category/electronics,6,1,New,False,False,False,0,0.0
7797b279-eef0-4bcd-96b1-6ae1c95aebaf,374,2020-10-29T00:41:31Z,2020-10-29T00:44:10Z,159,Desktop,Chrome,Referral,GB,/account/register,/products,8,7,New,False,False,False,0,0.0
06d684ef-2826-481c-ad56-be41926b3517,334,2022-05-18T19:04:27Z,2022-05-18T21:26:27Z,8520,Tablet,Firefox,Social Media,US,/account/login,/products,59,7,New,False,False,True,3,0.0
7c908d1e-bd90-4bb9-80a1-d06873e77c50,139,2025-04-28T11:19:03Z,2025-04-28T11:20:10Z,67,Mobile,Firefox,Organic Search,US,/new-arrivals,/products,3,2,New,False,False,False,0,0.0
80b4c4f2-56e3-4087-9bd9-8ff68842379b,129,2022-05-17T14:32:05Z,2022-05-17T14:32:11Z,6,Desktop,Chrome,Organic Search,US,/new-arrivals,/checkout,5,1,New,False,False,True,1,0.0
804e67bc-7afb-433d-bc46-9bc06d2ea3b1,22,2025-11-08T07:42:24Z,2025-11-08T07:56:25Z,841,Mobile,Firefox,Referral,CA,/account/login,/returns,24,18,New,False,False,False,0,0.0
84161c8a-5b82-4036-9dfa-19d566f18e2d,487,2024-08-06T23:36:53Z,2024-08-06T23:37:44Z,51,Desktop,Chrome,Organic Search,US,/,/products/category/electronics,3,0,New,False,False,False,0,0.0
e002878e-25cf-435b-87d6-bbee130f8586,36,2020-09-15T11:35:18Z,2020-09-15T12:02:15Z,1617,Desktop,Chrome,Organic Search,US,/account/login,/,26,2,New,False,False,False,0,0.0
903b0b53-57b7-43c2-a6db-51e917a8308d,174,2025-09-10T21:16:07Z,2025-09-10T21:16:33Z,26,Mobile,Firefox,Organic Search,US,/products/category/electronics,/order/thank-you,2,0,New,False,False,False,0,0.0
056d71e0-db02-4294-87ee-1792c0a0cd7d,17,2015-12-31T06:01:00Z,2015-12-31T06:32:47Z,1907,Mobile,Safari,Organic Search,US,/search,/blog,50,46,New,False,False,False,0,0.0
9831ba24-71e1-4843-b130-75c6504eb109,245,2022-01-12T17:15:22Z,2022-01-12T17:28:45Z,803,Desktop,Opera,Referral,US,/,/returns,14,11,New,False,False,False,0,0.0
0f2783b5-9c9a-4570-a008-6996426f5331,110,2022-07-02T14:36:57Z,2022-07-02T14:38:32Z,95,Mobile,Edge,Organic Search,US,/account/login,/products,4,1,New,False,False,True,1,0.0
8deb30db-78b8-498b-b127-e520b1f914c8,419,2025-08-02T17:01:19Z,2025-08-02T17:01:55Z,36,Mobile,Samsung Browser,Direct,US,/,/account/orders,4,1,New,False,False,False,0,0.0
f5b475e7-1f7d-4f71-8d83-b8045dd3fe19,448,2023-01-22T19:34:33Z,2023-01-22T19:35:23Z,50,Mobile,Opera,Direct,US,/search,/products/category/clothing,5,2,New,False,False,False,0,0.0
c5baf7ad-d22d-4639-b529-654ad0ba54aa,140,2024-09-11T21:14:01Z,2024-09-11T21:16:47Z,166,Desktop,Chrome,Social Media,US,/products,/products/category/electronics,13,7,New,False,False,False,0,0.0
72922feb-0286-4a8e-a424-d1c58c686fba,135,2025-11-30T08:47:16Z,2025-11-30T08:48:08Z,52,Desktop,Chrome,Paid Search,GB,/bestsellers,/help,3,0,Returning,False,False,False,0,0.0
21dce51e-529a-412b-b4d5-669c8fdf10b9,114,2022-02-14T11:22:53Z,2022-02-14T13:33:07Z,7814,Tablet,Chrome,Organic Search,US,/products/category/electronics,/products,80,37,Returning,False,False,False,0,0.0
0e5f2456-a66c-493d-b4e4-e273e53bf7bd,173,2022-01-04T17:23:00Z,2022-01-04T17:28:17Z,317,Mobile,Samsung Browser,Organic Search,US,/bestsellers,/checkout,9,2,New,False,False,True,2,0.0
ca359bea-53a6-4598-94ac-8e27b95df1a9,92,2025-01-01T03:55:26Z,2025-01-01T04:05:02Z,576,Desktop,Chrome,Social Media,US,/home,/blog,5,1,New,False,False,False,0,0.0
9f6a67e3-474e-4277-b395-bd465809b4d0,173,2022-06-24T01:41:19Z,2022-06-24T01:41:57Z,38,Mobile,Samsung Browser,Organic Search,US,/blog,/products/category/electronics,4,2,Returning,False,False,False,0,0.0
49fe2ae0-6596-4066-b069-9e894760ad49,14,2022-11-22T02:41:12Z,2022-11-22T02:46:47Z,335,Desktop,Edge,Organic Search,US,/products/category/clothing,/returns,6,0,New,False,False,False,0,0.0
3f24acef-6cbc-4dea-b170-c9c8838d9d5e,107,2023-08-05T17:48:43Z,2023-08-05T17:59:30Z,647,Tablet,Firefox,Organic Search,US,/about,/account/orders,5,0,New,False,False,False,0,0.0
e69b314c-ec34-40cf-8457-a22325a3c0b7,387,2023-03-21T22:25:18Z,2023-03-22T00:55:33Z,9015,Desktop,Firefox,Referral,US,/new-arrivals,/checkout/confirmation,55,31,New,False,False,False,0,0.0
