supplier_id,supplier_name,supplier_rating,supplier_status,is_preferred,is_verified,contract_start_date,contract_end_date,city,state,zip_code,country,tax_id,created_at,contact_email,phone_number
SUPP_1,Sunrise Distribution Industries,4.12,Under Review,False,False,2024-02-24,2025-02-28,Manchester,Scotland,VM5 8WV,GB,GB854703521,2024-01-11T00:00:00Z,contact@sunrisedistributioni.com,+448806065459
SUPP_2,Sunrise Distribution Inc.,3.05,Under Review,False,True,2023-05-23,2024-12-28,Edmonton,QC,Y2X 5T8,CA,556798440RC0001,2023-04-20T00:00:00Z,contact@sunrisedistributioni.net,+16045658016
SUPP_3,Western Alliance Supply Group,4.49,Under Review,False,True,2019-07-19,2022-03-10,Winnipeg,NS,G2A 2E4,CA,272837246RC0001,2019-06-18T00:00:00Z,contact@westernalliancesuppl.net,+15146773520
SUPP_4,Summit Distributors Corp.,4.37,Active,True,True,2023-12-31,2027-01-05,Toronto,SK,V5L 4B4,CA,716672648RC0001,2023-11-14T00:00:00Z,contact@summitdistributorsco.com,+16132341364
SUPP_5,Phoenix Distribution Industries,3.83,Inactive,False,False,2018-09-25,2020-05-23,San Jose,IL,70037,US,77-5954897,2018-08-19T00:00:00Z,contact@phoenixdistributioni.biz,+13108790431
SUPP_6,Reliable Wholesale Corp.,4.25,Active,True,True,2023-05-17,2026-06-08,Boston,VA,47814,US,27-1588150,2023-03-28T00:00:00Z,contact@reliablewholesalecor.biz,+14153738364
SUPP_7,Sunrise Distribution Co.,4.25,Inactive,False,True,2018-03-25,2021-08-02,Manchester,Wales,ZZ5 3YA,GB,GB783937515,2018-03-14T00:00:00Z,contact@sunrisedistributionc.com,+449966988031
SUPP_8,Coastal Distributors International,4.66,Inactive,False,True,2022-02-28,2025-08-08,Düsseldorf,Hesse,64627,DE,DE571420338,2022-01-19T00:00:00Z,contact@coastaldistributorsi.biz,+495956964971
SUPP_9,Tech Supply Network Co.,3.92,Inactive,False,True,2021-07-06,2024-04-01,New York,PA,34836,US,42-3139693,2021-06-27T00:00:00Z,contact@techsupplynetworkco.com,+14049456327
SUPP_10,Heritage Distributors Enterprises,2.76,Active,False,True,2024-10-25,2027-07-24,Phoenix,IL,33143,US,48-4724814,2024-08-27T00:00:00Z,contact@heritagedistributors.biz,+18186465953
SUPP_11,National Supply Chain Ltd.,4.63,Under Review,False,True,2023-05-20,2025-12-21,Detroit,TX,81283,US,52-9103032,2023-04-16T00:00:00Z,contact@nationalsupplychainl.com,+12125415516
SUPP_12,Vanguard Supply LLC,4.79,Under Review,False,True,2020-12-21,2023-03-17,Boston,FL,15055,US,14-7898539,2020-11-07T00:00:00Z,contact@vanguardsupplyllc.biz,+15125959034
SUPP_13,Tech Supply Network International,4.31,Inactive,False,False,2021-12-19,2025-06-11,Ottawa,QC,A1T 5T1,CA,515746667RC0001,2021-11-07T00:00:00Z,contact@techsupplynetworkint.net,+16137073814
SUPP_14,Keystone Trading Industries,4.22,Inactive,False,True,2019-07-06,2022-05-10,Hamburg,Saxony,62165,DE,DE611150448,2019-05-12T00:00:00Z,contact@keystonetradingindus.com,+492147767563
SUPP_15,Horizon Imports LLC,4.02,Under Review,False,True,2020-01-29,2023-11-24,Quebec City,SK,J6V 1H2,CA,541010940RC0001,2019-12-03T00:00:00Z,contact@horizonimportsllc.biz,+14169651932
SUPP_16,Lakeside Distribution International,2.49,Inactive,False,False,2019-06-08,2023-01-07,Columbus,OR,64960,US,16-2606664,2019-05-04T00:00:00Z,contact@lakesidedistribution.biz,+15124050987
SUPP_17,Elite Trading Group,1.73,Active,False,True,2024-09-10,2029-07-24,Columbus,NY,80426,US,31-4425802,2024-09-06T00:00:00Z,contact@elitetradinggroup.net,+14043249839
SUPP_18,Metro Logistics Co.,1.07,Inactive,False,False,2023-06-05,2025-05-13,Jacksonville,FL,81605,US,80-3434703,2023-04-17T00:00:00Z,contact@metrologisticsco.co,+13109912571
SUPP_19,Sterling Wholesale LLC,4.63,Inactive,False,False,2022-10-02,2024-07-23,New York,MI,11995,US,81-5333772,2022-09-16T00:00:00Z,contact@sterlingwholesalellc.com,+17134856389
SUPP_20,Apex Trading LLC,1.12,Under Review,False,True,2019-05-13,2020-10-12,Vancouver,QC,B7Y 5H6,CA,463890637RC0001,2019-03-30T00:00:00Z,contact@apextradingllc.com,+15149744401
SUPP_21,Horizon Imports Inc.,4.27,Under Review,False,False,2020-02-01,2024-06-27,Nice,Île-de-France,23996,FR,FRSU451558036,2020-01-10T00:00:00Z,contact@horizonimportsinc.com,+33321956658
SUPP_22,Success Distribution Co.,2.77,Suspended,False,False,2024-08-06,2026-01-10,Memphis,WA,66744,US,67-3185602,2024-07-06T00:00:00Z,contact@successdistributionc.net,+14042705999
SUPP_23,Quality Distributors Corp.,2.8,Inactive,False,True,2020-01-26,2021-08-18,Stuttgart,Hesse,36970,DE,DE151338857,2020-01-11T00:00:00Z,contact@qualitydistributorsc.co,+499318913892
SUPP_24,Urban Supply Chain Enterprises,4.96,Inactive,False,False,2018-05-11,2020-06-13,Munich,Bavaria,59025,DE,DE775472653,2018-03-16T00:00:00Z,contact@urbansupplychainente.com,+496923679862
SUPP_25,Sterling Wholesale Solutions,3.75,Under Review,False,True,2018-09-23,2021-04-12,New York,NC,49010,US,74-4185810,2018-08-22T00:00:00Z,contact@sterlingwholesalesol.com,+18187261874
