wish_id,user_id,item_id,date_added,purchase_date,removal_date,current_price,price_at_addition,priority,user_notes,list_name,notification_sent,price_alert_enabled,add_source,desired_quantity
1,324,68,2025-08-15T00:00:00Z,2025-11-05T00:00:00Z,,145.25,155.97,Medium,,Dream Items,False,False,Android,4
2,90,433,2024-03-21T00:00:00Z,,,210.06,202.49,Medium,Need to save up,Wishlist,False,True,Web,1
3,18,345,2025-08-19T00:00:00Z,,,151.88,130.93,Low,For the kids,Dream Items,False,False,Web,1
4,240,41,2025-11-23T00:00:00Z,,,199.76,226.27,Medium,Housewarming gift,Gift Ideas,False,False,Android,1
5,135,333,2025-02-25T00:00:00Z,2025-07-13T00:00:00Z,,441.65,432.78,Low,Gift for mom,Wishlist,False,False,Social Media,1
6,272,322,2024-10-23T00:00:00Z,,,99.97,105.98,Low,Wait for sale,Future Purchases,False,False,Android,1
7,11,332,2025-06-09T00:00:00Z,,,33.87,30.4,Medium,Birthday present,Gift Ideas,False,True,iOS,1
8,34,51,2024-08-06T00:00:00Z,2024-08-18T00:00:00Z,,188.65,200.82,Low,Housewarming gift,Dream Items,False,False,iOS,1
9,106,354,2024-02-23T00:00:00Z,2024-05-17T00:00:00Z,,156.7,137.49,Low,Gift for mom,Wishlist,False,False,Social Media,1
10,340,76,2025-05-24T00:00:00Z,2025-09-21T00:00:00Z,,845.51,825.56,High,,Gift Ideas,False,True,Mobile App,1
11,113,83,2024-10-13T00:00:00Z,,,35.12,38.66,Low,Maybe later,Wishlist,False,True,Web,5
12,260,53,2025-07-26T00:00:00Z,,2025-08-02T00:00:00Z,1144.2,1123.45,Medium,Wedding registry,Wishlist,False,True,Social Media,1
13,198,110,2024-07-11T00:00:00Z,2024-12-10T00:00:00Z,,534.23,559.27,Medium,,Dream Items,False,False,Web,2
14,357,208,2025-07-23T00:00:00Z,,2025-07-26T00:00:00Z,4.24,4.33,Medium,,Future Purchases,False,False,Mobile App,2
15,214,210,2025-10-04T00:00:00Z,2025-12-07T00:00:00Z,,295.3,258.34,Medium,Gift for dad,Wishlist,False,False,Web,1
16,45,408,2025-11-24T00:00:00Z,2025-12-07T00:00:00Z,,582.48,643.5,Medium,Christmas gift,Wishlist,False,False,QR Code,1
17,175,481,2025-05-05T00:00:00Z,2025-05-19T00:00:00Z,,146.87,159.68,Medium,Gift for mom,Future Purchases,False,False,iOS,2
18,347,200,2025-12-22T00:00:00Z,,2025-12-25T00:00:00Z,899.94,937.69,Medium,,Wishlist,False,True,iOS,1
