cart_id,cart_status,cart_added_date,cart_total_value,cart_items_count,cart_avg_item_price,device_used,abandoned_cart_category,session_converted,first_added_date,last_added_date,customer_id,session_id,time_in_cart_days,time_in_cart_hours,cart_status_derived,cart_abandonment_reason,cart_value_tier,cart_size_category,abandonment_risk_score,recovery_potential_score
1,Active,2022-01-10 21:36:33,0.0,0,0.0,Mobile,,0.0,,,267,8ab1895c-06ac-43d4-a73d-e967006527ba,,,Active,N/A - Active,Very Low Value,Single Item,,0
2,Deleted,2022-06-01 19:37:07,79.9,1,39.95,Mobile,,0.0,2022-06-29 07:28:02,2022-06-29 07:28:02,27,2d95756b-ced7-4076-933c-9a2300cbb5e7,1302.0,31248.0,Abandoned,Long Time - Lost Interest,Very Low Value,Single Item,1741.397,25
3,Abandoned,2025-09-21 17:56:05,1018.4399999999999,2,118.82,Mobile,,0.0,2025-09-21 18:42:36,2025-09-21 22:57:06,293,0c469ccc-c52e-4e67-9ad4-3ca0ff1eb1e1,122.0,2928.0,Abandoned,High Value - Price Concern,High Value,Small,199.21986666666666,25
4,Active,2022-11-02 18:13:45,1308.86,4,185.5125,Desktop,,0.0,2022-11-02 23:43:00,2022-11-08 15:46:03,176,c1d23cd9-d8f6-4971-881a-8cde9ffc6b0f,1176.0,28224.0,Active,N/A - Active,High Value,Small,1619.2658000000001,0
5,Abandoned,2022-05-19 16:11:28,1366.71,3,167.42,Desktop,,0.0,2022-05-19 18:57:45,2022-05-19 22:43:19,307,f2f84e21-710d-4503-a82f-e73ba5f248c9,1343.0,32232.0,Abandoned,High Value - Price Concern,High Value,Small,1840.6679666666666,25
6,Active,2025-01-22 01:01:05,623.82,1,623.82,Desktop,,0.0,2025-01-22 14:49:14,2025-01-22 14:49:14,194,bd8a6ed3-0b34-4108-b4f8-77d870c4ffa2,364.0,8736.0,Active,N/A - Active,Medium Value,Single Item,507.0479333333334,0
7,Active,2023-09-08 17:12:17,641.6999999999999,4,138.185,Tablet,,0.0,2023-09-11 13:11:30,2023-09-13 02:50:01,41,991fc818-3bc6-4025-a39c-05d759c46c77,863.0,20712.0,Active,N/A - Active,Medium Value,Small,1181.9176666666667,0
8,Deleted,2025-12-05 07:06:34,833.04,2,210.135,Mobile,,0.0,2025-12-05 13:56:33,2025-12-06 16:49:44,201,fb413a5b-ccaa-4ca8-8a27-89cc79d9c5ba,47.0,1128.0,Abandoned,High Value - Price Concern,Medium Value,Small,93.65786666666666,25
9,Deleted,2025-11-10 11:54:30,1165.29,4,161.03,Mobile,,0.0,2025-11-12 22:23:17,2025-11-25 09:39:26,361,a6eea685-41c7-46b3-9759-d108c41ab10d,70.0,1680.0,Abandoned,High Value - Price Concern,High Value,Small,140.29203333333334,25
10,Active,2025-07-11 23:26:16,2424.19,3,364.68666666666667,Mobile,,0.0,2025-07-12 02:23:49,2025-07-13 17:37:20,475,24ee2d06-8fd2-4207-9459-1d9f8e493b2d,193.0,4632.0,Active,N/A - Active,High Value,Small,339.05903333333333,0
11,Deleted,2023-07-01 11:32:13,673.43,1,673.43,Desktop,,1.0,2023-07-14 22:47:47,2023-07-14 22:47:47,114,a9eca30f-64a9-4efa-bae5-eadb91536c33,922.0,22128.0,Abandoned,High Value - Price Concern,Medium Value,Single Item,1252.5362333333333,25
12,Deleted,2025-11-27 05:02:18,266.52,1,266.52,Tablet,,0.0,2025-12-13 22:08:55,2025-12-13 22:08:55,417,24529875-581d-428e-88f0-7da8b0fac66a,39.0,936.0,Abandoned,Long Time - Lost Interest,Low Value,Single Item,62.99560000000001,25
13,Abandoned,2024-09-15 20:33:39,491.24,2,245.62,Tablet,,0.0,2024-09-15 21:09:32,2024-09-15 21:46:49,70,b73180f1-325f-4b56-a6ef-940314a48646,493.0,11832.0,Abandoned,Long Time - Lost Interest,Low Value,Small,678.0705333333334,25
14,Active,2023-07-29 20:34:14,1148.98,1,1148.98,Mobile,,0.0,2023-07-31 09:29:23,2023-07-31 09:29:23,325,ea9504e0-fbef-4bcf-a12f-80bb6477e5aa,905.0,21720.0,Active,N/A - Active,High Value,Single Item,1244.136066666667,0
15,Active,2025-03-11 13:07:26,732.96,4,115.565,Desktop,,0.0,2025-03-11 20:02:52,2025-03-12 07:52:45,68,8869a795-9799-4a4d-a3dc-5a29ddd2c72b,316.0,7584.0,Active,N/A - Active,Medium Value,Small,455.3221333333334,0
16,Abandoned,2019-04-17 00:31:54,173.51,2,36.25,Tablet,,0.0,2019-04-17 00:31:54,2019-04-17 00:31:54,209,5b2aa318-32df-4e96-a594-030e0fad3e20,2471.0,59304.0,Abandoned,Long Time - Lost Interest,Low Value,Small,3305.871966666667,25
17,Abandoned,2023-11-12 12:29:57,1690.19,2,257.345,Tablet,,1.0,2023-11-12 14:24:52,2023-11-12 16:37:34,150,53a8b030-0399-46c7-b8e2-e8f5403311d6,801.0,19224.0,Abandoned,High Value - Price Concern,High Value,Small,1124.7057,25
18,Abandoned,2025-12-05 07:41:21,487.66999999999996,3,125.76333333333332,Wearable,,0.0,2025-12-05 07:41:21,2025-12-05 07:41:21,82,0bb40cec-39a1-46f0-9dd6-472483852df1,47.0,1128.0,Abandoned,Long Time - Lost Interest,Low Value,Small,86.29676666666667,25
19,Active,2021-04-18 18:32:21,501.56,2,122.08,Desktop,,0.0,2021-04-19 05:40:02,2021-04-20 14:43:02,261,47eb5a98-7731-4019-90af-3722ce4103a6,1738.0,41712.0,Active,N/A - Active,Medium Value,Small,2338.380133333333,0
20,Abandoned,2022-02-18 00:48:07,1259.55,3,313.3,Desktop,,0.0,2022-02-18 03:54:15,2022-02-18 06:48:37,257,4b078022-1255-41cd-9eda-6b4c07138668,1433.0,34392.0,Abandoned,High Value - Price Concern,High Value,Small,1957.4531666666664,25
21,Abandoned,2025-12-20 17:25:50,1827.85,3,352.40000000000003,Tablet,,0.0,2025-12-21 01:20:49,2025-12-21 04:06:44,162,680891b6-b2ed-4885-a5cf-4d88cc6d436b,31.0,744.0,Abandoned,High Value - Price Concern,High Value,Small,105.16883333333334,25
22,Abandoned,2021-10-19 11:08:20,111.44,1,27.86,Mobile,,0.0,2021-10-19 18:44:50,2021-10-19 18:44:50,383,c0ff8bd9-db43-4e26-a50a-8fdd3e2b9c3f,1555.0,37320.0,Abandoned,Long Time - Lost Interest,Low Value,Single Item,2079.6765333333337,25
23,Active,2021-01-15 05:24:49,287.89,2,143.945,Desktop,,0.0,2021-01-16 09:07:09,2021-01-16 11:22:20,41,66cd3b81-fef2-4213-b6b5-8a4abb88df98,1831.0,43944.0,Active,N/A - Active,Low Value,Small,2455.970033333333,0
24,Converted,2024-12-13 14:11:51,0.0,0,0.0,Mobile,,0.0,,,476,3967a40b-fff5-4520-ad24-5f4b5b8dd265,,,Abandoned,Mobile - Checkout Friction,Very Low Value,Single Item,,25
25,Deleted,2025-07-09 13:54:17,1478.72,1,369.68,,,,2025-07-22 15:55:19,2025-07-22 15:55:19,307,1519027e-158d-4094-a0f2-1e2f4868f8a5,183.0,4392.0,Abandoned,High Value - Price Concern,High Value,Single Item,291.36159999999995,25
26,Converted,2018-10-01 00:59:40,3189.1000000000004,4,222.62999999999997,Mobile,,0.0,2018-10-01 07:20:43,2018-10-02 04:44:41,243,8d94def3-ecc1-409b-81d5-2a43e123129b,2669.0,64056.0,Abandoned,High Value - Price Concern,High Value,Small,3666.3396666666663,25
27,Converted,2023-09-08 17:03:42,2284.5,1,1142.25,Tablet,,0.0,2023-09-09 20:57:05,2023-09-09 20:57:05,41,991fc818-3bc6-4025-a39c-05d759c46c77,865.0,20760.0,Abandoned,High Value - Price Concern,High Value,Single Item,1224.8683333333333,25
28,Abandoned,2024-10-22 21:32:17,265.23,1,265.23,Desktop,,0.0,2024-10-23 00:05:32,2024-10-23 00:05:32,91,c8d8aaf5-d035-48e4-bfc7-02a5fa3a527d,455.0,10920.0,Abandoned,Long Time - Lost Interest,Low Value,Single Item,617.6235666666666,25
29,Active,2023-01-22 19:35:12,2190.72,5,276.65600000000006,Mobile,,0.0,2023-01-22 21:58:13,2023-01-23 21:19:31,448,f5b475e7-1f7d-4f71-8d83-b8045dd3fe19,1095.0,26280.0,Active,N/A - Active,High Value,Medium,1540.7216,0
