cart_item_id,cart_id,product_id,quantity,unit_price,total_price,added_at,updated_at,item_status,cart_age_time
2,2,384,2,39.95,79.9,2022-06-29 07:28:02,2022-06-29 16:57:11,Deleted,112489941
3,3,450,5,152.76,763.8,2025-09-21 18:42:36,2025-09-21 20:13:31,Abandoned,10497467
4,3,411,3,84.88,254.64,2025-09-21 22:57:06,2025-09-21 23:16:09,Abandoned,10482197
5,4,153,2,432.84,865.68,2022-11-03 06:57:26,2022-11-05 16:52:33,Active,101518977
6,4,500,2,48.8,97.6,2022-11-08 15:46:03,2022-11-08 16:08:30,Active,101055260
7,4,47,2,85.17,170.34,2022-11-02 23:43:00,2022-11-02 23:50:55,Active,101545043
9,4,50,1,175.24,175.24,2022-11-05 04:34:58,2022-11-07 01:41:24,Active,101354725
10,5,499,4,114.7,458.8,2022-05-19 18:57:45,2022-05-19 21:28:29,Abandoned,115990958
11,5,397,1,214.11,214.11,2022-05-19 20:58:25,2022-05-20 00:47:55,Abandoned,115983718
12,5,297,4,173.45,693.8,2022-05-19 22:43:19,2022-05-20 02:51:09,Abandoned,115977424
13,6,96,1,623.82,623.82,2025-01-22 14:49:14,2025-01-23 01:10:32,Active,31420269
14,7,360,2,88.96,177.92,2023-09-12 12:03:28,2023-09-13 12:09:34,Active,74457415
15,7,437,1,335.9,335.9,2023-09-13 02:50:01,2023-09-13 12:45:49,Active,74404222
16,7,391,1,44.4,44.4,2023-09-11 13:11:30,2023-09-13 15:58:36,Abandoned,74539733
17,7,351,1,83.48,83.48,2023-09-12 17:52:48,2023-09-12 21:48:33,Active,74436455
18,8,427,4,137.59,550.36,2025-12-05 13:56:33,2025-12-07 16:39:10,Deleted,4034630
19,8,223,1,282.68,282.68,2025-12-06 16:49:44,2025-12-08 11:12:32,Deleted,3937839
20,9,390,2,98.86,197.72,2025-11-25 09:39:26,2025-11-28 07:20:52,Deleted,4914057
21,9,468,3,69.61,208.83,2025-11-14 17:02:27,2025-11-16 23:58:21,Deleted,5837876
22,9,452,1,192.56,192.56,2025-11-12 22:23:17,2025-11-27 09:58:32,Deleted,5991426
23,9,323,2,283.09,566.18,2025-11-19 07:28:22,2025-11-29 20:10:42,Deleted,5440321
24,10,251,2,393.53,787.06,2025-07-13 17:37:20,2025-07-14 03:31:54,Active,16549383
25,10,59,5,234.15,1170.75,2025-07-12 02:23:49,2025-07-14 13:37:44,Active,16690594
26,10,184,1,466.38,466.38,2025-07-12 14:37:29,2025-07-14 11:31:06,Active,16646574
27,11,310,1,673.43,673.43,2023-07-14 22:47:47,2023-07-18 02:03:15,Deleted,79602756
31,12,27,1,266.52,266.52,2025-12-13 22:08:55,2025-12-18 19:28:20,Deleted,3313888
33,13,18,1,397.05,397.05,2024-09-15 21:46:49,2024-09-16 01:38:16,Abandoned,42540814
35,13,203,1,94.19,94.19,2024-09-15 21:09:32,2024-09-15 22:01:07,Abandoned,42543051
37,14,111,1,1148.98,1148.98,2023-07-31 09:29:23,2023-08-01 04:28:38,Active,78181860
38,15,489,2,150.92,301.84,2025-03-12 07:52:45,2025-03-12 15:44:20,Abandoned,27211658
39,15,499,1,114.7,114.7,2025-03-12 05:16:06,2025-03-12 07:48:15,Abandoned,27221057
41,15,495,1,76.86,76.86,2025-03-12 06:44:03,2025-03-12 09:16:59,Active,27215780
42,15,6,2,119.78,239.56,2025-03-11 20:02:52,2025-03-12 03:43:50,Active,27254251
43,16,463,2,43.99,87.98,2019-04-17 00:31:54,2019-04-17 00:31:54,Active,213516509
44,16,275,3,28.51,85.53,2019-04-17 00:31:54,2019-04-17 00:31:54,Abandoned,213516509
47,17,201,3,368.57,1105.71,2023-11-12 14:24:52,2023-11-12 18:29:50,Active,69178531
49,17,259,4,146.12,584.48,2023-11-12 16:37:34,2023-11-12 22:10:43,Abandoned,69170569
50,18,71,2,110.38,220.76,2025-12-05 07:41:21,2025-12-05 07:41:21,Abandoned,4057142
51,18,331,1,45.91,45.91,2025-12-05 07:41:21,2025-12-05 07:41:21,Abandoned,4057142
53,18,372,1,221.0,221.0,2025-12-05 07:41:21,2025-12-05 07:41:21,Active,4057142
55,19,147,5,64.35,321.75,2021-04-20 14:43:02,2021-04-21 18:51:49,Active,150047841
56,19,276,1,179.81,179.81,2021-04-19 05:40:02,2021-04-20 22:08:09,Active,150166821
57,20,419,4,45.56,182.24,2022-02-18 05:33:07,2022-02-18 06:02:40,Abandoned,123815236
58,20,461,1,711.37,711.37,2022-02-18 03:54:15,2022-02-18 06:15:19,Abandoned,123821168
59,20,362,2,182.97,365.94,2022-02-18 06:48:37,2022-02-18 11:01:09,Abandoned,123810706
60,21,397,2,214.11,428.22,2025-12-21 04:06:44,2025-12-21 05:21:42,Abandoned,2687619
62,21,157,3,278.27,834.81,2025-12-21 03:20:28,2025-12-21 04:04:08,Abandoned,2690395
63,21,9,1,564.82,564.82,2025-12-21 01:20:49,2025-12-21 04:16:40,Abandoned,2697574
64,22,77,4,27.86,111.44,2021-10-19 18:44:50,2021-10-19 21:38:50,Abandoned,134308533
65,23,425,1,177.51,177.51,2021-01-16 09:07:09,2021-01-17 05:42:45,Abandoned,158189594
66,23,71,1,110.38,110.38,2021-01-16 11:22:20,2021-01-18 06:37:30,Active,158181483
68,25,132,4,369.68,1478.72,2025-07-22 15:55:19,2025-08-01 00:48:29,Deleted,15777904
69,26,47,2,85.17,170.34,2018-10-02 00:36:55,2018-10-02 12:41:24,Converted,230537008
70,26,241,6,280.56,1683.36,2018-10-02 01:41:16,2018-10-02 11:44:02,Converted,230533147
71,26,394,2,238.97,477.94,2018-10-02 04:44:41,2018-10-02 09:56:05,Converted,230522142
73,26,118,3,285.82,857.46,2018-10-01 07:20:43,2018-10-02 08:17:41,Converted,230599180
75,27,236,2,1142.25,2284.5,2023-09-09 20:57:05,2023-09-10 09:48:04,Converted,74684598
79,28,460,1,265.23,265.23,2024-10-23 00:05:32,2024-10-23 01:24:45,Abandoned,39335691
80,29,11,1,496.19,496.19,2023-01-23 03:36:24,2023-01-23 13:36:23,Active,94532639
81,29,448,1,125.72,125.72,2023-01-23 03:07:18,2023-01-23 21:28:11,Active,94534385
82,29,471,3,403.72,1211.16,2023-01-22 21:58:13,2023-01-23 09:32:40,Abandoned,94552930
83,29,95,1,133.22,133.22,2023-01-23 01:24:08,2023-01-23 09:04:40,Active,94540575
84,29,269,1,224.43,224.43,2023-01-23 21:19:31,2023-01-23 22:55:27,Active,94468852
