country,state_province,city,total_customers,total_orders,total_revenue,avg_order_value,avg_customer_lifetime_value,total_suppliers,preferred_category,revenue_per_customer,orders_per_customer,customer_density
US,AZ,Chandler,1,1,3321.87,3321.87,4982.805,0,,3321.87,1.0,1
US,NY,New York,1,1,3429.29,3429.29,4572.386666666666,0,,3429.29,1.0,1
US,VA,Clinton,1,1,3357.81,3357.81,6715.62,0,,3357.81,1.0,1
US,NE,Springfield,1,1,3077.45,3077.45,3077.45,0,,3077.45,1.0,1
US,MO,Salem,1,1,1134.98,1134.98,3404.94,0,,1134.98,1.0,1
US,NJ,Chester,1,1,773.12,773.12,773.12,0,,773.12,1.0,1
US,WA,Seattle,1,1,1219.32,1219.32,406.44,0,,1219.32,1.0,1
US,NH,Clinton,1,1,530.35,530.35,530.35,0,,530.35,1.0,1
US,ID,Riverside,1,1,2098.39,2098.39,1398.9266666666665,0,,2098.39,1.0,1
US,IL,Naperville,1,1,3076.29,3076.29,3076.29,0,,3076.29,1.0,1
US,MN,Georgetown,1,1,330.63,330.63,330.63,0,,330.63,1.0,1
US,MO,Georgetown,1,1,3503.05,3503.05,5254.575000000001,0,,3503.05,1.0,1
US,RI,Franklin,1,1,867.48,867.48,867.48,0,,867.48,1.0,1
US,ND,Georgetown,1,1,2166.71,2166.71,4333.42,0,,2166.71,1.0,1
US,RI,Riverside,1,1,1036.63,1036.63,1554.9450000000002,0,,1036.63,1.0,1
US,ME,Chester,1,2,3660.81,1830.405,10684.109999999999,0,,3660.81,2.0,1
US,LA,Riverside,1,3,3957.12,1319.04,7125.300000000001,0,,3957.12,3.0,1
CA,NS,Salem,1,1,2986.92,2986.92,5973.84,0,,2986.92,1.0,1
US,AK,Fairview,1,3,2460.16,820.0533333333333,5866.5599999999995,0,,2460.16,3.0,1
CA,NU,Springfield,1,1,2664.32,2664.32,10657.28,0,,2664.32,1.0,1
US,AK,Bristol,1,1,1344.16,1344.16,1344.16,0,,1344.16,1.0,1
US,NJ,Fairview,1,1,1395.85,1395.85,5583.4,0,,1395.85,1.0,1
CA,QC,Quebec City,1,2,6231.42,3115.71,9347.13,0,,6231.42,2.0,1
US,ND,Springfield,1,1,4986.41,4986.41,2493.205,0,,4986.41,1.0,1
US,NJ,Georgetown,1,1,2270.66,2270.66,2270.66,0,,2270.66,1.0,1
US,MD,Franklin,1,1,165.05,165.05,165.05,0,,165.05,1.0,1
US,NY,Syracuse,1,1,4160.83,4160.83,4160.83,0,,4160.83,1.0,1
US,WA,Tacoma,1,1,1126.05,1126.05,1407.5625,0,,1126.05,1.0,1
US,WV,Bristol,1,1,1371.15,1371.15,1371.15,0,,1371.15,1.0,1
US,AK,Franklin,1,1,3390.17,3390.17,6780.34,0,,3390.17,1.0,1
US,OR,Fairview,1,1,234.98,234.98,234.98,0,,234.98,1.0,1
US,CT,Salem,1,1,1071.24,1071.24,2142.48,0,,1071.24,1.0,1
US,AL,Franklin,2,2,3229.36,1614.68,2226.796,0,,1614.68,1.0,2
US,IN,Salem,1,1,927.14,927.14,1854.28,0,,927.14,1.0,1
US,PA,Reading,1,1,1045.29,1045.29,1567.935,0,,1045.29,1.0,1
US,NJ,Bristol,1,1,722.59,722.59,1445.18,0,,722.59,1.0,1
US,IA,Riverside,1,1,1635.94,1635.94,4089.8500000000004,0,,1635.94,1.0,1
US,TX,Austin,2,2,2539.21,1269.605,1621.5100000000002,0,,1269.605,1.0,2
US,SD,Chester,1,1,2605.78,2605.78,7817.34,0,,2605.78,1.0,1
US,UT,Clinton,1,1,2417.13,2417.13,3625.695,0,,2417.13,1.0,1
CA,NU,Salem,1,1,1435.18,1435.18,2870.36,0,,1435.18,1.0,1
US,TN,Fairview,1,1,6047.49,6047.49,24189.96,0,,6047.49,1.0,1
US,HI,Springfield,1,1,3277.97,3277.97,3277.97,0,,3277.97,1.0,1
US,MS,Bristol,1,1,2905.32,2905.32,968.44,0,,2905.32,1.0,1
CA,NT,Clinton,1,1,681.62,681.62,2044.8600000000001,0,,681.62,1.0,1
US,LA,Chester,1,2,3069.0299999999997,1534.5149999999999,5556.285,0,,3069.0299999999997,2.0,1
US,DE,Clinton,1,2,2173.7,1086.85,8009.72,0,,2173.7,2.0,1
US,HI,Chester,1,1,3045.51,3045.51,6091.02,0,,3045.51,1.0,1
US,IL,Rockford,1,1,370.67,370.67,1112.01,0,,370.67,1.0,1
US,NJ,Franklin,1,1,438.62,438.62,877.24,0,,438.62,1.0,1
US,VA,Franklin,1,1,3415.16,3415.16,1707.58,0,,3415.16,1.0,1
US,KY,Georgetown,1,1,2554.85,2554.85,2554.85,0,,2554.85,1.0,1
CA,NB,Bristol,2,2,3983.8599999999997,1991.9299999999998,3502.8133333333335,0,,1991.9299999999998,1.0,2
US,NV,Henderson,2,2,3001.08,1500.54,2147.955,0,,1500.54,1.0,2
US,AL,Salem,1,1,813.36,813.36,813.36,0,,813.36,1.0,1
US,WY,Springfield,1,1,927.13,927.13,927.13,0,,927.13,1.0,1
US,GA,Savannah,1,1,462.32,462.32,115.58,0,,462.32,1.0,1
US,RI,Bristol,1,1,171.77,171.77,85.885,0,,171.77,1.0,1
CA,ON,London,2,2,1990.46,995.23,995.23,0,,995.23,1.0,2
US,WY,Georgetown,1,1,4710.52,4710.52,3140.346666666667,0,,4710.52,1.0,1
US,TX,Dallas,1,1,430.99,430.99,430.99,0,,430.99,1.0,1
US,NV,Reno,2,2,1251.1200000000001,625.5600000000001,1135.8600000000001,0,,625.5600000000001,1.0,2
US,NM,Bristol,1,1,426.61,426.61,426.61,0,,426.61,1.0,1
US,VT,Clinton,1,1,1609.58,1609.58,1609.58,0,,1609.58,1.0,1
US,VA,Fairview,1,1,1285.72,1285.72,3857.16,0,,1285.72,1.0,1
US,CO,Denver,1,1,2904.73,2904.73,8714.19,0,,2904.73,1.0,1
US,MO,Madison,2,2,3792.79,1896.395,2086.18,0,,1896.395,1.0,2
US,WY,Madison,1,1,353.59,353.59,353.59,0,,353.59,1.0,1
US,OR,Riverside,1,2,3735.13,1867.565,7313.53,0,,3735.13,2.0,1
US,WV,Salem,1,1,865.75,865.75,1731.5,0,,865.75,1.0,1
US,SC,Salem,1,1,149.72,149.72,149.72,0,,149.72,1.0,1
US,IA,Springfield,1,1,3986.18,3986.18,3986.18,0,,3986.18,1.0,1
US,MD,Madison,1,1,2625.13,2625.13,5250.26,0,,2625.13,1.0,1
CA,NU,Franklin,1,1,2835.46,2835.46,2835.4600000000005,0,,2835.46,1.0,1
US,IA,Madison,1,2,1557.07,778.535,6690.470000000001,0,,1557.07,2.0,1
CA,NS,Madison,1,1,1770.98,1770.98,8854.9,0,,1770.98,1.0,1
US,LA,Bristol,1,1,738.02,738.02,738.02,0,,738.02,1.0,1
