customer_id,gender,date_of_birth,account_status,city,state_province,postal_code,country,account_created_at,last_login_date,is_active,order_recency_days,order_frequency,order_total_spent,customer_age,customer_tenure_days,days_since_last_login,customer_age_group,customer_activity_status,customer_segment,customer_lifetime_value,total_orders,total_revenue,avg_order_value,total_items_purchased,avg_items_per_order,total_discount_received,avg_discount_per_order,first_order_date,last_order_date,avg_days_between_orders,total_cancelled_orders,total_reviews_written,avg_review_rating,total_sessions,avg_session_duration,total_pages_viewed,total_products_viewed,session_conversion_rate,cart_abandonment_rate,preferred_device_type,preferred_referrer_source,wishlist_items_count,wishlist_conversion_rate,preferred_payment_method,days_since_last_purchase,is_repeat_customer,cancellation_rate,customer_activity_score,total_carts_created,total_abandoned_carts,total_purchased_carts,total_abandoned_value,avg_time_in_cart_days,customer_abandonment_rate,customer_purchase_rate,recency_score,frequency_score,monetary_score,rfm_segment,customer_segment_label,rfm_overall_score,rfm_category,churn_risk
1,Male,1953-07-23,Active,Clinton,NE,68878.0,US,2023-04-05 03:43:47,2025-03-20,True,,,,72,1022,307,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,5,25.5,72.0,34.0,0.0,0.6,Mobile,Organic Search,1,0.0,,,0,,,2,1,0.0,1204.34,396.0,50.0,0.0,,,,,,,,
2,Female,1998-01-26,Active,Chester,LA,38785.0,US,2024-05-09 11:10:23,2025-06-26,True,167.0,2.0,3069.0299999999997,28,622,209,25-34,Dormant,At Risk,11112.57,2,11112.57,2222.514,16,3.2,74.31,14.862,2025-07-05 18:24:53,2025-08-07 00:49:29,33.0,1.0,8,4.25,3,22.5,46.0,24.0,0.0,0.3333333333333333,Mobile,Social Media,1,0.0,Cash on Delivery,167.0,1,50.0,23.263235238095238,3,2,0.0,2845.72,178.33333333333334,66.66666666666666,0.0,5.0,5.0,4.0,554,Champions,4.666666666666667,High Value,Low Risk
3,Male,1978-11-30,Active,Seattle,WA,99353.0,US,2021-09-08 02:24:24,2025-02-22,True,,,,47,1596,333,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,4,7.0,18.0,11.0,0.0,0.0,Desktop,Organic Search,4,0.0,,,0,,,3,2,0.0,2953.1800000000003,1473.3333333333333,66.66666666666666,0.0,,,,,,,,
4,Male,1988-08-14,Inactive,Chester,WI,26483.0,US,2025-04-20 00:38:20,2025-08-23,False,,,,37,276,151,35-44,Dormant,,0.0,0,0.0,,0,,,,,,,,1,5.0,9,38.833333333333336,199.0,123.0,0.1111111111111111,0.3333333333333333,Mobile,Organic Search,1,0.0,,,0,,,1,1,0.0,114.91,100.0,100.0,0.0,,,,,,,,
5,Male,1992-04-08,Active,Salem,AR,54473.0,US,2021-06-18 15:15:50,2025-04-27,True,,,,33,1678,269,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,2,13.0,31.0,24.0,0.5,0.0,Mobile,Organic Search,2,0.0,,,0,,,2,2,0.0,3293.8,885.0,100.0,0.0,,,,,,,,
6,Female,1946-04-20,Pending,,,,,2016-11-05 12:00:24,1900-01-01,False,,,,79,3364,46041,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,0,,,,,,,,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
7,Prefer Not To Say,1946-07-05,Active,Riverside,ID,87992.0,US,2023-05-22 10:03:03,2025-03-01,True,221.0,1.0,2098.39,79,975,326,65 and over,Dormant,Lost,4196.78,1,4196.78,2098.39,4,2.0,,,2025-06-14 14:03:35,2025-06-14 14:03:35,,0.0,6,4.0,1,12.0,30.0,26.0,0.0,0.0,Mobile,Organic Search,2,0.0,Credit Card,221.0,0,0.0,8.97374018018018,1,1,0.0,1889.9,222.0,100.0,0.0,4.0,5.0,3.0,453,Loyal Customers,4.0,High Value,Low Risk
8,Female,1947-07-20,Closed,Fairview,MD,95717.0,US,2015-02-08 14:39:36,2016-03-23,False,,,,78,4000,3591,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,7,8.0,67.0,10.0,0.0,0.0,Tablet,Organic Search,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
9,Female,1991-04-09,Inactive,Edmonton,AB,,CA,2024-11-30 13:39:47,2025-02-17,False,,,,34,417,338,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,4,8.333333333333334,25.0,10.0,0.25,0.0,Mobile,Direct,2,0.5,,,0,,,1,1,0.0,1462.6399999999999,113.0,100.0,0.0,,,,,,,,
10,Other,1964-06-22,Active,Salem,VA,10221.0,US,2017-01-01 18:16:02,2025-10-31,True,,,,61,3307,82,55-64,Inactive,,0.0,0,0.0,,0,,,,,,,,0,,4,11.5,46.0,7.0,0.0,0.0,Smart TV,Organic Search,4,0.25,,,0,,,2,2,0.0,3766.5699999999997,1406.5,100.0,0.0,,,,,,,,
11,Male,2001-10-21,Inactive,Chester,IN,72021.0,US,2023-05-23 05:39:36,2024-03-26,False,,,,24,974,666,18-24,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,5,15.666666666666666,53.0,30.0,0.4,0.2,Desktop,Direct,1,0.0,,,0,,,0,0,,0.0,,,,,,,,,,,
