order_date,order_year,order_month,total_revenue,total_orders,total_customers,new_customers,returning_customers,avg_order_value,total_units_sold,total_sessions,total_conversions,session_to_order_rate,prev_day_revenue,prev_day_customers,revenue_growth_rate,customer_retention_rate
2015-08-10,2015,8,2625.13,1,1,1,0,2625.13,3,1,0.0,100.0,,,,
2018-04-09,2018,4,1071.24,1,1,1,0,1071.24,3,0,,,2625.13,1.0,-59.19287806699097,0.0
2018-06-13,2018,6,1998.58,1,1,1,0,1998.58,6,0,,,1071.24,1.0,86.56696911989843,0.0
2018-09-29,2018,9,462.32,1,1,1,0,462.32,5,0,,,1998.58,1.0,-76.86757597894506,0.0
2018-10-02,2018,10,6047.49,1,1,1,0,6047.49,13,0,,,462.32,1.0,1208.0744938570688,0.0
2018-10-16,2018,10,891.73,1,1,1,0,891.73,3,1,0.0,100.0,6047.49,1.0,-85.25454362057647,0.0
2018-11-21,2018,11,4986.41,1,1,1,0,4986.41,5,1,0.0,100.0,891.73,1.0,459.183833671627,0.0
2019-04-18,2019,4,1036.63,1,1,1,0,1036.63,8,0,,,4986.41,1.0,-79.21089521318945,0.0
2019-06-30,2019,6,1371.15,1,1,1,0,1371.15,6,2,0.0,50.0,1036.63,1.0,32.26995167031631,0.0
2019-08-19,2019,8,1169.6,1,1,0,1,1169.6,2,1,0.0,100.0,1371.15,1.0,-14.699339970098105,100.0
2019-12-01,2019,12,149.72,1,1,1,0,149.72,2,0,,,1169.6,1.0,-87.19904240766073,0.0
2019-12-25,2019,12,1134.98,1,1,1,0,1134.98,5,0,,,149.72,1.0,658.068394336094,0.0
2020-09-19,2020,9,1327.04,1,1,1,0,1327.04,3,1,0.0,100.0,1134.98,1.0,16.921884086063184,0.0
2020-09-24,2020,9,213.89,1,1,1,0,213.89,1,0,,,1327.04,1.0,-83.88217386062215,0.0
2020-10-15,2020,10,867.48,1,1,1,0,867.48,2,0,,,213.89,1.0,305.57295806255553,0.0
2020-11-25,2020,11,4160.83,1,1,1,0,4160.83,1,1,0.0,100.0,867.48,1.0,379.64564024530824,0.0
2021-01-23,2021,1,2166.71,1,1,1,0,2166.71,4,0,,,4160.83,1.0,-47.92601476147787,0.0
2021-01-26,2021,1,3078.0,1,1,1,0,3078.0,4,0,,,2166.71,1.0,42.05869728759271,0.0
2021-05-09,2021,5,3321.87,1,1,1,0,3321.87,6,0,,,3078.0,1.0,7.923001949317736,0.0
2021-06-24,2021,6,589.03,1,1,1,0,589.03,5,0,,,3321.87,1.0,-82.2681200649032,0.0
2021-08-21,2021,8,1184.3,1,1,1,0,1184.3,4,2,0.0,50.0,589.03,1.0,101.05936879276098,0.0
2021-08-23,2021,8,946.24,1,1,0,1,946.24,7,0,,,1184.3,1.0,-20.101325677615463,100.0
2021-08-31,2021,8,1097.44,1,1,1,0,1097.44,6,0,,,946.24,1.0,15.979032803517082,0.0
2021-09-28,2021,9,538.49,1,1,1,0,538.49,3,0,,,1097.44,1.0,-50.932169412450804,0.0
2021-11-24,2021,11,3578.4,1,1,1,0,3578.4,10,0,,,538.49,1.0,564.524875113744,0.0
2021-11-25,2021,11,156.73,1,1,0,1,156.73,4,0,,,3578.4,1.0,-95.62010954616589,100.0
2021-12-03,2021,12,1770.98,1,1,1,0,1770.98,8,0,,,156.73,1.0,1029.9559752440503,0.0
2022-01-23,2022,1,153.68,1,1,1,0,153.68,1,1,0.0,100.0,1770.98,1.0,-91.32231871619103,0.0
2022-02-17,2022,2,3076.29,1,1,1,0,3076.29,4,0,,,153.68,1.0,1901.7503904216553,0.0
2022-02-18,2022,2,2173.7,2,1,2,0,1086.85,10,1,0.0,200.0,3076.29,1.0,-29.340211748567274,0.0
2022-03-23,2022,3,1286.83,1,1,1,0,1286.83,5,1,0.0,100.0,2173.7,1.0,-40.80001840180337,0.0
2022-04-22,2022,4,2905.32,1,1,1,0,2905.32,2,1,0.0,100.0,1286.83,1.0,125.77341218342752,0.0
2022-05-18,2022,5,813.36,1,1,1,0,813.36,2,1,0.0,100.0,2905.32,1.0,-72.00446078228904,0.0
2022-07-14,2022,7,1872.61,1,1,1,0,1872.61,4,0,,,813.36,1.0,130.23138585620146,0.0
2022-08-01,2022,8,1435.18,1,1,1,0,1435.18,4,1,0.0,100.0,1872.61,1.0,-23.359375417198446,0.0
2022-12-04,2022,12,1635.94,1,1,1,0,1635.94,10,0,,,1435.18,1.0,13.98848924873535,0.0
2022-12-30,2022,12,823.07,1,1,1,0,823.07,1,1,0.0,100.0,1635.94,1.0,-49.68825262540191,0.0
2023-01-15,2023,1,507.27,1,1,1,0,507.27,2,0,,,823.07,1.0,-38.368547025161895,0.0
2023-03-01,2023,3,1285.72,1,1,1,0,1285.72,8,1,0.0,100.0,507.27,1.0,153.45871035148937,0.0
2023-03-18,2023,3,3045.51,1,1,1,0,3045.51,5,1,0.0,100.0,1285.72,1.0,136.8719472357901,0.0
2023-03-25,2023,3,506.77,1,1,1,0,506.77,1,1,0.0,100.0,3045.51,1.0,-83.36009404007868,0.0
2023-03-28,2023,3,530.35,1,1,1,0,530.35,9,2,0.0,50.0,506.77,1.0,4.652998401641779,0.0
2023-06-27,2023,6,1443.14,1,1,1,0,1443.14,5,0,,,530.35,1.0,172.11087018006975,0.0
2023-06-29,2023,6,3429.29,1,1,1,0,3429.29,10,0,,,1443.14,1.0,137.62698005737488,0.0
2023-08-21,2023,8,273.72,1,1,1,0,273.72,1,0,,,3429.29,1.0,-92.01817285793852,0.0
2023-09-06,2023,9,431.66,1,1,1,0,431.66,3,1,0.0,100.0,273.72,1.0,57.70130059915242,0.0
2023-09-10,2023,9,2986.92,1,1,1,0,2986.92,9,1,0.0,100.0,431.66,1.0,591.961265811055,0.0
2023-10-19,2023,10,722.59,1,1,1,0,722.59,2,2,0.0,50.0,2986.92,1.0,-75.80819037670912,0.0
2023-10-29,2023,10,738.02,1,1,1,0,738.02,3,1,0.0,100.0,722.59,1.0,2.135374140245499,0.0
2023-11-14,2023,11,2281.79,2,1,2,0,1140.895,19,0,,,738.02,1.0,209.177258068887,0.0
2023-12-29,2023,12,353.59,1,1,1,0,353.59,3,0,,,2281.79,1.0,-84.5038325174534,0.0
2024-01-18,2024,1,1344.16,1,1,1,0,1344.16,3,0,,,353.59,1.0,280.1464973556945,0.0
2024-03-28,2024,3,1248.83,1,1,1,0,1248.83,8,0,,,1344.16,1.0,-7.092161647422937,0.0
2024-03-29,2024,3,2465.75,1,1,1,0,2465.75,5,0,,,1248.83,1.0,97.44480834060681,0.0
2024-05-02,2024,5,1989.09,1,1,1,0,1989.09,14,1,0.0,100.0,2465.75,1.0,-19.331237960052725,0.0
2024-05-03,2024,5,585.48,1,1,0,1,585.48,4,0,,,1989.09,1.0,-70.56543444489691,100.0
2024-06-19,2024,6,3235.67,1,1,1,0,3235.67,6,0,,,585.48,1.0,452.65252442440385,0.0
2024-06-22,2024,6,1283.35,1,1,0,1,1283.35,9,0,,,3235.67,1.0,-60.337426251750024,100.0
2024-07-18,2024,7,1045.29,1,1,1,0,1045.29,6,0,,,1283.35,1.0,-18.549888962481003,0.0
2024-08-13,2024,8,2270.66,1,1,1,0,2270.66,5,0,,,1045.29,1.0,117.22775497708768,0.0
2024-08-21,2024,8,229.82,1,1,1,0,229.82,2,0,,,2270.66,1.0,-89.87871367796147,0.0
2024-09-07,2024,9,370.67,1,1,1,0,370.67,3,0,,,229.82,1.0,61.2870942476721,0.0
2024-09-27,2024,9,4541.21,1,1,1,0,4541.21,3,0,,,370.67,1.0,1125.1355653276498,0.0
2024-10-03,2024,10,703.85,1,1,1,0,703.85,4,2,1.0,50.0,4541.21,1.0,-84.5008268721332,0.0
2024-10-04,2024,10,865.75,1,1,1,0,865.75,2,1,1.0,100.0,703.85,1.0,23.00206009803225,0.0
2024-10-05,2024,10,3390.17,1,1,1,0,3390.17,8,2,0.0,50.0,865.75,1.0,291.5876407738955,0.0
2024-10-06,2024,10,3459.76,1,1,1,0,3459.76,1,0,,,3390.17,1.0,2.052699422152876,0.0
2024-10-25,2024,10,1126.05,1,1,1,0,1126.05,8,0,,,3459.76,1.0,-67.45294471292806,0.0
2024-10-29,2024,10,2605.78,1,1,1,0,2605.78,6,2,0.0,50.0,1126.05,1.0,131.4089072421296,0.0
2024-11-07,2024,11,681.62,1,1,1,0,681.62,3,0,,,2605.78,1.0,-73.84199740576719,0.0
2024-11-13,2024,11,1215.5500000000002,2,2,1,1,607.7750000000001,6,3,0.0,66.66666666666666,681.62,1.0,78.33250198057571,100.0
2024-11-15,2024,11,3736.11,1,1,1,0,3736.11,2,0,,,1215.5500000000002,2.0,207.35963144255686,0.0
2024-12-05,2024,12,927.14,1,1,1,0,927.14,2,3,0.0,33.33333333333333,3736.11,1.0,-75.18434949720432,0.0
2024-12-08,2024,12,1834.4699999999998,2,2,2,0,917.2349999999999,9,3,1.0,66.66666666666666,927.14,1.0,97.8633216127014,0.0
2024-12-09,2024,12,2835.46,1,1,1,0,2835.46,5,0,,,1834.4699999999998,2.0,54.56562385866219,0.0
2024-12-12,2024,12,3415.16,1,1,1,0,3415.16,2,3,2.0,33.33333333333333,2835.46,1.0,20.444654482870497,0.0
2024-12-15,2024,12,3986.18,1,1,1,0,3986.18,5,1,0.0,100.0,3415.16,1.0,16.720153667763736,0.0
2024-12-19,2024,12,3357.81,1,1,1,0,3357.81,4,0,,,3986.18,1.0,-15.763713630593697,0.0
2024-12-28,2024,12,165.05,1,1,1,0,165.05,2,1,0.0,100.0,3357.81,1.0,-95.08459382752447,0.0
2025-01-27,2025,1,3503.05,1,1,1,0,3503.05,7,0,,,165.05,1.0,2022.4174492578004,0.0
