metric_name,metric_value,calculated_at
total_revenue_all_time,202887.9899999999,2026-01-21 07:36:21.825556
total_orders_all_time,118.0,2026-01-21 07:36:21.825556
total_customers_all_time,500.0,2026-01-21 07:36:21.825556
avg_order_value_global,1719.389745762711,2026-01-21 07:36:21.825556
total_products_catalog,0.0,2026-01-21 07:36:21.825556
avg_customer_lifetime_value_global,1039.424,2026-01-21 07:36:21.825556
overall_conversion_rate,8.324265505984767,2026-01-21 07:36:21.825556
overall_cart_abandonment_rate,100.0,2026-01-21 07:36:21.825556
avg_delivery_time_days,4.621212121212121,2026-01-21 07:36:21.825556
overall_customer_satisfaction,4.051470588235294,2026-01-21 07:36:21.825556
total_units_sold_all_time,700.0,2026-01-21 07:36:21.825556
total_active_customers,106.0,2026-01-21 07:36:21.825556
customer_activation_rate,21.2,2026-01-21 07:36:21.825556
avg_items_per_order,5.0,2026-01-21 07:36:21.825556
total_reviews_all_time,952.0,2026-01-21 07:36:21.825556
review_participation_rate,806.7796610169491,2026-01-21 07:36:21.825556
total_suppliers,46.0,2026-01-21 07:36:21.825556
avg_products_per_supplier,0.0,2026-01-21 07:36:21.825556
total_categories,0.0,2026-01-21 07:36:21.825556
avg_product_price,0.0,2026-01-21 07:36:21.825556
total_marketing_campaigns,80.0,2026-01-21 07:36:21.825556
avg_campaign_roi,-32.68260706091177,2026-01-21 07:36:21.825556
total_inventory_value,0.0,2026-01-21 07:36:21.825556
avg_order_processing_days,1.5555555555555556,2026-01-21 07:36:21.825556
