product_id,inventory_id,supplier_id,stock_quantity,reserved_quantity,minimum_stock_level,last_restocked_date,storage_cost,total_sold,avg_inventory,storage_cost_per_unit,stock_status,available_stock,stock_coverage_days,reorder_point_breach,stock_turnover_ratio
88,148,9,0,0,28,2025-10-10,7.36,1.0,72.5,,Out of Stock,0,0.0,1,0.013793103448275862
287,471,12,454,23,23,2025-07-19,9.4,,214.0,0.020704845814977973,High Stock,431,0.2461456688491023,0,
302,496,19,291,15,13,2025-11-19,3.44,3.0,291.0,0.011821305841924399,High Stock,276,0.15777178333719993,0,0.010309278350515464
283,463,38,0,0,28,2025-09-08,26.48,,0.0,,Out of Stock,0,0.0,1,
146,243,35,153,28,9,2025-09-02,18.9,1.0,153.0,0.12352941176470587,High Stock,125,0.082952174744301,0,0.006535947712418301
444,737,42,1,0,0,2025-07-23,1.79,,3.5,1.79,In Stock,1,0.0005421710767601372,0,
325,540,22,282,24,7,2025-07-15,7.78,,95.0,0.027588652482269504,High Stock,258,0.1528922436463587,0,
239,392,9,13,5,16,2025-09-07,8.65,,54.0,0.6653846153846155,Low Stock,8,0.007048223997881784,1,
313,516,7,0,0,23,2025-05-05,21.27,,0.0,,Out of Stock,0,0.0,1,
20,31,13,9,2,0,2025-08-29,3.45,,9.5,0.38333333333333336,In Stock,7,0.004879539690841235,0,
53,85,12,14,0,18,2025-09-03,20.87,2.0,33.5,1.4907142857142859,Low Stock,14,0.007590395074641921,1,0.05970149253731343
347,580,27,2,1,0,2025-07-19,2.17,,8.333333333333334,1.085,In Stock,1,0.0010843421535202745,0,
83,137,28,245,3,16,2025-10-18,0.95,,216.0,0.003877551020408163,High Stock,242,0.13283191380623363,0,
276,451,17,0,0,24,2025-09-18,3.71,7.0,0.0,,Out of Stock,0,0.0,1,
281,458,10,440,8,16,2025-11-28,2.57,3.0,440.0,0.00584090909090909,High Stock,432,0.23855527377446037,0,0.006818181818181818
295,481,42,0,0,16,2025-07-08,3.39,4.0,0.0,,Out of Stock,0,0.0,1,
34,53,5,0,0,5,2025-11-12,16.58,3.0,139.33333333333334,,Out of Stock,0,0.0,1,0.021531100478468897
484,799,19,314,5,19,2025-07-17,1.89,,147.0,0.006019108280254776,High Stock,309,0.1702417181026831,0,
353,588,20,259,2,25,2025-10-13,4.89,,169.5,0.01888030888030888,High Stock,257,0.14042230888087553,0,
81,133,47,57,28,18,2025-12-22,3.7,,28.5,0.0649122807017544,High Stock,29,0.03090375137532782,0,
179,296,47,200,29,5,2025-10-12,9.62,,100.0,0.0481,High Stock,171,0.10843421535202745,0,
288,472,3,0,0,17,2025-11-19,0.92,4.0,0.0,,Out of Stock,0,0.0,1,
196,322,50,428,9,5,2025-08-16,5.65,3.0,428.0,0.013200934579439253,High Stock,419,0.23204922085333873,0,0.007009345794392523
50,78,6,368,21,10,2025-07-03,2.99,,310.5,0.008125,High Stock,347,0.1995189562477305,0,
379,633,40,199,33,17,2025-10-22,0.65,,308.0,0.0032663316582914573,High Stock,166,0.10789204427526732,0,
222,362,11,45,20,6,2025-11-24,7.1,,45.0,0.15777777777777777,In Stock,25,0.024397698454206175,0,
365,613,8,4,3,0,2025-07-11,3.66,,8.0,0.915,In Stock,1,0.002168684307040549,0,
230,375,31,0,0,5,2025-10-14,8.81,,1.5,,Out of Stock,0,0.0,1,
356,593,19,205,27,20,2025-10-12,11.19,,205.0,0.054585365853658536,High Stock,178,0.11114507073582813,0,
358,597,29,18,7,0,2025-10-12,26.06,,17.0,1.4477777777777776,In Stock,11,0.00975907938168247,0,
448,744,42,0,0,11,2025-09-11,2.13,1.0,0.0,,Out of Stock,0,0.0,1,
65,108,25,151,21,7,2025-08-08,1.31,,108.5,0.008675496688741723,High Stock,130,0.08186783259078072,0,
91,155,24,0,0,18,2025-07-20,0.65,6.0,0.0,,Out of Stock,0,0.0,1,
411,683,45,390,41,10,2025-09-20,1.16,6.0,371.5,0.002974358974358974,High Stock,349,0.21144671993645353,0,0.016150740242261104
320,530,48,185,23,20,2025-08-24,7.28,,220.0,0.03935135135135135,High Stock,162,0.10030164920062538,0,
226,368,18,166,21,6,2025-07-20,25.01,2.0,199.66666666666666,0.15066265060240966,High Stock,145,0.09000039874218278,0,0.01001669449081803
124,211,39,379,16,5,2025-07-30,6.88,1.0,192.0,0.018153034300791557,High Stock,363,0.205482838092092,0,0.005208333333333333
483,796,43,395,15,23,2025-12-22,23.35,,395.0,0.05911392405063291,High Stock,380,0.2141575753202542,0,
387,642,45,51,3,8,2025-11-30,2.48,,51.0,0.04862745098039216,High Stock,48,0.027650724914767,0,
