campaign_id,campaign_name,campaign_type,start_date,end_date,budget,spent_amount,impressions,clicks,conversions,target_audience,campaign_status,campaign_duration_days,campaign_roi,click_through_rate,conversion_rate,cost_per_conversion,cost_per_click,campaign_efficiency_score,revenue_generated,orders_from_campaign,total_impressions,total_clicks,total_conversions,total_budget,total_spent,budget_utilization_rate,ctr,roi,roas,avg_order_value,days_active,revenue_per_impression,revenue_per_click,campaign_profit,cost_efficiency_ratio,engagement_rate,campaign_status_derived,days_until_end,performance_tier,budget_status
1,Year End Search Push 2023,Search,2026-01-21,2026-01-21,85391.03,0.0,0,0,0,Budget Conscious,Planned,0,,,,,,,0.0,0,0,0,0,85391.03,0.0,0.0,,,,,1,,,0.0,,,Active,0.0,,Under Budget
2,Product Showcase Social 2024,Social Media,2025-12-05,2026-01-21,50261.07,9749.31,591896,6191,268,Loyalty Members,Paused,47,-100.0,1.045960776893238,4.328864480697788,36.3780223880597,1.5747552899370052,,0.0,0,591896,6191,268,50261.07,9749.31,19.397338735526322,1.045960776893238,,,,48,,,-9749.31,,1.0912390014462001,Active,0.0,,Under Budget
6,Labor Day Social Campaign 2025,Social Media,2025-03-06,2025-04-23,82942.74,69696.24,4034860,79954,874,Premium Shoppers,Completed,48,-100.0,1.9815805257183645,1.0931285489156264,79.74398169336385,0.8717042299322111,,0.0,0,4034860,79954,874,82942.74,69696.24,84.02934361705437,1.9815805257183645,,,,49,,,-69696.24,,2.003241748164744,Completed,,,Near Budget
7,Product Category Search 2025,Search,2026-01-21,2026-01-21,51744.58,0.0,0,0,0,"Frequent Buyers, Parents",Planned,0,,,,,,,0.0,0,0,0,0,51744.58,0.0,0.0,,,,,1,,,0.0,,,Active,0.0,,Under Budget
8,Programmatic Display 2023,Display,2025-02-27,2025-04-10,25502.04,25363.97,3192876,12868,224,"First-Time Buyers, Premium Shoppers",Completed,42,-100.0,0.4030222282356095,1.740752253652471,113.23200892857143,1.9710887472800747,,0.0,0,3192876,12868,224,25502.04,25363.97,99.45859233222126,0.4030222282356095,,,,43,,,-25363.97,,0.41003784675634136,Completed,,,Near Budget
9,Product Display Ads 2024,Display,2025-11-12,2026-01-21,85183.4,43634.33,3144777,12861,317,"Gen Z 18-24, Email Engaged",Active,70,-90.83508329336098,0.4089638152403175,2.4648161107223387,137.6477287066246,3.392763393204261,-32.07105155496801,3999.05,1,3144777,12861,317,85183.4,43634.33,51.223982606939856,0.4089638152403175,-90.83508329336098,0.09164916706639016,12.615299684542588,71,0.0012716481963585971,0.3109439390405101,-39635.28,1091.1173903802153,0.4190440212453856,Active,0.0,Poor,On Track
10,Q3 Newsletter Campaign 2025,Email,2025-12-08,2026-01-21,5754.78,1946.66,171720,12050,136,"Budget Conscious, Premium Shoppers, New Customers",Active,44,-100.0,7.017237363149313,1.1286307053941909,14.313676470588236,0.16154854771784233,,0.0,0,171720,12050,136,5754.78,1946.66,33.82683612579456,7.017237363149313,,,,45,,,-1946.66,,7.096436058700209,Active,0.0,,Under Budget
11,Social Proof Campaign 2025,Social Media,2025-02-11,2025-05-03,78789.2,68687.15,4049171,115560,3382,,Completed,81,-100.0,2.8539175055832415,2.9266182069920386,20.3096244825547,0.5943851678781584,,0.0,0,4049171,115560,3382,78789.2,68687.15,87.17838231635807,2.8539175055832415,,,,82,,,-68687.15,,2.9374407749141738,Completed,,,Near Budget
12,Product Showcase Social 2023,Social Media,2025-06-11,2025-07-07,4882.68,4304.88,607306,17643,122,"Email Engaged, First-Time Buyers",Completed,26,-100.0,2.9051252581071156,0.6914923765799467,35.28590163934426,0.24399931984356402,,0.0,0,607306,17643,122,4882.68,4304.88,88.16633488166335,2.9051252581071156,,,,27,,,-4304.88,,2.925213977797025,Completed,,,Near Budget
13,Product Showcase Social 2025,Social Media,2025-10-29,2026-01-21,91925.07,51526.74,5926115,57448,2644,Parents,Paused,84,-92.23888412113787,0.969404069951393,4.602423060855034,19.488177004538578,0.8969283525971313,-20.683816581415286,3999.05,1,5926115,57448,2644,91925.07,51526.74,56.05297880110398,0.969404069951393,-92.23888412113787,0.07761115878862121,1.5125000000000002,85,0.0006748181565831915,0.0696116487954324,-47527.689999999995,1288.4745126967653,1.0140201464197034,Active,0.0,Poor,On Track
14,Product Launch Announcement 2024,Email,2025-09-07,2025-10-14,5158.49,5059.7,425851,18213,1116,High LTV Customers,Completed,37,-94.10399826076645,4.276848005523059,6.127491352330753,4.5337813620071685,0.27780706089057267,-5.722422354921814,298.32,1,425851,18213,1116,5158.49,5059.7,98.08490469110147,4.276848005523059,-94.10399826076645,0.058960017392335515,0.26731182795698927,38,0.0007005267100464716,0.016379509141821777,-4761.38,1696.0646285867526,4.538911497213814,Completed,,Poor,Near Budget
15,Cross-Network Display 2024,Display,2025-11-04,2026-01-15,77359.53,53696.97,3764217,13237,575,"VIP Customers, Homeowners",Active,72,-92.55255929710745,0.35165347800086977,4.343884565989272,93.3860347826087,4.056581551711113,-23.677723123605187,3999.05,1,3764217,13237,575,77359.53,53696.97,69.41222367819452,0.35165347800086977,-92.55255929710745,0.07447440702892547,6.9548695652173915,73,0.0010623856169822304,0.30211150562816347,-49697.92,1342.743151498481,0.36692889915751403,Completed,,Poor,On Track
16,Abandoned Cart Recovery 2024,Email,2025-11-12,2026-01-21,9784.56,3021.16,156667,11535,155,"Millennials 25-34, Desktop Users",Paused,70,32.36803082259795,7.362750292020655,1.3437364542696142,19.491354838709675,0.2619124403987863,41.30957341269868,3999.05,1,156667,11535,155,9784.56,3021.16,30.87680999452198,7.362750292020655,32.36803082259795,1.3236803082259796,25.80032258064516,71,0.02552579675362393,0.3466883398352839,977.8900000000003,75.54694239881971,7.461686251731379,Active,0.0,Break-even,Under Budget
