year_month,order_year,order_month,total_revenue,total_orders,total_customers,new_customers,returning_customers,avg_order_value,total_units_sold,total_sessions,total_conversions,session_to_order_rate,prev_month_revenue,prev_month_customers,revenue_growth_rate,customer_retention_rate,churn_rate
2015-08,2015,8,2625.13,1,1,1,0,2625.13,3,2,0,50.0,,,,,
2018-04,2018,4,1071.24,1,1,1,0,1071.24,3,4,1,25.0,2625.13,1.0,-59.19287806699097,0.0,100.0
2018-06,2018,6,1998.58,1,1,1,0,1998.58,6,4,0,25.0,1071.24,1.0,86.56696911989843,0.0,100.0
2018-09,2018,9,462.32,1,1,1,0,462.32,5,8,0,12.5,1998.58,1.0,-76.86757597894506,0.0,100.0
2018-10,2018,10,6939.219999999999,2,2,2,0,3469.6099999999997,16,7,0,28.57142857142857,462.32,1.0,1400.9560477591278,0.0,100.0
2018-11,2018,11,4986.41,1,1,1,0,4986.41,5,8,0,12.5,6939.219999999999,2.0,-28.14163551523081,0.0,100.0
2019-04,2019,4,1036.63,1,1,1,0,1036.63,8,6,0,16.666666666666664,4986.41,1.0,-79.21089521318945,0.0,100.0
2019-06,2019,6,1371.15,1,1,1,0,1371.15,6,11,1,9.090909090909092,1036.63,1.0,32.26995167031631,0.0,100.0
2019-08,2019,8,1169.6,1,1,0,1,1169.6,2,8,2,12.5,1371.15,1.0,-14.699339970098105,100.0,0.0
2019-12,2019,12,1284.7,2,2,2,0,642.35,7,9,1,22.22222222222222,1169.6,1.0,9.840971272229835,0.0,100.0
2020-09,2020,9,1540.9299999999998,2,2,2,0,770.4649999999999,4,6,0,33.33333333333333,1284.7,2.0,19.944734179185787,0.0,100.0
2020-10,2020,10,867.48,1,1,1,0,867.48,2,19,0,5.263157894736842,1540.9299999999998,2.0,-43.70412672866385,0.0,100.0
2020-11,2020,11,4160.83,1,1,1,0,4160.83,1,10,0,10.0,867.48,1.0,379.64564024530824,0.0,100.0
2021-01,2021,1,5244.71,2,2,2,0,2622.355,8,11,1,18.181818181818183,4160.83,1.0,26.049610294099978,0.0,100.0
2021-05,2021,5,3321.87,1,1,1,0,3321.87,6,8,0,12.5,5244.71,2.0,-36.66246560820331,0.0,100.0
2021-06,2021,6,589.03,1,1,1,0,589.03,5,13,2,7.6923076923076925,3321.87,1.0,-82.2681200649032,0.0,100.0
2021-08,2021,8,3227.9799999999996,3,2,2,1,1075.993333333333,17,11,1,27.27272727272727,589.03,1.0,448.01623007317113,100.0,0.0
2021-09,2021,9,538.49,1,1,1,0,538.49,3,9,1,11.11111111111111,3227.9799999999996,2.0,-83.3180502977094,0.0,100.0
2021-11,2021,11,3735.13,2,1,1,1,1867.565,14,17,1,11.76470588235294,538.49,1.0,593.630336682204,100.0,0.0
2021-12,2021,12,1770.98,1,1,1,0,1770.98,8,9,1,11.11111111111111,3735.13,1.0,-52.58585377215786,0.0,100.0
2022-01,2022,1,153.68,1,1,1,0,153.68,1,24,0,4.166666666666666,1770.98,1.0,-91.32231871619103,0.0,100.0
2022-02,2022,2,5249.99,3,2,3,0,1749.9966666666667,14,8,1,37.5,153.68,1.0,3316.182977615825,0.0,100.0
2022-03,2022,3,1286.83,1,1,1,0,1286.83,5,14,1,7.142857142857142,5249.99,2.0,-75.4889056931537,0.0,100.0
2022-04,2022,4,2905.32,1,1,1,0,2905.32,2,10,0,10.0,1286.83,1.0,125.77341218342752,0.0,100.0
2022-05,2022,5,813.36,1,1,1,0,813.36,2,25,1,4.0,2905.32,1.0,-72.00446078228904,0.0,100.0
2022-07,2022,7,1872.61,1,1,1,0,1872.61,4,17,0,5.88235294117647,813.36,1.0,130.23138585620146,0.0,100.0
2022-08,2022,8,1435.18,1,1,1,0,1435.18,4,19,1,5.263157894736842,1872.61,1.0,-23.359375417198446,0.0,100.0
2022-12,2022,12,2459.01,2,2,2,0,1229.505,11,15,0,13.333333333333334,1435.18,1.0,71.33808999568,0.0,100.0
2023-01,2023,1,507.27,1,1,1,0,507.27,2,18,2,5.555555555555555,2459.01,2.0,-79.37096636451255,0.0,100.0
2023-03,2023,3,5368.35,4,4,4,0,1342.0875,23,25,1,16.0,507.27,1.0,958.2825714116742,0.0,100.0
2023-06,2023,6,4872.43,2,2,2,0,2436.215,15,24,0,8.333333333333332,5368.35,4.0,-9.237847755828142,0.0,100.0
2023-08,2023,8,273.72,1,1,1,0,273.72,1,33,1,3.0303030303030303,4872.43,2.0,-94.38226921679737,0.0,100.0
2023-09,2023,9,3418.58,2,2,2,0,1709.29,12,18,4,11.11111111111111,273.72,1.0,1148.933216425544,0.0,100.0
2023-10,2023,10,1460.6100000000001,2,2,2,0,730.3050000000001,5,19,1,10.526315789473683,3418.58,2.0,-57.27436537977756,0.0,100.0
2023-11,2023,11,2281.79,2,1,2,0,1140.895,19,16,2,12.5,1460.6100000000001,2.0,56.22171558458451,0.0,100.0
2023-12,2023,12,353.59,1,1,1,0,353.59,3,31,2,3.225806451612903,2281.79,1.0,-84.5038325174534,0.0,100.0
2024-01,2024,1,1344.16,1,1,1,0,1344.16,3,24,2,4.166666666666666,353.59,1.0,280.1464973556945,0.0,100.0
2024-03,2024,3,3714.58,2,2,2,0,1857.29,13,27,5,7.4074074074074066,1344.16,1.0,176.34954172122366,0.0,100.0
2024-05,2024,5,2574.5699999999997,2,1,1,1,1287.2849999999999,18,30,2,6.666666666666667,3714.58,2.0,-30.69014531925548,50.0,50.0
2024-06,2024,6,4519.02,2,2,1,1,2259.51,15,28,2,7.142857142857142,2574.5699999999997,1.0,75.52523333993642,100.0,0.0
2024-07,2024,7,1045.29,1,1,1,0,1045.29,6,34,6,2.941176470588235,4519.02,2.0,-76.8690999375971,0.0,100.0
2024-08,2024,8,2500.48,2,2,2,0,1250.24,7,22,0,9.090909090909092,1045.29,1.0,139.21399802925504,0.0,100.0
2024-09,2024,9,4911.88,2,2,2,0,2455.94,6,34,3,5.88235294117647,2500.48,2.0,96.43748400307142,0.0,100.0
2024-10,2024,10,12151.36,6,6,6,0,2025.2266666666667,29,36,3,16.666666666666664,4911.88,2.0,147.3871511519011,0.0,100.0
2024-11,2024,11,5633.280000000001,4,4,3,1,1408.3200000000002,11,25,2,16.0,12151.36,6.0,-53.640744739683456,16.666666666666664,83.33333333333334
2024-12,2024,12,16521.269999999997,8,8,8,0,2065.1587499999996,29,38,5,21.052631578947366,5633.280000000001,4.0,193.27975886162227,0.0,100.0
2025-01,2025,1,4276.17,2,2,2,0,2138.085,12,37,5,5.405405405405405,16521.269999999997,8.0,-74.11718348528896,0.0,100.0
2025-02,2025,2,949.49,2,2,2,0,474.745,6,40,4,5.0,4276.17,2.0,-77.7957845455162,0.0,100.0
2025-03,2025,3,329.62,1,1,0,1,329.62,5,43,5,2.3255813953488373,949.49,2.0,-65.2845211639933,50.0,50.0
2025-04,2025,4,4228.53,2,2,2,0,2114.265,12,44,2,4.545454545454546,329.62,1.0,1182.8499484254596,0.0,100.0
2025-05,2025,5,1762.13,1,1,1,0,1762.13,5,39,4,2.564102564102564,4228.53,2.0,-58.32759847984996,0.0,100.0
2025-06,2025,6,3317.71,2,2,2,0,1658.855,5,35,3,5.714285714285714,1762.13,1.0,88.27839035712461,0.0,100.0
