order_item_id,order_id,product_id,quantity,discount_amount,product_price
243,94,41,1,29.96,199.76
31,12,378,6,0.0,100.56
85,32,41,2,39.95,199.76
137,54,103,2,0.0,408.53
251,96,207,2,0.0,46.8
65,24,307,1,12.7,126.97
53,19,13,1,23.8,119.0
255,98,45,1,217.29,217.29
296,112,56,2,0.0,409.39
133,53,321,2,0.0,74.05
322,121,299,1,50.71,253.54
78,30,76,3,0.0,803.23
362,135,295,2,0.0,238.26
321,121,219,1,0.0,183.66
375,139,302,3,171.11,142.59
108,43,254,3,0.0,395.44
368,137,21,2,0.0,389.41
34,13,165,1,0.0,133.28
193,74,142,2,69.79,174.48
211,81,130,2,0.0,745.47
115,46,389,1,0.0,327.83
126,49,4,1,0.0,147.53
81,31,415,1,0.0,158.1
385,143,97,4,0.0,122.94
210,80,493,4,0.0,369.54
300,114,440,3,0.0,216.11
76,30,104,3,9.81,32.71
26,10,130,1,149.09,745.47
332,124,305,1,0.0,378.28
384,142,265,6,0.0,73.41
271,103,209,3,35.87,119.56
44,16,293,2,0.0,116.69
159,61,407,1,26.1,261.02
253,97,277,1,0.0,39.31
329,123,194,6,172.94,288.23
236,92,330,1,17.64,117.61
12,5,28,1,44.79,298.62
336,125,177,2,0.0,41.77
350,131,31,1,0.0,51.19
223,86,200,2,0.0,899.94
388,144,144,2,0.0,1082.93
91,35,6,1,0.0,119.78
285,108,102,1,0.0,580.65
22,9,424,1,3.93,26.23
330,123,486,2,0.0,415.81
209,80,191,1,109.19,727.94
372,139,12,2,0.0,168.0
122,48,105,1,0.0,24.47
319,120,452,2,0.0,192.56
230,88,75,2,0.0,254.98
233,90,411,5,0.0,84.88
190,72,227,7,0.0,152.3
157,60,478,2,0.0,215.05
232,89,59,1,93.66,234.15
93,37,220,3,0.0,269.37
367,137,473,2,0.0,309.25
360,134,436,7,0.0,80.51
346,129,461,1,0.0,711.37
246,95,361,2,61.12,203.75
47,18,51,2,94.33,188.65
140,55,223,1,0.0,282.68
152,59,40,1,2.87,28.74
132,53,272,2,0.0,133.08
305,115,432,3,20.8,46.22
185,72,251,1,157.41,393.53
353,133,252,1,0.0,323.84
355,133,394,1,59.74,238.97
259,99,422,1,0.0,771.74
206,79,227,1,0.0,152.3
1,1,246,5,0.0,709.94
363,135,348,1,0.0,502.14
297,112,272,1,0.0,133.08
52,19,332,2,0.0,33.87
212,81,243,2,0.0,555.05
274,104,293,1,0.0,116.69
280,106,277,1,0.0,39.31
348,131,90,1,9.63,64.18
218,83,413,1,15.09,60.37
86,33,51,2,37.73,188.65
6,2,118,3,85.75,285.82
205,78,34,3,0.0,946.98
168,65,295,2,0.0,238.26
142,56,252,1,80.96,323.84
3,2,241,6,252.5,280.56
308,116,496,5,0.0,62.5
328,123,466,1,234.33,937.33
20,8,143,2,0.0,618.02
164,64,64,3,11.57,25.71
40,15,354,1,0.0,156.7
169,66,278,3,0.0,71.92
283,107,496,2,0.0,62.5
139,55,41,5,0.0,199.76
359,134,248,3,0.0,165.29
295,112,79,2,0.0,41.54
340,126,35,2,0.0,480.99
94,37,300,1,0.0,281.9
377,140,104,1,0.0,32.71
250,96,180,2,0.0,26.12
57,20,392,1,0.0,598.09
339,126,267,1,4.62,46.21
292,110,114,1,62.49,249.98
306,115,13,1,0.0,119.0
120,47,29,1,0.0,129.61
54,19,299,2,126.77,253.54
96,39,477,4,0.0,75.86
235,92,300,3,169.14,281.9
266,101,434,1,0.0,521.01
48,18,384,2,0.0,39.95
191,73,420,2,0.0,348.82
163,64,307,2,38.09,126.97
268,102,126,1,285.06,712.64
258,99,281,1,0.0,59.36
279,106,321,3,0.0,74.05
19,8,44,2,0.0,326.93
