order_id,customer_id,order_status,subtotal,tax_amount,shipping_cost,total_discount,total_amount,currency,order_placed_at,order_shipped_at,order_delivered_at,total_product_price,total_quantity,avg_product_price,max_item_discount,unique_products_ordered,total_discount_from_items,order_placed_year,order_placed_month,order_placed_quarter,order_placed_day_of_week,order_placed_week_of_year,order_placed_day_of_month,order_shipped_year,order_shipped_month,order_shipped_quarter,order_shipped_day_of_week,order_shipped_week_of_year,order_shipped_day_of_month,order_delivered_year,order_delivered_month,order_delivered_quarter,order_delivered_day_of_week,order_delivered_week_of_year,order_delivered_day_of_month,order_processing_seconds_diff,order_processing_minutes_diff,order_processing_hours_diff,order_processing_days_diff,order_processing_weeks_diff,order_processing_months_diff,order_processing_years_diff,delivery_seconds_diff,delivery_minutes_diff,delivery_hours_diff,delivery_days_diff,delivery_weeks_diff,delivery_months_diff,delivery_years_diff,total_order_fulfillment_time_seconds,total_order_fulfillment_time_minutes,total_order_fulfillment_time_hours,total_order_fulfillment_time_days,total_order_fulfillment_time_weeks,total_order_fulfillment_time_months,total_order_fulfillment_time_years,order_profit,net_revenue,net_profit,discount_percentage,average_item_value,cost_per_item,order_size_category,season
32,2,Cancelled,359.57,21.98,6.3,39.95,387.85,USD,2025-07-05 18:24:53,,,359.57,2,199.76,39.95,1,39.95,2025,7,3,7,27,5,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,359.57,353.27,353.27,9.999499399279136,179.785,0.0,Small,Summer
59,2,Delivered,2504.51,151.94,24.73,8.59,2681.18,USD,2025-08-07 00:49:29,2025-08-10,2025-08-16,2472.0699999999997,14,148.17499999999998,2.87,4,2.87,2025,8,3,5,32,7,2025.0,8.0,3.0,1.0,32.0,10.0,2025.0,8.0,3.0,7.0,33.0,16.0,256231,4270,71,3,0.42857142857142855,0.1,0.00821917808219178,518400,8640,144,6,0.8571428571428571,0.2,0.01643835616438356,774631,12910,215,9,1.2857142857142856,0.30000000000000004,0.02465753424657534,2472.0699999999997,2447.3399999999997,2447.3399999999997,0.11596240716946674,176.57642857142855,0.0,Large,Summer
8,7,Delivered,1889.9,183.88,24.61,0.0,2098.39,USD,2025-06-14 14:03:35,2025-06-14,2025-06-21,1889.9,4,472.475,0.0,2,0.0,2025,6,2,7,24,14,2025.0,6.0,2.0,7.0,24.0,14.0,2025.0,6.0,2.0,7.0,25.0,21.0,0,0,0,0,0.0,0.0,0.0,604800,10080,168,7,1.0,0.23333333333333334,0.019178082191780823,604800,10080,168,7,1.0,0.23333333333333334,0.019178082191780823,1889.9,1865.2900000000002,1865.2900000000002,0.0,472.475,0.0,Medium,Summer
55,16,Cancelled,1281.48,89.67,0.0,0.0,1371.15,USD,2019-06-30 05:34:07,,,1281.48,6,241.22,0.0,2,0.0,2019,6,2,1,26,30,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1281.48,1281.48,1281.48,0.0,213.58,0.0,Medium,Summer
141,26,Delivered,821.97,82.02,23.15,213.29,927.14,USD,2024-12-05 20:56:10,2024-12-07,2024-12-13,821.97,2,517.63,120.48,2,213.29000000000002,2024,12,4,5,49,5,2024.0,12.0,4.0,7.0,49.0,7.0,2024.0,12.0,4.0,6.0,50.0,13.0,97430,1623,27,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,518400,8640,144,6,0.8571428571428571,0.2,0.01643835616438356,615830,10263,171,8,1.1428571428571428,0.26666666666666666,0.021917808219178082,821.97,798.82,798.82,20.602553947800555,410.985,0.0,Small,Winter
125,39,Processing,479.8,40.89,9.66,131.13,530.35,USD,2023-03-28 21:09:56,,,479.8,9,134.28666666666666,131.13,3,131.13,2023,3,1,3,13,28,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,479.8,470.14,470.14,21.463997511989913,53.31111111111111,0.0,Large,Spring
3,41,Shipped,2753.85,223.66,9.41,0.0,2986.92,USD,2023-09-10 18:03:42,2023-09-11,,2753.85,9,604.65,0.0,2,0.0,2023,9,3,1,36,10,2023.0,9.0,3.0,2.0,37.0,11.0,,,,,,,21378,356,5,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,0,0,0,0,0.0,0.0,0.0,21378,356,5,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,2753.85,2744.44,2744.44,0.0,305.98333333333335,0.0,Large,Fall
127,42,Delivered,2383.94,162.34,8.57,0.0,2554.85,USD,2025-09-05 04:06:52,2025-09-07,2025-09-14,2383.94,4,446.5,0.0,2,0.0,2025,9,3,6,36,5,2025.0,9.0,3.0,1.0,36.0,7.0,2025.0,9.0,3.0,1.0,37.0,14.0,157988,2633,43,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,604800,10080,168,7,1.0,0.23333333333333334,0.019178082191780823,762788,12713,211,9,1.2857142857142856,0.3,0.024657534246575345,2383.94,2375.37,2375.37,0.0,595.985,0.0,Medium,Fall
15,44,Processing,1140.19,119.03,27.61,174.48,1286.83,USD,2022-03-23 15:06:43,,,1140.19,5,219.67,174.48,3,174.48,2022,3,1,4,12,23,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1140.19,1112.5800000000002,1112.5800000000002,13.271771623297099,228.038,0.0,Medium,Spring
77,49,Delivered,488.84,28.49,0.0,0.0,517.33,USD,2025-11-21 19:58:09,2025-11-22,2025-11-28,488.84,1,488.84,0.0,1,0.0,2025,11,4,6,47,21,2025.0,11.0,4.0,7.0,47.0,22.0,2025.0,11.0,4.0,6.0,48.0,28.0,14511,241,4,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,518400,8640,144,6,0.8571428571428571,0.2,0.01643835616438356,532911,8881,148,7,1.0,0.23333333333333334,0.01917808219178082,488.84,488.84,488.84,0.0,488.84,0.0,Small,Fall
109,54,Delivered,128.28,11.74,13.66,22.64,153.68,USD,2022-01-23 06:37:21,2022-01-24,2022-01-29,128.27999999999997,1,150.92,22.64,1,22.64,2022,1,1,1,3,23,2022.0,1.0,1.0,2.0,4.0,24.0,2022.0,1.0,1.0,7.0,4.0,29.0,62559,1042,17,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,432000,7200,120,5,0.7142857142857143,0.16666666666666666,0.0136986301369863,494559,8242,137,6,0.8571428571428572,0.19999999999999998,0.01643835616438356,128.27999999999997,114.61999999999998,114.61999999999998,15.00132520540684,128.27999999999997,0.0,Small,Winter
96,60,Delivered,145.84,10.89,0.0,0.0,156.73,USD,2021-11-25 03:22:42,2021-11-27,2021-11-30,145.84,4,36.46,0.0,2,0.0,2021,11,4,5,47,25,2021.0,11.0,4.0,7.0,47.0,27.0,2021.0,11.0,4.0,3.0,48.0,30.0,160638,2677,44,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,259200,4320,72,3,0.42857142857142855,0.1,0.00821917808219178,419838,6997,116,5,0.7142857142857142,0.16666666666666669,0.0136986301369863,145.84,145.84,145.84,0.0,36.46,0.0,Medium,Fall
123,60,Delivered,3347.09,222.78,8.53,407.27,3578.4,USD,2021-11-24 08:25:00,2021-11-27,2021-12-02,3347.09,10,474.34999999999997,234.33,4,407.27,2021,11,4,4,47,24,2021.0,11.0,4.0,7.0,47.0,27.0,2021.0,12.0,4.0,5.0,48.0,2.0,228900,3815,63,3,0.42857142857142855,0.1,0.00821917808219178,432000,7200,120,5,0.7142857142857143,0.16666666666666666,0.0136986301369863,660900,11015,183,8,1.1428571428571428,0.26666666666666666,0.021917808219178082,3347.09,3338.56,3338.56,10.847920817396307,334.709,0.0,Large,Fall
31,63,Cancelled,996.62,83.77,17.05,59.67,1097.44,USD,2021-08-31 07:09:52,,,996.6200000000001,6,156.0325,59.67,4,59.67,2021,8,3,3,35,31,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,996.6200000000001,979.5700000000002,979.5700000000002,5.649016841965748,166.10333333333335,0.0,Medium,Summer
90,64,Delivered,424.4,28.26,9.66,0.0,462.32,USD,2018-09-29 02:25:12,2018-10-01,2018-10-06,424.4,5,84.88,0.0,1,0.0,2018,9,3,7,39,29,2018.0,10.0,4.0,2.0,40.0,1.0,2018.0,10.0,4.0,7.0,40.0,6.0,164088,2734,45,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,432000,7200,120,5,0.7142857142857143,0.16666666666666666,0.0136986301369863,596088,9934,165,7,1.0,0.23333333333333334,0.01917808219178082,424.4,414.73999999999995,414.73999999999995,0.0,84.88,0.0,Medium,Fall
128,73,Returned,156.72,15.05,0.0,0.0,171.77,USD,2025-10-18 08:40:45,2025-10-21,2025-10-25,156.72,6,26.12,0.0,1,0.0,2025,10,4,7,42,18,2025.0,10.0,4.0,3.0,43.0,21.0,2025.0,10.0,4.0,7.0,43.0,25.0,227955,3799,63,3,0.42857142857142855,0.1,0.00821917808219178,345600,5760,96,4,0.5714285714285714,0.13333333333333333,0.010958904109589041,573555,9559,159,7,1.0,0.23333333333333334,0.01917808219178082,156.72,156.72,156.72,0.0,26.12,0.0,Medium,Fall
54,74,Delivered,2043.15,155.97,0.0,198.92,2199.12,USD,2025-12-05 23:57:59,2025-12-06,2025-12-09,2043.15,8,257.54,198.92,3,198.92,2025,12,4,6,49,5,2025.0,12.0,4.0,7.0,49.0,6.0,2025.0,12.0,4.0,3.0,50.0,9.0,121,2,0,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,259200,4320,72,3,0.42857142857142855,0.1,0.00821917808219178,259321,4322,72,4,0.5714285714285714,0.13333333333333333,0.010958904109589041,2043.15,2043.15,2043.15,8.872158317982933,255.39375,0.0,Large,Winter
110,74,Processing,3732.43,292.38,7.49,62.49,4032.3,USD,2025-12-11 17:48:35,,,323.90999999999997,3,128.79999999999998,62.49,3,62.49,2025,12,4,5,50,11,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,323.90999999999997,316.41999999999996,316.41999999999996,16.172360248447205,107.96999999999998,0.0,Medium,Winter
108,77,Delivered,3009.16,213.17,13.34,4.89,3235.67,USD,2024-06-19 02:32:24,2024-06-20,2024-06-24,1577.0799999999997,6,307.52666666666664,4.89,3,4.89,2024,6,2,4,25,19,2024.0,6.0,2.0,5.0,25.0,20.0,2024.0,6.0,2.0,2.0,26.0,24.0,77256,1287,21,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,345600,5760,96,4,0.5714285714285714,0.13333333333333333,0.010958904109589041,422856,7047,117,5,0.7142857142857142,0.16666666666666666,0.0136986301369863,1577.0799999999997,1563.7399999999998,1563.7399999999998,0.30910826374710015,262.84666666666664,0.0,Medium,Summer
101,79,Pending,2440.85,203.98,19.49,0.0,2664.32,USD,2025-12-18 20:47:53,,,2440.85,7,370.2325,0.0,4,0.0,2025,12,4,5,51,18,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2440.85,2421.36,2421.36,0.0,348.6928571428571,0.0,Large,Winter
100,82,Delivered,2966.34,311.63,0.0,0.0,3277.97,USD,2025-12-07 02:38:34,2025-12-10,2025-12-14,2966.34,8,567.1866666666666,0.0,3,0.0,2025,12,4,1,49,7,2025.0,12.0,4.0,4.0,50.0,10.0,2025.0,12.0,4.0,1.0,50.0,14.0,249686,4161,69,3,0.42857142857142855,0.1,0.00821917808219178,345600,5760,96,4,0.5714285714285714,0.13333333333333333,0.010958904109589041,595286,9921,165,7,1.0,0.23333333333333334,0.01917808219178082,2966.34,2966.34,2966.34,0.0,370.7925,0.0,Large,Winter
115,91,Delivered,1035.74,82.35,7.96,101.54,1126.05,USD,2024-10-25 18:27:07,2024-10-28,2024-11-02,1035.74,8,179.744,80.74,5,101.53999999999999,2024,10,4,6,43,25,2024.0,10.0,4.0,2.0,44.0,28.0,2024.0,11.0,4.0,7.0,44.0,2.0,192773,3212,53,3,0.42857142857142855,0.1,0.00821917808219178,432000,7200,120,5,0.7142857142857143,0.16666666666666666,0.0136986301369863,624773,10412,173,8,1.1428571428571428,0.26666666666666666,0.021917808219178082,1035.74,1027.78,1027.78,8.928320202588633,129.4675,0.0,Large,Fall
4,93,Shipped,2649.44,178.12,7.9,0.0,2835.46,USD,2024-12-09 18:09:42,2024-12-10,,2649.44,5,513.1133333333333,0.0,3,0.0,2024,12,4,2,50,9,2024.0,12.0,4.0,3.0,50.0,10.0,,,,,,,21018,350,5,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,0,0,0,0,0.0,0.0,0.0,21018,350,5,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,2649.44,2641.54,2641.54,0.0,529.888,0.0,Medium,Winter
126,106,Processing,1259.75,120.7,15.4,4.62,1395.85,USD,2024-12-08 22:04:17,,,1259.75,5,195.845,4.62,4,4.62,2024,12,4,1,49,8,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1259.75,1244.35,1244.35,0.3653993688556356,251.95,0.0,Medium,Winter
136,110,Delivered,3841.53,302.19,17.11,17.98,4160.83,USD,2020-11-25 01:21:26,2020-11-28,2020-12-05,161.83,1,179.81,17.98,1,17.98,2020,11,4,4,48,25,2020.0,11.0,4.0,7.0,48.0,28.0,2020.0,12.0,4.0,7.0,49.0,5.0,254314,4238,70,3,0.42857142857142855,0.1,0.00821917808219178,604800,10080,168,7,1.0,0.23333333333333334,0.019178082191780823,859114,14318,238,10,1.4285714285714286,0.33333333333333337,0.0273972602739726,161.83,144.72000000000003,144.72000000000003,9.999443857405039,161.83,0.0,Small,Fall
61,113,Delivered,3124.12,319.17,16.47,535.96,3459.76,USD,2024-10-06 23:00:36,2024-10-06,2024-10-08,234.92,1,261.02,26.1,1,26.1,2024,10,4,1,40,6,2024.0,10.0,4.0,1.0,40.0,6.0,2024.0,10.0,4.0,3.0,41.0,8.0,0,0,0,0,0.0,0.0,0.0,172800,2880,48,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,172800,2880,48,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,234.92,218.45,218.45,9.999233775189643,234.92,0.0,Small,Fall
114,114,Shipped,2889.3,186.99,0.0,0.0,3076.29,USD,2022-02-17 09:53:48,2022-02-20,,1395.3000000000002,4,481.54,0.0,2,0.0,2022,2,1,5,7,17,2022.0,2.0,1.0,1.0,7.0,20.0,,,,,,,223572,3726,62,3,0.42857142857142855,0.1,0.00821917808219178,0,0,0,0,0.0,0.0,0.0,223572,3726,62,3,0.42857142857142855,0.1,0.00821917808219178,1395.3000000000002,1395.3000000000002,1395.3000000000002,0.0,348.82500000000005,0.0,Medium,Winter
133,115,Delivered,607.62,56.35,17.65,59.74,681.62,USD,2024-11-07 03:33:47,2024-11-09,2024-11-12,607.6199999999999,3,222.4533333333333,59.74,3,59.74,2024,11,4,5,45,7,2024.0,11.0,4.0,7.0,45.0,9.0,2024.0,11.0,4.0,3.0,46.0,12.0,159973,2666,44,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,259200,4320,72,3,0.42857142857142855,0.1,0.00821917808219178,419173,6986,116,5,0.7142857142857142,0.16666666666666669,0.0136986301369863,607.6199999999999,589.9699999999999,589.9699999999999,8.951690242148167,202.53999999999996,0.0,Medium,Fall
