payment_id,order_id,payment_method,payment_provider,payment_status,transaction_id,processing_fee,refund_amount,refund_date,payment_date
1,1,Credit Card,Braintree,Completed,51327359467.0,84.24,0.0,,2024-12-15
2,2,Credit Card,Authorize.net,Completed,126538300.0,143.85,0.0,,2018-10-02
3,3,Credit Card,Authorize.net,Completed,300400419.0,71.51,0.0,,2023-09-10
4,4,PayPal,PayPal,Completed,27213805235.0,42.97,0.0,,2024-12-09
5,5,Apple Pay,Adyen,Completed,8911802192390.0,129.89,0.0,,2025-12-22
6,6,Apple Pay,Braintree,Completed,69412406192.0,27.6,0.0,,2025-11-15
7,7,Credit Card,Adyen,Completed,7761819554016.0,4.64,0.0,,2024-12-09
8,8,Credit Card,Authorize.net,Completed,881675020.0,64.0,0.0,,2025-06-14
9,9,Credit Card,Braintree,Completed,88856132886.0,55.69,0.0,,2025-04-25
12,12,Credit Card,Adyen,Completed,8574063531154.0,23.01,0.0,,2023-11-14
13,13,Cash on Delivery,COD,Refunded,13.0,0.0,370.46,2025-02-17,2025-02-05
14,14,Gift Card,Square,Refunded,42161547996736.0,0.0,2325.32,2025-10-04,2025-09-30
15,15,Credit Card,Stripe,Completed,51415198915542.0,42.62,0.0,,2022-03-23
16,16,Credit Card,Stripe,Completed,72286156740259.0,39.75,0.0,,2024-03-28
18,18,PayPal,Braintree,Completed,60039542607.0,63.54,0.0,,2021-01-23
19,19,Credit Card,Stripe,Completed,44892722858272.0,10.35,0.0,,2021-06-24
20,20,Cash on Delivery,COD,Completed,20.0,0.0,0.0,,2024-10-29
21,21,PayPal,PayPal,Completed,22998747673.0,22.88,0.0,,2019-04-18
22,22,PayPal,Braintree,Completed,78056348740.0,59.8,0.0,,2024-12-08
23,23,Gift Card,Stripe,Completed,68508012785030.0,0.0,0.0,,2025-07-12
24,24,PayPal,PayPal,Completed,51959591826.0,97.31,0.0,,2024-12-19
25,25,Credit Card,Square,Refunded,82894977455279.0,7.84,228.36,2022-02-22,2022-02-18
26,26,Credit Card,Square,Completed,93235845268144.0,48.49,0.0,,2024-08-03
27,27,PayPal,PayPal,Refunded,48351578450.0,41.16,1285.72,2023-03-09,2023-03-01
28,28,Apple Pay,Square,Refunded,16909532487354.0,9.85,273.72,2023-09-01,2023-08-21
29,29,Credit Card,Adyen,Pending,,0.0,0.0,,2019-12-01
31,31,PayPal,PayPal,Refunded,77837074979.0,27.27,1097.44,2021-09-13,2021-08-31
32,32,Credit Card,Braintree,Refunded,16278223955.0,7.8,387.85,2025-07-07,2025-07-05
33,33,Credit Card,Authorize.net,Completed,394010124.0,12.67,0.0,,2023-09-06
34,34,PayPal,PayPal,Refunded,41643518072.0,5.29,229.82,2024-08-22,2024-08-21
35,35,Credit Card,Adyen,Pending,,0.0,0.0,,2025-09-05
36,36,Credit Card,Braintree,Completed,63530686880.0,10.17,0.0,,2023-03-25
37,37,Gift Card,Stripe,Completed,29956440296578.0,0.0,0.0,,2021-08-21
38,38,Credit Card,Braintree,Completed,31487819830.0,2.8,0.0,,2024-12-28
