product_id,current_stock,available_stock,avg_stock_quantity,reorder_point_breach_count,stockout_frequency,storage_cost_per_unit,last_restock_date,reserved_quantity,minimum_stock_level,storage_cost,supplier_id,cost_price,avg_daily_sales,total_cogs,stock_status,days_of_supply,inventory_turnover_ratio,days_since_restock,stock_health_score,reorder_urgency
1,276,255,276.0,0,0,0.030181159420289854,2025-11-13,21,5,8.33,36,0.0,,,Overstock,,,69,75,Low
2,286,245,286.0,0,0,0.05587412587412587,2025-09-11,41,14,15.98,36,0.0,,,Overstock,,,132,75,Low
3,15,12,15.0,0,0,0.08800000000000001,2025-10-29,3,0,1.32,36,0.0,,,Overstock,,,84,75,Low
4,6,5,3.0,2,1,0.8716666666666667,2025-10-20,1,12,5.23,33,0.0,1.0,295.06,Low Stock,6.0,98.35333333333334,93,50,High
6,0,0,101.33333333333333,2,1,0.0,2025-11-12,0,16,1.04,2,0.0,1.0,119.78,Out of Stock,0.0,1.1820394736842106,70,0,Critical
9,384,342,384.0,0,0,0.012421874999999999,2025-08-15,42,20,4.77,29,0.0,3.0,2259.28,Overstock,128.0,5.883541666666667,159,75,Low
10,0,0,0.0,2,2,0.0,2025-08-20,0,7,17.96,39,0.0,,,Out of Stock,,,154,0,Critical
11,287,284,287.0,0,0,0.06550522648083625,2025-08-25,3,23,18.8,38,0.0,,,Overstock,,,149,75,Low
12,307,283,307.0,0,0,0.03690553745928339,2025-09-15,24,14,11.33,25,0.0,2.0,504.0,Overstock,153.5,1.6416938110749186,128,75,Low
13,324,310,324.0,0,0,0.012037037037037037,2025-10-28,14,26,3.9,16,0.0,1.0,238.0,Overstock,324.0,0.7345679012345679,85,75,Low
14,0,0,125.0,1,1,0.0,2025-08-21,0,7,4.54,5,0.0,,,Out of Stock,,,153,0,Critical
15,0,0,0.0,1,1,0.0,2025-03-16,0,22,1.11,15,0.0,1.0,185.9,Out of Stock,0.0,,311,0,Critical
16,113,98,113.0,0,0,0.14185840707964603,2025-10-25,15,9,16.03,50,0.0,,,Overstock,,,88,75,Low
17,0,0,0.0,1,1,0.0,2025-09-09,0,15,1.18,45,0.0,,,Out of Stock,,,134,0,Critical
18,0,0,0.0,3,3,0.0,2025-02-01,0,29,6.15,33,0.0,,,Out of Stock,,,354,0,Critical
19,177,161,177.0,0,0,0.026610169491525424,2025-12-08,16,14,4.71,15,0.0,,,Overstock,,,44,75,Low
20,10,5,9.5,0,0,0.369,2025-08-29,5,0,3.69,32,0.0,,,Overstock,,,145,75,Low
21,0,0,0.0,1,1,0.0,2025-11-06,0,18,18.5,2,0.0,2.0,778.82,Out of Stock,0.0,,76,0,Critical
22,8,5,8.0,0,0,0.15,2025-11-15,3,0,1.2,5,0.0,,,Overstock,,,67,75,Low
26,329,287,329.0,0,0,0.035106382978723406,2025-09-20,42,8,11.55,6,0.0,,,Overstock,,,123,75,Low
27,227,218,227.0,0,0,0.03013215859030837,2025-11-05,9,13,6.84,8,0.0,,,Overstock,,,77,75,Low
29,123,80,123.0,0,0,0.022682926829268292,2025-10-27,43,8,2.79,44,0.0,2.5,648.0500000000001,Overstock,49.2,5.268699186991871,86,75,Low
30,0,0,134.5,1,1,0.0,2025-10-22,0,7,4.25,21,0.0,,386.41,Out of Stock,,2.8729368029739777,91,0,Critical
31,0,0,146.0,1,1,0.0,2025-10-10,0,6,0.75,8,0.0,1.0,51.19,Out of Stock,0.0,0.35061643835616435,103,0,Critical
32,6,5,9.5,2,0,0.8183333333333334,2025-12-04,1,12,4.91,30,0.0,,,Low Stock,,,48,50,Low
33,0,0,45.5,1,1,0.0,2025-11-04,0,24,1.89,10,0.0,3.0,561.3299999999999,Out of Stock,0.0,12.336923076923075,78,0,Critical
34,300,271,139.33333333333334,1,1,0.07913333333333333,2025-11-24,29,6,23.74,31,0.0,3.0,2840.94,Overstock,100.0,20.389521531100478,58,75,Low
35,390,367,264.3333333333333,0,0,0.04964102564102564,2025-11-11,23,20,19.36,25,0.0,3.0,2885.94,Overstock,130.0,10.917805800756621,71,75,Low
37,14,8,14.0,0,0,0.46214285714285713,2025-07-11,6,0,6.47,6,0.0,,,Overstock,,,194,75,Low
38,205,181,297.0,0,0,0.02039024390243902,2025-09-22,24,22,4.18,47,0.0,,,Overstock,,,121,75,Low
39,0,0,0.0,1,1,0.0,2025-05-16,0,14,1.06,41,0.0,2.0,236.12,Out of Stock,0.0,,250,0,Critical
41,0,0,0.0,1,1,0.0,2025-06-13,0,22,3.5,24,0.0,2.6666666666666665,1598.08,Out of Stock,0.0,,222,0,Critical
43,207,207,207.0,0,0,0.011207729468599032,2025-08-26,0,24,2.32,3,0.0,,,Overstock,,,148,75,Low
45,240,209,317.0,0,0,0.024,2025-11-11,31,27,5.76,9,0.0,1.5,1303.74,Overstock,160.0,4.112744479495269,71,75,Low
46,17,15,14.333333333333334,0,0,0.47941176470588237,2025-10-28,2,0,8.15,15,0.0,,,Overstock,,,85,75,Low
48,358,334,195.5,0,0,0.028938547486033517,2025-08-26,24,18,10.36,29,0.0,1.0,1492.44,Overstock,358.0,7.633964194373402,148,75,Low
50,253,208,310.5,0,0,0.011304347826086957,2025-07-03,45,7,2.86,50,0.0,,,Overstock,,,202,75,Low
51,9,9,157.5,1,0,0.2822222222222222,2025-08-10,0,21,2.54,8,0.0,2.0,754.6,Low Stock,4.5,4.791111111111111,164,50,High
52,365,362,365.0,0,0,0.0013972602739726028,2025-07-30,3,29,0.51,16,0.0,1.3333333333333333,420.48,Overstock,273.75,1.1520000000000001,175,75,Low
53,53,49,33.5,1,0,0.4705660377358491,2025-10-06,4,8,24.94,25,0.0,2.0,1945.14,Overstock,26.5,58.06388059701493,107,75,Low
54,28,17,28.0,1,0,0.9289285714285714,2025-11-02,11,29,26.01,35,0.0,,,Low Stock,,,80,50,Low
55,13,10,13.0,0,0,0.3584615384615385,2025-08-30,3,0,4.66,22,0.0,,,Overstock,,,144,75,Low
