customer_id,days_since_last_order,total_orders_rfm,total_revenue_rfm,recency_score,frequency_score,monetary_score,rfm_segment,customer_segment_label,rfm_overall_score,rfm_category,engagement_level,purchase_behavior,spending_pattern,churn_risk
243,2668,1,6047.49,1,5,5,155,At Risk,3.6666666666666665,Medium Value,Low Engagement,Frequent Buyer,High Spender,High Risk
251,1672,1,589.03,1,5,2,152,Hibernating,2.6666666666666665,Low Value,Low Engagement,Frequent Buyer,Average Spender,High Risk
296,271,1,1687.81,4,5,3,453,Loyal Customers,4.0,High Value,Highly Engaged,Frequent Buyer,Average Spender,Low Risk
472,389,1,165.05,4,5,1,451,New Customers,3.3333333333333335,Medium Value,Highly Engaged,Frequent Buyer,Low Spender,Low Risk
115,440,1,681.62,3,5,2,352,Others,3.3333333333333335,Medium Value,Moderately Engaged,Frequent Buyer,Average Spender,Low Risk
300,2654,1,891.73,1,5,2,152,Hibernating,2.6666666666666665,Low Value,Low Engagement,Frequent Buyer,Average Spender,High Risk
332,526,1,2270.66,3,5,4,354,Loyal Customers,4.0,High Value,Moderately Engaged,Frequent Buyer,High Spender,Low Risk
26,412,1,927.14,4,5,2,452,New Customers,3.6666666666666665,Medium Value,Highly Engaged,Frequent Buyer,Average Spender,Low Risk
44,1400,1,1286.83,2,5,3,253,At Risk,3.3333333333333335,Medium Value,Low Engagement,Frequent Buyer,Average Spender,High Risk
271,277,1,2540.72,4,5,4,454,Champions,4.333333333333333,High Value,Highly Engaged,Frequent Buyer,High Spender,Low Risk
253,3817,1,2625.13,1,5,4,154,At Risk,3.3333333333333335,Medium Value,Low Engagement,Frequent Buyer,High Spender,High Risk
329,663,1,2465.75,3,5,4,354,Loyal Customers,4.0,High Value,Moderately Engaged,Frequent Buyer,High Spender,Low Risk
223,297,3,2460.16,4,5,4,454,Champions,4.333333333333333,High Value,Highly Engaged,Frequent Buyer,High Spender,Low Risk
409,83,1,3077.45,5,5,5,555,Champions,5.0,High Value,Highly Engaged,Frequent Buyer,High Spender,Low Risk
91,453,1,1126.05,3,5,2,352,Others,3.3333333333333335,Medium Value,Moderately Engaged,Frequent Buyer,Average Spender,Low Risk
333,77,1,4710.52,5,5,5,555,Champions,5.0,High Value,Highly Engaged,Frequent Buyer,High Spender,Low Risk
209,2470,1,1036.63,1,5,2,152,Hibernating,2.6666666666666665,Low Value,Low Engagement,Frequent Buyer,Average Spender,High Risk
128,63,1,1609.58,5,5,3,553,Loyal Customers,4.333333333333333,High Value,Highly Engaged,Frequent Buyer,Average Spender,Low Risk
93,408,1,2835.46,4,5,4,454,Champions,4.333333333333333,High Value,Highly Engaged,Frequent Buyer,High Spender,Low Risk
476,402,1,3986.18,4,5,5,455,Champions,4.666666666666667,High Value,Highly Engaged,Frequent Buyer,High Spender,Low Risk
