country,state_province,total_customers,total_orders,total_revenue,avg_order_value,avg_customer_lifetime_value,total_suppliers,preferred_category,revenue_per_customer,orders_per_customer
US,CT,1,1,1071.24,1071.24,428.496,0,,1071.24,1.0
US,WI,1,1,506.77,506.77,33.784666666666666,0,,506.77,1.0
US,PA,1,1,1045.29,1045.29,391.98375,2,,1045.29,1.0
US,IN,3,4,4457.76,1114.44,1956.4242857142856,0,,1485.92,1.3333333333333333
US,VT,1,1,1609.58,1609.58,1207.185,0,,1609.58,1.0
US,TX,3,3,2970.2000000000003,990.0666666666667,818.0728571428572,1,,990.0666666666667,1.0
US,ID,2,2,5334.0599999999995,2667.0299999999997,1544.8655555555556,0,,2667.0299999999997,1.0
US,SD,1,1,2605.78,2605.78,2605.78,0,,2605.78,1.0
US,CO,4,4,8056.6,2014.15,2584.59,0,,2014.15,1.0
US,NH,1,1,530.35,530.35,227.29285714285717,0,,530.35,1.0
US,UT,2,2,2934.46,1467.23,1109.817142857143,0,,1467.23,1.0
US,NJ,5,5,5600.839999999999,1120.168,1106.4942857142858,0,,1120.168,1.0
CA,NU,3,3,6934.960000000001,2311.6533333333336,3147.7171428571432,0,,2311.6533333333336,1.0
US,TN,1,1,6047.49,6047.49,3455.7085714285713,0,,6047.49,1.0
US,SC,1,1,149.72,149.72,12.476666666666667,0,,149.72,1.0
CA,NS,2,2,4757.9,2378.95,2471.4566666666665,2,,2378.95,1.0
US,AR,1,1,3459.76,3459.76,384.4177777777778,0,,3459.76,1.0
US,VA,3,3,8058.6900000000005,2686.23,1748.4924999999998,1,,2686.23,1.0
US,NY,2,2,7590.12,3795.06,2553.9985714285713,2,,3795.06,1.0
US,ND,3,3,9025.73,3008.5766666666664,1005.0038461538461,0,,3008.5766666666664,1.0
US,NE,1,1,3077.45,3077.45,879.2714285714285,0,,3077.45,1.0
US,LA,3,6,7764.17,1294.0283333333334,2464.2387500000004,0,,2588.056666666667,2.0
CA,ON,2,2,1990.46,995.23,199.046,0,,995.23,1.0
US,AK,3,5,7194.49,1438.898,3685.9266666666663,0,,2398.1633333333334,1.6666666666666667
US,WV,4,4,2973.99,743.4975,521.0889999999999,0,,743.4975,1.0
US,MS,1,1,2905.32,2905.32,322.81333333333333,0,,2905.32,1.0
US,MO,4,4,8430.82,2107.705,2241.4033333333336,0,,2107.705,1.0
US,DE,1,2,2173.7,1086.85,728.1563636363636,0,,2173.7,2.0
CA,AB,2,2,6814.110000000001,3407.0550000000003,1135.6850000000002,0,,3407.0550000000003,1.0
US,IA,4,5,7717.68,1543.536,1993.333,0,,1929.42,1.25
US,OR,4,6,7248.530000000001,1208.0883333333334,2447.3972727272726,1,,1812.1325000000002,1.5
US,KY,1,1,2554.85,2554.85,729.9571428571428,0,,2554.85,1.0
CA,NB,2,2,3983.8599999999997,1991.9299999999998,2627.11,0,,1991.9299999999998,1.0
US,RI,3,3,2075.88,691.96,296.3671428571429,0,,691.96,1.0
US,AZ,2,2,3910.8999999999996,1955.4499999999998,2346.54,1,,1955.4499999999998,1.0
CA,QC,1,2,6231.42,3115.71,4673.565,4,,6231.42,2.0
US,IL,3,3,5134.77,1711.5900000000001,1744.8488888888887,3,,1711.5900000000001,1.0
CA,NT,1,1,681.62,681.62,255.60750000000002,0,,681.62,1.0
US,MN,1,1,330.63,330.63,47.23285714285714,0,,330.63,1.0
US,WA,2,2,2345.37,1172.685,684.957,1,,1172.685,1.0
US,AL,3,3,4042.7200000000003,1347.5733333333335,1194.734,0,,1347.5733333333335,1.0
US,NM,1,1,426.61,426.61,142.20333333333335,0,,426.61,1.0
US,GA,1,1,462.32,462.32,57.79,1,,462.32,1.0
US,WY,4,4,7278.070000000001,1819.5175000000002,1456.225,0,,1819.5175000000002,1.0
US,HI,3,3,7146.55,2382.1833333333334,1674.8,0,,2382.1833333333334,1.0
US,ME,1,2,3660.81,1830.405,1068.4109999999998,0,,3660.81,2.0
US,NV,4,4,4252.2,1063.05,1010.4046153846155,0,,1063.05,1.0
US,MD,3,3,7331.39,2443.7966666666666,1586.5783333333331,0,,2443.7966666666666,1.0
