supplier_id,supplier_rating,supplier_status,is_preferred,is_verified,contract_start_date,contract_end_date,city,state,zip_code,country,total_products_supplied,total_revenue_generated,total_units_sold,total_orders_fulfilled,avg_profit_margin,avg_product_rating,total_reviews,total_stock_value,avg_stock_quantity,avg_restock_lead_time,contract_status_flag,days_until_contract_expiry,contract_duration_days,revenue_per_product,avg_order_value,avg_units_per_product,supplier_performance_score,stock_efficiency_ratio,supplier_reliability_score,total_stockouts,stockout_rate,supplier_inventory_health_score
1,4.12,Under Review,False,False,2024-02-24,2025-02-28,Manchester,Scotland,,GB,0,0.0,0,0,,0.0,0,0.0,,,Expired,-327,370,,,,,,4.12,3,17.647058823529413,73.52941176470588
2,3.05,Under Review,False,True,2023-05-23,2024-12-28,Edmonton,QC,,CA,0,0.0,0,0,,0.0,0,0.0,,,Expired,-389,585,,,,,,3.355,2,15.384615384615385,76.92307692307692
3,4.49,Under Review,False,True,2019-07-19,2022-03-10,Winnipeg,NS,,CA,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1413,965,,,,,,4.939000000000001,4,30.76923076923077,61.53846153846153
4,4.37,Active,True,True,2023-12-31,2026-01-21,Toronto,SK,,CA,0,0.0,0,0,,0.0,0,0.0,,,Active,0,752,,,,,,5.244,3,18.75,71.875
5,3.83,Inactive,False,False,2018-09-25,2020-05-23,San Jose,IL,70037.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-2069,606,,,,,,3.83,3,21.428571428571427,75.0
6,4.25,Active,True,True,2023-05-17,2026-01-21,Boston,VA,47814.0,US,0,0.0,0,0,,0.0,0,0.0,,,Active,0,980,,,,,,5.1,2,16.666666666666664,79.16666666666667
7,4.25,Inactive,False,True,2018-03-25,2021-08-02,Manchester,Wales,,GB,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1633,1226,,,,,,4.675000000000001,5,38.46153846153847,65.38461538461539
8,4.66,Inactive,False,True,2022-02-28,2025-08-08,Unknown,Hesse,64627.0,DE,0,0.0,0,0,,0.0,0,0.0,,,Expired,-166,1257,,,,,,5.126,5,33.33333333333333,63.333333333333336
9,3.92,Inactive,False,True,2021-07-06,2024-04-01,New York,PA,34836.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-660,1000,,,,,,4.312,5,38.46153846153847,57.69230769230769
10,2.76,Active,False,True,2024-10-25,2026-01-21,Phoenix,IL,33143.0,US,0,0.0,0,0,,0.0,0,0.0,,,Active,0,453,,,,,,3.036,1,9.090909090909092,81.81818181818181
11,4.63,Under Review,False,True,2023-05-20,2025-12-21,Detroit,TX,81283.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-31,946,,,,,,5.093,6,37.5,59.375
12,4.79,Under Review,False,True,2020-12-21,2023-03-17,Boston,FL,15055.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1041,816,,,,,,5.269,4,33.33333333333333,58.333333333333336
13,4.31,Inactive,False,False,2021-12-19,2025-06-11,Ottawa,QC,,CA,0,0.0,0,0,,0.0,0,0.0,,,Expired,-224,1270,,,,,,4.31,3,23.076923076923077,65.38461538461539
14,4.22,Inactive,False,True,2019-07-06,2022-05-10,Hamburg,Saxony,62165.0,DE,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1352,1039,,,,,,4.642,1,9.090909090909092,81.81818181818181
15,4.02,Under Review,False,True,2020-01-29,2023-11-24,Quebec City,SK,,CA,0,0.0,0,0,,0.0,0,0.0,,,Expired,-789,1395,,,,,,4.422,3,23.076923076923077,76.92307692307692
16,2.49,Inactive,False,False,2019-06-08,2023-01-07,Columbus,OR,64960.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1110,1309,,,,,,2.49,4,28.57142857142857,71.42857142857143
17,1.73,Active,False,True,2024-09-10,2026-01-21,Columbus,NY,80426.0,US,0,0.0,0,0,,0.0,0,0.0,,,Active,0,498,,,,,,1.903,2,20.0,75.0
19,4.63,Inactive,False,False,2022-10-02,2024-07-23,New York,MI,11995.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-547,660,,,,,,4.63,5,27.77777777777778,69.44444444444446
20,1.12,Under Review,False,True,2019-05-13,2020-10-12,Vancouver,QC,,CA,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1927,518,,,,,,1.2320000000000002,2,20.0,70.0
21,4.27,Under Review,False,False,2020-02-01,2024-06-27,Nice,Unknown,23996.0,FR,0,0.0,0,0,,0.0,0,0.0,,,Expired,-573,1608,,,,,,4.27,8,44.44444444444444,55.55555555555556
22,2.77,Suspended,False,False,2024-08-06,2026-01-10,Memphis,WA,66744.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-11,522,,,,,,2.77,0,0.0,100.0
23,2.8,Inactive,False,True,2020-01-26,2021-08-18,Stuttgart,Hesse,36970.0,DE,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1617,570,,,,,,3.08,2,15.384615384615385,80.76923076923077
25,3.75,Under Review,False,True,2018-09-23,2021-04-12,New York,NC,49010.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1745,932,,,,,,4.125,2,13.333333333333334,86.66666666666667
26,3.92,Active,False,True,2024-04-22,2026-01-21,Marseille,Occitanie,54009.0,FR,0,0.0,0,0,,0.0,0,0.0,,,Active,0,639,,,,,,4.312,4,28.57142857142857,71.42857142857143
27,3.71,Inactive,False,False,2023-04-30,2025-12-19,Nice,Unknown,51273.0,FR,0,0.0,0,0,,0.0,0,0.0,,,Expired,-33,964,,,,,,3.71,6,33.33333333333333,63.888888888888886
28,4.53,Under Review,False,False,2019-07-11,2022-03-10,Paris,Unknown,61602.0,FR,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1413,973,,,,,,4.53,1,8.333333333333332,87.5
29,4.16,Under Review,False,True,2022-03-16,2025-05-21,Columbus,FL,46233.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-245,1162,,,,,,4.5760000000000005,1,12.5,81.25
30,3.05,Inactive,False,True,2018-07-22,2023-04-03,Houston,IL,70543.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1024,1716,,,,,,3.355,0,0.0,90.0
31,3.91,Inactive,False,True,2018-06-11,2019-09-14,Seattle,MI,31573.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-2321,460,,,,,,4.301,5,45.45454545454545,54.54545454545455
32,4.84,Inactive,False,True,2021-12-31,2023-11-25,Houston,OH,94677.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-788,694,,,,,,5.324,4,26.666666666666668,63.33333333333333
33,4.79,Inactive,False,True,2023-09-13,2025-11-14,Lyon,Nouvelle-Aquitaine,52133.0,FR,0,0.0,0,0,,0.0,0,0.0,,,Expired,-68,793,,,,,,5.269,2,15.384615384615385,73.07692307692307
34,3.59,Inactive,False,True,2023-05-06,2024-09-17,Edinburgh,England,,GB,0,0.0,0,0,,0.0,0,0.0,,,Expired,-491,500,,,,,,3.9490000000000003,4,36.36363636363637,63.63636363636363
35,4.17,Active,False,True,2024-04-21,2026-01-21,Strasbourg,Nouvelle-Aquitaine,99581.0,FR,0,0.0,0,0,,0.0,0,0.0,,,Active,0,640,,,,,,4.587000000000001,3,18.75,71.875
